numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,problème,remarks
234,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Gaudron,Marseille,Espagne,"314 275,00",livres,"0,1000000","31427,00","-0,50",
235,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Gome laque,Marseille,Espagne,"350,00",livres,"1,5000000","525,00","0,00",
236,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Gaude pour teinture,Marseille,Espagne,"8 575,00",livres,"0,0300000","257,00","-0,25",
237,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Gans de chamois,Marseille,Espagne,"216,00",paires,"0,7500000","162,00","0,00",18 douzaines de paires de gants de chamois à 15 sous la paires
238,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Huile d'olive,Marseille,Espagne,"83 480,00",milleroles,"42,0000000","3506160,00","0,00",
239,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Huile d'olive,Marseille,Espagne,"2 059,00",livres,"0,3000000","617,00","-0,70",
240,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Huile de poisson,Marseille,Espagne,"84 500,00",livres,"0,2000000","16900,00","0,00",
241,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Jus de citron,Marseille,Espagne,"6 000,00",livres,"0,0600000","360,00","0,00",
242,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Jus de limons,Marseille,Espagne,"6 000,00",livres,"0,0600000","360,00","0,00",
243,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Jalap,Marseille,Espagne,"9 609,00",livres,"2,2500000","21620,00","-0,25",
244,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Joncs a joncher voilles,Marseille,Espagne,"1 550,00",livres,"0,1000000","155,00","0,00",
245,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Liqueurs ,Marseille,Espagne,"200,00",livres,"0,7500000","150,00","0,00",
246,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Legumes,Marseille,Espagne,"64 550,00",livres,"0,0500000","3227,00","-0,50",
247,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Laine surge,Marseille,Espagne,"1 293 400,00",livres,"0,5000000","646700,00","0,00",
248,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Laine de Sigovie,Marseille,Espagne,"236 172,00",livres,"1,5000000","354258,00","0,00",
249,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Laine lavée,Marseille,Espagne,"77 781,00",livres,"1,1000000","85559,00","-0,10",
250,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Laine en suin ,Marseille,Espagne,"1 025,00",livres,"0,6000000","615,00","0,00",
251,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Librairie,Marseille,Espagne,"1 850,00",livres,"2,2500000","4162,00","-0,50",
252,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Liege en planches,Marseille,Espagne,"106 750,00",livres,"0,1250000","13343,00","-0,75",
253,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Miel,Marseille,Espagne,"7 400,00",livres,"0,1200000","888,00","0,00",
254,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Mouchoirs de soye,Marseille,Espagne,"2 060,00",douzaines,"24,0000000","49440,00","0,00",
255,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Mercerie,Marseille,Espagne,"204,00",livres,"2,0000000","408,00","0,00",
256,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Meules de moulin,Marseille,Espagne,"48,00",en nombre,"60,0000000","2880,00","0,00",
257,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Noisettes,Marseille,Espagne,"2 500,00",livres,"0,1000000","250,00","0,00",
258,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Orge,Marseille,Espagne,"4 020,00",charges,"9,0000000","36180,00","0,00",
259,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Poisson salé,Marseille,Espagne,"168 500,00",livres,"0,2000000","33700,00","0,00",
260,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Pignons cassés,Marseille,Espagne,"14 158,00",livres,"0,2000000","2832,00","0,40",
261,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Poivre,Marseille,Espagne,"5 500,00",livres,"1,2000000","6600,00","0,00",
262,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Pommade,Marseille,Espagne,"150,00",livres,"1,0000000","150,00","0,00",
263,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Plumes d'autruches crües,Marseille,Espagne,"160,00",livres,"3,0000000","480,00","0,00",
264,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Papier a ecrire,Marseille,Espagne,"460,00",livres,"0,4000000","184,00","0,00",
265,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Poil de lapin,Marseille,Espagne,"9 876,00",livres,"4,0000000","39504,00","0,00",
266,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Peleterie commune crüe,Marseille,Espagne,"3 000,00",livres,"1,2500000","3750,00","0,00",
267,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Peaux de renard,Marseille,Espagne,"100,00",en nombre,"1,0000000","100,00","0,00",
268,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Peaux de lievre,Marseille,Espagne,"250,00",livres,"3,0000000","750,00","0,00",
269,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Peaux de marroquin,Marseille,Espagne,"108,00",livres,"1,5000000","162,00","0,00",
270,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Peaux de chien de mer,Marseille,Espagne,"260,00",livres,"0,5000000","130,00","0,00",
271,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Peaux de chagrin,Marseille,Espagne,"5 000,00",livres,"0,5000000","2500,00","0,00",
272,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Peaux d'agneau en laine,Marseille,Espagne,"300,00",livres,"0,6000000","180,00","0,00",
273,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Peaux de mouton en laine,Marseille,Espagne,"300,00",livres,"0,7500000","225,00","0,00",
274,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Peaux de veau en poil,Marseille,Espagne,"19 683,00",livres,"0,5000000","9841,00","-0,50",
275,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Palmes,Marseille,Espagne,"74,00",en nombre,"0,2500000","18,00","-0,50",
276,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Palmes en feuille,Marseille,Espagne,"5 500,00",livres,"0,0600000","330,00","0,00",
277,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Plomb en saumon ,Marseille,Espagne,"35 875,00",livres,"0,2000000","7175,00","0,00",
278,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Pierres a fusil,Marseille,Espagne,"600,00",livres,"0,1500000","90,00","0,00",
279,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Pierres a eguiser,Marseille,Espagne,"300,00",en nombre,"2,5000000","750,00","0,00",
280,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Quinquina,Marseille,Espagne,"2 417,00",livres,"4,0000000","9668,00","0,00",
281,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Quincailles de fer,Marseille,Espagne,"850,00",livres,"0,5000000","425,00","0,00",
282,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Ris,Marseille,Espagne,"120 350,00",livres,"0,1000000","12035,00","0,00",
283,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Raisins secs,Marseille,Espagne,"641 200,00",livres,"0,2000000","128240,00","0,00",
284,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Reglisse,Marseille,Espagne,"30 825,00",livres,"0,0750000","2311,00","-0,88",
285,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Sardines salées,Marseille,Espagne,"2 402,00",barrils,"10,0000000","24020,00","0,00",
286,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Sardines salées,Marseille,Espagne,"148 375,00",livres,"0,5000000","74187,00","-0,50",
287,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Saumure,Marseille,Espagne,"32 500,00",livres,"0,1000000","3250,00","0,00",
288,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Salicor,Marseille,Espagne,"282 075,00",livres,"0,0500000","14103,00","-0,75",
289,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Souffre,Marseille,Espagne,"44 700,00",livres,"0,1200000","5364,00","0,00",
290,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,6,1742,Import,Suif,Marseille,Espagne,"20 494,00",livres,"0,4000000","8197,00","-0,60",
291,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Soye crüe,Marseille,Espagne,"296 305,00",livres,"12,0000000","3555660,00","0,00",
292,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Tonnine,Marseille,Espagne,"13 633,00",livres,"0,5000000","6816,00","-0,50",
293,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Tourrons,Marseille,Espagne,"2 425,00",livres,"0,4000000","970,00","0,00",
294,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Soude,Marseille,Espagne,"5 048 725,00",livres,"0,0800000","403898,00","0,00",
295,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Thé,Marseille,Espagne,"35,00",livres,"5,0000000","175,00","0,00",
296,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Tartre,Marseille,Espagne,"150,00",livres,"0,1500000","22,00","-0,50",
297,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Tabac en poudre,Marseille,Espagne,"985,00",livres,"2,0000000","1970,00","0,00",
298,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Toille blanche,Marseille,Espagne,"16 865,00",livres,"3,0000000","50595,00","0,00",
299,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Toille a voille,Marseille,Espagne,"18,00",pieces,"25,0000000","450,00","0,00",
300,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Toille d'embalage,Marseille,Espagne,"9 850,00",livres,"1,0000000","9850,00","0,00",
301,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Terre de porcelaine,Marseille,Espagne,"72 800,00",livres,"0,0300000","2184,00","0,00",
302,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Vin muscat,Marseille,Espagne,"10,00",milleroles,"35,0000000","350,00","0,00",
303,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Vin Tinto,Marseille,Espagne,"224,00",milleroles,"70,0000000","15680,00","0,00",
304,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Vin de Xeres,Marseille,Espagne,"33,00",milleroles,"90,0000000","2970,00","0,00",
305,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Vin d'Espagne,Marseille,Espagne,"146,00",milleroles,"45,0000000","6570,00","0,00",
306,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Vin blanc,Marseille,Espagne,"122,00",milleroles,"50,0000000","6100,00","0,00",
307,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Vermichel,Marseille,Espagne,"532,00",livres,"0,2000000","106,00","-0,40",
308,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Vermillon,Marseille,Espagne,"11 910,00",livres,"2,5000000","29775,00","0,00",
309,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Velours,Marseille,Espagne,"5,00",pieces,"300,0000000","1500,00","0,00",
310,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import, Vestes de toille,Marseille,Espagne,"575,00",livres,"1,5000000","862,00","-0,50",
311,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Bierre,Marseille,Portugal,"9 500,00",livres,"0,0500000","475,00","0,00",
312,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Bois de Brezil,Marseille,Portugal,"92 200,00",livres,"0,2500000","23050,00","0,00",
313,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Chocolat,Marseille,Portugal,"100,00",livres,"3,5000000","350,00","0,00",
314,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Cacao,Marseille,Portugal,"37 327,00",livres,"1,4000000","52257,00","-0,80",
315,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Ceinturons d'Epée,Marseille,Portugal,"900,00",livres,"0,5000000","450,00","0,00",
316,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Cuirs en poil,Marseille,Portugal,"2 981,00",livres,"14,0000000","41734,00","0,00",
317,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Fayence,Marseille,Portugal,"500,00",livres,"0,5000000","250,00","0,00",
318,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Grabeau de cire,Marseille,Portugal,"200,00",livres,"0,4500000","90,00","0,00",
319,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Ipecacuana,Marseille,Portugal,"850,00",livres,"3,0000000","2550,00","0,00",
320,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Laine surge,Marseille,Portugal,"2 850,00",livres,"0,4000000","1140,00","0,00",
321,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Agneaux,Marseille,Savoye et Piemont,"55,00",en nombre,"3,0000000","165,00","0,00",
322,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Anchois,Marseille,Savoye et Piemont,"8,00",barrils,"10,0000000","80,00","0,00",
323,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Amandes a la praline,Marseille,Savoye et Piemont,"22,00",livres,"1,0000000","22,00","0,00",
324,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Arquifou,Marseille,Savoye et Piemont,"600,00",livres,"0,1500000","90,00","0,00",
325,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Beurre,Marseille,Savoye et Piemont,"3 087,00",livres,"0,3000000","926,00","-0,10",
326,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Bas d'estame,Marseille,Savoye et Piemont,"30,00",paires,"2,5000000","75,00","0,00",
327,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Bas de coton,Marseille,Savoye et Piemont,"158,00",paires,"1,0000000","158,00","0,00",
328,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Bonnets de coton,Marseille,Savoye et Piemont,"1,00",douzaines,"3,0000000","3,00","0,00",
329,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Bois de pin petites pieces,Marseille,Savoye et Piemont,"300,00",en nombre,"0,2500000","75,00","0,00",
330,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Bois de sapin,Marseille,Savoye et Piemont,"150,00",pieces,"4,0000000","0,00","-600,00",Prix total illisible
331,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Chair salée,Marseille,Savoye et Piemont,"1 222,00",livres,"0,2000000","244,00","-0,40",
332,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Citrons,Marseille,Savoye et Piemont,"31,00",charges,"14,0000000","434,00","0,00",
333,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Citrons,Marseille,Savoye et Piemont,"37,00",milliers,"8,0000000","296,00","0,00",
334,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Chataignes,Marseille,Savoye et Piemont,"3 518,00",livres,"0,0500000","175,00","-0,90",
335,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Confitures,Marseille,Savoye et Piemont,"150,00",livres,"0,7500000","112,00","-0,50",
336,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Cassonade,Marseille,Savoye et Piemont,"1,50",livres,"0,3000000","0,00","-0,45",absence de montant total
337,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Carubis,Marseille,Savoye et Piemont,"350,00",livres,"0,0500000","17,00","-0,50",
338,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Chandelles,Marseille,Savoye et Piemont,"1 211,00",livres,"0,4500000","544,00","-0,95",
339,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Cheveux,Marseille,Savoye et Piemont,"27,50",livres,"25,0000000","687,00","-0,50",
340,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Chanvre battu,Marseille,Savoye et Piemont,"6 070,00",livres,"0,2000000","1206,00","-8,00",
341,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Chanvre cru,Marseille,Savoye et Piemont,"15 975,00",livres,"0,1800000","2875,00","-0,50",
342,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Cordages de chanvre,Marseille,Savoye et Piemont,"1 056,00",livres,"0,3000000","316,00","-0,80",
343,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Cuirs de beuf en poil,Marseille,Savoye et Piemont,"36,00",livres,"14,0000000","504,00","0,00",
344,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Cuivre neuf,Marseille,Savoye et Piemont,"8,00",livres,"1,5000000","12,00","0,00",
345,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Cuivre vieux,Marseille,Savoye et Piemont,"492,00",livres,"0,8000000","393,00","-0,60",
346,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,7,1742,Import,Corne de cerf,Marseille,Savoye et Piemont,"50,00",livres,"0,3000000","15,00","0,00",
347,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,8,1742,Import,Chevron de sapin,Marseille,Savoye et Piemont,"76,00",en nombre,"0,4000000","30,00","-0,40",
348,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,8,1742,Import,Cercles de bois,Marseille,Savoye et Piemont,"5,00",rodes,,"10,00",,5 rodes de cercles en bois estimés à 10 livres
349,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,8,1742,Import,Dentelles du puys,Marseille,Savoye et Piemont,"2,00",livres,"4,0000000","8,00","0,00",
350,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,8,1742,Import,Eau de senteur,Marseille,Savoye et Piemont,"891,00",livres,"0,5000000","445,00","-0,50",
