numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,remarks,Droits totaux indiqués,Droits unitaires,unité pour les droits,quantité pour les droits,remarks pour les droits
1166,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,5,Pois verts,Isles françoises delamerique,1300,130,Boisseaux,10,,,,,,
1167,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,5,Perruques,Isles françoises delamerique,420,21,Pièces,20,,,,,,
1168,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,5,Plume a lit,Isles françoises delamerique,110,100,Livres,"1,1",,,,,,
1169,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,5,Peaux de veau corroyées,Isles françoises delamerique,1320,528,Pièces,"2,5",,,,,,
1170,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,5,Peaux de mouton passées,Isles françoises delamerique,1008,1344,En nombre,"0,75",,,,,,
1171,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,5,Papier a ecrire,Isles françoises delamerique,2400,600,Rames,4,,,,,,
1172,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,5,Parasols,Isles françoises delamerique,72,12,Pièces,6,,,,,,
1173,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,5,Porcelaine,Isles françoises delamerique,9500,1900,Livres,5,,,,,,
1174,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,5,Pipes a fumer,Isles françoises delamerique,11340,4536,grosses,"2,5",,,,,,
1175,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,5,Pierres a faulx,Isles françoises delamerique,6800,85000,En nombre,"0,08",,,,,,
1176,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,5,Poudre a poudrer,Isles françoises delamerique,5295,17650,Livres,"0,3",,,,,,
1177,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,5,Poudre a tirer,Isles françoises delamerique,16440,13700,Livres,"1,2",,,,,,
1178,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,5,Pistolets,Isles françoises delamerique,5860,586,En nombre,10,,,,,,
1179,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,5,Plomb en grenaille,Isles françoises delamerique,4900,19600,Livres,"0,25",pourcentage non marqué (25 livres le 100),,,,,
1180,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,5,Plomb en saumon,Isles françoises delamerique,9339,42450,Livres,"0,22",pourcentage non marqué (22 livres le 100),,,,,
1181,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Planches de sapin,Isles françoises delamerique,90,18,Pièces,5,,,,,,
1182,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Planches de sapin,Isles françoises delamerique,1953,1085,Pièces,"1,8",,,,,,
1183,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Quincaille,Isles françoises delamerique,231300,77100,Livres,3,,,,,,
1184,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Ruban de soye,Isles françoises delamerique,880,1,Valeur,880,,,,,,
1185,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Salemporis,Isles françoises delamerique,5250,300,Pièces,"17,5",,,,,,
1186,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Servietes,Isles françoises delamerique,6048,4032,En nombre,"1,5",,,,,,
1187,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Servelats,Isles françoises delamerique,1300,1300,Livres,1,,,,,,
1188,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Saumon salé,Isles françoises delamerique,1575,4500,Livres,"0,35",,,,,,
1189,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Sardines,Isles françoises delamerique,1305,29,Bariques,45,,,,,,
1190,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Sel,Isles françoises delamerique,6120,340,Pipes,18,,,,,,
1191,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Sel,Isles françoises delamerique,780,260,Mines,3,,,,,,
1192,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Savon,Isles françoises delamerique,26579,75940,Livres,"0,35",,,,,,
1193,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Suif,Isles françoises delamerique,21455,61300,Livres,"0,35",,,,,,
1194,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Souffre,Isles françoises delamerique,1950,13000,Livres,15,-193050 pourcentage non marqué (15 livres le 100),,,,,
1195,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Souliers,Isles françoises delamerique,42050,16820,Paires,"2,5",,,,,,
1196,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Souliers brodés or et argent,Isles françoises delamerique,6636,1106,Paires,6,,,,,,
1197,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Selles pour cheval,Isles françoises delamerique,3550,142,En nombre,25,,,,,,
1198,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,The,Isles françoises delamerique,6648,1662,Livres,4,,,,,,
1199,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Tableaux,Isles françoises delamerique,500,1,Valeur,500,,,,,,
1200,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Truffles,Isles françoises delamerique,128,32,Livres,4,,,,,,
1201,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Tapis de laine,Isles françoises delamerique,360,18,Pièces,20,,,,,,
1202,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Toile de coton,Isles françoises delamerique,4500,90,Pièces,50,,,,,,
1203,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Toile de coton,Isles françoises delamerique,17875,7150,Aunes,"2,5",,,,,,
1204,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Toile de chanvre,Isles françoises delamerique,36000,900,Pièces,40,,,,,,
1205,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Toile de lin,Isles françoises delamerique,5250,1750,Aunes,3,,,,,,
1206,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Toile blanche,Isles françoises delamerique,56890,28445,Aunes,2,,,,,,
1207,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Toile comune,Isles françoises delamerique,138786,138786,Aunes,1,,,,,,
1208,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Vaisselle dargent,Isles françoises delamerique,4560,80,Marcs,57,,,,,,
1209,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Vieux oin,Isles françoises delamerique,1200,3000,Livres,40,-118800 pourcentage non marqué (40 livres le 100),,,,,
1210,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Verres a boire,Isles françoises delamerique,950,19,Barriques,50,,,,,,
1211,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Vin de canarie,Isles françoises delamerique,690,1,Tonneaux,690,Prix estimé,,,,,
1212,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Vin de frontignan,Isles françoises delamerique,2000,10,Barriques,200,,,,,,
1213,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Vin de frontignan,Isles françoises delamerique,9280,4640,Pots,2,,,,,,
1214,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Vin de ville,Isles françoises delamerique,883740,"7364,5",Tonneaux,0,883740 Prix unitaire non marqué (calculé 120 livres),,,,,
1215,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1740,Exports,Bordeaux,6,Vinaigre,Isles françoises delamerique,8700,87,Tonneaux,100,,,,,,
1216,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,1,Eau de vie,Angleterre,14520,264,Barriques,55,,0,20,Barriques,264,-5280 droits non marqués
1217,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,1,Vin de haut,Angleterre,17700,59,Tonneaux,300,,0,"11,45",Tonneaux,59,"-675,55 droits non marqués"
1218,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,1,Vin de ville,Angleterre,316400,791,Tonneaux,400,,,,,,
1219,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,1,Vin de ville,Angleterre,248700,829,Tonneaux,300,,0,"20,3583333",Tonneaux,1620,"-32980,5 droits non marqués"
1220,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,1,Vinaigre,Angleterre,3800,38,Tonneaux,100,,0,15,Tonneaux,38,-570 droits non marqués
1221,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,1,Amandes cassées,Hollande,4550,13000,Livres,"0,35",,,,,,
1222,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,1,Bas de soye,Hollande,50,4,Paires,"12,5",Prix global estimé de 4 paires à 50 livres,,,,,
1223,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,1,Cabinets de bois de fayal,Hollande,50,2,En nombre,25,Prix global estimé de 2 cabinets à 50 livres,,,,,
1224,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,1,Cacao,Hollande,5085,3390,Livres,"1,5",,,,,,
1225,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,1,Caffé des Isles,Hollande,772500,772500,Livres,1,,,,,,
1226,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,1,Chataignes,Hollande,40024,10006,Boisseaux,4,,,,,,
1227,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,1,Coton en laine,Hollande,1395,1550,Livres,"0,9",,,,,,
1228,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,1,Eau de Reyne d'hongrie,Hollande,180,60,Pots,3,,,,,,
1229,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,1,Eau de vie,Hollande,111430,2026,Barriques,55,,0,20,Barriques,2026,-40520 droits non marqués
1230,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,"Etoffe or, argent et soye",Hollande,500,10,Aunes,50,,,,,,
1231,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Gans de soye,Hollande,36,12,Paires,3,,,,,,
1232,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Graine de genievre,Hollande,35310,3531,Boisseaux,10,,,,,,
1233,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Graine de genievre,Hollande,2000,20000,Livres,"0,1",,,,,,
1234,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Graine de jardin,Hollande,7500,6000,Livres,"1,25",,,,,,
1235,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Graine de lin,Hollande,9575,1915,Boisseaux,5,,,,,,
1236,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Huile de noix,Hollande,690,3450,Livres,"0,2",,,,,,
1237,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Indigo,Hollande,355300,88825,Livres,4,,,,,,
1238,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Liege,Hollande,3250,130,Balles,25,,,,,,
1239,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Liqueurs de ville,Hollande,6,8,Pots,"0,75",,,,,,
1240,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Mignonette etoffe,Hollande,250,50,Livres,5,,,,,,
1241,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Papier a ecrire,Hollande,70704,11784,Rames,6,,,,,,
1242,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Pois chiches,Hollande,3000,20000,Livres,"0,15",,,,,,
1243,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Pruneaux,Hollande,338625,9675,Barriques,35,,,,,,
1244,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Raisin sec,Hollande,99000,330000,Livres,"0,3",,,,,,
1245,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Rocou,Hollande,"6207,5",4775,Livres,"1,3",,,,,,
1246,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Sirop de sucre,Hollande,43640,436400,Livres,"0,1",,,,,,
1247,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Sucre blanc,Hollande,312040,780100,Livres,"0,4",pourcentage non marqué (40 livres le 100),,,,,
1248,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Sucre brut,Hollande,"191507,2",598460,Livres,"0,32",pourcentage non marqué (32 livres le 100),,,,,
1249,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Therebantine,Hollande,31200,78,Tonneaux,400,,,,,,
1250,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Vin de haut,Hollande,1946550,12977,Tonneaux,150,,0,"11,45",Tonneaux,12977,"-148586,65 droits non marqués"
1251,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Vin de ville,Hollande,1255440,10462,Tonneaux,120,,0,"20,3583333",Tonneaux,10462,"-212988,88 droits non marqués"
1252,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Vinaigre,Hollande,57850,"578,5",Tonneaux,100,,0,15,Tonneaux,"578,5","-8677,5 droits non marqués"
1253,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Bas de soye pour femme,Nord,1260,76,Paires,10,500 erreur calcul,,,,,
1254,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Bas de soye pour homme,Nord,900,60,Paires,15,,,,,,
1255,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Caffé des Isles,Nord,894600,894600,Livres,1,,,,,,
1256,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Camelot de soye,Nord,54,"13,5",Aunes,4,,,,,,
1257,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Confitures,Nord,"2262,5",1810,Livres,"1,25",,,,,,
1258,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Cotonine,Nord,8,4,Aunes,2,,,,,,
1259,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Drap de Carcassonne,Nord,5000,500,Aunes,10,,,,,,
1260,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Eau de vie,Nord,75845,1379,Barriques,55,,0,20,Barriques,1379,-27580 droits non marqués
1261,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Indigo,Nord,880920,220230,Livres,4,,,,,,
1262,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Pruneaux,Nord,142450,4070,Barriques,35,,,,,,
1263,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Rocou,Nord,2280,280,Livres,"1,3",1916 erreur calcul,,,,,
1264,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Sucre blanc,Nord,862360,2156900,Livres,"0,4",-400 erreur calcult pourcentage non marqué,,,,,
1265,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Sucre brut,Nord,11178772,3493360,Livres,"0,32","10060896,8 erreur calcult pourcentage non marqué",,,,,
1266,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Vin de haut,Nord,168450,1123,Tonneaux,150,,0,"11,45",Tonneaux,11234,"-128629,3 droits non marqués"
1267,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Vin de ville,Nord,1407480,11729,Tonneaux,120,,0,"20,3583333",Tonneaux,11729,"-238782,89 droits non marqués"
1268,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Vinaigre,Nord,2405,"240,5",Tonneaux,100,-21645,0,15,Tonneaux,"240,5","-3607,5 droits non marqués"
1269,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Caffé des Isles,Russie,2530,2530,Livres,1,,,,,,
1270,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Eau de vie,Russie,5940,108,Barriques,55,,0,20,Barriques,108,-2160 droits non marqués
1271,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Indigo,Russie,141480,35370,Livres,4,,,,,,
1272,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Pruneaux,Russie,2415,69,Barriques,35,,,,,,
1273,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Vin de haut,Russie,19050,127,Tonneaux,150,,0,"11,45",Tonneaux,127,"-1454,15 droits non marqués"
1274,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Vin de ville,Russie,77880,649,Tonneaux,120,,0,"20,3583333",Tonneaux,649,"-13212,56 droits non marqués"
1275,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Vinaigre,Russie,600,6,Tonneaux,100,,0,15,Tonneaux,6,-90 droits non marqués
1276,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Bled froment,Danemarc,24000,2400,Boisseaux,10,,,,,,
1277,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Caffé des Isles,Danemarc,29510,29510,Livres,1,,,,,,
1278,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,2,Eau de vie,Danemarc,89430,1626,Barriques,55,,0,20,Barriques,1626,-32520 droits non marqués
1279,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,3,Indigo,Danemarc,44700,11175,Livres,4,,,,,,
1280,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,3,Pruneaux,Danemarc,11445,327,Barriques,35,,,,,,
1281,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,3,Rocou,Danemarc,"409,5",315,Livres,"1,3",,,,,,
1282,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,3,Sucre blanc,Danemarc,360,900,Livres,40,-35640 pourcentage non marqué,,,,,
1283,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,3,Vin de haut,Danemarc,38250,263,Tonneaux,150,-1200 erreur calcul,0,"11,45",Tonneaux,263,"-3011,35 droits non marqués"
1284,Pascal Fontaine,AD 33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1745,Exports,Bordeaux,3,Vin de ville,Danemarc,512280,4269,Tonneaux,120,,0,"20,3583333",Tonneaux,4269,"-86909,73 droits non marqués"
