marchandises,marchandises_normalisees_inter,marchandises_normalisees,product_prix,dutchtranslation,englishproduct,unit,alternativenames,source_rg_1774,source_rgbase,source_france,source_sound,source_hambourg,v14,v15,remarques,nbr_lignes_fr,nbr_lignes_hambourg
,???,???,,,,,,,,1,,,,,,2205,
.,???,???,,,,,,,,,,,,,,,
Etoffes ; de coton ; velours,Étoffe ; de coton ; velours,Étoffe ; de coton ; velours,,,,,,,,1,,,,,,4,
Etoffes ; de coton ; velours ; imprimé,Étoffe ; de coton ; velours,Étoffe ; de coton ; velours ; imprimé,,,,,,,,1,,,,,,1,
Etoffes ; de coton de fil,Étoffe ; de coton et fil,Étoffe ; de coton et fil,,,,,,0,0,1,,,,,,6,
Etoffes ; de coton de laine,Étoffe ; de coton et laine,Étoffe ; de coton et laine,,,,,,0,0,1,,,,,,3,
Etoffes ; de coton et bonneterie,Étoffe ; de coton et bonneterie,Étoffe ; de coton et bonneterie,,,,,,,,1,,,,,,1,
Etoffes ; de coton et chapeaux,Étoffe ; de coton et chapeaux,Étoffe ; de coton et chapeaux,,,,,,,,1,,,,,,1,
Etoffes ; de coton et laine,Étoffe ; de coton et laine,Étoffe ; de coton et laine,,,,,,0,0,1,,,,,,1,
Etoffes ; de coton et mercerie,Étoffe ; de coton et mercerie,Étoffe ; de coton et mercerie,,,,,,,,1,,,,,,1,
Etoffes ; de coton et pellerie,Étoffe ; de coton et pellerie,Étoffe ; de coton et pellerie,,,,,,,,1,,,,,,1,
Etoffes ; de coton et tapisserie,Étoffe ; de coton et tapisserie,Étoffe ; de coton et tapisserie,,,,,,,,1,,,,,,1,
Etoffes ; de fil et coton,Étoffe ; de fil et coton,Étoffe ; de coton et fil,,,,,,,,1,,,,,,1,
Etoffes ; de fil et coton ; en drap,Étoffe ; de fil et coton ; en drap,Étoffe ; de fil et coton ; en drap,,,,,,,,1,,,,,,2,
Etoffes ; de fil et coton ; en velours,Étoffe ; de fil et coton ; velours,Étoffe ; de fil et coton ; velours,,,,,,,,1,,,,,,1,
Etoffes ; de fil et laine,Étoffe ; de fil et laine,Étoffe ; de fil et laine,,,,,,,,1,,,,,,9,
Etoffes ; de fil et laine ; en moleton,Étoffe ; de fil et laine ; molleton,Étoffe ; de fil et laine ; molleton,,,,,,,,1,,,,,,1,
Etoffes ; de fil et laine ; en tripe,Étoffe ; de fil et laine ; en trippe,Étoffe ; de fil et laine ; en tripe,,,,,,,,1,,,,,,1,
Etoffes ; de filozelle,Étoffe ; de filoselle,Étoffe ; de filoselle,,,,,,0,0,1,,,,,,1,
Etoffes ; de fleuret,Étoffe ; de fleuret,Étoffe ; de fleuret,,,,,,0,0,1,,,,,,2,
Etoffes ; de fleuret et de coton,Étoffe ; de fleuret et coton,Étoffe ; de fleuret et coton,,,,,,0,0,1,,,,,,1,
Etoffes ; de fleuret et de laine,Étoffe ; de fleuret et laine,Étoffe ; de fleuret et laine,,,,,,0,0,1,,,,,,3,
Etoffes ; de laine,Étoffe ; de laine,Étoffe ; de laine,,,,,,0,0,1,,,,,,31,
Etoffes ; de laine ; ?,Étoffe ; de laine ; ?,Étoffe ; de laine,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; Itaine,Étoffe ; de laine ; Itaine,Étoffe ; de laine ; Itaine,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; Maroc,Étoffe ; de laine ; Maroc,Étoffe ; Maroc,,,,,,,,1,,,,,,3,
Etoffes ; de laine ; amer,Étoffe ; de laine ; amer,Étoffe ; de laine ; amer,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; baracan,Étoffe ; de laine ; baracan,Étoffe ; de laine ; baracan,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; barreau,Étoffe ; de laine ; barreau,Étoffe ; de laine ; barreau,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; bay,Étoffe ; de laine ; baye,Étoffe ; de laine ; baye,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; beche,Étoffe ; de laine ; bêche,Étoffe ; de laine ; bêche,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; bergop,Étoffe ; de laine ; bergopsum,Étoffe ; de laine ; bergopsum,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; bluteau,Étoffe ; de laine ; bluteau,Étoffe ; de laine ; bluteau,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; burat,Étoffe ; de laine ; burat,Étoffe ; de laine ; burat,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; cadeligue,Étoffe ; de laine ; cadeligue,Étoffe ; de laine ; cadeligue,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; calemande,Étoffe ; de laine ; callemande,Étoffe ; de laine ; callemande,,,,,,,,1,,,,,,3,
Etoffes ; de laine ; calimande ; noire,Étoffe ; de laine ; callemande ; noire,Étoffe ; de laine ; callemande ; noire,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; callemande,Étoffe ; de laine ; callemande,Étoffe ; de laine ; callemande,,,,,,,,1,,,,,,4,
Etoffes ; de laine ; callemande ; large,Étoffe ; de laine ; callemande ; large,Étoffe ; de laine ; callemande,,,,,,,,1,,,,,,6,
Etoffes ; de laine ; callemande ; étroite,Étoffe ; de laine ; callemande ; étroite,Étoffe ; de laine ; callemande,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; calmonef,Étoffe ; de laine ; camelonef,Étoffe ; de laine ; camelonef,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; camelot,Étoffe ; de laine ; camelot,Étoffe ; de laine ; camelot,,,,,,,,1,,,,,,3,
Etoffes ; de laine ; camelot ; etroit,Étoffe ; de laine ; camelot ; étroit,Étoffe ; de laine ; camelot,,,,,,,,1,,,,,,3,
Etoffes ; de laine ; camelot ; faille,Étoffe ; de laine ; camelot ; faille,Étoffe ; de laine ; camelot,,,,,,,,1,,,,,,4,
Etoffes ; de laine ; camelot ; large,Étoffe ; de laine ; camelot ; large,Étoffe ; de laine ; camelot,,,,,,,,1,,,,,,4,
Etoffes ; de laine ; camelot ; écru,Étoffe ; de laine ; camelot ; écru,Étoffe ; de laine ; camelot,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; catalogne,Étoffe ; de laine ; catalogne,Étoffe ; de laine ; catalogne,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; châleur,Étoffe ; de laine ; chaleur,Étoffe ; de laine ; chaleur,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; couteries,Étoffe ; de laine ; couteries,Étoffe ; de laine ; couteries,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; crêpe,Étoffe ; de laine ; crêpe,Étoffe ; de laine ; crêpe,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; dareau,Étoffe ; de laine ; dareau,Étoffe ; de laine ; dareau,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; dauphine,Étoffe ; de laine ; dauphine,Étoffe ; de laine ; dauphine,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; diverse,Étoffe ; de laine ; diverses,Étoffe ; de laine ; diverse,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; diverses,Étoffe ; de laine ; diverses,Étoffe ; de laine ; diverse,,,,,,,,1,,,,,,20,
Etoffes ; de laine ; drogeut,Étoffe ; de laine ; droguet,Étoffe ; de laine ; droguet,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; droguit,Étoffe ; de laine ; droguet,Étoffe ; de laine ; droguet,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; duroil,Étoffe ; de laine ; duroil,Étoffe ; de laine ; duroil,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; en Maroc,Étoffe ; de laine ; Maroc,Étoffe ; Maroc,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; en bluteau,Étoffe ; de laine ; bluteau,Étoffe ; de laine ; bluteau,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; en cachemire,Étoffe ; de laine ; en cachemire,Étoffe ; de laine ; en cachemire,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; en calemande,Étoffe ; de laine ; callemande,Étoffe ; de laine ; callemande,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; en callemande,Étoffe ; de laine ; callemande,Étoffe ; de laine ; callemande,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; en camelot,Étoffe ; de laine ; camelot,Étoffe ; de laine ; camelot,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; en carmetos,Étoffe ; de laine ; camelot,Étoffe ; de laine ; camelot,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; en croisé,Étoffe ; de laine ; en croisé,Étoffe ; de laine ; en croisé,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; en espagnolette ; croisée,Étoffe ; de laine ; espagnolette ; croisée,Étoffe ; espagnolette,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; en espagnolette ; simple,Étoffe ; de laine ; espagnolette ; simple,Étoffe ; espagnolette,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; en molleton,Étoffe ; de laine ; molleton,Étoffe ; de laine ; molleton,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; en panne,Étoffe ; de laine ; panne,Étoffe ; de laine ; panne,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; en prunelle,Étoffe ; de laine ; prunelle,Étoffe ; de laine ; prunelle,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; en raz ; de castor,Étoffe ; de laine ; en raz ; de castor,Étoffe ; de laine ; en raz ; de castor,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; en satin,Étoffe ; de laine ; en satin,Étoffe ; de laine ; en satin,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; en satin ; turc,Étoffe ; de laine ; en satin ; turc,Étoffe ; de laine ; en satin ; turc,,,,,,,,1,,,,,,5,
Etoffes ; de laine ; en serge ; aumale,Etoffe ; de laine ; serge ; aumale,Étoffe ; serge ; d'aumale,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; en serge ; auvoile,Étoffe ; de laine ; serge ; voile,Étoffe ; serge ; voile,,,,,,,,1,,,,,,4,
Etoffes ; de laine ; en serge ; blicourt,Étoffe ; de laine ; serge ; Bilcourt,Étoffe ; serge ; Bilcourt,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; en serge ; diverses,Étoffe ; de laine ; serge ; diverse,Étoffe ; serge ; divers,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; en serge ; imprimé,Étoffe ; de laine ; serge ; imprimée,Étoffe ; serge ; imprimée,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; en serge ; minorque,Étoffe ; de laine ; serge ; minorque,Étoffe ; serge ; minorque,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; en étamine,Étoffe ; de laine ; étamine,Étoffe ; étamine,,,,,,,,1,,,,,,4,
Etoffes ; de laine ; en étamine ; burette,Étoffe ; de laine ; étamine ; burette,Étoffe ; étamine,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; espagnolette,Étoffe ; de laine ; espagnolette,Étoffe ; espagnolette,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; espagnolette ; croisée,Étoffe ; de laine ; espagnolette ; croisée,Étoffe ; espagnolette,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; espagnolette ; lisse,Étoffe ; de laine ; espagnolette ; lisse,Étoffe ; espagnolette,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; etamine,Étoffe ; de laine ; étamine,Étoffe ; étamine,,,,,,,,1,,,,,,7,
Etoffes ; de laine ; etamine ; burail,Étoffe ; de laine ; étamine ; burail,Étoffe ; étamine ; burail,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; flanelle,Étoffe ; de laine ; flanelle,Étoffe ; de laine ; flanelle,,,,,,,,1,,,,,,4,
Etoffes ; de laine ; florentine,Étoffe ; de laine ; florentine,Étoffe ; de laine ; florentine,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; frisarde,Étoffe ; de laine ; frisade,Étoffe ; de laine ; frisade,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; frisette,Étoffe ; de laine ; frisette,Étoffe ; de laine ; frisette,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; futaine,Étoffe ; de laine ; futaine,Étoffe ; de laine ; futaine,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; imperiale,Étoffe ; de laine ; Impériale,Étoffe ; de laine ; Impériale,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; lampareille,Étoffe ; de laine ; lampareille,Étoffe ; de laine ; lampareille,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; lerfage,Étoffe ; de laine ; lerfage,Étoffe ; de laine ; lerfage,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; maroc,Étoffe ; de laine ; Maroc,Étoffe ; Maroc,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; moleton,Étoffe ; de laine ; molleton,Étoffe ; de laine ; molleton,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; molleton,Étoffe ; de laine ; molleton,Étoffe ; de laine ; molleton,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; panne,Étoffe ; de laine ; panne,Étoffe ; de laine ; panne,,,,,,,,1,,,,,,8,
Etoffes ; de laine ; passepoil,Étoffe ; de laine ; passepoil,Étoffe ; de laine ; passepoil,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; peluche,Étoffe ; de laine ; peluche,Étoffe ; de laine ; peluche,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; perpetuanne,Étoffe ; de laine ; perpetuanne,Étoffe ; de laine ; perpetuanne,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; perpetuaux,Étoffe ; de laine ; perpetuanne,Étoffe ; de laine ; perpetuanne,,,,,,,,1,,,,,,3,
Etoffes ; de laine ; pinchinal,Étoffe ; de laine ; pinchinal,Étoffe ; de laine ; pinchinal,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; prunelle,Étoffe ; de laine ; prunelle,Étoffe ; de laine ; prunelle,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; prunelle ; burail,Étoffe ; de laine ; prunelle ; burail,Étoffe ; de laine ; prunelle,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; prunelle ; burain,Étoffe ; de laine ; prunelle ; burain,Étoffe ; de laine ; prunelle,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; prunelle ; raz ; de castor,Étoffe ; de laine ; prunelle ; raz ; de castor,Étoffe ; de laine ; prunelle ; raz ; de castor,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; prunelle ; étroite,Étoffe ; de laine ; prunelle ; étroite,Étoffe ; de laine ; prunelle,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; ras ; de castor,Étoffe ; de laine ; en raz ; de castor,Étoffe ; de laine ; en raz ; de castor,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; reste,Étoffe ; de laine ; reste,Étoffe ; de laine ; reste,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; russels,Étoffe ; de laine ; russels,Étoffe ; de laine ; russels,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; sagati,Étoffe ; de laine ; sagati,Étoffe ; de laine ; sagati,,,,,,,,1,,,,,,5,
Etoffes ; de laine ; satin ; Turc,Étoffe ; de laine ; satin ; Turc,Étoffe ; de laine ; satin ; Turc,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; satin ; de Roubaix,Étoffe ; de laine ; satin ; de Roubaix,Étoffe ; de laine ; satin ; de Roubaix,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; satin ; turc,Étoffe ; de laine ; satin ; Turc,Étoffe ; de laine ; satin ; Turc,,,,,,,,1,,,,,,4,
Etoffes ; de laine ; satin et serge,Étoffe ; de laine ; satin et serge,Étoffe ; satin et serge,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; satinette,Étoffe ; de laine; satinette,Étoffe ; de laine; satinette,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; serge,Étoffe ; de laine ; serge,Étoffe ; serge,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; serge ; aumale,Étoffe ; de laine ; serge ; aumale,Étoffe ; serge ; d'aumale,,,,,,,,1,,,,,,3,
Etoffes ; de laine ; serge ; blicourt,Étoffe ; de laine ; serge ; Bilcourt,Étoffe ; serge ; Bilcourt,,,,,,,,1,,,,,,4,
Etoffes ; de laine ; serge ; de Rome,Étoffe ; de laine ; serge ; de Rome,Étoffe ; serge ; de Rome,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; serge ; de Rouen,Étoffe ; de laine ; serge ; de Rouen,Étoffe ; serge ; de Rouen,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; serge ; diverses,Étoffe ; de laine ; serge ; diverse,Étoffe ; serge ; divers,,,,,,,,1,,,,,,5,
Etoffes ; de laine ; serge ; drapée,Étoffe ; de laine ; serge ; drapée,Étoffe ; serge ; Étoffeée,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; serge ; en voile,Étoffe ; de laine ; serge ; voile,Étoffe ; serge ; voile,,,,,,,,1,,,,,,3,
Etoffes ; de laine ; serge ; etroite,Étoffe ; de laine ; serge ; étroite,Étoffe ; serge ; étroite,,,,,,,,1,,,,,,2,
Etoffes ; de laine ; serge ; forte,Étoffe ; de laine ; serge ; forte,Étoffe ; serge ; forte,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; serge ; imprimée,Étoffe ; de laine ; serge ; imprimée,Étoffe ; serge ; imprimée,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; serge ; large,Étoffe ; de laine ; serge ; large,Étoffe ; serge ; large,,,,,,,,1,,,,,,3,
Etoffes ; de laine ; serge ; minorque,Étoffe ; de laine ; serge ; minorque,Étoffe ; serge ; minorque,,,,,,,,1,,,,,,4,
Etoffes ; de laine ; serge ; pour ?,Étoffe ; de laine ; serge ; ?,Étoffe ; serge,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; serge ; sagati,Étoffe ; de laine ; serge ; sagati,Étoffe ; serge ; sagati,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; sigle ; vis,Étoffe ; de laine ; sigle ; vis,Étoffe ; de laine ; sigle ; vis,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; slin,Étoffe ; de laine ; slin,Étoffe ; de laine ; slin,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; tanier,Étoffe ; de laine ; tanier,Étoffe ; de laine ; tanier,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; velverde,Étoffe ; de laine ; velverde,Étoffe ; de laine ; velverde,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; verlastine,Étoffe ; de laine ; verlastine,Étoffe ; de laine ; verlastine,,,,,,,,1,,,,,,1,
Etoffes ; de laine ; étamine,Étoffe ; de laine ; étamine,Étoffe ; étamine,,,,,,,,1,,,,,,1,
Etoffes ; de poil,Étoffe ; de poil,Étoffe ; de poil,,,,,,0,0,1,,,,,,8,
Etoffes ; de poil ; en panne,Étoffe ; de poil ; panne,Étoffe ; de poil ; panne,,,,,,,,1,,,,,,6,
Etoffes ; de poil ; en panne ; longue,Étoffe ; de poil ; panne ; longue,Étoffe ; de poil ; panne,,,,,,,,1,,,,,,1,
Etoffes ; de poil ; panne,Étoffe ; de poil ; panne,Étoffe ; de poil ; panne,,,,,,,,1,,,,,,1,
Etoffes ; de poil et fil,Étoffe ; de poil et fil,Étoffe ; de poil et fil,,,,,,0,0,1,,,,,,1,
Etoffes ; de poil et laine,Étoffe ; de poil et laine,Étoffe ; de laine et poil,,,,,,0,0,1,,,,,,5,
Etoffes ; de poil et laine ; en ?,Étoffe ; de poil et laine ; en ?,Étoffe ; de laine et poil,,,,,,,,1,,,,,,2,
Etoffes ; de poil et laine ; en velours,Étoffe ; de poil et laine ; velours,Étoffe ; de poil et laine ; velours,,,,,,,,1,,,,,,2,
Etoffes ; de poil et laine ; en velours ; d'Utreck,Étoffe ; de poil et laine ; velours ; d'Utrecht,Étoffe ; de poil et laine ; velours ; d'Utrecht,,,,,,,,1,,,,,,1,
Etoffes ; de soie,Étoffe ; de soie,Étoffe ; de soie,,,,,,0,0,1,,,,,,30,
Etoffes ; de soie ; diverses,Étoffe ; de soie ; diverses,Étoffe ; de soie ; diverses,,,,,,,,1,,,,,,4,
Etoffes ; de soie ; satin,Étoffe ; de soie ; satin,Étoffe ; de soie ; satin,,,,,,,,1,,,,,,1,
Etoffes ; de soie ; taffetas,Étoffe ; de soie ; taffetas,Étoffe ; de soie ; taffetas,,,,,,,,1,,,,,,1,
Etoffes ; de soie ; velours,Étoffe ; de soie ; velours,Étoffe ; de soie ; velours,,,,,,,,1,,,,,,1,
Etoffes ; de soie et dorure,Étoffe ; de soie et dorure,Étoffe ; de soie et dorure,,,,,,0,0,1,,,,,,8,
Etoffes ; de soye,Étoffe ; de soie,Étoffe ; de soie,,,,,,,,1,,,,,,25,
Etoffes ; de soye ; cru,Étoffe ; de soie ; crue,Étoffe ; de soie ; crue,,,,,,,,1,,,,,,1,
Etoffes ; de soye ; diverses,Étoffe ; de soie ; diverses,Étoffe ; de soie ; diverses,,,,,,0,0,1,,,,,,40,
Etoffes ; de soye ; en drap,Étoffe ; de soie ; en drap,Étoffe ; de soie ; en drap,,,,,,,,1,,,,,,1,
Etoffes ; de soye ; or et argent,Étoffe ; de soie ; d'or et d'argent,Étoffe ; de soie ; d'or et d'argent,,,,,,,,,,,,,,,
Etoffes ; de soye ; païs etrangers,Étoffe ; de soie ; étrangère,Étoffe ; de soie ; étrangère,,,,,,,,,,,,,,,
Etoffes ; de soye et ?,Étoffe ; de soie ; et ?,Étoffe ; de soie,,,,,,,,1,,,,,,2,
Etoffes ; de soye et coton,Étoffe ; mêlée de soie ; coton et soie,Étoffe ; mêlée de soie ; coton et soie,,,,,,,,1,,,,,,1,
Etoffes ; de soye et dorure,Étoffe ; de soie et dorure,Étoffe ; de soie et dorure,,,,,,,,1,,,,,,4,
Etoffes ; de soye et laine ; en prunelle,Étoffe ; de soie et laine ; prunelle,Étoffe ; de soie et laine ; prunelle,,,,,,,,1,,,,,,1,
Etoffes ; diverses,Étoffe ; diverses,Étoffe ; diverses,,,,,,,,1,,,,,,21,
Etoffes ; diverses ; de coton,Étoffe ; de coton ; diverses,Étoffe ; de coton ; diverses,,,,,,,,1,,,,,,2,
Etoffes ; diverses ; de laine,Étoffe ; de laine ; diverses,Étoffe ; de laine ; diverse,,,,,,,,1,,,,,,3,
Etoffes ; fil et coton ; siamois ; brochés,Étoffe ; fil et coton ; siamois ; brochés,Étoffe ; fil et coton ; siamois ; brochés,,,,,,,,1,,,,,,1,
Etoffes ; fil et laine,Étoffe ; fil et laine,Étoffe ; fil et laine,,,,,,,,1,,,,,,1,
Etoffes ; mélangées ; au 1/3 de soye,Étoffe ; mêlée de soie ; au 1/3,Étoffe ; mêlée de soie ; au 1/3,,,,,,,,1,,,,,,1,
Etoffes ; mélangées ; au 6è de soye,Étoffe ; mêlée de soie ; au 6e,Étoffe ; mêlée de soie ; au 6e,,,,,,,,1,,,,,,1,
Etoffes ; mélangées ; au 6è de soye ; en siamoise,Étoffe ; mêlée de soie ; au 6e ; siamoise,Toile ; de fil de coton ; siamoise,,,,,,,,1,,,,,,2,
Etoffes ; mélangées ; au ? e soye,Étoffe ; mêlée de soie ; au ?,Étoffe ; mêlée de soie,,,,,,,,1,,,,,,5,
Etoffes ; mélangées ; coton et soye,Étoffe ; mêlée de soie ; coton et soie,Étoffe ; mêlée de soie ; coton et soie,,,,,,,,1,,,,,,5,
Etoffes ; mélangées ; de Bours ; de sote,Étoffe ; mêlée ; de Bours ; de soie,Étoffe ; mêlée ; de bourre ; de soie,,,,,,,,1,,,,,,1,
Etoffes ; mélangées ; de Bours ; en moleton,Étoffe ; mêlée ; de Bours ; en molleton,Étoffe ; mêlée ; de bourre ; en molleton,,,,,,,,1,,,,,,1,
Etoffes ; mélangées ; de soie ; de coton et soie,Étoffe ; mêlée de soie ; coton et soie,Étoffe ; mêlée de soie ; coton et soie,,,,,,,,1,,,,,,2,
Etoffes ; mélangées ; de soie ; de fleuret et soie,Étoffe ; mêlée de soie ; fleuret et soie,Étoffe ; mêlée de soie ; fleuret et soie,,,,,,,,1,,,,,,4,
Etoffes ; mélangées ; de soie ; de soie et galets,Étoffe ; mêlée de soie ; galet et soie,Étoffe ; mêlée de soie ; galet et soie,,,,,,,,1,,,,,,1,
Etoffes ; mélangées ; de soie ; siamoise ; au 6è de soie,Étoffe ; mêlée de soie ; au 6e ; siamoise,Toile ; de fil de coton ; siamoise,,,,,,,,1,,,,,,3,
Etoffes ; mélangées ; de soie ; éternelle,Étoffe ; mêlée de soie ; éternelle,Étoffe ; mêlée de soie ; éternelle,,,,,,,,1,,,,,,1,
Etoffes ; mélangées ; diverses,Étoffe ; mêlée ; diverse,Étoffe ; mêlée,,,,,,,,1,,,,,,3,
Etoffes ; mélangées ; fil et soye,Étoffe ; mêlée ; fil et soie,Étoffe ; mêlée ; fil et soie,,,,,,,,1,,,,,,1,
Etoffes ; mélangées ; serge et laine ; en prunelle ; étroite,Étoffe ; mêlée ; serge et laine ; en prunelle ; étroite,Étoffe ; mêlée ; serge et laine ; en prunelle ; étroite,,,,,,,,1,,,,,,3,
Etoffes ; mélangées ; serge et laine ; large,Étoffe ; mêlée ; serge et laine ; large,Drap ; serge ; large,,,,,,,,1,,,,,,2,
Etoffes ; mélangées ; serge et laine ; satin ; turc,Étoffe ; mêlée ; serge et laine ; satin ; turc,Drap ; serge et satin ; turc,,,,,,,,1,,,,,,1,
Etoffes ; mélangées ; soye et coton,Étoffe ; mêlée de soie ; coton et soie,Étoffe ; mêlée de soie ; coton et soie,,,,,,,,1,,,,,,5,
Etoffes ; mélangées ; soye et fleuret,Étoffe ; mêlée de soie ; fleuret et soie,Étoffe ; mêlée de soie ; fleuret et soie,,,,,,,,1,,,,,,1,
Etoffes ; mélangées ; soye et galette,Étoffe ; mêlée de soie ; galet et soie,Étoffe ; mêlée de soie ; galet et soie,,,,,,,,1,,,,,,1,
Etoffes ; mélangées de soie,Étoffe ; mêlée de soie,Étoffe ; mêlée de soie,,,,,,0,0,1,,,,,,13,
Etoffes ; poil ; camelot,Étoffe ; de poil ; camelot,Étoffe ; de laine ; camelot,,,,,,,,1,,,,,,1,
Etoffes ; poil ; en panne,Étoffe ; de poil ; panne,Étoffe ; de poil ; panne,,,,,,,,1,,,,,,1,
Etoffes ; poil ; en panne ; à long poil,Étoffe ; de poil ; panne ; à long poil,Étoffe ; de poil ; panne,,,,,,,,1,,,,,,1,
Etoffes ; poil ; en velours,Étoffe ; de poil ; velours,Étoffe ; de poil ; velours,,,,,,,,1,,,,,,1,
Etoffes ; poil ; panne,Étoffe ; de poil ; panne,Étoffe ; de poil ; panne,,,,,,,,1,,,,,,2,
Etoffes ; riches en or et argent,Étoffe ; riches en or et argent,Étoffe ; riches en or et argent,,,,,,0,0,1,,,,,,9,
Etoffes ; serge ; de laine,Étoffe ; serge ; de laine,Drap ; serge,,,,,,,,1,,,,,,1,
Etoffes ; siamoisie ; au 6è de soye,Étoffe ; mêlée de soie ; au 6e ; siamoise,Toile ; de fil de coton ; siamoise,,,,,,,,1,,,,,,2,
Etoffes ; voile,Étoffe ; voile,Étoffe ; voile,,,,,,,,1,,,,,,1,
Etoffes ; éternelle ; au ? de soye,Étoffe ; mêlée ; éternelle ; au ? de soie,Étoffe ; mêlée ; éternelle ; au ? de soie,,,,,,,,1,,,,,,1,
Etoffes ; étrangeres des judes,Étoffe ; étrangères ; de jute,Étoffe ; étrangères ; de jute,,,,,,0,0,1,,,,,,1,
Etoffes de coton,Étoffe ; de coton,Étoffe ; de coton,,,,,,0,0,0,,,,,,0,
