marchandises	marchandises_normalisees_inter	marchandises_normalisees	product_prix	dutchtranslation	englishproduct	unit	alternativenames	source_rg_1774	source_rgbase	source_france	source_france_direction	source_sound	v14	v15	remarques	test	numrodeligne	dataentryby	source	SourceType	year	exportsimports	direction	bureaux	sheet	origine	pays	quantit	value	leurvaleursubtotal1	leurvaleursubtotal2	leurvaleursubtotal3	total	remarks
Chapeaux ; d'écorces	Chapeaux ; d'écorces d'arbre	Chapeaux ; d'écorces d'arbre						0	0	1	0					1	719	Saadia Mai	Montbret 155-1	Objet Général	1754	Imports			37		Espagne		412				0	
Chapeaux ; Da paille	Chapeaux ; de paille	Chapeaux ; de paille						0	0	1	0					1	6374	Jérémy Hervelin	Fonds Gournay - M85	Objet Général	1750	Exports	Marseille		49		Savoye et Piemont		36				117876	
Chapeaux ; dauphins	Chapeaux ; dauphins	Chapeaux ; dauphins						0	0	1	0					1																		
Chapeaux ; De bois	Chapeaux ; de bois	Chapeaux ; de bois						0	0	1	0					1																		
Chapeaux ; de bois	Chapeaux ; de bois	Chapeaux ; de bois									1					1	673	Annick Davis	Montbret 849	Objet Général	1752	Imports			123		Espagne		70				70	
Chapeaux ; De castor	Chapeaux ; de castor	Chapeaux ; de castor						0	0	1	0					1	1026	Fatima Zahra	Montbret 155-1	Objet Général	1757	Exports			37		Espagne		15470		0		69773	
Chapeaux ; de castor	Chapeaux ; de castor	Chapeaux ; de castor						0	0	1	0					1	444	Annick Davis	IIHS-122A	Objet Général	1767	Imports			21		Naples		3444				4824	
Chapeaux ; De conpedux	Chapeaux ; de coupeaux	Chapeaux ; de coupeaux						0	0	1	0					1	6769	Jérémy Hervelin	Fonds Gournay - M85	Objet Général	1750	Exports	Marseille		12		Suisse et Geneve		16				16	
Chapeaux ; De coupeaux	Chapeaux ; de coupeaux	Chapeaux ; de coupeaux						0	0	1	0					1	4048	Jérémy Hervelin	Fonds Gournay - M87	Objet Général	1750	Imports	Nantes		262		Nord avec villes Anséatiques		750					
Chapeaux ; De cuir	Chapeaux ; de cuir	Chapeaux ; de cuir						0	0	1	0					1	2581	Jérémy Hervelin	Fonds Gournay - M86	Objet Général	1750	Exports	Flandre		13		Flandre Autrichienne		169	169			329	
Chapeaux ; de cuir	Chapeaux ; de cuir	Chapeaux ; de cuir									1					1	3	Jérémy Hervelin	AN F12 1666	Par direction	1789	Exports	Lille	Douay	34	Flandre	etatsdelempereur	9000	600					
Chapeaux ; de femme	Chapeaux ; de femme	Chapeaux ; de femme						0	0	1	0					1	3200	Jérémy Hervelin	Fonds Gournay - M86	Objet Général	1750	Exports	Rouen		122		Hollande		9800				9800	
Chapeaux ; de feutre	Chapeaux ; de feutre	Chapeaux ; de feutre									1					1	889	Saadia Mai	Montbret 155-1	Objet Général	1761	Exports			34		Hollande		1214				4991	
Chapeaux ; De laine	Chapeaux ; de laine	Chapeaux ; de laine						0	0	1	0					1	30	Jérémy Hervelin	AN F12 1666	Par direction	1789	Exports	Rouen	Rouen	14		les4villesansatiques	185	925				925	
Chapeaux ; de laine	Chapeaux ; de laine	Chapeaux ; de laine						0	0	1	0					1	1021	Fatima Zahra	Montbret 155-1	Objet Général	1757	Exports			37		Nord		3072	13505	0		15756	
Chapeaux ; De Paille	Chapeaux ; de paille	Chapeaux ; de paille						0	0	1	0					1	39	Jérémy Hervelin	AN F12 1666	Par direction	1789	Exports	Lille	Lille	5	Flandre	etatsdelempereur	60	360				360	
Chapeaux ; De paille	Chapeaux ; de paille	Chapeaux ; de paille						0	0	1	0					1	168	Jérémy Hervelin	Fonds Gournay - M87	Objet Général	1750	Exports	Langres		66		Allemagne, Lorraine et le Païs		300				300	
Chapeaux ; de paille	Chapeaux ; de paille	Chapeaux ; de paille									1					1	4521	Jérémy Hervelin	Fonds Gournay - M85	Objet Général	1750	Imports	Lyon		50		Savoye et Piemont		600					
Chapeaux ; De poil	Chapeaux ; de poil	Chapeaux ; de poil						0	0	1	0					1	686	Hichem Omri	AN F12 249	Objet Général	1782	Exports			46		Etat de l'empreur		378				2698	
Chapeaux ; de poil	Chapeaux ; de poil	Chapeaux ; de poil						0	0	1	0					1	622	Hichem Omri	AN F12 249	Objet Général	1782	Imports			45		Espagne		337				677	
Chapeaux ; de poil et laine	Chapeaux ; de poil et laine	Chapeaux ; de poil et laine						0	0	1	0					1																		
Chapeaux ; de satin	Chapeaux ; de satin	Chapeaux ; de satin						0	0	1	0					1	485	Annick Davis	Montbret 849	Objet Général	1772	Imports			25		Italie		6414				11874	
Chapeaux ; de soye	Chapeaux ; de soie	Chapeaux ; de soie						0	0	1	0					1	717	Saadia Mai	Montbret 155-1	Objet Général	1754	Imports			36		Allemagne		550				48550	
Chapeaux ; de velour	Chapeaux ; de velours	Chapeaux ; de velours						0	0	1	0					1	2947	Fatima Zahra	AN F12 242	Objet Général	1775	Imports			37		Naples		3618					
Chapeaux ; de vigogne	Chapeaux ; de vigogne	Chapeaux ; de vigogne						0	0	1	0					1	329	Milewski	IIHS-122E	Objet Général	1771	Exports			20		Levant	1550	3875					
Chapeaux ; Décorces d'arbre	Chapeaux ; d'écorces d'arbre	Chapeaux ; d'écorces d'arbre						0	0	1	0					1	540	Hichem Omri	AN F12 250	Objet Général	1787	Exports			43		Hollande		1010					
Chapeaux ; depaille	Chapeaux ; de paille	Chapeaux ; de paille						0	0	1	0					1	568	Hichem Omri	AN F12 250	Objet Général	1787	Imports			42		Genes		2040				24352	
Chapeaux ; Divers	Chapeaux ; divers	Chapeaux ; divers						0	0	1	0					1	1044	Saadia Mai	Montbret 155-1	Objet Général	1754	Exports			37		Isles		7296	0	0		0	
Chapeaux ; divers	Chapeaux ; divers	Chapeaux ; divers									1					1	319	Jérémy Hervelin	AN F12 1667	Par direction	1789	Imports	Rouen	Rouen	31		sude	140	1200				2844	
Chapeaux ; en laine	Chapeaux ; de laine	Chapeaux ; de laine						0	0	1	0					1	766	Fatima Zahra	Montbret 155-2	Objet Général	1759	Imports			33		Flandre		1912	0	0		0	
Chapeaux ; en paille	Chapeaux ; de paille	Chapeaux ; de paille						0	0	1	0					1	1030	Fatima Zahra	Montbret 155-1	Objet Général	1757	Exports			37		Flandre		42		0		3907	
Chapeaux ; en soye	Chapeaux ; de soie	Chapeaux ; de soie						0	0	1	0					1	899	Saadia Mai	Montbret 155-1	Objet Général	1761	Exports			34		Flandre		40	79.4			2126.4	
Chapeaux ; fins	Chapeaux ; fins	Chapeaux ; fins						0	0	1	0					1	720	Saadia Mai	Montbret 155-1	Objet Général	1754	Imports			37		Hollande		300				300	
Chapeaux ; mi castor	Chapeaux ; mi castor	Chapeaux ; mi castor						0	0	1	0					1	901	Saadia Mai	Montbret 155-1	Objet Général	1761	Exports			34		Flandre		201.5				2126.4	
Chapeaux ; mi castors	Chapeaux ; mi castor	Chapeaux ; mi castor						0	0	1	0					1	802	Fatima Zahra	Montbret 155-2	Objet Général	1759	Exports			33		Flandre		74.3	0	0		1123	
Chapeaux ; mi vigogne	Chapeaux ; mi vigogne	Chapeaux ; mi vigogne						0	0	1	0					1	2582	Jérémy Hervelin	Fonds Gournay - M86	Objet Général	1750	Exports	St. Quentin		13		Flandre Autrichienne		13				84.3	
Chapeaux ; mi-castor	Chapeaux ; mi castor	Chapeaux ; mi castor						0	0	1	0					1	816	Annick Davis	Montbret 849	Objet Général	1752	Exports			123		Flandre		500				816	
Chapeaux ; mi-vigogne	Chapeaux ; mi castor	Chapeaux ; mi castor						0	0	1	0					1	797	Fatima Zahra	Montbret 155-2	Objet Général	1759	Exports			33		Italie		18	221	0		1123	
Chapeaux ; micastors	Chapeaux ; mi castor	Chapeaux ; mi castor						0	0	1	0					1	798	Fatima Zahra	Montbret 155-2	Objet Général	1759	Exports			33		Flandre		135	221	0		1123	
Chapeaux ; My castor	Chapeaux ; mi castor	Chapeaux ; mi castor						0	0	1	0					1	799	Fatima Zahra	Montbret 155-2	Objet Général	1759	Exports			33		Flandre		67.5	221	0		1123	
Chapeaux ; my castor	Chapeaux ; mi castor	Chapeaux ; mi castor						0	0	1	0					1	1045	Saadia Mai	Montbret 155-1	Objet Général	1754	Exports			37		Espagne		8400	0	0		10967.5	
Chapeaux ; My-castor	Chapeaux ; mi castor	Chapeaux ; mi castor						0	0	1	0					1	1031	Fatima Zahra	Montbret 155-1	Objet Général	1757	Exports			37		suede		120		0		3907	
Chapeaux ; perse	Chapeaux ; perse	Chapeaux ; perse						0	0	1	0					1																		
Chapeaux ; poil a laine	Chapeaux ; de poil et laine	Chapeaux ; de poil et laine						0	0	1	0					1	818	Annick Davis	Montbret 849	Objet Général	1752	Exports			123		Suisse		38				38	
Chapeaux ; Poil en laine	Chapeaux ; de poil et laine	Chapeaux ; de poil et laine						0	0	1	0					1	517	Fatima Zahra	AN F12 245	Objet Général	1777	Exports			38		Flandres		1220					
Chapeaux ; Poil et laine	Chapeaux ; de poil et laine	Chapeaux ; de poil et laine						0	0	1	0					1	814	Saadia Mai	Montbret 155-1	Objet Général	1761	Imports			34		Angleterre		7044.8				0	
Chapeaux ; poil et laine	Chapeaux ; de poil et laine	Chapeaux ; de poil et laine						0	0	1	0					1	815	Saadia Mai	Montbret 155-1	Objet Général	1761	Imports			34		Hollande		20				40	
Chapeaux ; sortis	Chapeaux ; sortis	Chapeaux ; sortis						0	0	1	0					1	1383	Jérémy Hervelin	Fonds Gournay - M86	Objet Général	1750	Imports	Flandre		14		Flandre Autrichienne		82.5					
Chapeaux ; unis	Chapeaux ; unis	Chapeaux ; unis						0	0	1	0					1	2587	Jérémy Hervelin	Fonds Gournay - M86	Objet Général	1750	Exports	Rouen		14		Flandre Autrichienne		150	488.3			525.8	
Chapeaux ; vigogne	Chapeaux ; vigogne	Chapeaux ; vigogne						0	0	1	0					1	3914	Jérémy Hervelin	Fonds Gournay - M84	Objet Général	1750	Exports	Rennes		195		Isles Françoises de l'Amerique, Canada et Terre-Neuve		36				54	
Chapeaux ; Vigognes	Chapeaux ; de vigogne	Chapeaux ; de vigogne						0	0	1	0					1																		
Chapeaux ; vigognes	Chapeaux ; de vigogne	Chapeaux ; de vigogne						0	0	1	0					1	448	Fatima Zahra	AN F12 245	Objet Général	1777	Imports			37		Flandres		1875				123939	
Chapeaux ;d'écorces	Chapeaux ; d'écorces d'arbre	Chapeaux ; d'écorces d'arbre						0	0	1	0					1	652	Hichem Omri	AN F12 249	Objet Général	1782	Imports			47		Hollande		8435	61186			72243	
chapeaux communs de pailles	Chapeaux ; de paille	Chapeaux ; de paille		hoeden (stro, gewone)	straw hats	guilders		1	1	0	0					1	581	Hichem Omri	AN F12 250	Objet Général	1787	Imports			44		Hollande		9100	80673			134270	
chapeaux de paille dits garde soleil	Chapeaux ; de paille	Chapeaux ; de paille		hoeden (stro, zonne-)	straw sunhats	pieces		1	1	0	0					1	573	Hichem Omri	AN F12 250	Objet Général	1787	Imports			44		Hollande		462				134270	
chapeaux de soye	Chapeaux ; de soie	Chapeaux ; de soie		hoeden van zijde	silk hats	dozen		1	0	0	0					1	637	Hichem Omri	AN F12 249	Objet Général	1782	Imports			45		Suisse-Geneve		166	5260			72243	
chapeaux en paille	Chapeaux ; de paille	Chapeaux ; de paille						0	0	1	0					1	574	Hichem Omri	AN F12 250	Objet Général	1787	Imports			44		Villees Auséatiques		4600				134270	
chapeaux neufs	Chapeaux ; neufs	Chapeaux ; neufs		hoeden (nieuwe)	new hats	guilders		1	1	0	0					1	640	Hichem Omri	AN F12 249	Objet Général	1782	Imports			47		Hollande		7	1766			72243	
chapeaux vieux	Chapeaux ; vieux	Chapeaux ; vieux		hoeden (oude)	old hats	guilders		1	1	0	0					1	648	Hichem Omri	AN F12 249	Objet Général	1782	Imports			47		Naples		46	4031			72243	
Chapelets	Chapelets	Chapelets						0	0	1	0					1	694	Hichem Omri	AN F12 249	Objet Général	1782	Exports			48		Etat de l'empreur		1306				3203	
Chapelets ; commun	Chapelets ; commun	Chapelets ; commun						0	0	1	0					1	571	Hichem Omri	AN F12 250	Objet Général	1787	Imports			44		Angleterre		25475	27240			134270	
Chapelets ; de bois	Chapelets ; de bois	Chapelets ; de bois						0	0	1	0					1	497	Annick Davis	Montbret 849	Objet Général	1772	Imports			25		Flandre		6514				48027	
Chapelets ; de coco	Chapelets ; de coco	Chapelets ; de coco						0	0	1	0					1	442	Fatima Zahra	AN F12 245	Objet Général	1777	Imports			37		Flandres		81144	87594			123939	
Chapelets ; de cocos	Chapelets ; de coco	Chapelets ; de coco						0	0	1	0					1	542	Annick Davis	Montbret 849	Objet Général	1772	Exports			25		Flandre		4317				4317	
Chapelets ; de verre	Chapelets ; de verre	Chapelets ; de verre						0	0	1	0					1	493	Annick Davis	Montbret 849	Objet Général	1772	Imports			25		Venise		7740	22891			48027	
Chapelets de bois	Chapelets ; de bois	Chapelets ; de bois						0	0	1	0					1	4799	Jérémy Hervelin	Fonds Gournay - M85	Objet Général	1750	Imports	Lyon		12		Suisse et Geneve		183	342				
Chapellerie	Chapellerie	Chapellerie						0	0	0	0					1	723	Saadia Mai	Montbret 155-1	Objet Général	1754	Imports			37		Hollande		27	130.1			46688.9	
Chaplas	Chaplas	Chaplas						0	0	1	0					1	2949	Fatima Zahra	AN F12 242	Objet Général	1775	Imports			37		Angleterre		1343	2558			44841	
Chaplelets	Chapelets	Chapelets						0	0	1	0					1	817	Saadia Mai	Montbret 155-1	Objet Général	1761	Imports			34		Allemagne		117.5	350			37146.3	
Chapons	Chapons	Chapons						0	0	1	0					1	518	Fatima Zahra	AN F12 245	Objet Général	1777	Exports			38		Flandres		1415				6065	
chapons	Chapons	Chapons		kapoenen	capons	pieces		1	0	0	0					1	61	Jérémy Hervelin	AN F12 1667	Par direction	1789	Imports	Rouen	Rouen	19		angleterre	13798	1379				1707	
Charbon ; De bois	Charbon ; de bois	Charbon ; de bois						0	0	1	0					1	677	Annick Davis	Montbret 849	Objet Général	1752	Imports			123		Allemagne		37.5				26439	
Charbon ; de Bois	Charbon ; de bois	Charbon ; de bois						0	0	1	0					1	4050	Jérémy Hervelin	Fonds Gournay - M87	Objet Général	1750	Imports	Rouen		262		Nord avec villes Anséatiques		150	183				
Charbon ; de bois	Charbon ; de bois	Charbon ; de bois									1					1	461	Milewski	IIHS-122E	Objet Général	1771	Imports			27		Espagne	88545	8854	16805			30530	
Charbon ; de boulanger	Charbon ; de boulanger	Charbon ; de boulanger									1					1	785	Fatima Zahra	Montbret 155-2	Objet Général	1759	Imports			34		Portugal		3230	34683	0		51203	
Charbon ; De Pierre	Charbon ; de pierre	Charbon ; de pierre						0	0	1	0					1	501	Jérémy Hervelin	Fonds Gournay - M86	Objet Général	1750	Imports	Rouen		296		Angleterre		6216.6				19559.9	
Charbon ; De pierre	Charbon ; de pierre	Charbon ; de pierre						0	0	1	0					1	4522	Jérémy Hervelin	Fonds Gournay - M85	Objet Général	1750	Imports	Lyon		50		Savoye et Piemont		42					
Charbon ; De pièrre	Charbon ; de pierre	Charbon ; de pierre						0	0	1	0					1	727	Saadia Mai	Montbret 155-1	Objet Général	1754	Imports			37		Suisse		368				46688.9	
Charbon ; De Terre	Charbon ; de terre	Charbon ; de terre						0	0	1	0					1	787	Fatima Zahra	Montbret 155-2	Objet Général	1759	Imports			34		Hollande		933	0	0		51203	
Charbon ; De terre	Charbon ; de terre	Charbon ; de terre						0	0	1	0					1	733	Saadia Mai	Montbret 155-1	Objet Général	1754	Imports			37		Nord		8756.3	13935			46688.9	
Charbon ; de Terre	Charbon ; de terre	Charbon ; de terre						0	0	1	0					1	490	Annick Davis	Montbret 849	Objet Général	1772	Imports			25		Hollande		4777	13144			48027	
Charbon ; de terre	Charbon ; de terre	Charbon ; de terre									1					1	63	Jérémy Hervelin	AN F12 1667	Par direction	1789	Imports	Rouen	Rouen	19		angleterre	635	1270				1270	
Charbon ;de bois	Charbon ; de terre	Charbon ; de terre						0	0	1	0					1	66	Jérémy Hervelin	AN F12 1667	Par direction	1789	Imports	Rouen	Le Havre	4		angleterre		980				980	
Charbon à drapier	Chardons ; à drapier	Chardons ; à drapier						0	0	1	0					1	777	Fatima Zahra	Montbret 155-2	Objet Général	1759	Imports			34		Nord		11	10576	0		51203	
Charbon de bois	Charbon ; de bois	Charbon ; de bois						0	0	1	0					1	777	Fatima Zahra	Montbret 155-1	Objet Général	1757	Imports			38		Hollande		1216.3	7552	0	0	27888	
charbon de terre	charbon de terre	Charbon ; de terre		steenkool	coal	chevalée	charbons de terre dit houille/gros charbons de houilles	0	0	0	0					1	726	Saadia Mai	Montbret 155-1	Objet Général	1754	Imports			37		Nord		330	17917.8			46688.9	
charbon de terre à cuir chaux	Charbon ; de terre à cuir chaux	Charbon ; de terre	coal (exported) ; pesée	steenkool (à cuire chaux)	coal (à cuire chaux)	charretée	charbons de terre à cuire chaux et briques	1	0	0	0					1																		
Charbons	Charbon	Charbon						0	0	0	0	1				1	3916	Jérémy Hervelin	Fonds Gournay - M84	Objet Général	1750	Exports	La Rochelle		195		Isles Françoises de l'Amerique, Canada et Terre-Neuve		50				50	
Charbons ; De bois	Charbon ; de bois	Charbon ; de bois						0	0	1	0					1	2120	Jérémy Hervelin	Fonds Gournay - M86	Objet Général	1750	Imports	Rennes		122		Hollande		2208					
Charbons ; de bois	Charbon ; de bois	Charbon ; de bois									1					1	2589	Jérémy Hervelin	Fonds Gournay - M86	Objet Général	1750	Exports	Flandre		14		Flandre Autrichienne		10				10	
Charbons ; De pierre	Charbon ; de pierre	Charbon ; de pierre						0	0	1	0					1	833	Jérémy Hervelin	Fonds Gournay - M86	Objet Général	1750	Exports	Rennes		297		Angleterre		18				18	
Charbons ; De terre	Charbon ; de terre	Charbon ; de terre						0	0	1	0					1	814	Fatima Zahra	Montbret 155-2	Objet Général	1759	Exports			34		Flandre		60	0	0		0	
Charbons ; de terre	Charbon ; de terre	Charbon ; de terre									1					1	1381	Jérémy Hervelin	Fonds Gournay - M86	Objet Général	1750	Imports	Flandre		13		Flandre Autrichienne		72					
charbons de bois	Charbon ; de bois	Charbon ; de bois		houtskool	charcoal	zak		1	1	0	0					1	2122	Jérémy Hervelin	Fonds Gournay - M86	Objet Général	1750	Imports	La Rochelle		122		Hollande		15					
charbons de boulanger et bresette	Charbon ; de boulanger et bresette	Charbon ; de boulanger et bresette		steenkool (bresettes)	coal (bresette)	zak	charbons dits bresettes	1	0	0	0					1	2123	Jérémy Hervelin	Fonds Gournay - M86	Objet Général	1750	Imports	La Rochelle		122		Hollande		162.5					
charbons de terre d'Angleterre	Charbon ; de terre d'Angleterre	Charbon ; de terre	coal (imported) ; pesée	steenkool (engelse)	English coal	quarter		1	0	0	0					1	737	Saadia Mai	Montbret 155-1	Objet Général	1754	Imports			37		Hollande		7.5				0	
charbons de terre ou de pierre dits houille	Charbon ; de terre ou de pierre dits houille	Charbon ; de terre	coal (exported) ; pesée	steenkool	coal	charretée	charbons de terre dit houille/gros charbons de houilles	1	1	0	0					1	787	Fatima Zahra	Montbret 155-1	Objet Général	1757	Imports			38		Hollande		315.8	0	0	0	0	
Charbons/houilles	Charbon ; de terre ou de pierre dits houille	Charbon ; de terre										1				1	789	Fatima Zahra	Montbret 155-2	Objet Général	1759	Imports			34		Hollande		882	0	0		0	
Chardon	Charbon ; de terre	Charbon ; de terre						0	0	1	0					1																		
Chardon ; A ampier	Chardons ; à drapier	Chardons ; à drapier						0	0	1	0					1	395	Fatima Zahra	AN F12 248	Objet Général	1780	Imports			30		Allemagne		9243	3335952			16563330	Coton;filé
Chardon ; à drapier	Chardons ; à drapier	Chardons ; à drapier						0	0	1	0					1	544	Annick Davis	Montbret 849	Objet Général	1772	Exports			25		Allemagne		1902					No total given
Chardons	Chardons	Chardons						0	0	1	0					1	696	Hichem Omri	AN F12 249	Objet Général	1782	Exports			48		Etat de l'empreur		109592	113969			4844600	
Chardons ; à drapier	Chardons ; à drapier	Chardons ; à drapier									1					1	674	Hichem Omri	AN F12 249	Objet Général	1782	Imports			47		Etat de l'empreur		420021	8681897			14002692	
Chardons a drapier	Chardons ; à drapier	Chardons ; à drapier						0	0	1	0					1	705	Hichem Omri	AN F12 249	Objet Général	1782	Exports			48		Allemagne-Pologne		37330	1312907			4844600	
Chardons à drapier	Chardons ; à drapier	Chardons ; à drapier						0	0	1	0					1	557	Annick Davis	Montbret 849	Objet Général	1772	Exports			25		Suisse		7665	12771		534230		Idem
charettes	Charettes	Charettes		karren	carts	pieces		1	0	0	0					1	545	Annick Davis	Montbret 849	Objet Général	1772	Exports			25		Allemagne		5969	521459		534230		Idem
Chari ; salée	Chair ; salée	Chair ; salée									1					1	17	Jérémy Hervelin	AN F12 1667	Par direction	1789	Imports	Lille	Turcoing	50		etatsdelempereur	118	480				480	
Chariots	Chariots	Chariots						0	0	1	0					1	518	Fatima Zahra	IIHS-122G	Objet Général	1774	Exports			20		Allemagne		27834				2819386	
Chariots Neufs	Chariots ; neufs	Chariots ; neufs						0	0	1	0					1	406	Fatima Zahra	AN F12 248	Objet Général	1780	Exports			33		Espagne		16680	1395851			1681295	
Charlotonne	Charlotonne	Charlotonne						0	0	1	0					1	32	Jérémy Hervelin	AN F12 1666	Par direction	1789	Exports	Rouen	Rouen	14		les4villesansatiques	400	1200				1650	
charpie	Charpie	Charpie		pluksel	lint	guilders		1	0	0	0					1	541	Fatima Zahra	AN F12 242	Objet Général	1775	Exports			38		Suede		35904	3345332			3987642	
charrues	Charrues	Charrues		ploegen	ploughs	pieces		1	0	0	0					1	50	Jérémy Hervelin	AN F12 1667	Par direction	1789	Imports	Lille	Dunkerque-Basseville	28		marseilles	3990	59857					
Charrües	Charrues	Charrues						0	0	1	0					1	178	Jérémy Hervelin	Fonds Gournay - M87	Objet Général	1750	Exports	Chaalons		67		Allemagne, Lorraine et le Païs		16	16			150888	
Charues	Charrues	Charrues						0	0	1	0					1	30	Jérémy Hervelin	AN F12 1667	Par direction	1789	Imports	Valenciennes	Valenciennes	13		etatsdelempereur	170	185				185	
Charües	Charrues	Charrues						0	0	1	0					1	2966	Fatima Zahra	AN F12 242	Objet Général	1775	Imports			37		Suisse		46660	1307279			13292657	
Chasselas	Chasselas	Chasselas						0	0	1	0					1	742	Saadia Mai	Montbret 155-1	Objet Général	1754	Imports			37		Levant		2.7e+06	2793315.2			8966262.7	
Chassemouches	Chassemouches	Chassemouches						0	0	1	0					1	66	Jérémy Hervelin	AN F12 1667	Par direction	1789	Imports	Rouen	Rouen	19		marseilles	4598	12644					
Chasubles	Chasubles	Chasubles						0	0	1	0					1	496	Jérémy Hervelin	IIHS-122C	Objet Général	1769	Exports			21		Allemagne		8257		425405		2328291	
Chataigne	Châtaigne	Châtaigne						0	0	1	0					1	2133	Jérémy Hervelin	Fonds Gournay - M86	Objet Général	1750	Imports	La Rochelle		123		Hollande		480	480				
Chataignes	Châtaigne	Châtaigne						0	0	1	0					1	863	Saadia Mai	Montbret 155-1	Objet Général	1761	Imports			35		Genes		787	974			9111784.3	
Chataîgnes	Châtaigne	Châtaigne										1				1	815	Fatima Zahra	Montbret 155-2	Objet Général	1759	Imports			35		Savoye		48	498	0		4346646	
Chatons	Chatons	Chatons						0	0	1	0					1	815	Fatima Zahra	Montbret 155-2	Objet Général	1759	Exports			34		Allemagne		7	0	0		454583	
Chaudières/cuves	Chaudières et cuves	Chaudières et cuves										1				1																		
Chaudrons	Chaudrons	Chaudrons										1				1	1607	Jérémy Hervelin	Fonds Gournay - M85	Objet Général	1750	Exports	Narbonne		128		Espagne, Canaries et Indes Occidentales		163.6				1453.6	
Chaudrons en cuivre	Cuivre ; en chaudrons	Cuivre ; en chaudrons										1				1	835	Jérémy Hervelin	Fonds Gournay - M86	Objet Général	1750	Exports	Bordeaux		297		Angleterre		24				700.5	
Chaudrons en laiton	Chaudrons ; en laiton	Chaudrons ; en laiton										1				1	2596	Jérémy Hervelin	Fonds Gournay - M86	Objet Général	1750	Exports	Nantes		14		Flandre Autrichienne		18				18	
Chauffepied	Chauffes ; pieds	Chauffes ; pieds						0	0	1	0					1	942	Saadia Mai	Montbret 155-1	Objet Général	1761	Exports			36		Savoye		4140				10447	
Chauffepieds	Chauffes ; pieds	Chauffes ; pieds						0	0	1	0					1	836	Fatima Zahra	Montbret 155-2	Objet Général	1759	Exports			35		Flandre		250	0	0		0	
Chauffes ; pieds	Chauffes ; pieds	Chauffes ; pieds						0	0	1	0					1	595	Hichem Omri	AN F12 250	Objet Général	1787	Imports			44		Barbarie		7275	11170556			16510187	
Chausseterie	Chausseterie	Chausseterie						0	0	1	0					1	567	Hichem Omri	AN F12 250	Objet Général	1787	Exports			45		Angleterre		72257				4882957	
Chaussettes ; de fil	Chaussettes ; de fil	Chaussettes ; de fil						0	0	1	0					1	561	Hichem Omri	AN F12 250	Objet Général	1787	Exports			45		Empreur		8544	1658551			4882957	
Chaussettes de fil	Chaussettes ; de fil	Chaussettes ; de fil						0	0	1	0					1	542	Hichem Omri	AN F12 250	Objet Général	1787	Exports			45		Espagne		1.7e+06	3152149			4882957	
Chaussons	Chaussons	Chaussons						0	0	1	0					1	3613	Jérémy Hervelin	Fonds Gournay - M85	Objet Général	1750	Imports	Marseille		76		Italie		8192.3					
Chaussons ; de fil	Chaussons ; de fil	Chaussons ; de fil						0	0	1	0					1	758	Milewski	Montbret 155-1	Objet Général	1754	Imports			38		Italie		4500				0	
chaussons de carisee et drap à laver maisons	Chaussons ; de carisee et drap à laver maisons	Chaussons ; de carisee et drap à laver maisons		sokken van karsaai en onderhoudslaken	socks of washing cloth	guilders		1	0	0	0					1																		
Chaussures	Chaussures	Chaussures										1				1																		
Chaux	Chaux	Chaux						0	0	1	1					1	909	Jérémy Hervelin	Fonds Gournay - M85	Objet Général	1750	Imports	Marseille		128		Espagne, Canaries et Indes Occidentalles		720				720	
chaux	Chaux	Chaux		kalk	lime	charretée		1	1	0	0					1	707	Annick Davis	Montbret 849	Objet Général	1752	Imports			124		Italie		12030				16080	
Chaux ; à bâtir	Chaux ; à bâtir	Chaux ; à bâtir									1					1	837	Fatima Zahra	Montbret 155-2	Objet Général	1759	Exports			35		Genes		60	0	0		0	
Chaux ; vive	Chaux ; vive	Chaux ; vive									1					1	468	Annick Davis	IIHS-122A	Objet Général	1767	Imports			22		Genes						1200	
Chaux et cendres	Chaux et cendres	Chaux et cendres									1					1	815	Fatima Zahra	Montbret 155-1	Objet Général	1757	Imports			39		Italie		2034	0	0	0	0	
chaux et cendres de chaux mellés	Chaux et cendres de chaux mellés	Chaux et cendres de chaux mellés		kalk en kalkas gemengd	lime and lime ash	charretée		1	0	0	0					1	760	Milewski	Montbret 155-1	Objet Général	1754	Imports			38		Italie		18				53	
chaux fondu	Chaux ; fondu	Chaux ; fondu		gebluste kalk	slaked lime	guilders		1	0	0	0					1	1608	Jérémy Hervelin	Fonds Gournay - M85	Objet Général	1750	Exports	Marseille		128		Espagne, Canaries et Indes Occidentales		150				150	
Chaux/calcaire	Chaux ; de calcaire	Chaux ; de calcaire										1				1	817	Fatima Zahra	Montbret 155-1	Objet Général	1757	Imports			39		Savoye		51	0	0	0	241	
Chazetas	Chazetas	Chazetas						0	0	1	0					1	3615	Jérémy Hervelin	Fonds Gournay - M85	Objet Général	1750	Imports	Marseille		76		Italie		144					
Cheminée ; de marbre	Cheminée ; de marbre	Cheminée ; de marbre						0	0	1	0					1	1081	Milewski	Montbret 155-1	Objet Général	1754	Exports			38		Espagne		104	204	0		204	
cheminées, statues, etc	Cheminée ; statues	Cheminée ; statues						0	0	0	0					1	415	Fatima Zahra	AN F12 248	Objet Général	1780	Exports			33		Isles		5800					
Chemises	Chemises	Chemises						0	0	1	0					1																		
