marchandises_normalisees,marchandises_simplifies,sitc_rev1,sitc_rev2,Classification produits médicinaux,Répétition,remarques_marchandises,Column1,Wallis List,EXCLUSION, not medical primarily,Nom Wallis,Large,Narrow,sitc1digit,sitc18thc,nbr_lignes_fr_bis,classification_hambourg_etroite,classification_hambourg_large,ajouts_565860,,,,,,,,,,,,,
Ecorces ; de bouleau,Écorce,2,2,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Entenolle,,2,2,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Ergots ; de bœuf,Ergots,2,2,0,,Ergot : synonyme de sabot,,0,,,0,0,,,11,,,,,,,,,,,,,,,,,
Escayolle,Escayolle,2,2,0,,Escayolle : Graine qui sert à nourrir les oiseaux : il en vient de Tunis et d'Alger 1000 à 1200 quintaux (Savary, commerce de Marseille).,,0,,,0,0,,,417,,,,,,,,,,,,,,,,
Falquieres de mulets,Plante,2,2,0,,Falquière : forme ancienne de Fougère issu de l'occitan.,,0,,,0,0,,,27,,,,,,,,,,,,,,,,,
Ferrailles,,2,2,0,,,,0,,,0,0,,,11,,,,,,,,,,,,,,,,,
Ferrailles ; vieilles,,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Filoers ou saffran sauvage,Filoers ou saffran sauvage,2,2,0,,uniquement pour la teinture,,0,,,0,0,5,5,1,,,,,,,,,,,,,,,,,
Fleur ; de poix,,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Fleurs,,2,2,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Fleurs ; aromatiques,Fleurs,2,2,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Fleurs ; artificielles,Fleurs,2,2,0,,,,0,,,0,0,,,9,,,,,,,,,,,,,,,,,
Fleurs ; d'avoine,,2,2,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Fleurs ; d'estima,Fleurs,2,2,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Fleurs ; de jardin,Fleurs,2,2,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Fleurs ; de jasmin,Fleurs,2,2,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Fleurs ; de muscade,Fleurs,2,2,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Fleurs ; de pin,Fleurs ; de pin,2,2,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Flûte,Instruments ; de musique,2,2,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Foin,Foin,2,2,0,,,,0,,,0,0,,,7,,,,,,,,,,,,,,,,,
Folicule,Folicule,2,2,0,,Feuille d'arbre,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Folicule ; de sené,Folicule,2,2,0,,Feuille d'arbre,,0,,,0,0,,,20,,,,,,,,,,,,,,,,,
Folium,Folicule,2,2,0,,Feuille d'arbre,,0,,,0,0,,,15,,,,,,,,,,,,,,,,,
Folium ; geriofilalum,Folicule,2,2,0,,Feuille d'arbre,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Fourrages ; Herbe et trèfles,,2,2,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Fourrages ; divers,Fourrages,2,2,0,,,,0,,,0,0,,,56,,,,,,,,,,,,,,,,,
Fourrages ; foin,Fourrages,2,2,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Fourrages ; glands de chêne,Fourrages,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Fourrages ; paille,Fourrages,2,2,0,,,,0,,,0,0,,,20,,,,,,,,,,,,,,,,,
Fourrages ; son,Fourrages,2,2,0,,,,0,,,0,0,,,19,,,,,,,,,,,,,,,,,
Fourrages ; vesses,Fourrages,2,2,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Fourré,Fourré,2,2,0,,,,0,,,0,0,2,2,15,,,,,,,,,,,,,,,,,
Fumier,Fumier,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Fumier ; commun,Fumier ; commun,2,2,0,,,,0,,,0,0,2,2,1,,,,,,,,,,,,,,,,,
Fumier ; de pigeons et autres,,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Galets,Galets,2,2,0,,,,0,,,0,0,2,2,6,,,,,,,,,,,,,,,,,
Galettes ; de genièvre,,2,2,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Galipot,Galipot,2,2,0,,Galipot ou Garipot : gomme ou résine de pin (Savary),,0,,,0,0,,,32,,,,,,,,,,,,,,,,,
Galle,,2,2,0,,,,0,,,0,0,,,,Galle,Galle,,,,,,,,,,,,,,,
Galles,Galles,2,2,0,,,,0,,,0,0,,,3,Galle,Galle,,,,,,,,,,,,,,,
Galoches,Galoches,2,2,0,,Espèce de chaussure de cuir.,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Garancine,,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Garancine ; sans racine,,2,2,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Gaudes,Gaudes,2,2,0,,« Herbe jaune ou herba à jaunir qu'on appelle communément Gaude » (Savary),,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Gites ; de 4 pouces quarrés,Gites,2,2,0,,,,0,,,0,0,2,2,2,,,,,,,,,,,,,,,,,
Gites ; de 4 pouces sur 14 pieds de longeur,Gites,2,2,0,,,,0,,,0,0,2,2,3,,,,,,,,,,,,,,,,,
Gites ; de 4 pouces sur 33 pieds de longeur,Gites,2,2,0,,,,0,,,0,0,2,2,2,,,,,,,,,,,,,,,,,
Gites ; de 4 pouces sur 7 pieds de longeur,Gites,2,2,0,,,,0,,,0,0,2,2,5,,,,,,,,,,,,,,,,,
Gites ; de 5 à 7 pouces sur 56 pieds de longeur,Gites,2,2,0,,,,0,,,0,0,2,2,4,,,,,,,,,,,,,,,,,
Gites ; de sapin,Gites,2,2,0,,,,0,,,0,0,2,2,5,,,,,,,,,,,,,,,,,
Gites ou côtes de sommiers,,2,2,0,,,,0,,,0,0,,,12,,,,,,,,,,,,,,,,,
Gomme,Gomme,2,2,0,,,,0,,,0,0,,,141,Gomme,Gomme,,,,,,,,,,,,,,,
Gomme ; anpatte,Gomme,2,2,0,,,,0,,,0,0,,,9,Gomme,Gomme,,,,,,,,,,,,,,,
Gomme ; aragon,Gomme,2,2,0,,,,0,,,0,0,,,1,Gomme,Gomme,,,,,,,,,,,,,,,
Gomme ; brique,Gomme,2,2,0,,,,0,,,0,0,,,70,Gomme,Gomme,,,,,,,,,,,,,,,
Gomme ; carans,Gomme,2,2,0,,,,0,,,0,0,,,0,Gomme,Gomme,,,,,,,,,,,,,,,
Gomme ; commune,Gomme,2,2,0,,,,0,,,0,0,,,55,Gomme,Gomme,,,,,,,,,,,,,,,
Gomme ; d'Amérique,Gomme,2,2,0,,,,0,,,0,0,,,14,Gomme,Gomme,,,,,,,,,,,,,,,
Gomme ; de Barbarie,Gomme,2,2,0,,,,0,,,0,0,,,7,Gomme,Gomme,,,,,,,,,,,,,,,
Gomme ; de Cenzier,Gomme,2,2,0,,,,0,,,0,0,,,1,Gomme,Gomme,,,,,,,,,,,,,,,
Gomme ; de geda,Gomme,2,2,0,,,,0,,,0,0,,,0,Gomme,Gomme,,,,,,,,,,,,,,,
Gomme ; de palme,Gomme,2,2,0,,,,0,,,0,0,,,13,Gomme,Gomme,,,,,,,,,,,,,,,
Gomme ; de seraza,Gomme,2,2,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Gomme ; de toute espèce,Gomme,2,2,0,,,,0,,,0,0,2,2,1,Gomme,Gomme,,,,,,,,,,,,,,,
Gomme ; demi,Gomme,2,2,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Gomme ; diverse,Gomme,2,2,0,,,,0,,,0,0,,,41,Gomme,Gomme,,,,,,,,,,,,,,,
Gomme ; du Levant,Gomme,2,2,0,,,,0,,,0,0,,,11,Gomme,Gomme,,,,,,,,,,,,,,,
Gomme ; en feuilles,Gomme,2,2,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Gomme ; eterni,Gomme,2,2,0,,,,0,,,0,0,,,1,Gomme,Gomme,,,,,,,,,,,,,,,
Gomme ; gedda,Gomme,2,2,0,,,,0,,,0,0,,,2,Gomme,Gomme,,,,,,,,,,,,,,,
Gomme ; quile,Gomme,2,2,0,,,,0,,,0,0,,,1,Gomme,Gomme,,,,,,,,,,,,,,,
Gomme ; rouge,Gomme,2,2,0,,,,0,,,0,0,,,2,Gomme,Gomme,,,,,,,,,,,,,,,
Gomme ; élastique,Gomme,2,2,0,,,,0,,,0,0,,,22,Gomme,Gomme,,,,,,,,,,,,,,,
Goudron ; de Suède,Brai, goudron et résine,2,2,0,,,,0,,,0,0,,,3,Goudron ; de Suède,Goudron ; de Suède,,,,,,,,,,,,,,
Goudron ; fin,Brai, goudron et résine,2,2,0,,,,0,,,0,0,,,1,Goudron ; de Suède,Goudron ; de Suède,,,,,,,,,,,,,,
Goudron ; gros,Brai, goudron et résine,2,2,0,,,,0,,,0,0,,,144,Goudron ; de Suède,Goudron ; de Suède,,,,,,,,,,,,,,
Goudron et poix,Brai, goudron et résine,2,2,0,,,,0,,,0,0,,,1,Goudron ; de Suède,Goudron ; de Suède,,,,,,,,,,,,,,
Goudron, poix et résine,Brai, goudron et résine,2,2,0,,,,0,,,0,0,,,9,Goudron ; de Suède,Goudron ; de Suède,,,,,,,,,,,,,
Graine,Graine,2,2,0,,,,0,,,0,0,,,23,,,,,,,,,,,,,,,,,
Graine ;  de millet,Graine,2,2,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Graine ; blanche,Graine,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Graine ; d'Inde,Graine,2,2,0,,Teinture,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Graine ; d'alpiste,Graine,2,2,0,,,,0,,,0,0,,,7,,,,,,,,,,,,,,,,,
Graine ; d'ambrette,Graine,2,2,0,,,,0,,,0,0,,,33,,,,,,,,,,,,,,,,,
Graine ; d'anis,Graine,2,2,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Graine ; d'asperge,Graine,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Graine ; d'avignon,Graine,2,2,0,,,,0,,,0,0,,,42,,,,,,,,,,,,,,,,,
Graine ; d'esparecille,Graine,2,2,0,,,,0,,,0,0,,,351,,,,,,,,,,,,,,,,,
Graine ; d'indigo,Graine,2,2,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Graine ; d'oignon,Graine,2,2,0,,,,0,,,0,0,,,11,,,,,,,,,,,,,,,,,
Graine ; d'oiseau,Graine,2,2,0,,,,0,,,0,0,,,11,,,,,,,,,,,,,,,,,
Graine ; de France,Graine,2,2,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Graine ; de betterave,Graine,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Graine ; de bois d'inde,Graine,2,2,0,,,,0,,,0,0,,,61,,,,,,,,,,,,,,,,,
Graine ; de buisson,Graine,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Graine ; de cailloux,Graine,2,2,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Graine ; de canari,Graine,2,2,0,,,,0,,,0,0,,,130,,,,,,,,,,,,,,,,,
Graine ; de canon,Graine,2,2,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Graine ; de cartarie,Graine,2,2,0,,,,0,,,0,0,,,8,,,,,,,,,,,,,,,,,
Graine ; de chanvre,Graine,2,2,0,,,,0,,,0,0,,,18,,,,,,,,,,,,,,,,,
Graine ; de chapelet,Graine,2,2,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Graine ; de choux,Graine,2,2,0,,,,0,,,0,0,,,32,,,,,,,,,,,,,,,,,
Graine ; de clave,Graine,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Graine ; de colza,Graine,2,2,0,,,,0,,,0,0,,,67,,,,,,,,,,,,,,,,,
Graine ; de coucouche,Graine,2,2,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Graine ; de foin,Graine,2,2,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Graine ; de jardin,Graine,2,2,0,,,,0,,,0,0,,,174,,,,,,,,,,,,,,,,,
Graine ; de laitue,Graine,2,2,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Graine ; de laurier,Graine,2,2,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Graine ; de laurier dites bekelaers,Graine,2,2,0,,,,0,,,0,0,,,12,,,,,,,,,,,,,,,,,
Graine ; de lin,Graine,2,2,0,,,,0,,,0,0,,,42,,,,,,,,,,,,,,,,,
Graine ; de longue,Graine,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Graine ; de métillon,Graine,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Graine ; de navette,Graine,2,2,0,,,,0,,,0,0,,,7,,,,,,,,,,,,,,,,,
Graine ; de pirrette,Graine,2,2,0,,,,0,,,0,0,,,11,,,,,,,,,,,,,,,,,
Graine ; de rabette,Graine,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Graine ; de silvestre,Graine,2,2,0,,Teinture,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Graine ; de soude,Graine,2,2,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Graine ; de tremailles,Graine,2,2,0,,mélange orge, vesse, avoine,,0,,,0,0,,,5,,,,,,,,,,,,,,,
Graine ; de tremaine,Graine,2,2,0,,,,0,,,0,0,,,61,,,,,,,,,,,,,,,,,
Graine ; de trioter,Graine,2,2,0,,???,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Graine ; de trèfle,Graine,2,2,0,,,,0,,,0,0,,,139,,,,,,,,,,,,,,,,,
Graine ; de trèfle et luzerne,Graine,2,2,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Graine ; de vermillon,Graine,2,2,0,,Teinture,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Graine ; de vesse,Graine,2,2,0,,Légume,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Graine ; diverse,Graine,2,2,0,,,,0,,,0,0,,,43,,,,,,,,,,,,,,,,,
Graine ; du Sucrion,Graine,2,2,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Graine ; grainette,Graine,2,2,0,,Teinture,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Graine ; grenailles,Graine,2,2,0,,,,0,,,0,0,,,71,,,,,,,,,,,,,,,,,
Graine ; jaune,Graine,2,2,0,,Teinture,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Graine ; longue,Graine,2,2,0,,Teinture,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Graine ; rouge,Graine,2,2,0,,Teinture,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Graine ; verte,Graine,2,2,0,,Teinture,,0,,,0,0,,,18,,,,,,,,,,,,,,,,,
Graine d'arin,Graine,2,2,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Graine et semences ; froides,Graine,2,2,0,,,,0,,,0,0,,,10,,,,,,,,,,,,,,,,,
Graines ; de bois de hêtre,Graine,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Graines ; de genièvre,Graine,2,2,0,,,,0,,,0,0,,,31,,,,,,,,,,,,,,,,,
Graines ; jaune dit wauwe,Graine,2,2,0,,wauwe,,0,,,0,0,5,5,13,,,,,,,,,,,,,,,,,
Granit,Granit,2,2,0,,,,0,,,0,0,,,82,,,,,,,,,,,,,,,,,
Grenadiers, lauriers, jasmin etc,Grenadiers, lauriers, jasmin etc,2,2,0,,,,0,,,0,0,2,2,2,,,,,,,,,,,,,
Grès,,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Herbe,,2,2,0,,,,0,,,0,0,,,526,,,,,,,,,,,,,,,,,
Herbe ; d'oseilles,,2,2,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Herbe ; gaudes,,2,2,0,,Herbe à jaunir utilisée en teinture,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Herbe ; pérelles,,2,2,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Herbe ; vaudes,,2,2,0,,???,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Herbe ; à col,,2,2,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Herbe ; à teindre,,2,2,0,,,,0,,,0,0,,,14,,,,,,,,,,,,,,,,,
Hermodattes,Hermodattes,2,2,0,,Nom donné, dans le commerce de la droguerie, à des tubercules qui sont apportés du Levant par Marseille, et que beaucoup pensent provenir d'une espèce de colchique.,,0,,,0,0,,,28,,,,,,,,,,,,,,
Ivoire,Ivoire,2,2,0,,,,0,,,0,0,,,10,,,,,,,,,,,,,,,,,
Ivoire ; brut,Ivoire,2,2,0,,ivoir brut et dents d'elephant,,0,,,0,0,2,2,0,,,,,,,,,,,,,,,,,
Ivoire ; brûlé,Ivoire,2,2,0,,,,0,,,0,0,2,2,0,,,,,,,,,,,,,,,,,
Ivoire ; dents d'éléphants,Ivoire,2,2,0,,,,0,,,0,0,,,12,,,,,,,,,,,,,,,,,
Jonc,Jonc,2,2,0,,,,0,,,0,0,,,51,,,,,,,,,,,,,,,,,
Jonc ; commun,Jonc,2,2,0,,,,0,,,0,0,,,46,,,,,,,,,,,,,,,,,
Jonc ; des Indes,Jonc,2,2,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Jonc ; entes,Jonc,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Jonc ; ouvré,Jonc,2,2,0,,,,0,,,0,0,,,57,,,,,,,,,,,,,,,,,
Jonc ; rotin,Jonc,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Jonc ; à couvrir les toits,Jonc,2,2,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Jonc ; à faire des chaises,Jonc,2,2,0,,,,0,,,0,0,,,145,,,,,,,,,,,,,,,,,
Jonc ; à faire des vertgadins,Jonc,2,2,0,,,,0,,,0,0,6,6,4,,,,,,,,,,,,,,,,,
Jonc ; à voile,Jonc,2,2,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
Jonquine,Jonquine,2,2,0,,Autre forme du mot Jonquillle,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Laine,Laine,2,2,0,,,,0,,,0,0,,,124,,,,,,,,,,,,,,,,,
Laine ; angora,Laine,2,2,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Laine ; blanche,Laine,2,2,0,,,,0,,,0,0,,,80,,,,,,,,,,,,,,,,,
Laine ; blanche ; non filée,Laine,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Laine ; brute,Laine,2,2,0,,,,0,,,0,0,,,19,,,,,,,,,,,,,,,,,
Laine ; bâtarde,Laine,2,2,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Laine ; commune,Laine,2,2,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Laine ; crotelin,Laine,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Laine ; crue,Laine,2,2,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Laine ; d'Allemagne,Laine,2,2,0,,,,0,,,0,0,2,2,21,,,,,,,,,,,,,,,,,
Laine ; d'Angleterre,Laine,2,2,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Laine ; d'Autriche,Laine,2,2,0,,,,0,,,0,0,,,14,,,,,,,,,,,,,,,,,
Laine ; d'Espagne,Laine,2,2,0,,,,0,,,0,0,2,2,27,,,,,,,,,,,,,,,,,
Laine ; d'Italie,Laine,2,2,0,,,,0,,,0,0,,,28,,,,,,,,,,,,,,,,,
Laine ; d'agneau,Laine,2,2,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Laine ; d'agnelin,Laine,2,2,0,,,,0,,,0,0,,,32,,,,,,,,,,,,,,,,,
Laine ; d'alpaga,Laine,2,2,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Laine ; d'aquelin,Laine,2,2,0,,,,0,,,0,0,,,19,,,,,,,,,,,,,,,,,
Laine ; d'écru,Laine,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Laine ; de Brême,Laine,2,2,0,,,,0,,,0,0,2,2,12,,,,,,,,,,,,,,,,,
Laine ; de Danemark,Laine,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Laine ; de Hollande,Laine,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Laine ; de Moscou,Laine,2,2,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Laine ; de Perse,Laine,2,2,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Laine ; de Pologne,Laine,2,2,0,,,,0,,,0,0,,,14,,,,,,,,,,,,,,,,,
Laine ; de Pologne et autres laines étrangères,Laine,2,2,0,,,,0,,,0,0,2,2,1,,,,,,,,,,,,,,,,,
Laine ; de Poméranie,Laine,2,2,0,,,,0,,,0,0,,,8,,,,,,,,,,,,,,,,,
Laine ; de Portugal,Laine,2,2,0,,,,0,,,0,0,,,44,,,,,,,,,,,,,,,,,
Laine ; de Prusse,Laine,2,2,0,,,,0,,,0,0,2,2,1,,,,,,,,,,,,,,,,,
Laine ; de Smyrne,Laine,2,2,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Laine ; de Suède,Laine,2,2,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Laine ; de Vigogne,Laine,2,2,0,,,,0,,,0,0,,,9,,,,,,,,,,,,,,,,,
Laine ; de barbarie,Laine,2,2,0,,,,0,,,0,0,,,46,,,,,,,,,,,,,,,,,
Laine ; de chevrons,Laine,2,2,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Laine ; de chèvres,Laine,2,2,0,,,,0,,,0,0,,,17,,,,,,,,,,,,,,,,,
Laine ; de l'Arménie,Laine,2,2,0,,,,0,,,0,0,,,37,,,,,,,,,,,,,,,,,
Laine ; de nigagne,Laine,2,2,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Laine ; de rennes,Laine,2,2,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Laine ; de tan,Laine,2,2,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Laine ; du Béarn,Laine,2,2,0,,,,0,,,0,0,,,77,,,,,,,,,,,,,,,,,
Laine ; du Levant,Laine,2,2,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Laine ; du nord,Laine,2,2,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Laine ; en côte,Laine,2,2,0,,,,0,,,0,0,,,9,,,,,,,,,,,,,,,,,
Laine ; en flotte,Laine,2,2,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Laine ; en laine,Laine,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Laine ; en rames,Laine,2,2,0,,,,0,,,0,0,,,7,,,,,,,,,,,,,,,,,
Laine ; en toison,Laine,2,2,0,,,,0,,,0,0,,,0,,,,,,,,,,,,,,,,,
Laine ; fine,Laine,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Laine ; grosse,Laine,2,2,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Laine ; lavée,Laine,2,2,0,,,,0,,,0,0,2,2,4,,,,,,,,,,,,,,,,,
Laine ; menue,Laine,2,2,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Laine ; non filée,Laine,2,2,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Laine ; non peignée,Laine,2,2,0,,,,0,,,0,0,,,8,,,,,,,,,,,,,,,,,
Laine ; peignée,Laine,2,2,0,,,,0,,,0,0,,,39,,,,,,,,,,,,,,,,,
Laine ; pelade,Laine,2,2,0,,,,0,,,0,0,,,29,,,,,,,,,,,,,,,,,
Laine ; pelluche,Laine,2,2,0,,,,0,,,0,0,,,10,,,,,,,,,,,,,,,,,
Laine ; petite,Laine,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Laine ; pour chapeliers,Laine,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Laine ; à matelas,Laine,2,2,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Laine ; écrin ; lavée,Laine,2,2,0,,,,0,,,0,0,,,10,,,,,,,,,,,,,,,,,
Laiton ; vieux,Laiton,2,2,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Lame ; de bois,Lames,2,2,0,,,,0,,,0,0,,,16,,,,,,,,,,,,,,,,,
Latte,Lattes,2,2,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Latte ; de bois,Lattes,2,2,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Latte ; de hêtre,Lattes,2,2,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Latte ; de hêtre façonnée,Lattes,2,2,0,,,,0,,,0,0,,,5,,,,,,,,,,,,,,,,,
Latte ; de hêtre non sciée,Lattes,2,2,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Latte ; de sapin,Lattes,2,2,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Latte ; dites Solververen,Lattes,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Latte ; dites du Nord,Lattes,2,2,0,,,,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Latte ; doubles,Lattes,2,2,0,,,,0,,,0,0,,,4,,,,,,,,,,,,,,,,,
Latte ; pour couvreurs de Tuile,Lattes,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Latte ; pour couvreurs de paille et platreurs,Lattes,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Latte ; pour cuves,Lattes,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Latte ; pour cuves de brassage,Lattes,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Latte ; sciées,Lattes,2,2,0,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,,,
Latte ; sciées en planche,Lattes,2,2,0,,,,0,,,0,0,,,12,,,,,,,,,,,,,,,,,
Latte et perches,Lattes,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Lattes ; en paille,Lattes,2,2,0,,,,0,,,0,0,,,1,,,,,,,,,,,,,,,,,
Lauzes,Lauzes,2,2,0,,Lauze : « Sorte de pierres plates et longues qui servent à faire des bordures. On en trouve des carrières à Proveyzieux et à Fontaine » (Dictionnaire du patois des environs de Grenoble),,0,,,0,0,,,6,,,,,,,,,,,,,,,,,
Lilas,,2,2,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Limaille,Limaille,2,2,0,,,,0,,,0,0,,,3,,,,,,,,,,,,,,,,,
Limaille ; d'argent,Limaille,2,2,0,,,,0,,,0,0,6,6,1,,,,,,,,,,,,,,,,,
