marchandises;id;marchandises_normalisees_inter;marchandises_normalisees;product_prix;dutchtranslation;englishproduct;unit;alternativenames;source_rg_1774;source_rgbase;source_france;source_sound;source_hambourg;v14;v15;remarques;nbr_lignes_fr;nbr_lignes_hambourg
///Matieres d'Or et d'argent///Orfévrerie;162;Orfèvrerie;Orfèvrerie;;;;;;0;0;1;;;;;;7;
///Matière d'Or et d'argent///Monnaies au type étranger;163;"Monnaies ; étrangères";"Monnaie ; étrangère";;;;;;0;0;1;;;;;;6;
///Matière d'Or et d'argent///Orfévrerie;164;Orfèvrerie;Orfèvrerie;;;;;;0;0;1;;;;;;16;
///Matières d'Or et d'argent///Argenterie et orfévrerie;165;Argenterie et orfèvrerie;Argenterie et orfèvrerie;;;;;;0;0;1;;;;;;4;
///Matières d'Or et d'argent///Argenteries et orfévrerie;166;Argenterie et orfèvrerie;Argenterie et orfèvrerie;;;;;;0;0;1;;;;;;5;
///Matières d'Or et d'argent///Monnaies étrangères , ou lingots;167;"Monnaies ; étrangères ou lingots";"Monnaie ; or et argent et lingot";;;;;;0;0;1;;;;;;10;
///Matières d'Or et d'argent///Monnaies étrangères ou lingots;168;"Monnaies ; étrangères ou lingots";"Monnaie ; or et argent et lingot";;;;;;0;0;1;;;;;;4;
///Matières d'or et d'argent///Monnaies étrangères et lingots;169;"Monnaies ; étrangères ou lingots";"Monnaie ; or et argent et lingot";;;;;;0;0;1;;;;;;3;
///Matières d'or et d'argent///Orfévrerie;170;Orfèvrerie;Orfèvrerie;;;;;;0;0;1;;;;;;1;
///Métaux///Argent vif;171;"Argent ; vif";"Argent ; vif";;;;;;0;0;1;;;;;;7;
///Métaux///Articles réunis;172;"Métaux ; Articles ; réunis";"Métaux ; divers";;;;;;0;0;1;;;;;;5;
///Métaux///Autres métaux;173;"Métaux ; autres";"Métaux ; divers";;;;;;0;0;1;;;;;;29;
///Métaux///Cuivre;174;Cuivre;Cuivre;;;;;;0;0;1;;;;;;28;
///Métaux///Cuivre, bronze et Laiton;175;Cuivre, bronze et laiton;Cuivre, bronze et laiton;;;;;;0;0;1;;;;;;10;
///Métaux///Cuivre, bronze et laiton;176;Cuivre, bronze et laiton;Cuivre, bronze et laiton;;;;;;0;0;1;;;;;;15;
///Métaux///Cuivre,bronze et laiton;177;Cuivre, bronze et laiton;Cuivre, bronze et laiton;;;;;;0;0;1;;;;;;9;
///Métaux///Etain;178;Étain;Étoffe;;;;;;0;0;1;;;;;;12;
///Métaux///Fer blanc;179;"Fer ; blanc";"Fer ; blanc";;;;;;0;0;1;;;;;;6;
///Métaux///Fer-blanc;180;"Fer ; blanc";"Fer ; blanc";;;;;;0;0;1;;;;;;9;
///Métaux///Fers;181;Fer;Fer;;;;;;0;0;1;;;;;;37;
///Métaux///Fers blanc;182;"Fer ; blanc";"Fer ; blanc";;;;;;0;0;1;;;;;;3;
///Métaux///Fers et aciers;183;Fer et acier;Fer et acier;;;;;;0;0;1;;;;;;42;
