marchandises_normalisees	marchandises_simplifiées	SITC_rev1	SITC_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_RG
Ruban ; au quart	Ruban	6	6c					
Ruban ; au quart de soie	Ruban	6	6c					
Ruban ; d'argent	Ruban	6	6					
Ruban ; d'or	Ruban	6	6					
Ruban ; d'or et d'argent	Ruban	6	6					
Ruban ; de fil	Ruban	6	6a					
Ruban ; de fil en laine	Ruban	6	6a					
Ruban ; de fil et laine	Ruban	6	6a					
Ruban ; de filoselle	Ruban	6	6c					
Ruban ; de fleures	Ruban	6	6c					...
Ruban ; de fleuret	Ruban	6	6c					
Ruban ; de laine	Ruban	6	6b					...
Ruban ; de soie	Ruban	6	6c					...
Ruban ; de soie et argent	Ruban	6	6c					
Ruban ; de soie et fil	Ruban	6	6c					
Ruban ; de soie et fleur	Ruban	6	6c					
Ruban ; divers	Ruban	6	6					
Ruban ; dorure ; d'argent	Ruban	6	6					
Ruban ; dorure ; d'or	Ruban	6	6					
Ruban ; dorure ; d'or et d'argent	Ruban	6	6					
Ruban ; dorure ; d'or et d'argent ; faux	Ruban	6	6					
Ruban ; dorure ; or et argent	Ruban	6	6					
Ruban ; mi soie	Ruban	6	6c					
Ruban ; velouté	Ruban	6	6					
Rubannerie ; de soie	Ruban	6	6c					
Rubannerie ; diverse	Ruban	6	6					
Rubannerie ; ordinaire	Ruban	6	6					
Rubea ; major	Rubea ; major	…	…					
Rubia tintorum	Rubia tintorum	…	…					
Ruches	Ruches	6	6		0	0a		
Ruches ; à miel	Ruches	6	6					
Ruches ; à mouche	Ruches	6	6					
Rusque ; de chêne	Rusque ; de chêne	2	2					
Rusque ; de pin	Rusque ; de pin	2	2					
Sabatines	Sabatines	…	…					
Sable	Sable	2	2	sable commun	2	2	sable commun	
Sable ; de mer	Sable	2	2					
Sable ; de verre	Sable	2	2		2	2		
Sablerie	Sablerie	2	2					
Sabots	Sabots	6	6					
Sabres	Sabres	9	9					
Sachets	Sachets	6	6					
Sachets d'odeur	Sachets d'odeur	8	8					
Sacs	Sacs	6	6					...
Sacs ; de poluard	Sacs	6	6					...
Sacs ; de toile	Sacs	6	6a					
Sacs ; vides	Sacs	6	6					...
Saffle	Saffle	…	…					
Sagne	Sagne	…	…					
Sagou	Sagou	…	…					
Sagu	Sagu	5	5		5	5		...
Saindoux	Saindoux	3	3					
Salage	Salage	…	…					
Salemporis	Salemporis	…	…					
Salicor	Salicor	…	…					
Salin	Salin	…	…					
Saloirs ; de bois	Saloirs ; de bois	…	…					
Salpêtre	Salpêtre	2	2					
Salpêtre, crû	Salpêtre	2	2	salpêtre non raffiné	2	2	salpêtre non raffiné	
Salpêtre, raffiné	Salpêtre	5	5		2	2		
Salsaphra	Salsaphra	5	5		5	5		
Salsepareille	Salsepareille	0	0a					
Sanas	Sanas	…	…					
Sandales	Sandales	8	8		8	8		
Sandarac	Sandarac	…	…					
Sang ; de dragon	Sang ; de dragon	5	5					
Sangles	Sangles	8	8		8	8		
Sangliers	Sangliers	0	0a		0	0a		
Sanguine	Sanguine	…	…					
Sanitaires	Sanitaires	 						
Sapins	Sapins	2	2					
Sapins ; à faire belle	Sapins	2	2					
Sapins ; à faire comble	Sapins	2	2					
Sapins ; à faire échelle	Sapins	2	2					
Sapins ; à faire gaffe	Sapins	2	2					
Sapins ; à faire pioche	Sapins	2	2					
Sapins ; anspects	Sapins ; anspects	6	6	Sorte de levier en bois (Savary)				
Sapins ; en bloc	Sapins ; en bloc	2	2	bois de sapin en bloc	2	2	bois de sapin en bloc	
Sardines	Poisson	0	0a		0	0a		
Sardines ; salées	Poisson	0	0a					…
Sarots de toile	Sarots de toile	6	6		6	6		
Sas	Sas	…	…					
Satin	Satin	6	6c					
Satin ; brodé ; en or	Satin	6	6c					
Saucisses	Saucisses	0	0a					
Saucisses ; de Boulogne	Saucisses	0	0a		0	0a		
Saucissons	Saucissons	0	0a					
Saumare	Saumare	…	…					
Saumon	Poisson	0	0a					...
Saumon ; en daube	Poisson	0	0a		0	0a		
Saumon ; frais	Poisson	0	0a					
Saumon ; fumé	Poisson	0	0a		0	0a		
Saumon ; mariné	Poisson	0	0a					
Saumon ; salé	Poisson	0	0a					...
Saumure	Saumure	…	…					
Savon	Savon	5	5					
Savon ; blanc	Savon	5	5					
Savon ; blanc et marbré	Savon	5	5		5	5		
Savon ; d'alicante	Savon	5	5					
Savon ; marbré	Savon	5	5					
Savon ; noir	Savon	5	5		5	5		
Savon ; d'alicante	Savon	5	5					
Savon ; vert	Savon	5	5					
Savonnettes	Savonnettes	5	5					
Saxafras	Saxafras	0	0b	qu'on nomme autrement bois de canelle ou de pavame (Savary).				...
Saye ; blanche	Saye	6	6b		6	6b		
Saye ; blanche sans apprêt	Saye	6	6b		6	6b		
Saye ; de Bruges	Saye	6	6b		6	6b		
Saye ; de Liège	Saye	6	6b		6	6b		
Saye ; mellée	Saye	6	6b		6	6b		
Saye ; teinte	Saye	6	6b		6	6b		
Sayessa	Sayessa	…	…					
Scamoncé	Scamoncé	…	…					
Sceaux ; de bois	Seaux	6	6					…
Scielle	Scielle	…	…					
Scilles ; maritime	Scilles ; maritime	5	5		5	5		
Seaux	Seaux	6	6					...
Seaux ; de bois	Seaux	6	6					
Sebestes	Sebestes	…	…					
Secrétaires	Secrétaires	8	8					
Segrin	Segrin	…	…					
Seigle	Seigle	0	0a		0	0a		
Seigle ; en jarbes	Seigle	0	0a		0	0a		
Sel	Sel	2	2					
Sel ; ammoniac	Sel	5	5					
Sel ; antarctique	Sel	2	2					
Sel ; blanc	Sel	2	2	sel blanc et rafiné	2	2	sel blanc et rafiné	
Sel ; chimique	Sel	…	…					
Sel ; d'absinthe (alsem)	Sel	…	…					
Sel ; d'alsem	Sel	2	2		5	5		
Sel ; d'Angleterre	Sel	2	2		5	5		
Sel ; d'Angleterre	Sel	2	2					
Sel ; d'Espagne	Sel	2	2		2	2		
Sel ; d'oseille	Sel	5	5		5	5		
Sel ; d'ypossum	Sel	5	5					
Sel ; de ?	Sel	5	5					
Sel ; de boue	Sel	2	2		2	2		
Sel ; de carabé	Sel	5	5					
Sel ; de Franche-Comté	Sel	2	2					
Sel ; de gemme	Sel	5	5		5	5		
Sel ; de Globert	Sel	5	5					
Sel ; de globert	Sel	5	5					
Sel ; de Lorraine	Sel	2	2					
Sel ; de nitres	Sel	2	2					
Sel ; de Poulinguen	Sel	2	2					
Sel ; de Rez	Sel	2	2					
Sel ; de roche	Sel	2	2					...
Sel ; de Rocq	Sel	2	2		2	2		
Sel ; de Salurne	Sel	5	5		5	5		
Sel ; de samoine	Sel	5	5					
Sel ; de saturne	Sel	5	5					
Sel ; de seignette	Sel	5	5					
Sel ; de seignette policreste et globere	Sel	5	5		5	5		
Sel ; de st Huber ou de Portugal	Sel	2	2		2	2		
Sel ; de tamarin	Sel	5	5					
Sel ; de tartaric	Sel	5	5					
Sel ; de tartre	Sel	2	2					...
Sel ; de tartre	Sel	5	5		5	5		
Sel ; de verre	Sel	5	5					
Sel ; de vitre	Sel	5	5		5	5		
Sel ; de vitriol	Sel	5	5		5	5		
Sel ; dit beggere	Sel	2	2		2	2		
Sel ; en grabeau	Sel	2	2					
Sel ; gemme	Sel	2	2					
Sel ; gris	Sel	2	2	sel gris de France	2	2	sel gris de France	
Sel ; médicinal	Sel	5	5					
Sel ; minéral	Sel	2	2					
Sel ; mistry	Sel	5	5					
Sel ; ordinaire	Sel	2	2					
Sel ; peccain	Sel	5	5					
Sel ; policreste et d'Ipson	Sel	5	5	sel d'epson/sel armoniac, sal Ipson ou sel d'Angleterre	5	5	sel d'epson/sel armoniac, sal Ipson ou sel d'Angleterre	
Sel ; pour la pèche libre	Sel	2	2					
Sel ; sucsin	Sel	5	5					
Sel ; végétal	Sel	5	5					
Sel ; volatil	Sel	5	5		5	5		
Sel; volatile	Sel	5	5					
Selle	Selle	7	7		9	9		
Selle ; de cheval	Selle	7	7					
Semence ; d'anis	Semence ; d'anis	2	2		0	0a		
Semence ; d'anis, carui, coriandre etc.	Semence ; d'anis, carui, coriandre etc.	2	2	semences de carwij, coriandre et fenouille	0	0a	semences de carwij, coriandre et fenouille	
Semence ; d'oliettes	Semence ; d'oliettes	2	2		0	0a		
Semence ; de canaris	Semence ; de canaris	2	2		0	0a		
Semence ; de chanvre	Semence ; de chanvre	2	2		0	0a		
Semence ; de colsaet	Semence ; de colsaet	2	2	semences de choux dit coolsaet	0	0a	semences de choux dit coolsaet	
Semence ; de cumin	Semence ; de cumin	2	2	semences de comin ou cumin	0	0a	semences de comin ou cumin	
Semence ; de fenegré	Semence ; de fenegré	2	2		0	0a		
Semence ; de jardin	Semence ; de jardin	2	2	semences de carottes et de toute autre semence de jardin	0	0a	semences de carottes et de toute autre semence de jardin	
Semence ; de lin à battre huile	Semence ; de lin à battre huile	2	2		2	2		
Semence ; de lin à semer	Semence ; de lin à semer	2	2		0	0		
Semence ; de luzerne	Semence ; de luzerne	2	2		0	0a		
Semence ; de moutarde	Semence ; de moutarde	2	2		0	0a		
Semence ; de navettes	Semence ; de navettes	2	2	semences de navette	0	0a	semences de navette	
Semence ; de oliette et de fenegré	Semence ; de oliette et de fenegré	2	2		0	0a		
Semence ; de perles	Semence ; de perles	2	2					
Semence ; de sainfoin	Semence ; de sainfoin	2	2	semences de sapin, bouleau et de st foin	0	0a	semences de sapin, bouleau et de st foin	
Semence ; de sapin	Semence ; de sapin	2	2		0	0a		
Semence ; de trêfles	Semence ; de trêfles	2	2	semences de treffe	0	0a	semences de treffe	
Semence ; écarlate	Semence ; écarlate	5	5		5	5		
Semence ; froides	Semence ; froides	5	5					
Semence ; mêlées de toute espèce	Semence ; mêlées de toute espèce	2	2		0	0a		
Semencine	Semencine	…	…					
Semoirs	Semoirs	6	6					
Semoule	Semoule	0	0a					
Sempiterne	Sempiterne	…	…					
Séné	Séné	2	2					...
Séné ; à pêcher	Séné ; à pêcher	2	2					
Sené et feuilles de sené	Sené et feuilles de sené	2	2	senné	5	5	senné	
Sénégre	Sénégre	…	…					
Sequin	Sequin	9	9a					
Sequins	Sequins	9	9a					
Serinettes	Serinettes	8	8	musette vielles et serinettes	8	8	musette vielles et serinettes	
Seringues	Seringues	8	8					
Seringues ; d'étain	Seringues	8	8					
Serins	Serins	6	6	Peut-être est-ce l'oiseau (très probable s'il est importé d'Espagne).				
Serins ; à peigner le lin	Serins ; à peigner le lin	6	6	Serans ou Serains : peigne de fer à longues dents qui sert à peigner le lin				...
Serpentera virgina	Serpentera virgina	…	…					
Serpentin ; à distiller	Serpentin ; à distiller	6	6					
serpents	serpents	8	8		8	8		
Serpes	Serpes	8	8					…
Service de table	Service de table	6	6		6	6a		
Serviettes	Serviettes	6	6a		6	6a		…
Serviettes ; à nappes	Serviettes	6	6					
Serviettes ; découpées	Serviettes	6	6		6	6		
Siamoise	Siamoise	6	6c					
Signes	Signes	9	9		9	9		
Singes	Singes	9	9		9	9		
Siramonbas	Siramonbas	…	…					
Sirop	Sirop	1	1					
Sirop ; d'alherme	Sirop	1	1					
Sirop ; d'amont	Sirop	1	1					
Sirop ; d'orgeat	Sirop	1	1					...
Sirop ; de calabre	Sirop	1	1					...
Sirop ; de capillaire	Sirop	5	5					
Sirop ; de capillaire et autre composées	Sirop	5	5	sirop de capillaire	5	5	sirop de capillaire	
Sirop ; de capitaine	Sirop	5	5					
Sirop ; de coriande	Sirop	5	5					
Sirop ; de sucre candis	Sirop	1	1		0	0b		
Sirop ; de violette	Sirop	1	1					
Sirop ; des Iles	Sirop	1	1					
Sirop ; mélasse	Sirop	1	1					...
Sirop ; mélasse	Sirop	1	1					
Sirop ; ou jus de cerises et de grenades	Sirop	1	1					
Sirop ; de calbabre	Sirop	1	1					
Sirop ; de citron	Sirop	1	1					
Sistresay	Sistresay	…	…					…
Sitz et Indienne	Sitz et Indienne	6	6d		6	6a		
Sivadille	Sivadille	…	…					
Smalte	Smalte	5	5		5	5		
Socs	Socs	6	6		6	6		
Socs ; de charrues	Socs	6	6	pièces travaillantes de la charrue (wikipedia)				…
Soie	Soie	2	2					
Soie ; à broder	Soie	6	6c					
Soie ; à coudre	Soie	6	6c					...
Soie ; à coudre	Soie	6	6c					
Soie ; apprêtée	Soie	6	6c					
Soie ; blanche	Soie	2	2					
Soie ; cocons	Soie	2	2					
Soie ; crue	Soie	2	2					
Soie ; de porc	Soie	2	2					…
Soie ; de porc et sanglier	Soie	2	2					
Soie ; des indes	Soie	2	2					
Soie ; dite fleuret	Soie	6	6c					...
Soie ; diverse	Soie	2	2					
Soie ; en cocon	Soie	2	2					
Soie ; en fleures	Soie	6	6c					…
Soie ; en fleuret	Soie	6	6c					
Soie ; en rames	Soie	2	2					
Soie ; en suaze (?)	Soie	2	2					
Soie ; filée	Soie	6	6c					
Soie ; filoselle	Soie	6	6c					
Soie ; floche	Soie	6	6c		6	6c		
Soie ; grège	Soie	6	6c					
Soie ; Nankin	Soie	6	6c					
Soie ; ouvrée	Soie	6	6c					
Soie ; tapis	Soie	6	6c					
Soie ; teinte	Soie	6	6c					
Soie ; teinte et à coudre	Soie	6	6c		6	6c		
Soie ; torce	Soie	2	2					
Soie ; trame de	Soie	6	6c					
Soierie	Soierie	6	6c					
Soierie en étoffe, mouchoirs, gazes et rubans	Soierie	6	6c					
Soliveaux	Soliveaux	2	2					
Soliveaux ; de sapin	Soliveaux	2	2					
Solles et playsses sec et fumés	Solles et playsses sec et fumés	0	0a		0	0a		
Solles ou langues	Solles ou langues	0	0a		0	0a		
Sommier	Sommier	…	…					
Sommier ; brut pour Mannem	Sommier	8	8		2	2		
Sommier ; de chêne faconnés	Sommier	8	8		2	2		
Sommier ; menu	Sommier	8	8		2	2		
Sommier ; ou corps d'arbre de sapin	Sommier	8	8		2	2		
Son	Son	0	0a					...
Son ; de farine	Son	0	0a	son de farines	0	0a	son de farines	
Sonde	Sonde	…	…					
Sonnettes	Sonnettes	6	6					
Soucis	Soucis	2	2					...
Soucis ; pour mouchoirs	Soucis ; pour mouchoirs	6	6		6	6		
Soucrions ; en jarbes	Soucrions ; en jarbes	0	0a		0	0a		
Soude	Soude	5	5					
Soudure	Soudure	6	6		6	6		
Soufflet ; de bois	Soufflet	8	8		6	6		
Soufflet ; de forge	Soufflet	8	8					
Soufflet ; de maréchal	Soufflet	8	8		6	6		
Soufflet ; petits	Soufflet	8	8					
Soufflet ; pour orgues	Soufflet	8	8		6	6		
Soufflets	Soufflet	8	8					
Souffre	Souffre	2	2					
Souffre et salpêtre	Souffre et salpêtre	5	5					...
Soufre et mêches	Soufre et mêches	5	5		9	9		
Souliers	Souliers	8	8					
Souliers ; brodés	Souliers	8	8					
Souliers ; d'enfants	Souliers	8	8					
Souliers ; de maroquin	Souliers	8	8					...
Souliers ; neufs	Souliers	8	8					
Souliers ; ordinaires	Souliers	8	8					
Souliers ; vieux	Souliers	8	8					...
Souliers, pantoufles et galoches	Souliers	8	8		8	8		
Spalme	Spalme	…	…					
Spalte	Spalte	…	…					
Spardilles	Spardilles	8	8	Espadrilles				
Spermaceti	Spermaceti	4	4		4	4		
Spicaceltica	Spicaceltica	2	2					...
Spicanardi	Spicanardi	…	…					
Spirinck	Spirinck	0	0a		0	0a		
Spode	Spode	5	5	Espèce de cendre qui sert dans la médecine (Savary)				…
Squine	Squine	2	2	Racine médicinale qui vient de Chine ou d'Inde (Savary)				...
Stafisagre	Stafisagre	…	…					
Stil de grain	Stil de grain	…	…					
StinKerque	StinKerque	…	…					
Storax	Storax	2	2					
Sublimé	Sublimé	5	5					
Sublime corosif	Sublime corosif	5	5		5	5		
Succade	Succade	…	…					
Succade et confitures	Succade et confitures	0	0b	confitures et biscuits	0	0b	confitures et biscuits	
Sucre	Sucre	0	0b					
Sucre ; à devises et à casser	Sucre	0	0b	fruits à deviser	0	0b	fruits à deviser	
Sucre ; bâtard	Sucre	0	0b					
Sucre ; blanc	Sucre	0	0b					
Sucre ; brun	Sucre	0	0b		0	0b		
Sucre ; brut	Sucre	0	0b					
Sucre ; brut	Sucre	0	0b					
Sucre ; candy	Sucre	0	0b		0	0b		
Sucre ; carré	Sucre	0	0b					
Sucre ; cassonade	Sucre	0	0b					
Sucre ; commun	Sucre	0	0b					
Sucre ; d'érable	Sucre	0	0b					
Sucre ; d'orge	Sucre	0	0b					
Sucre ; de moscovie	Sucre	0	0b					
Sucre ; dite Lompen	Sucre	0	0b		0	0b		
Sucre ; divers	Sucre	0	0b					
Sucre ; en dragées	Sucre	0	0b		0	0b		
Sucre ; en pain	Sucre	0	0b					
Sucre ; en poudre	Sucre	0	0b					
Sucre ; en poudre blanc	Sucre	0	0b		0	0b		
Sucre ; en poudre blanc de haut prix	Sucre	0	0b		0	0b		
Sucre ; en poudre brun	Sucre	0	0b		0	0b		
Sucre ; ferré	Sucre	0	0b					
Sucre ; mêlé	Sucre	0	0b					
Sucre ; raffiné	Sucre	0	0b					
Sucre ; raffiné ; en pain	Sucre	0	0b					
Sucre ; terré	Sucre	0	0b					Sucre
Sucre ; terré ; tête	Sucre	0	0b					
Sucre ; tête	Sucre	0	0b					
Sucre ; vergeoise	Sucre	0	0b					
Sucre ; versoir	Sucre	0	0b					
Sucreries ; diverses	Sucreries	0	0b					Sucre
Sucreries ; dragées	Sucreries	0	0b					
Sucriers ; de faïence	Sucreries	6	6					
Sucrion	Sucrion	0	0a	Variété d'orge (probablement pâtois du Nord de la France)				...
Suie ; de cheminée	Suie ; de cheminée	3	3		3	3		
Suif	Suif	4	4					
Suif ; à faire des chandelles	Suif	4	4		4	4		
Suif ; en chandelle	Suif	4	4					
Suif ; en masse	Suif	4	4		4	4		
Suif ; en pain	Suif	4	4					
Suif ; fondu et en chandelles	Suif	4	4					
Suif ; pour raffiner le cuivre	Suif	4	4		4	4		
Suine	Suine	…	…					
Tabac	Tabac	1	1					
Tabac ; à fumer	Tabac ; à fumer	1	1					
Tabac ; à varié	Tabac ; à varié	1	1					
Tabac ; avarié	Tabac ; avarié	1	1					Tabac
Tabac ; commun	Tabac ; commun	1	1					
Tabac ; d'Espagne	Tabac ; d'Espagne	1	1					
Tabac ; d'Hollande	Tabac ; d'Hollande	1	1		1	1		
Tabac ; de Brésil	Tabac ; de Brésil	1	1					
Tabac ; de Brésil, de Virginie	Tabac ; de Brésil, de Virginie	1	1		1	1		
Tabac ; de caisse	Tabac ; de caisse	1	1					
Tabac ; de cantine	Tabac ; de cantine	1	1					Tabac
Tabac ; de carottes	Tabac ; de carottes	1	1					
Tabac ; de la Ferme	Tabac ; de la Ferme	1	1					
Tabac ; de Séville	Tabac ; de Séville	1	1					
Tabac ; de St. Domingue	Tabac ; de St. Domingue	1	1					
Tabac ; de St. Vincent	Tabac ; de St. Vincent	1	1					...
Tabac ; de Virginie	Tabac ; de Virginie	1	1					
Tabac ; des prises	Tabac ; des prises	1	1					
Tabac ; en caisses	Tabac ; en caisses	1	1					
Tabac ; en carottes	Tabac ; en carottes	1	1					
Tabac ; en carottes et rolles	Tabac ; en carottes et rolles	1	1		1	1		
Tabac ; en cordes	Tabac ; en cordes	1	1					
Tabac ; en cottes	Tabac ; en cottes	1	1		1	1		
Tabac ; en feuilles	Tabac ; en feuilles	1	1					
Tabac ; en poudre	Tabac ; en poudre	1	1	tabac en poudre et rapé	1	1	tabac en poudre et rapé	
Tabac ; en rolles	Tabac ; en rolles	1	1		1	1		
Tabac ; et son d'Espagne	Tabac ; et son d'Espagne	1	1		1	1		
Tabac ; fabriqué	Tabac ; fabriqué	1	1					
Tabac ; haché et à fumer	Tabac ; haché et à fumer	1	1	tabac filé, haché et à fumé	1	1	tabac filé, haché et à fumé	
Tabac ; ouvré	Tabac ; ouvré	1	1					
Tabac ; pour échantillon	Tabac ; pour échantillon	1	1					
Tabac ; pressé d'Allemagne	Tabac ; pressé d'Allemagne	1	1		1	1		
Tabac ; rapé	Tabac ; rapé	1	1					Tabac
Tabac ; rappé	Tabac ; rappé	1	1					
Tabacs	Tabacs	1	1					
Tabatières	Tabatières	8	8					
Tabatières ; communes	Tabatières ; communes	8	8		8	8		
Tabatières ; d'agate	Tabatières ; d'agate	8	8					
Tabatières ; d'argent	Tabatières ; d'argent	8	8					
Tabatières ; d'écaille	Tabatières ; d'écaille	8	8					...
Tabatières ; d'écailles	Tabatières ; d'écailles	8	8	tabatieres d'ecaille incrustrées	8	8	tabatieres d'ecaille incrustrées	
Tabatières ; d'émail	Tabatières ; d'émail	8	8					
Tabatières ; d'olivier	Tabatières ; d'olivier	8	8					
Tabatières ; d'or	Tabatières ; d'or	8	8					
Tabatières ; de bergamote	Tabatières ; de bergamote	8	8		8	8		
Tabatières ; de bergamote	Tabatières ; de bergamote	8	8					
Tabatières ; de bois	Tabatières ; de bois	8	8					
Tabatières ; de bois vernis	Tabatières ; de bois vernis	8	8					
Tabatières ; de carton	Tabatières ; de carton	8	8					
Tabatières ; de corne	Tabatières ; de corne	8	8					
Tabatières ; de cuir	Tabatières ; de cuir	8	8		8	8		
Tabatières ; de fer blanc	Tabatières ; de fer blanc	8	8					
Tabatières ; de forme	Tabatières ; de forme	8	8					
Tabatières ; de nacre	Tabatières ; de nacre	8	8					
Tabatières ; de paille	Tabatières ; de paille	8	8					
Tabatières ; de pinsbeck	Tabatières ; de pinsbeck	8	8					
Tabatières ; diverses	Tabatières ; diverses	8	8					
Tabatières ; émaillée	Tabatières ; émaillée	8	8		8	8		
Tabatières ; enrichies	Tabatières ; enrichies	8	8					...
Tabatières ; et étuis garnis d'argent	Tabatières ; et étuis garnis d'argent	8	8		8	8		
Tabatières ; et étuis garnis d'or	Tabatières ; et étuis garnis d'or	8	8		8	8		
Tabatières ; et étuis garnis d'or et d'argent	Tabatières ; et étuis garnis d'or et d'argent	8	8		8	8		
Tabatières ; étuis et autres bijouteries garnis d'or et d'argent	Tabatières ; étuis et autres bijouteries garnis d'or et d'argent	8	8		8	8		
Tabatières ; vernies	Tabatières ; vernies	8	8					
Tabernacles	Tabernacles	8	8					
Tabernacles ; de marbre	Tabernacles ; de marbre	8	8					
Tableaux	Tableaux	8	8					
Tableaux ; communs	Tableaux ; communs	8	8					
Tableaux ; de famille	Tableaux ; de famille	8	8					
Tableaux et estampes	Tableaux et estampes	8	8					
Tables	Tables	8	8					
Tables ; d'ardoises	Tables ; d'ardoises	8	8					
Tables ; de bois	Tables ; de bois	8	8					
Tables ; de marbre	Tables ; de marbre	8	8					
Tables ; de nuit	Tables ; de nuit	8	8					
Tables ; de sapin	Tables ; de sapin	8	8					
Tablettes ; anisées	Tablettes ; anisées	8	8					...
Tabliers ; peints	Tabliers ; peints	8	8					...
Tabliers brodés	Tabliers brodés	8	8					
Tacques de cheminée	Tacques de cheminée	6	6		6	6		
Taffetas	Taffetas	6	6c					
Taffetas ; foulas	Taffetas ; foulas	6	6c					silk fabrics
Taffia	Taffia	1	1					
Taillanderie	Taillanderie	…	…					
Talc	Talc	5	5					
Talons ; de bois	Talons ; de bois	6	6					
Tamarin	Tamarin	5	5		5	5		
Tambours	Tambours	8	8		8	8		
Tambours ; à sucre	Tambours	8	8					
Tambours ; de fer	Tambours	8	8					
Tamis	Tamis	6	6					
Tamis ; à tabac	Tamis	6	6					
Tamis ; de crin	Tamis	6	6					
Tamis ; faits et à faire	Tamis	6	6		6	6		
Tanche	Tanche	0	0a		0	0a		
Tanelles	Tanelles	…	…					
Tapette	Tapette	8	8		8	8		
Tapette à mouches	Tapette à mouches	8	8					
Tapis	Tapis	6	6					
Tapis ; d'Angleterre	Tapis	6	6		6	6		
Tapis ; d'Aubusson	Tapis	6	6					...
Tapis ; d'Auvergne	Tapis	6	6					
Tapis ; d'indienne	Tapis	6	6d					...
Tapis ; de laine	Tapis	6	6b					
Tapis ; de laine	Tapis	6	6b					
Tapis ; de moquette	Tapis	6	6					...
Tapis ; de toile cirée	Tapis	6	6d					
Tapis ; de toile peinte	Tapis	6	6d					
Tapis ; de Turquie	Tapis	6	6d					...
Tapis ; divers	Tapis	6	6					
Tapis ; fabrique de Tournais	Tapis	6	6		6	6		
Tapis ; fil et coton	Tapis	6	6a					
Tapis ; fil teint	Tapis	6	6a					...
Tapisserie	Tapisserie	6	6		6	6		
Tapisserie ; commune	Tapisserie	6	6		6	6		
Tapisserie ; d'Amiens	Tapisserie	6	6					
Tapisserie ; d'Aubusson	Tapisserie	6	6					
Tapisserie ; d'Auvergne	Tapisserie	6	6					
Tapisserie ; d'Elbeuf	Tapisserie	6	6					
Tapisserie ; d'Hautelisse	Tapisserie	6	6					
Tapisserie ; d'Oudenarde	Tapisserie	6	6					
Tapisserie ; de Beauvais	Tapisserie	6	6					
Tapisserie ; de Bergame	Tapisserie	6	6					
Tapisserie ; de Bergames	Tapisserie	6	6					
Tapisserie ; de Bruxelles	Tapisserie	6	6					
Tapisserie ; de coton imprimé	Tapisserie	6	6d		6	6d		
Tapisserie ; de cuir doré	Tapisserie	6	6					
Tapisserie ; de Dauphiné	Tapisserie	6	6					
Tapisserie ; de fil ; teint	Tapisserie	6	6a					
Tapisserie ; de fil et laine	Tapisserie	6	6a					
Tapisserie ; de filoselle	Tapisserie	6	6c					
Tapisserie ; de Flandres	Tapisserie	6	6a					
Tapisserie ; de la Marche	Tapisserie	6	6a					
Tapisserie ; de laine	Tapisserie	6	6					...
Tapisserie ; de moquette	Tapisserie	6	6b					
Tapisserie ; de Rouen	Tapisserie	6	6b					
Tapisserie ; de toile cirée	Tapisserie	6	6d					
Tapisserie ; des Gobelins	Tapisserie	6	6					
Tapisserie ; diverses	Tapisserie	6	6					
Tapisserie ; peinte	Tapisserie	6	6d					
Tapisserie ; point d'Hongrie	Tapisserie	6	6					
Tapisserie ; simples	Tapisserie	6	6		6	6		
Tapisserie ; tantisse	Tapisserie	6	6					...
Tapisserie ; verdure	Tapisserie	6	6					...
Tapisserie ; vieille	Tapisserie	6	6		6	6		
Tapisserie ; vieille	Tapisserie	6	6					
Tapisseries ; de haute lice	Tapisserie	6	6		6	6		
Tapsel	Tapsel	…	…					
Tartre	Tartre	5	5					
Ouvrages ; de faïence ; tasse	Ouvrages ; de faïence ; tasse	6	6					
Taupine ; de soie et coton	Taupine ; de soie et coton	…	…					
Taureaux	Taureaux	0	0a					...
Tavelle	Tavelle	…	…					
Tavelle ; de laine	Tavelle ; de laine	6	6b					
Tayolles	Tayolles	…	…					
Teinture	Teinture	5	5		5	5		
Télescopes	Télescopes	8	8					
Tendeurs de voiles	Tendeurs de voiles	6	6		6	6		
Tentes	Tentes et voiles	6	6		6	6		
Tentes et voiles	Tentes et voiles	6	6					
Tentes et voiles (en rolles ou pièces)	Tentes et voiles	6	6		6	6		
Téraile ; commune	Téraille	6	6					
Téraille	Téraille	6	6					…
Téraille ; divers	Téraille	6	6					
Tercq	Tercq	…	…					
Terramerita	Terramerita	…	…					
Terre	Terre	2	2					
Terre ; à bâtir	Terre	2	2					
Terre ; à ciment	Terre	2	2					
Terre ; à faïence	Terre	2	2					
Terre ; à faire pippes	Terre	2	2		2	2		
Terre ; à fouler	Terre	2	2		2	2		
Terre ; à foulon	Terre	2	2					...
Terre ; à pipes	Terre	2	2					...
Terre ; à potier	Terre	2	2					
Terre ; à pottier	Terre	2	2		2	2		
Terre ; à pottier et à faire pipes	Terre	2	2		2	2		
Terre ; à pottier et à fouler	Terre	2	2		2	2		
Terre ; à sucre	Terre	0	0b					
Terre ; blanche	Terre	2	2					
Terre ; commune	Terre	2	2		2	2		
Terre ; d'emery	Terre	5	5					
Terre ; d'ombre	Terre	5	5		5	5		...
Terre ; d'ombre de Cologne et de Roucou	Terre	5	5		5	5		
Terre ; de Bologne	Terre	2	2					
Terre ; de ciment	Terre	2	2					
Terre ; de Cologne	Terre	2	2					...
Terre ; de faïence	Terre	2	2					
