marchandises	marchandises_normalisees
Cuirs ; de genisses ; en poil	Cuirs ; de genisse ; en poil
Cuirs ; de Nache coroiés	Cuirs ; de genisse ; en poil
Cuirs ; de Russie	Cuirs ; de Russie
Cuirs ; de vache ; carroiés	Cuirs ; de vache ; corroyés
Cuirs ; de vache ; coroïes	Cuirs ; de vache ; corroyés
Cuirs ; de vache ; coroyés	Cuirs ; de vache ; corroyés
Cuirs ; de vache ; corroïées	Cuirs ; de vache ; corroyés
Cuirs ; de vache ; corroïes	Cuirs ; de genisse ; corroyés
Cuirs ; de vache ; corroïés	Cuirs ; de vache ; corroyés
Cuirs ; de vache ; corroyés	Cuirs ; de vache ; corroyés
Cuirs ; de vache ; en croutte	Cuirs ; de vache ; corroyés
Cuirs ; de vache ; en grain	Cuirs ; de vache ; en grain
Cuirs ; de vache ; en poil	Cuirs ; de vache ; en poil
Cuirs ; de vache ; tannes	Cuirs ; de vache ; tannés
Cuirs ; de vache ; tannés	Cuirs ; de vache ; tannés
Cuirs ; de vache corroyés	Cuirs ; de vache ; corroyés
Cuirs ; de vaches ; corroyés	Cuirs ; de vache ; corroyés
Cuirs ; de vaches ; en poil	Cuirs ; de vache ; en poil
Cuirs ; de vaches ; tannés	Cuirs ; de vache ; tannés
Cuirs ; Divers	Cuirs ; Divers
Cuirs ; doré	Cuirs ; doré
Cuirs ; Du poil ; De bœuf	Cuirs ; de bœuf ; en poil
Cuirs ; Du poil ; De vaches	Cuirs ; de vache ; en poil
Cuirs ; en poil	Cuirs ; de vache ; en poil
Cuirs ; En poil ; Aprêtés ; De bœuf	Cuirs ; de bœuf ; aprestés
Cuirs ; En poil ; De bœuf	Cuirs ; de bœuf ; en poil
Cuirs ; En poil ; De bœufs	Cuirs ; de bœuf ; en poil
Cuirs ; En poil ; De vaches	Cuirs ; de vache ; en poil
Cuirs ; En poil ; Divers	Cuirs ; en poil ; divers
Cuirs ; En retail	Cuirs ; en retail
Cuirs ; Salés divers	Cuirs ; salés ; divers
Cuirs ; Tanés ; De bœuf	Cuirs ; de bœuf ; tannés
Cuirs ; tannés	Cuirs ; de bœuf ; tannés
Cuirs ; Tannés ; De bœuf	Cuirs ; de bœuf ; tannés
Cuirs ; Tannés ; De bœufs	Cuirs ; de bœuf ; tannés
Cuirs ; Tannés ; De vaches	Cuirs ; de vache ; tannés
Cuirs ; Tannés ; Divers	Cuirs ; tannés ; divers
Cuirs ;de vache; tannés	Cuirs ; de vache ; tannés
Cuirs : tannés	Cuirs ; tannés
Cuirs appretés	Cuirs ; apprêtés
Cuirs en poil	Cuirs ; en poil
Cuirs; corroiés	Cuirs ; en poil
Cuirs; corroyés	Cuirs ; en poil
Cuirs; d'hongrie	Cuirs ; en poil
Cuirs; de beuf; en poil	Cuirs ; en poil
Cuirs; de beuf; tannés	Cuirs ; en poil
Cuirs; de beuf;en poil	Cuirs ; en poil
Cuirs; de cheval; en poil	Cuirs ; en poil
Cuirs; de cheval; tannés	Cuirs ; en poil
Cuirs; de genisses corroyés	Cuirs ; en poil
Cuirs; de Russie	Cuirs ; en poil
Cuirs; doré	Cuirs ; en poil
Cuirs; en grains	Cuirs ; en poil
Cuirs; en poil	Cuirs ; en poil
Cuirs; tannés	Cuirs ; en poil
Cuirs. Du poil de bœuf	Cuirs ; de bœuf ; en poil
Cuisse ; d'oye	Cuisses ; d'oie
Cuisses	Cuirs ; de bœuf ; en poil
Cuisses ; d'oye	Cuisses ; d'oie
Cuisses d'oye	Cuisses ; d'oie
Cuisses d'oyes	Cuisses ; d'oie
Cuisses doye	Cuisses ; d'oie
Cuivre	Cuivre
Cuivre ; brun	Cuivre ; brun
Cuivre ; Brut	Cuivre ; brut
Cuivre ; brut	Cuivre ; brut
Cuivre ; cangoul	Cuivre ; tangoul
Cuivre ; de fourure	Cuivre ; de fourure
Cuivre ; Dite Potin	Cuivre ; dite potin
Cuivre ; doré	Cuivre ; doré
Cuivre ; En acume	Cuivre ; en acume
Cuivre ; en balances	Cuivre ; en balances
Cuivre ; en baquets	Cuivre ; en baquets
Cuivre ; en basoins	Cuivre ; en bassins
Cuivre ; en bassin	Cuivre ; en bassins
Cuivre ; en bassins	Cuivre ; en bassins
Cuivre ; En batterie	Cuivre ; en batterie
Cuivre ; en batterie	Cuivre ; en batterie
Cuivre ; en cachets	Cuivre ; en cachets
Cuivre ; en chaudieres	Cuivre ; en chaudieres
Cuivre ; en chaudron	Cuivre ; en chaudieres
Cuivre ; en chaudrons	Cuivre ; en chaudrons
Cuivre ; en clochette	Cuivre ; en clochette
Cuivre ; en coupe	Cuivre ; en chaudrons
Cuivre ; en fando	Cuivre ; en fonos
Cuivre ; en feüille	Cuivre ; en fando
Cuivre ; En feuilles	Cuivre ; en feuilles
Cuivre ; en feuilles	Cuivre ; en feuilles
Cuivre ; en feüilles	Cuivre ; en feuilles
Cuivre ; en fonds	Cuivre ; en fonos
Cuivre ; en fonos	Cuivre ; en fonos
Cuivre ; en fourrure	Cuivre ; en fourrure
Cuivre ; En fourrure et mozette	Cuivre ; en fourure et Rozette
Cuivre ; en fourrures	Cuivre ; en fourrure
Cuivre ; en fourure	Cuivre ; en fourrure
Cuivre ; en grelot	Cuivre ; en grelots
Cuivre ; en grelots	Cuivre ; en grelots
Cuivre ; en hopitaux	Cuivre ; en hopitaux
Cuivre ; en mamaye	Cuivre ; en monnaie
Cuivre ; en marmitte	Cuivre ; en marmites
Cuivre ; en marmittes	Cuivre ; en marmites
Cuivre ; en monnaye	Cuivre ; en monnaie
Cuivre ; en monnoye	Cuivre ; en monnaie
Cuivre ; en planche	Cuivre ; en planches
Cuivre ; En planches	Cuivre ; en planches
Cuivre ; en planches	Cuivre ; en planches
Cuivre ; en plaques	Cuivre ; en plaques
Cuivre ; en platines	Cuivre ; en platines
Cuivre ; en platte	Cuivre ; en platines
Cuivre ; en plattes	Cuivre ; en plattes
Cuivre ; en robinets	Cuivre ; en robinets
Cuivre ; en rouleau	Cuivre ; en rouleau
Cuivre ; en rozelle	Cuivre ; en rozette
Cuivre ; en rozette	Cuivre ; en rozette
Cuivre ; en toupe	Cuivre ; en toupe
Cuivre ; Et en mitraille	Cuivre ; en mitraille
Cuivre ; forgé	Cuivre ; forgé
Cuivre ; jaune	Cuivre ; jaune
Cuivre ; Jaune et rouge	Cuivre ; jaune et rouge
Cuivre ; langout	Cuivre ; tangoul
Cuivre ; Ouvré	Cuivre ; ouvré
Cuivre ; ouvré	Cuivre ; ouvré
Cuivre ; rouge	Cuivre ; rouge
Cuivre ; Tangoul	Cuivre ; tangoul
Cuivre ; tangoul	Cuivre ; tangoul
Cuivre ; tangout	Cuivre ; tangoul
Cuivre ; vieux	Cuivre ; vieux
Cuivre ; Vieux et en mitraille	Cuivre ; vieux et en mitraille
Cuivre ; vieux Et en mitraille	Cuivre ; vieux et en mitraille
Cuivre,bronze et laiton	Cuivre, bronze et laiton
Cuivre; brut	Cuivre ; brut
Cuivre; doré	Cuivre ; doré
Cuivre; en baquets	Cuivre ; en baquets
Cuivre; en bassins	Cuivre ; en bassins
Cuivre; en batterie	Cuivre ; en batterie
Cuivre; en chaudieres	Cuivre ; en chaudieres
Cuivre; en chaudron	Cuivre ; en chaudrons
Cuivre; en chaudrons	Cuivre ; en chaudrons
Cuivre; en clochette	Cuivre ; en clochette
Cuivre; en feuilles	Cuivre ; en feuilles
Cuivre; en feüilles	Cuivre ; en feuilles
Cuivre; en grelots	Cuivre ; en grelots
Cuivre; en hopitaux	Cuivre ; en hopitaux
Cuivre; en lames	Cuivre ; en lames
Cuivre; en limaille	Cuivre ; en limaille
Cuivre; en monnoye	Cuivre ; en monnaie
Cuivre; en planches	Cuivre ; en planches
Cuivre; en plaque	Cuivre ; en plaques
Cuivre; en plaquer	Cuivre ; en plaques
Cuivre; en platiner	Cuivre ; en platines
Cuivre; en platines	Cuivre ; en platines
Cuivre; en platte	Cuivre ; en plattes
Cuivre; en rozette	Cuivre ; en rozette
Cuivre; jaune	Cuivre ; jaune
Cuivre; ouvré	Cuivre ; ouvré
Cuivre; rangoul	Cuivre ; tangoul
Cuivre; rouge	Cuivre ; rouge
Cuivre; tangoul	Cuivre ; tangoul
Cuivre; tangout	Cuivre ; tangoul
Cuivre; vieux	Cuivre ; vieux
Cuivres ; A monnoye	Cuivre ; en monnaie
Cuivres ; Brut	Cuivre ; brut
Cuivres ; Dite Potin	Cuivre ; dite potin
Cuivres ; Divers	Cuivre ; divers
Cuivres ; En feuilles	Cuivre ; en feuilles
Cuivres ; En fourure et Rozette	Cuivre ; en fourure et Rozette
Cuivres ; En neptune	Cuivre ; En neptune
Cuivres ; En planches	Cuivre ; en planches
Cuivres ; Jaune et rouge	Cuivre ; jaune et rouge
Cuivres ; Laminé	Cuivre ; laminé
Cuivres ; Ouvrés	Cuivre ; ouvré
Cuivres: Vieux et en mitraille	Cuivre ; vieux et en mitraille
Cullieres ; de fer	Cuivre ; vieux et en mitraille
Culottes	Culottes
Culottes ; de peau	Culottes ; de peau
Culs ; d'artichaux	Culs ; d'artichaux
Cumin	Cumin
Curcaca	Curcuma
Curcuma	Curcuma
Curlas	Curlas
Curuma	Curcuma
Cuve	Cuve
Cuves	Cuve
Cuvier	Cuvier
Cuviers de terre	Cuviers ; de terre
D'une valeur moindre de 2000 fr chacun	D'une valeur moindre de 2000 francs chacun
D'une valeur moindre de 2000 francs chacun	D'une valeur moindre de 2000 francs chacun
Daïs : pour Eglise	Daïs ; pour Eglise
Damas	Damas
Damas ; à frange d'argent	Damas ; à frange ; d'argent
Dame jannes	Dame-jeanne
Dame jaunes	Dame-jeanne
Dame jeannes	Dame-jeanne
Dame-janes ; clissées	Dame-jeanne
Dame-jannes	Dame-jeanne
Dame-jeanne	Dame-jeanne
Damejannes	Dame-jeanne
Damejaune	Dame-jeanne
Damejaunes	Dame-jeanne
Darins	Darins
Dattes	Dattes
dattes	Dattes
Daufine	Daufine
Dauphine	Daufine
Dauphiné	Daufine
Dechets de pierre	Dechets de pierre
Dechets de pierres	Dechets de pierre
Degra…	Degras ; ?
Degras	Degras
Degras ; de peau	Degras ; de peau
Degras de peau	Degras ; de peau
Degras de peaux	Degras ; de peau
Dégras de peaux	Degras ; de peau
Degrau	Dégrau
Dégrau	Dégrau
Demille	Demille
Demitte	Demitte
Demoiselles	Demoiselles
Dentelle	Dentelle
Dentelle ; à peu de soye	Dentelle ; à peu de soie
Dentelle ; Commune	Dentelle ; commune
Dentelle ; commune	Dentelle ; commune
Dentelle ; d'argent	Dentelle ; d'argent
Dentelle ; d'argent ; faux	Dentelle ; d'argent ; faux
Dentelle ; d'argent ; fin	Dentelle ; d'argent ; fin
Dentelle ; d'or	Dentelle ; d'or
Dentelle ; d'or ; faux	Dentelle ; d'or ; faux
Dentelle ; d'or ; fin	Dentelle ; d'or ; fin
Dentelle ; d'or faux	Dentelle ; d'or ; faux
Dentelle ; de caen	Dentelle ; de fil ; de Caen
Dentelle ; De fil	Dentelle ; de fil
Dentelle ; de fil ; blanc	Dentelle ; de fil ; blanc
Dentelle ; de fil ; commune	Dentelle ; de fil ; commune
Dentelle ; de fil ; comune	Dentelle ; de fil ; commune
Dentelle ; de fil ; d'alençon	Dentelle ; de fil ; d'Alençon
Dentelle ; de fil ; de bergame	Dentelle ; de fil ; de Bergame
Dentelle ; de fil ; de Caen	Dentelle ; de fil ; de Caen
Dentelle ; de fil ; de caen	Dentelle ; de fil ; de Caen
Dentelle ; de fil ; de Caën	Dentelle ; de fil ; de Caen
Dentelle ; de fil ; de Flandre	Dentelle ; de fil ; de Flandre
Dentelle ; de fil ; de flandre	Dentelle ; de fil ; de Flandre
Dentelle ; de fil ; de Guy	Dentelle ; de fil ; du Puy
Dentelle ; de fil ; de lain	Dentelle ; de fil ; de lain
Dentelle ; de fil ; de Normandie	Dentelle ; de fil ; de Normandie
Dentelle ; de fil ; de Puy	Dentelle ; de fil ; du Puy
Dentelle ; de fil ; du Puy	Dentelle ; de fil ; du Puy
Dentelle ; de fil ; du puy	Dentelle ; de fil ; du Puy
Dentelle ; de fil ; fin	Dentelle ; de fil ; fine
Dentelle ; de fil ; fine	Dentelle ; de fil ; fine
Dentelle ; de fil ; grosse	Dentelle ; de fil ; grosse
Dentelle ; de fil ; puy	Dentelle ; de fil ; du Puy
Dentelle ; De fil blanc	Dentelle ; de fil ; blanc
Dentelle ; de fil blanc	Dentelle ; de fil ; blanc
Dentelle ; De fil et soye	Dentelle ; de fil et soie
Dentelle ; de malines	Dentelle ; de malines
Dentelle ; de normandie	Dentelle ; de normandie
Dentelle ; de Puy	Dentelle ; de fil ; du Puy
Dentelle ; de Roüen	Dentelle ; de fil ; du Puy
Dentelle ; De Soye	Dentelle ; de soie
Dentelle ; De soye	Dentelle ; de soie
Dentelle ; de soye	Dentelle ; de soie
Dentelle ; Diverses	Dentelle ; diverse
Dentelle ; dorure ; d'argent	Dentelle ; d'argent
Dentelle ; dorure ; d'or	Dentelle ; d'or
Dentelle ; dorure ; d'or faux	Dentelle ; d'or ; faux
Dentelle ; dorure ; d'or fin	Dentelle ; d'or ; fin
Dentelle ; dorure ; or et arg	Dentelle ; d'or et d'argent
Dentelle ; dorure ; or et argt	Dentelle ; d'or et d'argent
Dentelle ; du Puy	Dentelle ; du Puy
Dentelle ; En dorure	Dentelle ; en dorure
Dentelle ; fil ; blanc	Dentelle ; de fil ; blanc
Dentelle ; fil ; commune	Dentelle ; de fil ; commune
Dentelle ; fil ; grosse	Dentelle ; de fil ; grosse
Dentelle ; fine	Dentelle ; fine
Dentelle ; grosse	Dentelle ; grosse
Dentelle ; grossiere	Dentelle ; grosse
Dentelle ; mi soye	Dentelle ; mi soie
Dentelle ; or et argent	Dentelle ; d'or et d'argent
Dentelle ; or et argent ; fin	Dentelle ; d'or et d'argent ; fin
Dentelle ; or et argent fin	Dentelle ; d'or et d'argent ; fin
Dentelle or et argent	Dentelle ; d'or et d'argent
Dentelle; de fil;  blanc	Dentelle ; de fil ; blanc
Dentelle; de fil; blanc	Dentelle ; de fil ; blanc
Dentelle; de fil; commune	Dentelle ; de fil ; commune
Dentelle; de fil; comune	Dentelle ; de fil ; commune
Dentelle; de fil; de Caen	Dentelle ; de fil ; de Caen
Dentelle; de fil; de Caën	Dentelle ; de fil ; de Caen
Dentelle; de fil; du Buy	Dentelle ; de fil ; du Puy
Dentelle; de fil; grosse	Dentelle ; de fil ; grosse
Dentelle; de fil;blanc	Dentelle ; de fil ; blanc
Dentelle; de soye	Dentelle ; de soie
Dentelle; dorure; d'argent	Dentelle ; d'argent
Dentelle; dorure; d'or	Dentelle ; d'or
Dentelle; dorure; or et argent	Dentelle ; d'or et d'argent
Dentelle; dorures; d'argent	Dentelle ; d'argent
Dentelle; dorures; d'or	Dentelle ; d'or
Dentelle; dorures; or et argent	Dentelle ; d'or et d'argent
Dentelles	Dentelle
Dentelles ; commune	Dentelle ; commune
Dentelles ; Communes	Dentelle ; commune
Dentelles ; de fil ; blanc	Dentelle ; de fil ; blanc
Dentelles ; de fil ; commune	Dentelle ; de fil ; commune
Dentelles ; de fil ; de crin	Dentelle ; de fil ; de crin
Dentelles ; de fil ; de Puy	Dentelle ; de fil ; du Puy
Dentelles ; de fil ; fine	Dentelle ; de fil ; fine
Dentelles ; de fil ; grosse	Dentelle ; de fil ; grosse
Dentelles ; De fil blanc	Dentelle ; de fil ; blanc
Dentelles ; De soye	Dentelle ; de soie
Dentelles ; de soye	Dentelle ; de soie
Dentelles ; or et argent	Dentelle ; d'or et d'argent
Dentelles de fil	Dentelle ; de fil
Dents ; cheval marin	Dents ; de cheval ; marin
Dents ; d'Elephant	Dents ; d'éléphant
Dents ; d'elephant	Dents ; d'éléphant
dents ; d'elephant	Dents ; d'éléphant
Dents ; d'élephant	Dents ; d'éléphant
Dents ; d'éléphant	Dents ; d'éléphant
Dents ; d'éléphants	Dents ; d'éléphant
Dents ; de morphil	Dents ; de morphil
Dents ; de morphit	Dents ; de morphil
Dents ; de vache marine	Dents ; de vache marine
Dents; d'Elephant	Dents ; d'éléphant
Dents; de morphil	Dents ; de morphil
Dents; de vache marine	Dents ; de vache marine
Dents; des norphil	Dents ; de morphil
Des à joüer	Des à joüer
Dez	Dez
Dez ; à coudre	Dez ; à coudre
Dez ; à joüer	Des à joüer
Dez ; de cuivre	Dez ; de cuivre
Dez ; de fer	Dez ; de fer
Dez ; de leton	Dez ; de leton
Dez a coudre	Dez a coudre
Dez à coudre	Dez ; à coudre
Diamants fin	Diamants fins
Diamants fins	Diamants fins
Dictamus	Dictamus
Dimelle	Dimelle
Dindons	Dindons
Dissouchaïe	Dissouchaye
Dissouchaye	Dissouchaye
Ditors	Ditors
Domino	Domino
Dominoterie	Dominoterie
Doreas	Doréas
Doréas	Doréas
Dorure ; fausse	Dorure ; fausse
Dorure ; fine	Dorure ; fine
Dorure fausse	Dorure ; fausse
Dorure fine	Dorure ; fine
Dorure; fausse	Dorure ; fausse
Dorure; fine	Dorure ; fine
Dorure;fine	Dorure ; fine
Dorures fines	Dorure ; fine
Dospin ; en pierre	Dospin ; en pierre
Dossiers ; de chaises	Dossiers ; de chaises
Dossiers de chaises	Dossiers ; de chaises
Doüeles ; à tonneaux	Doüelles ; à tonneaux
Doüelles	Doüelles
Doüelles ; à barique	Doüelles ; à barriques
Doüelles ; à bariques	Doüelles ; à barriques
Doüelles ; à fonds	Doüelles ; à fonds
Doüelles ; à pipes	Doüelles ; à pipes
Doüelles ; à quarts	Doüelles ; à quartz
Doüelles ; à quartz	Doüelles ; à quartz
Doüelles ; à toneaux	Doüelles ; à tonneaux
Doüelles ; à tonneaux	Doüelles ; à tonneaux
Doüelles ; de sapin	Doüelles ; de sapin
Doüelles ; fonçaille	Doüelles ; fonçaille
Drache	Drache
Draches	Draches
Dragees	Dragées
Dragées	Dragées
Dragonnes d'epées	Dragonnes ; d'epées
Drap ; à doubler	Drap ; à doubler
Drap ; crepe de Reims	Drap ; crepe ; de Reims
Drap ; d'abbeville	Drap ; d'Abbeville
Drap ; d'Abbeville	Drap ; d'Abbeville
Drap ; d'Abbevitte	Drap ; d'Abbeville
Drap ; d'abbevitte	Drap ; d'Abbeville
Drap ; d'Amiens	Drap ; d'Amiens
Drap ; d'Andelis	Drap ; d'Andelis
Drap ; d'Angleterre	Drap ; d'Angleterre
Drap ; d'Arnelat	Drap ; d'Angleterre
Drap ; d'Arnetal	Drap ; d'Arnetal
Drap ; d'arnetal	Drap ; d'Arnetal
Drap ; d'Aructal	Drap ; d'Aructal
Drap ; d'aufine	Drap ; daufine
Drap ; d'aumale	Drap ; d'Aumale
Drap ; d'Elbeuf	Drap ; d'Elbeuf
Drap ; d'elbeuf	Drap ; d'Elbeuf
Drap ; d'estames	Drap ; d'estames
Drap ; d'Hollande	Drap ; d'Hollande
Drap ; daufine	Drap ; daufine
Drap ; de Carcassone	Drap ; de Carcassonne
Drap ; de Carcassonne	Drap ; de Carcassonne
Drap ; de carcassonne	Drap ; de Carcassonne
Drap ; de castor	Drap ; de castor
Drap ; de Dauphiné	Drap ; de castor
Drap ; de filesie	Drap ; de castor
Drap ; de France	Drap ; de France
Drap ; de glaster	Drap ; de France
Drap ; de Glates	Drap ; de Glates
Drap ; de lain	Drap ; de Glates
Drap ; de laine	Drap ; de laine
Drap ; de laine ; bleu	Drap ; de laine ; bleu
Drap ; de laine ; commun	Drap ; de laine
Drap ; de laine ; corbillard	Drap ; de laine ; cordeillard
Drap ; de laine ; cordeillard	Drap ; de laine ; cordeillard
Drap ; de laine ; cordellat	Drap ; de laine ; cordellat
Drap ; de laine ; d'Amiens	Drap ; de laine ; d'Amiens
Drap ; de laine ; d'Andelis	Drap ; de laine ; d'Andelis
Drap ; de laine ; d'Angleterre	Drap ; de laine ; d'Angleterre
Drap ; de laine ; d'angleterre	Drap ; de laine ; d'Angleterre
Drap ; de laine ; d'Arnetal	Drap ; de laine ; d'Arnetal
Drap ; de laine ; d'Ebeuf	Drap ; de laine ; d'Elbeuf
Drap ; de laine ; d'Elbeuf	Drap ; de laine ; d'Elbeuf
Drap ; de laine ; d'Elbœuf	Drap ; de laine ; d'Elbeuf
Drap ; de laine ; d'Hollande	Drap ; de laine ; d'Hollande
Drap ; de laine ; d'hollande	Drap ; de laine ; d'Hollande
Drap ; de laine ; de ?	Drap ; de laine ; de ?
Drap ; de laine ; de carcasonne	Drap ; de laine ; de Carcassonne
Drap ; de laine ; de Carcassone	Drap ; de laine ; de Carcassonne
Drap ; de laine ; de Carcassonne	Drap ; de laine ; de Carcassonne
Drap ; de laine ; de castor	Drap ; de laine ; de castor
Drap ; de laine ; de ceremonie	Drap ; de laine ; de ceremonie
Drap ; de laine ; de cordeillard	Drap ; de laine ; cordeillard
Drap ; de laine ; de Cours	Drap ; de laine ; de Cours
Drap ; de laine ; de France	Drap ; de laine ; de France
Drap ; de laine ; de Languede	Drap ; de laine ; de Languedoc
Drap ; de laine ; de Languedoc	Drap ; de laine ; de Languedoc
Drap ; de laine ; de languedoc	Drap ; de laine ; de Languedoc
Drap ; de laine ; de Lille	Drap ; de laine ; de Lille
Drap ; de laine ; de Louviere	Drap ; de laine ; de Louviers
Drap ; de laine ; de Louviers	Drap ; de laine ; de Louviers
Drap ; de laine ; de louviers	Drap ; de laine ; de Louviers
Drap ; de laine ; de Montanban	Drap ; de laine ; de Montauban
Drap ; de laine ; de Montauban	Drap ; de laine ; de Montauban
Drap ; de laine ; de Nanrabais	Drap ; de laine ; de Nanrabais
Drap ; de laine ; de Nison	Drap ; de laine ; de Nison
Drap ; de laine ; de Rome	Drap ; de laine ; de Rome
Drap ; de laine ; de Rouen	Drap ; de laine ; de Rouen
Drap ; de laine ; de Saint Robert	Drap ; de laine ; de Saint Robert
Drap ; de laine ; de san Robert	Drap ; de laine ; de van Robais
Drap ; de laine ; de Sedan	Drap ; de laine ; de Sedan
Drap ; de laine ; de Selesie	Drap ; de laine ; de Silesie
Drap ; de laine ; de Silesie	Drap ; de laine ; de Silesie
Drap ; de laine ; de Silesse	Drap ; de laine ; de Silesie
Drap ; de laine ; de Sir	Drap ; de laine ; de Sir
Drap ; de laine ; de Van-robets	Drap ; de laine ; de Vanrobais
Drap ; de laine ; de Vanrobais	Drap ; de laine ; de Vanrobais
Drap ; de laine ; de vanRobent	Drap ; de laine ; de van Robais
Drap ; de laine ; divers	Drap ; de laine ; diverses
Drap ; de laine ; diverses	Drap ; de laine ; diverses
Drap ; de laine ; du Nord	Drap ; de laine ; du Nord
Drap ; de laine ; ecarlatte	Drap ; de laine ; écarlatte
Drap ; de laine ; écarlatte	Drap ; de laine ; écarlatte
Drap ; de laine ; étranger	Drap ; de laine ; étranger
Drap ; de laine ; fin	Drap ; de laine ; fin
Drap ; de laine ; Londrin	Drap ; de laine ; Londrin
Drap ; de Languedoc	Drap ; de Languedoc
Drap ; de Lille	Drap ; de Lille
Drap ; de lit	Drap ; de lit
Drap ; de Lodeve	Drap ; de Lodeve
Drap ; de Louvier	Drap ; de Lodeve
Drap ; de Louviers	Drap ; de Louvier
Drap ; de Montauban	Drap ; de Montauban
Drap ; de Rouen	Drap ; de Rouen
Drap ; de Roüen	Drap ; de Rouen
Drap ; de Saint Lo	Drap ; de Saint Lo
Drap ; de Sedan	Drap ; de Sedan
Drap ; de Silesie	Drap ; de Silesie
Drap ; de Varobais	Drap ; de Varobais
Drap ; divers	Drap ; divers
Drap ; drapée	Drap ; drapé
Drap ; draperie ; bay???	Drap ; de laine ; bayette
Drap ; draperie ; bayette	Drap ; de laine ; bayette
Drap ; draperie ; bryelle	Drap ; de laine ; bryelle
Drap ; draperie ; buras	Drap ; de laine ; buras
Drap ; draperie ; cad???	Drap ; de laine ; ?
Drap ; draperie ; capots	Drap ; de laine ; capots
Drap ; draperie ; crep de Reins	Drap ; de laine ; crepe ; de Reims
Drap ; draperie ; crepe de Reims	Drap ; de laine ; crepe ; de Reims
Drap ; draperie ; d'Amiens	Drap ; de laine ; d'Amiens
Drap ; draperie ; daufine	Drap ; de laine ; daufine
Drap ; draperie ; de Carcassonne	Drap ; draperie ; de Carcassonne
Drap ; draperie ; de fine	Drap ; de laine ; fin
Drap ; draperie ; de montauban	Drap ; draperie ; de montauban
Drap ; draperie ; diverse	Drap ; draperie ; diverse
Drap ; draperie ; dragues	Drap ; de laine ; dragues
Drap ; draperie ; draguet	Drap ; de laine ; dragues
Drap ; draperie ; drogues	Drap ; de laine ; drogues
Drap ; draperie ; espagnolette	Drap ; de laine ; espagnolette
Drap ; draperie ; flanelle	Drap ; de laine ; flanelle
Drap ; draperie ; frac	Drap ; draperie ; frac
Drap ; draperie ; furaine	Drap ; draperie ; futaine
Drap ; draperie ; futaine	Drap ; draperie ; futaine
Drap ; draperie ; irtaine	Drap ; de laine ; irtaine
Drap ; draperie ; layette	Drap ; draperie ; layette
Drap ; draperie ; molton	Drap ; de laine ; molton
Drap ; draperie ; motton	Drap ; de laine ; molton
Drap ; draperie ; moutade	Drap ; draperie ; moutade
Drap ; draperie ; ordinaire	Drap ; de laine ; ordinaire
Drap ; draperie ; ordinnaire	Drap ; de laine ; ordinaire
Drap ; draperie ; Oroguet	Drap ; de laine ; oroguet
Drap ; draperie ; petite	Drap ; draperie ; petite
Drap ; draperie ; pinchina	Drap ; de laine ; pinchina
Drap ; draperie ; pivchina	Drap ; de laine ; pinchina
Drap ; draperie ; ratine	Drap ; de laine ; ratine
Drap ; draperie ; ratiné	Drap ; de laine ; ratine
Drap ; draperie ; raz ; de castor	Drap ; draperie ; petite
Drap ; draperie ; raz ; de maroc	Drap ; draperie ; petite
Drap ; draperie ; raz de maroc	Drap ; de laine ; raz de maroc
Drap ; draperie ; serge	Drap ; de laine ; serge
Drap ; draperie ; serge de laine	Drap ; de laine ; serge de laine
Drap ; draperie ; Serge delaine	Drap ; de laine ; serge de laine
Drap ; draperie ; sergette	Drap ; de laine ; sergette
Drap ; draperie ; tricots	Drap ; draperie ; tricots
Drap ; draperie ; vatine	Drap ; draperie ; vatine
Drap ; draperie daufine	Drap ; de laine ; daufine
Drap ; draperie; Serge de laine	Drap ; de laine ; serge de laine
Drap ; drogues ; d'Hollande	Drap ; droguet ; d'Hollande
Drap ; drogues ; de laine	Drap ; droguet ; de laine
Drap ; drogues ; fil et laine	Drap ; droguet ; de fil et laine
Drap ; droguet ; d'Hollande	Drap ; droguet ; d'Hollande
Drap ; droguet ; de laine	Drap ; droguet ; de laine
Drap ; droguet ; fil et laine	Drap ; droguet ; de fil et laine
Drap ; droguet d'hollande	Drap ; droguet ; d'Hollande
Drap ; Ecarlatte	Drap ; écarlatte
Drap ; ecarlatte	Drap ; écarlatte
Drap ; écarlatte	Drap ; écarlatte
Drap ; fin	Drap ; fin
Drap ; Gauffré	Drap ; gauffré
Drap ; imprimée	Drap ; imprimé
Drap ; Londrin	Drap ; Londrin
Drap ; londrin	Drap ; Londrin
Drap ; Loudrin	Drap ; Londrin
Drap ; ratine	Drap ; ratine
Drap ; raz ; de castor	Drap ; raz ; de castor
Drap ; raz ; de maroc	Drap ; raz ; de maroc
Drap ; Serge ; à doubler	Drap ; Serge ; à doubler
Drap ; Serge ; à doubles	Drap ; Serge ; à doubler
Drap ; Serge ; d'aumale	Drap ; Serge ; d'aumale
Drap ; Serge ; de laine	Drap ; Serge ; de laine
Drap ; Serge ; de Lille	Drap ; Serge ; de Lille
Drap ; Serge ; de Montauban	Drap ; Serge ; de Montauban
Drap ; Serge ; drapée	Drap ; Serge ; drapée
Drap ; Serge ; forte	Drap ; Serge ; d'aumale
Drap ; Serge ; imprimé	Drap ; Serge ; d'aumale
Drap ; Serge ; imprimée	Drap ; Serge ; imprimée
Drap ; verd	Drap ; verd
Drap ;draperie; raz de maroc	Drap ; de laine ; raz de maroc
