marchandises	marchandises_normalisees_inter	marchandises_normalisees	product_prix	dutchtranslation	englishproduct	unit	alternativenames	source_rg_1774	source_rgbase	source_france	source_france_direction	source_sound
///Objets manufacturés///Mouchoirs divers et des Indes	Mouchoirs ; divers	Mouchoirs ; divers						0	0	1	0	
///Objets manufacturés///Mousselines	Mousseline	Mousseline						0	0	1	0	
///Objets manufacturés///Objets manufacturés réunis	Objets ; manufacturés ; réunis	Objets ; manufacturés ; réunis						0	0	1	0	
///Objets manufacturés///Rubannerie de soie	Rubannerie ; de soie	Rubannerie ; de soie						0	0	1	0	
///Objets manufacturés///Rubannerie ordinaire	Rubannerie ; ordinaire	Rubannerie ; ordinaire						0	0	1	0	
///Objets manufacturés///Rubanneries diverses	Rubannerie ; diverse	Rubannerie ; diverse						0	0	1	0	
///Objets manufacturés///Soierie en étoffe, mouchoirs, gazes et rubans	Soierie en étoffe, mouchoirs, gazes et rubans	Soierie en étoffe, mouchoirs, gazes et rubans						0	0	1	0	
///Objets manufacturés///Soirie en étoffe ,mouchoirs, gazes et rubans	Soierie en étoffe, mouchoirs, gazes et rubans	Soierie en étoffe, mouchoirs, gazes et rubans						0	0	1	0	
///Objets manufacturés///Soirie en étoffe, mouchoirs,gazes et rubans	Soierie en étoffe, mouchoirs, gazes et rubans	Soierie en étoffe, mouchoirs, gazes et rubans						0	0	1	0	
///Objets manufacturés///Toile de coton	Toile ; de coton	Toile ; de coton						0	0	1	0	
///Objets manufacturés///Toile de fil et coton	Toile ; de fil et coton	Toile ; de fil et coton						0	0	1	0	
///Objets manufacturés///Toiles de coton	Toile ; de coton	Toile ; de coton						0	0	1	0	
///Objets manufacturés///Toiles de coton, mousseline et nankin	Toile ; de coton, mousseline et nankin	Toile ; de coton, mousseline et nankin						0	0	1	0	
///Objets manufacturés///Toiles de coton, mousseline, nankin, et des Indes	Toile ; de coton, mousseline, nankin et des indes	Toile ; de coton, mousseline, nankin et des indes						0	0	1	0	
///Objets manufacturés///Toiles de fil et coton	Toile ; de fil et coton	Toile ; de fil et coton						0	0	1	0	
///Objets manufacturés///Toiles de lin et chanvre	Toile ; de lin et chanvre	Toile ; de lin et chanvre						0	0	1	0	
///Objets manufacturés///Toiles de lin et de chanvre	Toile ; de lin et chanvre	Toile ; de lin et chanvre						0	0	1	0	
///Objets manufacturés///Toiles diverses de lin et de chanvre	Toile ; de lin et chanvre ; diverse	Toile ; de lin et chanvre ; diverse						0	0	1	0	
///Objets manufacturés///Toiles diverses en lin et chanvre	Toile ; de lin et chanvre ; diverse	Toile ; de lin et chanvre ; diverse						0	0	1	0	
///Objets manufacturés///Toiles en coton, mousseline et nankin	Toile ; de coton, mousseline et nankin	Toile ; de coton, mousseline et nankin						0	0	1	0	
1///Matières première///Articles réunis	Armes ; réunies	Armes ; réunies						0	0	1	0	
1///Matières première///Coton	Coton	Coton						0	0	1	0	
1///Matières première///Fil	Fil	Fil						0	0	1	0	
1///Matières première///Laine	Laine	Laine						0	0	1	0	
1///Matières première///Soie	Soie	Soie						0	0	1	0	
1///Matières premières///Chanvre	Chanvre	Chanvre						0	0	1	0	
1///Matières premières///Chanvre et lin	Chanvre et lin	Chanvre et lin						0	0	1	0	
1///Matières premières///Coton	Coton	Coton						0	0	1	0	
1///Matières premières///Fil	Fil	Fil						0	0	1	0	
1///Matières premières///Laine	Laine	Laine						0	0	1	0	
1///Matières premières///Lin	Lin	Lin						0	0	1	0	
1///Matières premières///Poil de chevre, lièvre et lapin	Poil ; de chèvre, lièvre et lapin	Poil ; de chèvre, lièvre et lapin						0	0	1	0	
1///Matières premières///Poil de chèvre, lièvre et lapin	Poil ; de chèvre, lièvre et lapin	Poil ; de chèvre, lièvre et lapin						0	0	1	0	
1///Matières premières///Soie	Soie	Soie						0	0	1	0	
1///Matières premières///Soie et filoselle	Soie ; filoselle	Soie ; filoselle						0	0	1	0	
1///Subsistances///Bestiaux en Bœufs, vaches, porcs, moutons	Bestiaux ; en bœufs, vaches, porcs et moutons	Bestiaux ; en bœufs, vaches, porcs et moutons						0	0	1	0	
1///Subsistances///Bestiaux en bœufs, vaches, porcs, moutons	Bestiaux ; en bœufs, vaches, porcs et moutons	Bestiaux ; en bœufs, vaches, porcs et moutons						0	0	1	0	
1///Subsistances///Bestiaux en bœufs, vaches, veaux, porcs et moutons	Bestiaux ; en bœufs, vaches, veaux, porcs et moutons	Bestiaux ; en bœufs, vaches, veaux, porcs et moutons						0	0	1	0	
1///Subsistances///Bestiaux en bœufs,vaches, veaux, porcs et moutons	Bestiaux ; en bœufs, vaches, veaux, porcs et moutons	Bestiaux ; en bœufs, vaches, veaux, porcs et moutons						0	0	1	0	
1///Subsistances///Bestiaux en bœufs,vaches,porcs moutons	Bestiaux ; en bœufs, vaches, porcs et moutons	Bestiaux ; en bœufs, vaches, porcs et moutons						0	0	1	0	
1///Subsistances///Bestiaux en bœufs,vaches,veaux et moutons	Bestiaux ; en bœufs, vaches, porcs et moutons	Bestiaux ; en bœufs, vaches, porcs et moutons						0	0	1	0	
1///Subsistances///Beurre	Beurre	Beurre						0	0	1	0	
1///Subsistances///Bière	Bière	Bière						0	0	1	0	
1///Subsistances///Bière, cidre et vinaigre	Bière, cidre et vinaigre	Bière, cidre et vinaigre						0	0	1	0	
1///Subsistances///Biscuit de mer	Biscuits ; de mer	Biscuits ; de mer						0	0	1	0	
1///Subsistances///Biscuits de mer et pâtes d'Italie	Biscuit ; de mer et pâtes d'Italie	Biscuit ; de mer et pâtes d'Italie						0	0	1	0	
1///Subsistances///Blé	Blé	Blé						0	0	1	0	
1///Subsistances///Blé et autres grains	Blé et autres grains	Blé et autres grains						0	0	1	0	
1///Subsistances///Blé et autres grains comestibles	Blé et autres grains ; comestibles	Blé et autres grains ; comestibles						0	0	1	0	
