marchandises_normalisees	marchandises_pour_graphe_RG	SITC_rev1	SITC_18th	remarks_marchandises	_merge
Drogues ; Composées pour la médecine ; Crême à tartre	...	5	5		matched (3)
Drogues ; Composées pour la médecine ; Cristal de tartot	...	5	5		matched (3)
Drogues ; Composées pour la médecine ; Diverses	...	5	5		matched (3)
Drogues ; Composées pour la médecine ; Jus de reglise	...	5	5		matched (3)
Drogues ; Composées pour la médecine ; Jus de réglise	...	5	5		matched (3)
Drogues ; Composées pour la médecine ; Mane	...	5	5		matched (3)
Drogues ; Composées pour la médecine ; Opium	...	5	5		matched (3)
Drogues ; Composées pour la médecine ; Poudre brillant	...	5	5		matched (3)
Drogues ; Composées pour la médecine ; Précipité	...	5	5		matched (3)
Drogues ; Composées pour la médecine ; Résine de Jalap	...	5	5		matched (3)
Drogues ; Composées pour la médecine ; Sableuée	...	5	5		matched (3)
Drogues ; Composées pour la médecine ; Sang dragon	...	5	5		matched (3)
Drogues ; Composées pour la médecine ; Scamonée	...	5	5		matched (3)
Drogues ; Composées pour la médecine ; Scamousée	...	5	5		matched (3)
Drogues ; Composées pour la médecine ; Storax	...	5	5		matched (3)
Drogues ; Composées pour la médecine ; Sublime	...	5	5		matched (3)
Drogues ; De castor	...	5	5		matched (3)
Drogues ; De laine	...	5	5		matched (3)
Drogues ; De laine et fil	...	5	5		matched (3)
Drogues ; Drogues réunies ; Diverses	...	5	5		matched (3)
Drogues ; Gommes ; Diverses	...	5	5		matched (3)
Drogues ; Gommes ; Lacque	...	5	5		matched (3)
Drogues ; Gommes ; Myrrhe	...	5	5		matched (3)
Drogues ; Gommes ; Sandarac	...	5	5		matched (3)
Drogues ; Gommes ; Sénégal	...	5	5		matched (3)
Drogues ; Huile de vitriol	...	5	5		matched (3)
Drogues ; Huile et essence de Térébenthine ; Diverses	...	5	5		matched (3)
Drogues ; Médecinales ; ?	...	5	5		master only (1)
Drogues ; Médecinales ; Beaume de Copahu	...	5	5		master only (1)
Drogues ; Médecinales ; Benjoin	...	5	5		master only (1)
Drogues ; Médecinales ; Camphre	...	5	5		master only (1)
Drogues ; Médecinales ; Canefice	...	5	5		master only (1)
Drogues ; Médecinales ; Cantharides	...	5	5		master only (1)
Drogues ; Médecinales ; Capilaire	...	5	5		master only (1)
Drogues ; Médecinales ; Casse	...	5	5		master only (1)
Drogues ; Médecinales ; Cassia lignea	...	5	5		master only (1)
Drogues ; Médecinales ; Cevadille	...	5	5		master only (1)
Drogues ; Médecinales ; Chicolin	...	5	5		master only (1)
Drogues ; Médecinales ; Chimiques ; Eau forte	...	5	5		master only (1)
Drogues ; Médecinales ; Coloquinte	...	5	5		master only (1)
Drogues ; Médecinales ; Cordial	...	5	5		master only (1)
Drogues ; Médecinales ; Corque du Levant	...	5	5		master only (1)
Drogues ; Médecinales ; Crème de tartre	...	5	5		master only (1)
Drogues ; Médecinales ; Cumin	...	5	5		master only (1)
Drogues ; Médecinales ; Diverses	...	5	5		master only (1)
Drogues ; Médecinales ; Eau sederale	...	5	5		master only (1)
Drogues ; Médecinales ; Eau vulneraire	…	5	5		master only (1)
Drogues ; Médecinales ; Gentiane	...	5	5		master only (1)
Drogues ; Médecinales ; Huile d'amande douce	...	5	5		master only (1)
Drogues ; Médecinales ; Ipécacuana	...	5	5		master only (1)
Drogues ; Médécinales ; Jalap	...	5	5		matched (3)
Drogues ; Médecinales ; Jus de réglisse	...	5	5		master only (1)
Drogues ; Médecinales ; Manne	...	5	5		master only (1)
Drogues ; Médecinales ; Opium	...	5	5		master only (1)
Drogues ; Médecinales ; Pignons d'Inde	...	5	5		master only (1)
Drogues ; Médecinales ; Précipité	...	5	5		master only (1)
Drogues ; Médecinales ; Quinquina	...	5	5		master only (1)
Drogues ; Médecinales ; Racines diverses	...	5	5		master only (1)
Drogues ; Médecinales ; Réunies	...	5	5		master only (1)
Drogues ; Médecinales ; Rhubarbe	...	5	5		master only (1)
Drogues ; Médecinales ; Saffran	...	5	5		master only (1)
Drogues ; Médecinales ; Salsepareille	...	5	5		master only (1)
Drogues ; Médecinales ; Seamanée	...	5	5		master only (1)
Drogues ; Médecinales ; Semen contra	...	5	5		master only (1)
Drogues ; Médecinales ; Séné	...	5	5		master only (1)
Drogues ; Médecinales ; Stafisaigre	...	5	5		master only (1)
Drogues ; Médecinales ; Storax	...	5	5		master only (1)
Drogues ; Médecinales ; Tamarin	...	5	5		master only (1)
Drogues ; Médecinales ; Thériaque	...	5	5		master only (1)
Drogues ; Médecinales ; Vanille	...	5	5		master only (1)
Drogues ; Médecinales ; Zedonire	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; ?	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Aristoloche	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Carrue	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Casse en baton	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Cassia siguea	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Cassialiguca	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Civadille	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Coloquinte	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Coque levant	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Coriandre	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Cumin	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Diverses	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Fleur de benjoin	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Galanga	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Genseng	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Jalop	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Ogarie	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Qumquina	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Racines diverses	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Réglisse	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Rhubarbe	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Saffran	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Salsepareille	...	5	5		master only (1)
Drogues ; Medecinales en plantes ; Sebestre	...	5	5		matched (3)
Drogues ; Médecinales en plantes ; Séné	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Simarouba	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Tamarin	...	5	5		master only (1)
Drogues ; Médecinales en plantes ; Tournesol	...	5	5		master only (1)
Drogues ; Médicinales ; ?	…	5	5		matched (3)
Drogues ; Médicinales ; Beaume de Copahu	…	5	5		matched (3)
Drogues ; Médicinales ; Benjoin	…	5	5		matched (3)
Drogues ; Médicinales ; Camphre	…	5	5		matched (3)
Drogues ; Médicinales ; Canefice	…	5	5		matched (3)
Drogues ; Médicinales ; Cantharides	…	5	5		matched (3)
Drogues ; Médicinales ; Capilaire	…	5	5		matched (3)
Drogues ; Médicinales ; Casse	…	5	5		matched (3)
Drogues ; Médicinales ; Cassia lignea	…	5	5		matched (3)
Drogues ; Médicinales ; Cevadille	…	5	5		matched (3)
Drogues ; Médicinales ; Chicolin	…	5	5		matched (3)
Drogues ; Médicinales ; Chimiques ; Eau forte	…	5	5		matched (3)
Drogues ; Médicinales ; Coloquinte	…	5	5		matched (3)
Drogues ; Médicinales ; Cordial	…	5	5		matched (3)
Drogues ; Médicinales ; Corque du Levant	…	5	5		matched (3)
Drogues ; Médicinales ; Crème de tartre	…	5	5		matched (3)
Drogues ; Médicinales ; Cumin	…	5	5		matched (3)
Drogues ; Médicinales ; Diverses	…	5	5		matched (3)
Drogues ; Médicinales ; Eau sederale	…	5	5		matched (3)
Drogues ; Médicinales ; Eau vulneraire	…	5	5		matched (3)
Drogues ; Médicinales ; Gentiane	…	5	5		matched (3)
Drogues ; Médicinales ; Huile d'amande douce	…	5	5		matched (3)
Drogues ; Médicinales ; Ipécacuana	…	5	5		matched (3)
Drogues ; Médicinales ; Jus de réglisse	…	5	5		matched (3)
Drogues ; Médicinales ; Manne	…	5	5		matched (3)
Drogues ; Médicinales ; Opium	…	5	5		matched (3)
Drogues ; Médicinales ; Pignons d'Inde	…	5	5		matched (3)
Drogues ; Médicinales ; Précipité	…	5	5		matched (3)
Drogues ; Médicinales ; Quinquina	…	5	5		matched (3)
Drogues ; Médicinales ; Racines diverses	…	5	5		matched (3)
Drogues ; Médicinales ; Réunies	…	5	5		matched (3)
Drogues ; Médicinales ; Rhubarbe	…	5	5		matched (3)
Drogues ; Médicinales ; Saffran	…	5	5		matched (3)
Drogues ; Médicinales ; Salsepareille	…	5	5		matched (3)
Drogues ; Médicinales ; Seamanée	…	5	5		matched (3)
Drogues ; Médicinales ; Semen contra	…	5	5		matched (3)
Drogues ; Médicinales ; Séné	…	5	5		matched (3)
Drogues ; Médicinales ; Stafisaigre	…	5	5		matched (3)
Drogues ; Médicinales ; Storax	…	5	5		matched (3)
Drogues ; Médicinales ; Tamarin	…	5	5		matched (3)
Drogues ; Médicinales ; Thériaque	…	5	5		matched (3)
Drogues ; Médicinales ; Vanille	…	5	5		matched (3)
Drogues ; Médicinales ; Zedonire	…	5	5		matched (3)
Drogues ; Médicinales en plantes ; ?	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Aristoloche	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Carrue	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Casse en baton	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Cassia siguea	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Cassialiguca	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Civadille	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Coloquinte	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Coque levant	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Coriandre	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Cumin	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Diverses	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Fleur de benjoin	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Galanga	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Genseng	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Jalop	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Ogarie	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Qumquina	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Racines diverses	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Réglisse	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Rhubarbe	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Saffran	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Salsepareille	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Séné	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Simarouba	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Tamarin	…	2	2		matched (3)
Drogues ; Médicinales en plantes ; Tournesol	…	2	2		matched (3)
Drogues ; Mêlées ; Asfafélida	...	5	5		matched (3)
Drogues ; Mêlées ; Blanc de baleine	...	5	5		matched (3)
Drogues ; Mêlées ; Bongras animal	...	5	5		matched (3)
Drogues ; Mêlées ; Diverses	...	5	5		matched (3)
Drogues ; Mêlées ; Diverses ; Blanc de Baleine	...	5	5		matched (3)
Drogues ; Mêlées ; Diverses ; Borax	...	5	5		matched (3)
Drogues ; Mêlées ; Doraze	...	5	5		matched (3)
Drogues ; Mêlées ; Essence de Thérebentine	…	5	5		matched (3)
Drogues ; Mêlées ; Essence de vitriol	...	5	5		matched (3)
Drogues ; Mêlées ; Galbanum	...	5	5		matched (3)
Drogues ; Mêlées ; Gommes ; Adragante	...	5	5		matched (3)
Drogues ; Mêlées ; Gommes ; Arabique	...	5	5		matched (3)
Drogues ; Mêlées ; Gommes ; Commune	...	5	5		matched (3)
Drogues ; Mêlées ; Gommes ; D'Amérique	...	5	5		matched (3)
Drogues ; Mêlées ; Gommes ; De Barbarie	...	5	5		matched (3)
Drogues ; Mêlées ; Gommes ; De Cenzier	...	5	5		matched (3)
Drogues ; Mêlées ; Gommes ; De Gayac	...	5	5		matched (3)
Drogues ; Mêlées ; Gommes ; De Sandarac	...	5	5		matched (3)
Drogues ; Mêlées ; Gommes ; Diverses	...	5	5		matched (3)
Drogues ; Mêlées ; Gommes ; Elastiques	...	5	5		matched (3)
Drogues ; Mêlées ; Gommes ; Elemy	...	5	5		matched (3)
Drogues ; Mêlées ; Gommes ; Euphorbe	...	5	5		matched (3)
Drogues ; Mêlées ; Gommes ; Galanga	...	5	5		matched (3)
Drogues ; Mêlées ; Gommes ; Gedda	...	5	5		matched (3)
Drogues ; Mêlées ; Gommes ; Gutte	...	5	5		matched (3)
Drogues ; Mêlées ; Gommes ; Lacque	...	5	5		matched (3)
Drogues ; Mêlées ; Gommes ; Sénégal	...	5	5		matched (3)
Drogues ; Mêlées ; Gousses arabiques	...	5	5		matched (3)
Drogues ; Mêlées ; Gousses de sandarac	...	5	5		matched (3)
Drogues ; Mêlées ; Gousses diverses	...	5	5		matched (3)
Drogues ; Mêlées ; Gousses du Senegal	...	5	5		matched (3)
Drogues ; Mêlées ; Gousses gatte	...	5	5		matched (3)
Drogues ; Mêlées ; Gousses lagne	...	5	5		matched (3)
Drogues ; Mêlées ; Graines diverses	...	5	5		matched (3)
Drogues ; Mêlées ; Huile d'ammande	...	5	5		matched (3)
Drogues ; Mêlées ; Mastic	...	5	5		matched (3)
Drogues ; Mêlées ;?	...	5	5		matched (3)
Drogues ; Métalliques ; Antimoine	...	5	5		matched (3)
Drogues ; Métalliques ; Argent vif	...	5	5		matched (3)
Drogues ; Métalliques ; Arsenic	...	5	5		matched (3)
Drogues ; Metalliques ; Auchinoise	...	5	5		matched (3)
Drogues ; Métalliques ; Diverses	...	5	5		matched (3)
Drogues ; Métalliques ; Litharge	...	5	5		matched (3)
Drogues ; Metalliques ; Mercure	...	5	5		matched (3)
Drogues ; Métalliques ; Mercure	...	5	5		matched (3)
Drogues ; Metalliques ; Piharge	...	5	5		matched (3)
Drogues ; Métalliques ; Toutenague	...	5	5		matched (3)
Drogues ; Métalliques ; Vitriol	...	5	5		matched (3)
Drogues ; Odorantes ; Ambre gris	...	5	5		matched (3)
Drogues ; Odorantes ; Ambre jaune	...	5	5		matched (3)
Drogues ; Odorantes ; Diverses	...	5	5		matched (3)
Drogues ; Odorantes ; encens	...	5	5		matched (3)
Drogues ; Odorantes ; Musc	...	5	5		matched (3)
Drogues ; Pour la peinture ; Alquifoux	...	5	5		matched (3)
Drogues ; Pour la peinture ; Azur	...	5	5		matched (3)
Drogues ; Pour la peinture ; Azur et bleu de Prusse	...	5	5		matched (3)
Drogues ; Pour la peinture ; Blanc d'Espagne	...	5	5		matched (3)
Drogues ; Pour la peinture ; Blanc de ferax	...	5	5		matched (3)
Drogues ; Pour la peinture ; Blanc de Herps	...	5	5		matched (3)
Drogues ; Pour la peinture ; Blanc de plomb	...	5	5		matched (3)
Drogues ; Pour la peinture ; Brun rouge	...	5	5		matched (3)
Drogues ; Pour la peinture ; Cendres Bleues	...	5	5		matched (3)
Drogues ; Pour la peinture ; Cinabre	...	5	5		matched (3)
Drogues ; Pour la peinture ; Croix d'voire	...	5	5		matched (3)
Drogues ; Pour la peinture ; Diverses	...	5	5		matched (3)
Drogues ; Pour la peinture ; Huile de térébenthine	...	5	5		matched (3)
Drogues ; Pour la peinture ; Jas	...	5	5		matched (3)
Drogues ; Pour la peinture ; Jaune de Naples	...	5	5		matched (3)
Drogues ; Pour la peinture ; Minium	...	5	5		matched (3)
Drogues ; Pour la peinture ; Muce de plomb	...	5	5		matched (3)
Drogues ; Pour la peinture ; Ocre	...	5	5		matched (3)
Drogues ; Pour la peinture ; Orpiments	...	5	5		matched (3)
Drogues ; Pour la peinture ; Pastel	...	5	5		matched (3)
Drogues ; Pour la peinture ; Sanguine	...	5	5		matched (3)
Drogues ; Pour la peinture ; Serra merita	...	5	5		matched (3)
Drogues ; Pour la peinture ; Stil de grain	...	5	5		matched (3)
Drogues ; Pour la peinture ; Verda	...	5	5		matched (3)
Drogues ; Pour la peinture ; Verdet	...	5	5		matched (3)
Drogues ; Pour la peinture ; Vermillon	...	5	5		matched (3)
Drogues ; Pour la peinture ; Vernis	...	5	5		matched (3)
Drogues ; Pour la peinture ; Vert de gris	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; ?	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Alquifoux	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Alun	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Azur	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Blanc de cerus	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Blanc de plomb	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Bleu commun	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Bleu de Pierre	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Bleu de Prusse	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Bleu en encre	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Brun rouge	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Cendres bleues	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Cernis	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Cinabre	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Cochenille	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Cocheuille	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Couperose	...	5	5		matched (3)
Drogues ; pour la peinture et la teinture ; Craye	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Curcuma	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Diverses	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Fnée platte	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Fris	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Garance	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Herbes à teindre	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Huile de thérébentine	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Indigo	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Jais	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Laque	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Mine de plomb	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Minium	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Noir d'ivoire	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Noir de fumée	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Noix de Galles	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Ocre	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Orseille	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Pastel	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Rocou	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Rouge de venise	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Saffranum	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Sanguine	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Sumac	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Tartre	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Thérébentine	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Tournesol	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Verdes	...	5	5		matched (3)
Drogues ; Pour la peinture et la teinture ; Vermillon	...	5	5		matched (3)
Drogues ; Pour la teinture ; Alizari	...	5	5		matched (3)
Drogues ; Pour la teinture ; Alun	...	5	5		matched (3)
Drogues ; Pour la teinture ; Arsenie	...	5	5		matched (3)
Drogues ; Pour la teinture ; Bleu de Prusse	...	5	5		matched (3)
Drogues ; Pour la teinture ; Bleu en pierre	...	5	5		matched (3)
Drogues ; Pour la teinture ; Cochenille	...	5	5		matched (3)
Drogues ; Pour la teinture ; Couperose	...	5	5		matched (3)
Drogues ; Pour la teinture ; Curcuma	...	5	5		matched (3)
Drogues ; Pour la teinture ; Diverses	...	5	5		matched (3)
Drogues ; Pour la teinture ; Garance	...	5	5		matched (3)
Drogues ; Pour la teinture ; Herbes à teindre	...	5	5		matched (3)
Drogues ; Pour la teinture ; Indigo	...	5	5		matched (3)
Drogues ; Pour la teinture ; Iris	...	5	5		matched (3)
Drogues ; Pour la teinture ; Jude fine	...	5	5		matched (3)
Drogues ; Pour la teinture ; Jude flottante	...	5	5		matched (3)
Drogues ; Pour la teinture ; Jude platte	...	5	5		matched (3)
Drogues ; Pour la teinture ; Laque de Venise	...	5	5		matched (3)
Drogues ; Pour la teinture ; Laque en poudre	...	5	5		matched (3)
Drogues ; Pour la teinture ; laque fausse	...	5	5		matched (3)
Drogues ; Pour la teinture ; Laque platte	...	5	5		matched (3)
Drogues ; Pour la teinture ; Nocou	...	5	5		matched (3)
Drogues ; Pour la teinture ; Noir de fumée	...	5	5		matched (3)
Drogues ; Pour la teinture ; Noir de galles	...	5	5		matched (3)
Drogues ; Pour la teinture ; Orseille	...	5	5		matched (3)
Drogues ; Pour la teinture ; Saffranum	...	5	5		matched (3)
Drogues ; Pour la teinture ; Sumac	...	5	5		matched (3)
Drogues ; Pour la teinture ; Tartre	...	5	5		matched (3)
Drogues ; Pour la teinture ; Tournesol en pain	...	5	5		matched (3)
Drogues ; Réunies	...	5	5		matched (3)
Drogues ; Réunies ; Diverses	...	5	5		matched (3)
Droguet	…	6	6		matched (3)
Droguet ; de laine	…	6	6b		matched (3)
Eau ;  de Cologne	...	5	5		master only (1)
Eau ; cordiale	...	5	5		matched (3)
Eau ; d'anis	...	5	5		matched (3)
Eau ; de Barbades	...	5	5		matched (3)
Eau ; de bergamottes	...	5	5		matched (3)
Eau ; de Bristol	...	5	5		matched (3)
Eau ; de Bussing	...	5	5		matched (3)
Eau ; de Bussingne	...	5	5		matched (3)
Eau ; de canelle	...	5	5		matched (3)
Eau ; de Carmes	...	5	5		matched (3)
Eau ; de cerises	...	5	5		matched (3)
Eau ; de citron	...	5	5		matched (3)
Eau ; de Cologne	...	5	5		matched (3)
Eau ; de cologne	...	5	5		matched (3)
Eau ; de composition	...	5	5		matched (3)
Eau ; de fleur d'orange	...	5	5		matched (3)
Eau ; de genièvre	...	5	5		matched (3)
Eau ; de la Reine d'Hongrie	...	5	5		matched (3)
Eau ; de lavande	...	5	5		matched (3)
Eau ; de melice	...	5	5		matched (3)
Eau ; de mirrhe	...	5	5		matched (3)
Eau ; de nar	...	5	5		matched (3)
Eau ; de pin	...	5	5		matched (3)
Eau ; de plombiere	...	5	5		matched (3)
Eau ; de raisin	...	5	5		matched (3)
Eau ; de rose	...	5	5		matched (3)
Eau ; de roze	...	5	5		matched (3)
Eau ; de sel	...	5	5		matched (3)
Eau ; de senteur	...	5	5		matched (3)
Eau ; de senteur ; de bergamotte	...	5	5		matched (3)
Eau ; de senteur ; de citron	...	5	5		matched (3)
Eau ; de senteur ; de la Reine d'hongrie	...	5	5		matched (3)
Eau ; de senteur ; de lavande	...	5	5		matched (3)
Eau ; de senteur ; de nard	...	5	5		matched (3)
Eau ; de senteur ; diverses	...	5	5		matched (3)
Eau ; de senteur ; roze	...	5	5		matched (3)
Eau ; de senteur ; sans pareille	...	5	5		matched (3)
Eau ; de Spa	...	5	5		matched (3)
Eau ; de tartre	...	5	5		matched (3)
Eau ; de vie	…	1	1		matched (3)
Eau ; de vie ; de grain ; de genièvre	…	1	1		matched (3)
Eau ; de vie ; de vin	...	1	1		matched (3)
Eau ; des carmes	…	1	1		matched (3)
Eau ; des cavernes	…	1	1		matched (3)
Eau ; des farmes	…	1	1		matched (3)
Eau ; distilée	...	5	5		master only (1)
Eau ; distillée	...	5	5		matched (3)
Eau ; divine	...	5	5		matched (3)
Eau ; ferrée	...	5	5		matched (3)
Eau ; forte	...	5	5		matched (3)
Eau ; genievre	...	5	5		matched (3)
Eau ; médecinale	...	5	5		matched (3)
Eau ; médecinale ; cordiale	...	5	5		matched (3)
Eau ; médecinale ; d'arquebusan	...	5	5		matched (3)
Eau ; médecinale ; d'arquelnisade	...	5	5		matched (3)
Eau ; médecinale ; de canelle	...	5	5		matched (3)
Eau ; médecinale ; de coclearia	...	5	5		matched (3)
Eau ; médecinale ; de fleur d'oranger	...	5	5		matched (3)
Eau ; médecinale ; de genièvre	...	5	5		matched (3)
Eau ; médecinale ; de melice	...	5	5		matched (3)
Eau ; médecinale ; de pin	...	5	5		matched (3)
Eau ; médecinale ; de raisins	...	5	5		matched (3)
Eau ; médecinale ; des farmes	...	5	5		matched (3)
Eau ; médecinale ; diverses	...	5	5		matched (3)
Eau ; médecinale ; mineralle	...	5	5		matched (3)
Eau ; medicinalle	...	5	5		matched (3)
Eau ; minérale	…	1	1		matched (3)
Eau ; ocgeniente	...	5	5		matched (3)
Eau ; octaze	...	5	5		matched (3)
Eau ; roze	...	5	5		matched (3)
Eau ; sans pareille	...	5	5		matched (3)
Eau ; vulnéraire	...	5	5		matched (3)
Eau ;médecinale ; vulnéraire	...	5	5		matched (3)
Eau et huiles spiritueuses	...	5	5		matched (3)
Ebenisterie	…	6	6		matched (3)
Ecaille ; ?	...	2	2		matched (3)
Ecaille ; de cahoüanne	...	2	2		matched (3)
Ecaille ; de carret	...	2	2		matched (3)
Ecaille ; de poisson	...	2	2		matched (3)
Ecaille ; de tortue	...	2	2		matched (3)
Ecaille ; diverses	...	2	2		matched (3)
Ecaille ; octomïe	...	2	2		matched (3)
Ecarts de beuf	…	0	0a		matched (3)
Echalats	...	0	0a		matched (3)
Echalottes	...	0	0a		matched (3)
Ecopes	…	8	8		matched (3)
Ecorce ; ?	...	2	2		matched (3)
Ecorce ; d'arbre	...	2	2		matched (3)
Ecorce ; d'arbre Etoffe	...	2	2		matched (3)
Ecorce ; d'orange	...	2	2		matched (3)
Ecorce ; de bois	...	2	2		matched (3)
Ecorce ; de cacao	...	2	2		matched (3)
Ecorce ; de chêne	...	2	2		matched (3)
Ecorce ; de citron	...	2	2		matched (3)
Ecorce ; de grenade	...	2	2		matched (3)
Ecorce ; de tilleul	...	2	2		matched (3)
Ecorce ; diverse	...	2	2		matched (3)
Ecorces ; de hesne	...	2	2		matched (3)
Ecritoire	…	8	8		matched (3)
Ecritoire ; garni d'or	…	8	8		matched (3)
Effilé ; de fil	...	6	6a		matched (3)
Effilé ; de soie	...	6	6c		matched (3)
Egoutoirs	...	6	6		matched (3)
Elebor	…	2	2	Rose de Noël	matched (3)
Elexir	...	5	5		matched (3)
Email	...	5	5		matched (3)
Emery	...	6	6		matched (3)
Empeignes	…	6	6		matched (3)
Empeignes ; de souliers	…	6	6		matched (3)
Encens	...	2	2		matched (3)
Ences	...	2	2		matched (3)
Enclumes	...	6	6		matched (3)
Enclumes ; de fer	...	6	6		matched (3)
Encre	...	8	8		matched (3)
Encre ; à écrire	...	8	8		matched (3)
Encre ; d'imprimerie	...	8	8		matched (3)
Encre ; de la chine	...	8	8		matched (3)
Encre ; rouge	...	8	8		matched (3)
Engrais	...	5	5		matched (3)
Epars	…	2	2		matched (3)
Epées ; d'argent	…	9	9		matched (3)
Epées ; d'argent et de cuivre	…	9	9		matched (3)
Epées ; de cuivre	…	9	9		matched (3)
