orthographic_pierre,FDO simpl,simplification,status,beforeItems,afterItems,obsolete,imprimatur
rapières,rapière,rapière,rewire,,[Rapières],no,Guillaume Daudin
rappes,râpe,râpe,rewire,,[rappes],no,Guillaume Daudin
râpure de corne,rognure ; de corne,rognure ; de corne,rewire,,[razure de corne] [Rapures de corne] [Rapure ; de corne] [Rapures ; de cornes] [Rapures ; de corne],no,Guillaume Daudin
râpure de corne de cerf,rognure ; de corne ; de cerf,rognure ; de corne ; de cerf,rewire,,[Rapure ; de corne ; de cerf] [Rapure ; de corne de cerf] [Rapures ; de corne de cerf] [Rapure de corne de cerf] [Râpures ; de cornes de cerf],no,Guillaume Daudin
râpure de gaiac,rognure ; de gaïac,rognure ; de gaïac,rewire,,[Rapure de gaiac],no,Guillaume Daudin
raquettes,raquette,raquette,rewire,,[Raquettes],no,Guillaume Daudin
raquettes et volants,raquette et volant,raquette et volant,rewire,,[raquettes et volans],no,Guillaume Daudin
rasoirs,rasoir,rasoir,rewire,,[razoirs] [Razoir] [Razoirs] [Rasoirs],no,Guillaume Daudin
rasoirs communs,rasoir ; commun,rasoir ; commun,rewire,,[Rasoirs ; communs],no,Guillaume Daudin
ratine de Beauvais,ratine ; de Beauvais,ratine ; de Beauvais,rewire,,[Ratine de beauvais],no,Guillaume Daudin
ratine de Hollande,ratine ; de Hollande,ratine ; de Hollande,rewire,,[Ratine d'hollande],no,Guillaume Daudin
ratine frisée,ratine ; frisée,ratine ; frisée,rewire,,[Ratine ; frisée],no,Guillaume Daudin
ratine teinte,ratine ; teint,ratine ; teint,rewire,,[ratinne teint],no,Guillaume Daudin
rave,rave,rave,rewire,[Raves] [Rave],[Rave],no,Guillaume Daudin
rave à filé,rave ; à filer,rave ; à filer,rewire,,[Rave a filé],no,Guillaume Daudin
raves,rave,rave,rewire,,[Raves],no,Guillaume Daudin
ravitaillements,ravitaillement,ravitaillement,rewire,,[Ravitaillements],no,Guillaume Daudin
rayes,raie,raie,rewire,,[rayes],no,Guillaume Daudin
rayon de mouches à miel,rayon ; de mouche à miel,rayon ; de mouche à miel,rewire,,[rayons de mouches à miel],no,Guillaume Daudin
raz de castor,raz ; de castor,raz ; de castor,rewire,,[Raz ; de castor] [raz ; de castor] [Raz de castor] [Ras de castor],no,Guillaume Daudin
raz de laine,raz ; de laine,raz ; de laine,rewire,,[Raz de laine],no,Guillaume Daudin
raz de Saint-Cyr,raz ; de Saint-Cyr,raz ; de Saint-Cyr,rewire,,[Raz ; de St. Cir] [Raz ; de Saint-Cir],no,Guillaume Daudin
raz de Saint-Maur,raz ; de Saint-Maure,raz ; de Saint-Maure,rewire,,[Ratz de Saint Maure] [Raz de Saint Maur] [Raz de Saint-Maur] [Raz de Saint-Maure],no,Guillaume Daudin
raz du Maroc,raz ; du Maroc,raz ; du Maroc,rewire,,[Ras de Maroc] [Raz de Maroc] [Ratz de maroc] [Rats de marok] [Rats de maroc] [Raz ; de Maroc] [Raz de maroc] [Raz ; de maroc],no,Guillaume Daudin
réchaud de terre,réchaud ; de terre,réchaud ; de terre,rewire,,[Rechaud de Terre],no,Guillaume Daudin
redingotes,redingote,redingote,rewire,,[Redingotes] [Rodingottes] [Redingottes],no,Guillaume Daudin
registres,registre,registre,rewire,,[Registre] [Registres],no,Guillaume Daudin
réglisse bois de,bois ; de réglisse,bois ; de réglisse,rewire,,[Réglisse (bois de )],no,Guillaume Daudin
réglisse en bois,bois ; de réglisse,bois ; de réglisse,rewire,,[Réglisse en bois],no,Guillaume Daudin
régule d'antimoine,drogue ; chimique et métallique ; antimoine,drogue ; chimique et métallique ; antimoine,rewire,[Régule d'antimoine] [Regule d'antimoine] [Regale d'antimoine],[Régule d'antimoine] [Regule d'antimoine] [Regale d'antimoine],no,Guillaume Daudin
reliquaires,reliquaire,reliquaire,rewire,,[Reliquaires],no,Guillaume Daudin
remèdes,remède,remède,rewire,,[Remède] [Remede] [Remedes] [Remèdes],no,Guillaume Daudin
remorque de navire,remorque ; de navire,remorque ; de navire,rewire,,[Remorque de navire],no,Guillaume Daudin
résine,résine,résine,rewire,[Rasine] [Resine] [Raisine] [Résine],[Rasine],no,Guillaume Daudin
résines,résine,résine,rewire,,[Resine] [Raisine] [Résine],no,Guillaume Daudin
réveils,réveil,réveil,rewire,,[reveils],no,Guillaume Daudin
rhubarbe du Levant,rhubarbe ; du levant,rhubarbe ; du levant,rewire,,[Rubarbe ; de levant] [Rubarbe ; du levant],no,Guillaume Daudin
rideaux de lit,rideau,rideau,rewire,,[Rideaux de lit],no,Guillaume Daudin
rivets en bois,rivet ; en bois,rivet ; en bois,rewire,,[Rivets en bois],no,Guillaume Daudin
riz et noix,noix et riz,noix et riz,rewire,,[Riz et noix],no,Guillaume Daudin
robes brodées,robe ; brodée,robe ; brodée,rewire,,[Robes ; brodées],no,Guillaume Daudin
robinets de bronze,robinet ; de bronze,robinet ; de bronze,rewire,,[Robinets ; de bronze],no,Guillaume Daudin
robinets de cuivre,robinet ; de cuivre,robinet ; de cuivre,rewire,,[Robinets ; de cuivre],no,Guillaume Daudin
rocaille de verre,rocaille ; de verre,rocaille ; de verre,rewire,,[Rocaille ; de verre] [Rocaille de verre],no,Guillaume Daudin
rocaille de verrre,rocaille ; de verre,rocaille ; de verre,rewire,,[Rocailles ; de verre] [Rocaille ; de verrre] [Rocailles de verre],no,Guillaume Daudin
roche de diable,roche ; de diable,roche ; de diable,rewire,,[roche de diable],no,Guillaume Daudin
rognons castor,rognon ; de castor,rognon ; de castor,rewire,,[Rognons caslor],no,Guillaume Daudin
rognons de castor,rognon ; de castor,rognon ; de castor,rewire,,[Rognon ; de castor] [Rognons ; de Castor] [Rognon de Castor] [Rognons ; de castor] [Rognons de castors] [Rognons de castor] [Rognon de castor] [Rognon de Castors] [Rognons de Castor],no,Guillaume Daudin
rognons de Castor,rognon ; de castor,rognon ; de castor,rewire,,[Roignons de Castor],no,Guillaume Daudin
rognons de cerf,rognon ; de cerf,rognon ; de cerf,rewire,,[Rognons de cerf],no,Guillaume Daudin
rognons de rat musqué,rognon ; de rat musqué,rognon ; de rat musqué,rewire,,[Rognons de rat musqué],no,Guillaume Daudin
rognons de stockfish,rognon ; de stockfish,rognon ; de stockfish,rewire,,[Rognons de stocfiche] [Rognons de ftocfiche],no,Guillaume Daudin
rognons du castor,rognon ; de castor,rognon ; de castor,rewire,,[Rognons des Castor],no,Guillaume Daudin
rognures d'écaille,rognure ; d'écaille,rognure ; d'écaille,rewire,,[Rognures ; d'ecaille] [Rognures; d'ecaille] [Rognures ; d'écaille],no,Guillaume Daudin
rognures d'ivoire,rognure ; d'ivoire,rognure ; d'ivoire,rewire,,[Rognures ; dyvoire] [Rognures ; d'yvoire],no,Guillaume Daudin
rognures de baleine,rognure ; de baleine,rognure ; de baleine,rewire,,[rognures de baleines],no,Guillaume Daudin
rognures de cartes,rognure ; de carte,rognure ; de carte,rewire,,[Rognures; de cartes] [Rognure ; de cartes] [Rognures de cartes] [Rognures ; de cartes] [rognures de cartes] [Rogneures de cartes],no,Guillaume Daudin
rognures de castor,rognure ; de castor,rognure ; de castor,rewire,,[Rognures ; de castor],no,Guillaume Daudin
rognures de chapeaux,rognure ; de chapeau,rognure ; de chapeau,rewire,,[rognures de chapaeux],no,Guillaume Daudin
rognures de corne,rognure ; de corne,rognure ; de corne,rewire,,[rognures de cornes] [Rognures ; de cornes] [Rognures ; de corne],no,Guillaume Daudin
rognures de cuir,rognure ; de cuir,rognure ; de cuir,rewire,,[rognures de cuirs] [Rognures ; de cuir] [Rognures de cuir],no,Guillaume Daudin
rognures de dents d'éléphant,rognure ; de dent d'éléphant,rognure ; de dent d'éléphant,rewire,,[Rognures ; de dents d'éléphant] [Rognures ; de dent d'éléphant] [Rognures ; de Dents ; d'elephants],no,Guillaume Daudin
rognures de drap,rognure ; de drap,rognure ; de drap,rewire,,[Rognures de drap] [Rognure ; de drap] [Rognures ; de draps] [Rogures ; de draps] [Rognures ; de drap],no,Guillaume Daudin
rognures de mis,rognure ; de mis,rognure ; de mis,rewire,,[Rognures ; de mis],no,Guillaume Daudin
rognures de papier,rognure ; de papier,rognure ; de papier,rewire,,[rognures de papier] [Rognures de papier] [Rognures ; de papier],no,Guillaume Daudin
rognures de parchemin,rognure ; de parchemin,rognure ; de parchemin,rewire,,[rognures de parchemins] [Rognures ; de parchemin] [Rognures; de parchemin],no,Guillaume Daudin
rogues de maquereau,rogue ; de maquereau,rogue ; de maquereau,rewire,,[Rogues ; de macquereaux] [Rogues ; de maquereaux],no,Guillaume Daudin
rogues de poisson,rogue ; de poisson,rogue ; de poisson,rewire,,[Rogues de poisson] [Rogues de poissons],no,Guillaume Daudin
rogues pour la pêche,rogue ; pour la pêche,rogue ; pour la pêche,rewire,,[Rogues pour la pêche],no,Guillaume Daudin
rollet et batiste,rollet et batiste,rollet et batiste,rewire,,[rollet et batistes],no,Guillaume Daudin
rondins bâtons,bâton,bâton,rewire,,[Rondins/Bâtons],no,Guillaume Daudin
rosaire,rosaire,rosaire,rewire,[Rozaires] [Rosaire],[Rosaire],no,Guillaume Daudin
rosaires,rosaire,rosaire,rewire,,[Rozaires],no,Guillaume Daudin
roseaux,roseau,roseau,rewire,,[Royeaux] [Rozeau] [Roseau] [Roseaux] [roseau] [rozeaux] [roseaux] [Rozeaux],no,Guillaume Daudin
roseaux champêtres,roseau ; champêtre,roseau ; champêtre,rewire,,[Roseaux ; champêtre],no,Guillaume Daudin
roseaux d'Espagne,roseau ; d'Espagne,roseau ; d'Espagne,rewire,,[roseaux d'Espagne] [Roseaux ; d'Espagne] [Rozeaux ; d'Espagne],no,Guillaume Daudin
roseaux des Indes,roseau ; d'Inde,roseau ; d'Inde,rewire,,[roseaux d'Indes],no,Guillaume Daudin
roses de province,rose ; de province,rose ; de province,rewire,,[Roses ; de province],no,Guillaume Daudin
rotins,rotin,rotin,rewire,,[Rottins] [Rottin] [Rotins] [Rotin],no,Guillaume Daudin
rouergues,rouergue,rouergue,rewire,,[Rouergues],no,Guillaume Daudin
roues,roue,roue,rewire,,[roues] [Roues] [Roües],no,Guillaume Daudin
roues à cabrouets,roue ; à cabrouet,roue ; à cabrouet,rewire,,[Roues a cabrouets] [Rouen à tabrouets] [Roues à tabrouets] [Roues à cabroues],no,Guillaume Daudin
roues à charrettes,roue ; de charrette,roue ; de charrette,rewire,,[Roues à charrette] [Roues à charettes],no,Guillaume Daudin
roues cabrouets,roue ; à cabrouet,roue ; à cabrouet,rewire,,[Roues cabrouets],no,Guillaume Daudin
roues de bois,roue ; de bois,roue ; de bois,rewire,,[Roües ; de bois],no,Guillaume Daudin
roues de brouette,roue ; de brouette,roue ; de brouette,rewire,,[Roues de brouettes] [Roues de Brouette],no,Guillaume Daudin
roues de cabrouets,roue ; à cabrouet,roue ; à cabrouet,rewire,,[Rouës ; de cabrouets] [Roues de cabrouets] [Roues de cabrouet] [Roues de tabrouet],no,Guillaume Daudin
roues de chaises,roue ; de chaise,roue ; de chaise,rewire,,[Rouës de chaises] [Rouës ; de chaises] [Roues de chaises],no,Guillaume Daudin
roues de chariot,roue ; de chariot,roue ; de chariot,rewire,,[Roues (de chariot)],no,Guillaume Daudin
roues de charrettes,roue ; de charrette,roue ; de charrette,rewire,,[Roues de charrete] [Roues de charrette] [Roues de charettes] [Roues de Charettes],no,Guillaume Daudin
roues diverses,roue,roue,rewire,,[Roües diverses] [Roües ; diverses] [Roues ; diverses] [Roues diverses] [Rouës diverses] [Rouës ; diverses],no,Guillaume Daudin
roues ferrées,roue ; ferrée,roue ; ferrée,rewire,,[roues ferrées],no,Guillaume Daudin
roues neuves,roue ; neuve,roue ; neuve,rewire,,[roues neuves],no,Guillaume Daudin
rouets,rouet,rouet,rewire,,[Rouet] [Rouets] [Roüets],no,Guillaume Daudin
rouets à filer,rouet ; à filer,rouet ; à filer,rewire,,[Rouets à filer] [Rouets ; a filer] [Rouets ; a filler] [Roüets a Filer] [Rouet ; a filer] [Roüets ; à filer] [Rouets a filer] [Roüets a filer] [Rouet a Files] [Rouets a Files],no,Guillaume Daudin
rouge annatto colorant,rouge ; Annatto colorant,rouge ; Annatto colorant,rewire,,[Rouge Annatto colorant],no,Guillaume Daudin
rouge clair,rouge ; clair,rouge ; clair,rewire,,[Rouge clair] [rouge clair],no,Guillaume Daudin
rouge colorant,colorant ; rouge,colorant ; rouge,rewire,,[Rouge colorant],no,Guillaume Daudin
rouge commun,rouge ; commun,rouge ; commun,rewire,,[rouge commun],no,Guillaume Daudin
rouge commun en poudre,rouge ; commun ; en poudre,rouge ; commun ; en poudre,rewire,,[rouge commun en poudre],no,Guillaume Daudin
rouge d'Angleterre,rouge ; d'Angleterre,rouge ; d'Angleterre,rewire,,[rouge d'angleterre] [rouge d'Angleterre] [Rouge ; d'Angleterre] [Rouge d'angleterre],no,Guillaume Daudin
rouge d'Espagne,rouge ; d'Espagne,rouge ; d'Espagne,rewire,,[Rouge ; d'Espagne] [rouges d'Espagne] [Rouge d'Espagne] [rouge d'espagne] [rouge d'Espagne],no,Guillaume Daudin
rouge de Perse,rouge ; de Perse,rouge ; de Perse,rewire,,[rouge de perse] [rouge de Persie],no,Guillaume Daudin
rouge de poudre,rouge ; en poudre,rouge ; en poudre,rewire,,[Rouge de Poudre],no,Guillaume Daudin
rouge de rosse,rouge ; de rosse,rouge ; de rosse,rewire,,[rouge de rosse],no,Guillaume Daudin
rouge des Indes,rouge ; d'Inde,rouge ; d'Inde,rewire,,[Rouge ; d'inde] [Rouge d'inde] [Rouge ; d'Inde],no,Guillaume Daudin
rouge en pierres,rouge ; en pierre,rouge ; en pierre,rewire,,[Rouge ; en pierres] [Rouge en Pierres],no,Guillaume Daudin
rouge en poudre,rouge ; en poudre,rouge ; en poudre,rewire,,[rouge en poudre] [Rouge en poudre],no,Guillaume Daudin
rouge gras,rouge ; gras,rouge ; gras,rewire,,[Rouges gras] [Rouge gras],no,Guillaume Daudin
ruban,ruban,ruban,rewire,[Rubans],[Rubans],no,Guillaume Daudin
ruban à fil,ruban ; de fil,ruban ; de fil,rewire,,[Ruban à Fil],no,Guillaume Daudin
ruban d'argent,ruban ; d'argent,ruban ; d'argent,rewire,,[Rubans d'argent] [Ruban ; d'argent] [Ruban d'argent],no,Guillaume Daudin
ruban d'or,ruban ; d'or,ruban ; d'or,rewire,,[Ruban ; d'or] [Ruban d'or],no,Guillaume Daudin
ruban de cuivre,ruban ; de cuivre,ruban ; de cuivre,rewire,,[Rubans de cuivre],no,Guillaume Daudin
ruban de diverses matières,ruban,ruban,rewire,,[Rubans de diverses matières],no,Guillaume Daudin
ruban de Elberfeld,ruban ; de Elberfeld,ruban ; de Elberfeld,rewire,,[Rubans de Elberfeld],no,Guillaume Daudin
ruban de fer,ruban ; de fer,ruban ; de fer,rewire,,[Rubans de fer],no,Guillaume Daudin
ruban de fil,ruban ; de fil,ruban ; de fil,rewire,,[Rubans ; De fil] [Ruban ; De fil] [Rubans; de fil] [Riubans ; de fil] [Rubans ; de fils] [Rubans de Fil] [Ruban ; de fil] [ruban de fil] [Rubans ; de fil] [Ruban de Fil] [Ruban ; de Fil] [Ruban de fil] [Rubans de fil],no,Guillaume Daudin
ruban de fil blanc,ruban ; de fil ; blanc,ruban ; de fil ; blanc,rewire,,[Ruban ; de fil ; blanc],no,Guillaume Daudin
ruban de fil teint,ruban ; de fil ; teint,ruban ; de fil ; teint,rewire,,[Ruban ; de fil ; teint],no,Guillaume Daudin
ruban de filoselle,ruban ; de filoselle,ruban ; de filoselle,rewire,,[Rubans ; de filozelle] [Rubans; de filozelle] [Ruban ; de filozelle] [Ruban ; de filoselle] [Ruban de filozelle],no,Guillaume Daudin
ruban de soie,ruban ; de soie,ruban ; de soie,rewire,,[Rubans ; De soye] [Ruban ; De soye] [Rubans; de soye] [Ruban ; de soie] [Rubans ; de soie] [Ruban de soie] [ruban ; de soye] [Ruban ; de soye] [Rubans ; de soye] [Ruban de Soye] [Rubans de soie] [Ruban ; de Soye] [Rubans de soye] [Ruban de soye],no,Guillaume Daudin
ruban divers,ruban,ruban,rewire,,[Rubans divers] [Ruban ; divers] [Rubans ; divers],no,Guillaume Daudin
ruban dorure d'argent,ruban ; dorure ; d'argent,ruban ; dorure ; d'argent,rewire,,[Rubans ; dorure ; d'argent] [Ruban ; dorure ; d'argt] [Ruban ; dorure ; d'argent] [Rubans; dorure; d'argent],no,Guillaume Daudin
ruban dorure d'or,ruban ; dorure ; d'or,ruban ; dorure ; d'or,rewire,,[Rubans ; dorure ; d'or] [Ruban ; dorure ; d'or] [Rubans; dorure; d'or],no,Guillaume Daudin
ruban en argent,ruban ; d'argent,ruban ; d'argent,rewire,,[Ruban en argent],no,Guillaume Daudin
ruban en dorure d'argent,ruban ; dorure ; d'argent,ruban ; dorure ; d'argent,rewire,,[Ruban ; en dorure ; d'argent],no,Guillaume Daudin
ruban en dorure d'or,ruban ; dorure ; d'or,ruban ; dorure ; d'or,rewire,,[Ruban ; en dorure ; d'or],no,Guillaume Daudin
ruban et passementerie de diverses matières,ruban et passementerie ; divers,ruban et passementerie ; divers,rewire,,[Rubans et passementerie de diverses matières],no,Guillaume Daudin
ruban et passementerie de soie,ruban et passementerie ; de soie,ruban et passementerie ; de soie,rewire,,[Rubans et passementerie de soie],no,Guillaume Daudin
ruban filoselle,ruban ; de filoselle,ruban ; de filoselle,rewire,,[Ruban ; filozelle],no,Guillaume Daudin
ruban mi soie,ruban ; mi soie,ruban ; mi soie,rewire,,[Rubans ; mi soye] [Rubans ; My soye] [Rubans ; mi soie] [Ruban ; misoye] [Ruban ; my soye] [Rubans; mi soye] [Ruban ; mi soye] [ruban ; mi soye],no,Guillaume Daudin
ruban pour vêtements,ruban ; pour vêtement,ruban ; pour vêtement,rewire,,[Rubans pour vêtements],no,Guillaume Daudin
ruban velouté,ruban ; velouté,ruban ; velouté,rewire,,[Rubans ; velouté] [Rubans veloutés],no,Guillaume Daudin
rubanerie de soie,rubanerie ; de soie,rubanerie ; de soie,rewire,,[Rubannerie de soie],no,Guillaume Daudin
rubanerie diverse,ruban,ruban,rewire,,[Rubanerie diverse] [Rubannerie diverse] [Rubanneris diverses] [Rubanneries diverses],no,Guillaume Daudin
rubanerie ordinaire,rubanerie ; ordinaire,rubanerie ; ordinaire,rewire,,[Rubannerie ordinaires] [Rubannerie ordinaire],no,Guillaume Daudin
ruches,ruche,ruche,rewire,,[ruches],no,Guillaume Daudin
ruches à miel,ruche ; à miel,ruche ; à miel,rewire,,[Ruches à miel] [Ruches ; à miel],no,Guillaume Daudin
ruches à mouches,ruche ; à mouche,ruche ; à mouche,rewire,,[Ruches ; à mouche],no,Guillaume Daudin
rusque de chêne,rusque ; de chêne,rusque ; de chêne,rewire,,[Rusques ; de chesne],no,Guillaume Daudin
rusque de pin,rusque ; de pin,rusque ; de pin,rewire,,[Rusques ; de pin] [Rusque ; de pin] [rusque de pin] [Rusque de pin],no,Guillaume Daudin
sabatines,sabatine,sabatine,rewire,,[Sabatines],no,Guillaume Daudin
sable de mer,sable ; de mer,sable ; de mer,rewire,,[Sable ; de mer],no,Guillaume Daudin
sable de verre,sable ; de verre,sable ; de verre,rewire,,[sable de verre],no,Guillaume Daudin
sabliers,sablier,sablier,rewire,,[Sabliers],no,Guillaume Daudin
sabots,sabot,sabot,rewire,,[Sabot] [sabots] [Sabots],no,Guillaume Daudin
sabres,sabre,sabre,rewire,,[Sabre] [Sabres],no,Guillaume Daudin
sabres de traite,sabre,sabre,rewire,,[Sabres ; de traitte] [Sabres de traitte] [Sabres de traite],no,Guillaume Daudin
sachets,sachet,sachet,rewire,,[Sachets],no,Guillaume Daudin
sacs,sac,sac,rewire,,[Sacs],no,Guillaume Daudin
sacs à vide,sac,sac,rewire,,[Sac a vuides],no,Guillaume Daudin
sacs de poluard,sac ; de poluard,sac ; de poluard,rewire,,[Sacs de poluard],no,Guillaume Daudin
sacs vides,sac,sac,rewire,,[Sacs ; vides] [Sacs Vuider] [Sacs ; vuides] [sacs vuides] [sac vuides] [Sacs vuides] [Sac vides] [Sacs vides],no,Guillaume Daudin
sacs vieux,sac ; vieux,sac ; vieux,rewire,,[Sacs ; vieux] [Sacs vieux] [Sacs Vieux] [sacs vieux],no,Guillaume Daudin
safran orange,safran ; orange,safran ; orange,rewire,,[Safran ; orange],no,Guillaume Daudin
salé et mariné anchois,anchois ; salé et mariné,anchois ; salé et mariné,rewire,,[Salé et mariné ; anchois],no,Guillaume Daudin
salicor,salicor,salicor,rewire,[Salicot] [Salicord] [salicor] [Salicort] [salicort] [Salicor],[Salicord] [salicor] [Salicort] [salicort] [Salicor],no,Guillaume Daudin
salicot,salicor,salicor,rewire,,[Salicot],no,Guillaume Daudin
salins,salin,salin,rewire,,[Salins] [Salin],no,Guillaume Daudin
saloirs de bois,saloir ; de bois,saloir ; de bois,rewire,,[Saloirs ; de bois],no,Guillaume Daudin
salpêtre cru,"salpêtre, crû","salpêtre, crû",rewire,,[salpetre crû],no,Guillaume Daudin
salpêtre raffiné,"salpêtre, raffiné","salpêtre, raffiné",rewire,,[salpetre raffiné],no,Guillaume Daudin
sangles,sangle,sangle,rewire,,[sangles] [Sangles],no,Guillaume Daudin
sangliers,sanglier,sanglier,rewire,,[sangliers],no,Guillaume Daudin
sanguine,sanguine,sanguine,rewire,[Sangunie] [sauguine] [sanguine] [Sanguine],[sanguine] [Sanguine],no,Guillaume Daudin
sangunie,sanguine,sanguine,rewire,,[Sangunie],no,Guillaume Daudin
santal citrin,santal ; citrin,santal ; citrin,rewire,,[Santal ; citrin],no,Guillaume Daudin
santal sitrin,santal ; citrin,santal ; citrin,rewire,,[sandal sitrin],no,Guillaume Daudin
santnaires,sanitaire,sanitaire,rewire,,[Santnaires],no,Guillaume Daudin
sapin à bâtir,sapin ; à bâtir,sapin ; à bâtir,rewire,,[sapins ; a batir],no,Guillaume Daudin
sapin à faire gaffes,sapin ; à faire gaffe,sapin ; à faire gaffe,rewire,,[Sapins ; à faire gaffe] [Sapins ; à f.goffe] [Sapins ; à faire gasfe] [Sapins a faire gaffe] [Sapin a faire gaffe] [Sapin a faire gaffes],no,Guillaume Daudin
sapin anspect,sapin ; anspects,sapin ; anspects,rewire,,[Sapin ; anspects],no,Guillaume Daudin
sapin en blocs,sapin ; en bloc,sapin ; en bloc,rewire,,[sapin en bloc],no,Guillaume Daudin
sardines,sardine,sardine,rewire,,[Sardinnes] [Sardinne] [sardines] [Sardine] [Sardines],no,Guillaume Daudin
sardines salées,poisson ; de mer; salé ; sardine,poisson ; de mer; salé ; sardine,rewire,,[Sardines salés] [Sardines ; sallées] [Sardines ; salés] [Sardines ; Salées] [Sardines ; salées] [Sardinnes sallées] [Sardines sallées] [Sardines Salées] [sardines salée] [Sardines salées] [sardines salées],no,Guillaume Daudin
sarge de Poitou,sarge ; de poitou,sarge ; de poitou,rewire,,[Sarge de poitou],no,Guillaume Daudin
sarge de Saint-Maixant,sarge ; de Saint-Mexant,sarge ; de Saint-Mexant,rewire,,[Sarge de Saint-Mexant] [Sarge de Saint-maixan],no,Guillaume Daudin
sarge de soie,sarge ; de soie,sarge ; de soie,rewire,,[Sarge de soye],no,Guillaume Daudin
satin brodé en or,satin ; brodé ; en or,satin ; brodé ; en or,rewire,,[Satin ; brodé ; en or],no,Guillaume Daudin
satin de la Chine,satin ; de Chine,satin ; de Chine,rewire,,[Satin ; de la Chine],no,Guillaume Daudin
satin gris,satin ; gris,satin ; gris,rewire,,[Satin gris],no,Guillaume Daudin
Saturne,saturne,saturne,rewire,,[Saturne],no,Guillaume Daudin
saucisses,saucisse,saucisse,rewire,,[Saussisses] [Saucisses],no,Guillaume Daudin
saucisses de Boulogne,saucisse ; de Boulogne,saucisse ; de Boulogne,rewire,,[sausisses de Boulogne],no,Guillaume Daudin
saucissons,saucisson,saucisson,rewire,,[saucisson] [saucissons] [Saucissons] [Saucisson],no,Guillaume Daudin
saude,sauge,sauge,rewire,,[saude],no,Guillaume Daudin
sauge,sauge,sauge,rewire,[saude] [Sauge],[Sauge],no,Guillaume Daudin
sauguine,sanguine,sanguine,rewire,,[sauguine],no,Guillaume Daudin
saumon frais,saumon ; frais,saumon ; frais,rewire,,[saumons frais] [Saumons; frais] [Saumon ; frais] [Saumon fraix] [Saumons frais] [Saumon frais] [Saumons ; frais],no,Guillaume Daudin
saumon fumé,saumon ; fumé,saumon ; fumé,rewire,,[saumons fumés] [Saumons; fumés] [Saumon ; fumée] [Saumon ; fumés] [Saumons fumés] [Saumon fumés] [saumon fumé] [Saumons ; fumés] [Saumon fumé] [Saumon ; fumé],no,Guillaume Daudin
saumon mariné,saumon ; mariné,saumon ; mariné,rewire,,[Saumons ; marinés] [Saumons ; mariné],no,Guillaume Daudin
saur,son,son,rewire,,[Sor],no,Guillaume Daudin
savon blanc,savon ; blanc,savon ; blanc,rewire,,[Savon; blanc] [Savon blanc] [Savon ; blanc],no,Guillaume Daudin
savon d'Alicante,savon ; d'Alicante,savon ; d'Alicante,rewire,,[Savon ; d'Alicante] [Savon; d'Alicante] [Savon ; d'alicante] [Savon ; d'alicant] [Savon d'alican] [Savon ; d'Alican],no,Guillaume Daudin
savon d'Espagne,savon ; d'Espagne,savon ; d'Espagne,rewire,,[Savon d'Espagne],no,Guillaume Daudin
savon de Marseille,savon ; de Marseille,savon ; de Marseille,rewire,,[Savon ; de Marseille],no,Guillaume Daudin
savon et cuir,savon et cuir,savon et cuir,rewire,,[Savon et cuir],no,Guillaume Daudin
savon madré,savon ; madré,savon ; madré,rewire,,[Savon ; madré] [Savon madre] [Savon madré] [Savon Madré],no,Guillaume Daudin
savon noir,savon ; noir,savon ; noir,rewire,,[Savon; noir] [savon noir] [Savon noir] [Savon Noir] [Savon ; noir],no,Guillaume Daudin
savon vert,savon ; vert,savon ; vert,rewire,,"[Savon. verd] [Savon vert] [Savon, verd]",no,Guillaume Daudin
savonnettes,savonnette,savonnette,rewire,,[savonnette] [Savonettes] [savonetes] [Savonnette] [Savonette] [savonettes] [Savonnettes],no,Guillaume Daudin
saye blanche,saye ; blanche,saye ; blanche,rewire,,[saye blanche],no,Guillaume Daudin
saye de Bruges,saye ; de Bruges,saye ; de Bruges,rewire,,[saye de Bruges],no,Guillaume Daudin
saye de Liège,saye ; de Liège,saye ; de Liège,rewire,,[saye de Liège],no,Guillaume Daudin
saye teinte,saye ; teinte,saye ; teinte,rewire,,[saye teinte],no,Guillaume Daudin
schine,chine,chine,rewire,,[Schine],no,Guillaume Daudin
scies,scie,scie,rewire,,[Sçies] [Scier] [scies] [scier] [Scies],no,Guillaume Daudin
scies à moulu,scie ; à moulu,scie ; à moulu,rewire,,[scies à moulu],no,Guillaume Daudin
scies de fer,scie ; de fer,scie ; de fer,rewire,,[scies de fer] [Scies de fer],no,Guillaume Daudin
scille maritime,scille ; maritime,scille ; maritime,rewire,,[scille maritime],no,Guillaume Daudin
seau de Martre,seau ; de Martre,seau ; de Martre,rewire,,[Seau de Martre],no,Guillaume Daudin
seaux de fer-blanc,seau ; de fer ; blanc,seau ; de fer ; blanc,rewire,,[Seaux de Fer ; blanc],no,Guillaume Daudin
seaux de vin,seau ; de vin,seau ; de vin,rewire,,[Seaux de Vin],no,Guillaume Daudin
seigle en gerbes,grain ; seigle ; en gerbe,grain ; seigle ; en gerbe,rewire,,[seigle en jarbes],no,Guillaume Daudin
seigle et bâtons,marchandise diverse,marchandise diverse,rewire,,[Seigle et bâtons],no,Guillaume Daudin
seigle et blé,grain ; seigle et blé,grain ; seigle et blé,rewire,,[Seigle et blé],no,Guillaume Daudin
seigle et orge,grain ; seigle et orge,grain ; seigle et orge,rewire,,[Seigle et orge],no,Guillaume Daudin
