numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,doubleaccounts
63,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,36,Suif en chandelle,St Domingue,696,1160,Hambourg,livres,,0
64,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,36,Suif en chandelle,St Domingue,591,985,Marseille,livres,,0
65,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,36,Toile bazin de coton,St Domingue,65,26,Ferol,aunes,Origine : sans doute Ferrole,0
66,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,36,Toile coutil fil,St Domingue,2124,607,Rouen,livres,,0
67,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,36,Toile blanche,St Domingue,150,50,Férol,aunes,Origine : sans doute Ferrole,0
68,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,36,Toile de Bretagne,St Domingue,24480,10200,Nantes,aunes,,0
69,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,36,Toile à voile,St Domingue,67,30,Ferol,aunes,,0
70,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,37,Vins de liqueur,St Domingue,179,212,Bordeaux,bouteilles,,0
71 et 72,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,37,Vin de Gaillac,St Domingue,3200,"27,7569444444",Bordeaux,muids,,0
73 et 74,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,37,Vin d'Agenais,St Domingue,525,"5,2083333333",Bordeaux,muids,,0
75 et 76,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,37,Vin,St Domingue,697,"26,9097222222",Isle de Ré,muids,,0
77 et 78,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,37,Vin de ville,St Domingue,9264,"80,1388888889",Bordeaux,muids,,0
79 et 80,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,37,Vin,St Domingue,1182,"9,5486111111",Bordeaux,muids,,0
81 et 82,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,37,Vin,St Domingue,990,"31,25",Saintonge,muids,,0
83 et 84,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,37,Vin,St Domingue,3575,"111,9791666667",Charente,muids,,0
85 et 86,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,37,Vin,St Domingue,4565,"144,0972222222",Riberon,muids,,0
