numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,total,quantity_unit,remarks,doubleaccounts
168,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Cuirs en poil,Iles Françaises de l’Amérique,34875,2325,595172,en nombre,,0
180,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Liqueurs,Iles Françaises de l’Amérique,592,,109700,,,0
194,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Ris,Iles Françaises de l’Amérique,3524,11079,10531,livres,,0
199,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Sirop fin,Iles Françaises de l’Amérique,60,60,47419,livres,,0
217,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Tabac en feuille,Iles Françaises de l’Amérique,912,730,81741,livres,,0
223,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Tabac fabriqué,Iles Françaises de l’Amérique,1460,730,5791,livres,,0
227,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Taffia,Iles Françaises de l’Amérique,1602,,12402,,,0
232,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Objets divers,Iles Françaises de l’Amérique,300,,94168,,,0
13,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Blaye,2,Caffé,Iles Françaises de l’Amérique,3524,3357,97358972,livres,,0
109,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Blaye,2,Sucre tête,Iles Françaises de l’Amérique,5848,12444,10235066,livres,,0
2,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Cacao,Iles Françaises de l’Amérique,151349,302699,429433,livres,,0
12,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Caffé,Iles Françaises de l’Amérique,41367180,39397316,97358972,livres,,0
30,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Canefice,Iles Françaises de l’Amérique,6162,7336,88271,livres,,0
37,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Coton en laine,Iles Françaises de l’Amérique,2578285,1718857,15218329,livres,,0
52,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Gingembre,Iles Françaises de l’Amérique,2715,7759,12265,livres,,0
57,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Indigo,Iles Françaises de l’Amérique,5414191,569915,10516394,livres,,0
73,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Sucre brut,Iles Françaises de l’Amérique,12542358,27871905,41062450,livres,,0
86,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Sucre raffiné,Iles Françaises de l’Amérique,712,712,2010,livres,,0
92,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Sucre terré,Iles Françaises de l’Amérique,15577488,23965383,41411073,livres,,0
108,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Sucre tête,Iles Françaises de l’Amérique,4630668,9450345,10235066,livres,,0
117,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Bois d’acajou,Iles Françaises de l’Amérique,40576,,175693,,,0
124,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Bois de Brésil,Iles Françaises de l’Amérique,1061,1415,19644,livres,,0
127,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Bois de Campêche,Iles Françaises de l’Amérique,106718,533592,203540,livres,,0
132,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Bois de couleurs,Iles Françaises de l’Amérique,1979,,7222,,,0
137,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Bois de Sainte-Marthe,Iles Françaises de l’Amérique,2826,6280,18033,livres,,0
139,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Bois Divers,Iles Françaises de l’Amérique,2320,,11878,,,0
148,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Carret,Iles Françaises de l’Amérique,41776,2984,108085,livres,,0
156,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Confitures,Iles Françaises de l’Amérique,29128,14564,75146,livres,,0
169,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Cuirs en poil,Iles Françaises de l’Amérique,168819,8039,595172,en nombre,,0
176,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Cuirs tannés,Iles Françaises de l’Amérique,84601,70501,165442,livres,,0
181,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Liqueurs,Iles Françaises de l’Amérique,8262,,109700,,,0
200,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Sirop fin,Iles Françaises de l’Amérique,17580,8790,47419,livres,,0
213,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Sirop mélasse,Iles Françaises de l’Amérique,11,117,122270,livres,,0
218,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Tabac en feuille,Iles Françaises de l’Amérique,6600,12000,81741,livres,,0
228,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Taffia,Iles Françaises de l’Amérique,75,,12402,,,0
233,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Objets divers,Iles Françaises de l’Amérique,6052,,94168,,,0
243,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Piastres,Iles Françaises de l’Amérique,1800000,,1800000,,,0
245,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Morphil,Sénégal et Guinée,17994,2999,407364,livres,,
252,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Objets divers,Sénégal et Guinée,2979,,43849,,,
16,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lorient,Brest et dépendances,2,Caffé,Iles Françaises de l’Amérique,37788,35989,97358972,livres,,0
40,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lorient,Brest et dépendances,2,Coton en laine,Iles Françaises de l’Amérique,9717,6269,15218329,livres,,0
95,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lorient,Brest et dépendances,2,Sucre terré,Iles Françaises de l’Amérique,211977,341898,41411073,livres,,0
133,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lorient,Brest et dépendances,2,Bois de couleurs,Iles Françaises de l’Amérique,380,,7222,,,0
236,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lorient,Brest et dépendances,2,Objets divers,Iles Françaises de l’Amérique,360,,94168,,,0
247,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lorient,Brest et dépendances,2,Morphil,Sénégal et Guinée,2370,395,407364,livres,,
21,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Rouen,Dieppe,2,Caffé,Iles Françaises de l’Amérique,19848,18903,97358972,livres,,0
45,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Rouen,Dieppe,2,Coton en laine,Iles Françaises de l’Amérique,6366,4107,15218329,livres,,0
78,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Rouen,Dieppe,2,Sucre brut,Iles Françaises de l’Amérique,40839,949975,41062450,livres,,0
8,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lille,Dunkerque,2,Cacao,Iles Françaises de l’Amérique,4414,8830,429433,livres,,0
25,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lille,Dunkerque,2,Caffé,Iles Françaises de l’Amérique,4071453,3877575,97358972,livres,,0
49,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lille,Dunkerque,2,Coton en laine,Iles Françaises de l’Amérique,1082427,698340,15218329,livres,,0
64,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lille,Dunkerque,2,Indigo,Iles Françaises de l’Amérique,89556,9427,10516394,livres,,0
82,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lille,Dunkerque,2,Sucre brut,Iles Françaises de l’Amérique,2313638,5380552,41062450,livres,,0
103,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lille,Dunkerque,2,Sucre terré,Iles Françaises de l’Amérique,280596,452574,41411073,livres,,0
114,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lille,Dunkerque,2,Sucre tête,Iles Françaises de l’Amérique,675621,1437488,10235066,livres,,0
122,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lille,Dunkerque,2,Bois d’acajou,Iles Françaises de l’Amérique,2724,,175693,,,0
130,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lille,Dunkerque,2,Bois de Campêche,Iles Françaises de l’Amérique,16367,163674,203540,livres,,0
153,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lille,Dunkerque,2,Carret,Iles Françaises de l’Amérique,1376,169,108085,livres,,0
165,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lille,Dunkerque,2,Confitures,Iles Françaises de l’Amérique,150,150,75146,livres,,0
173,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lille,Dunkerque,2,Cuirs en poil,Iles Françaises de l’Amérique,61376,7672,595172,en nombre,,0
189,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lille,Dunkerque,2,Liqueurs,Iles Françaises de l’Amérique,2328,,109700,,,0
193,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lille,Dunkerque,2,Rhum,Iles Françaises de l’Amérique,17500,,20020,,,0
210,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lille,Dunkerque,2,Sirop fin,Iles Françaises de l’Amérique,210,210,47419,livres,,0
221,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lille,Dunkerque,2,Tabac en feuille,Iles Françaises de l’Amérique,48931,122328,81741,livres,,0
230,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lille,Dunkerque,2,Taffia,Iles Françaises de l’Amérique,135,,12402,,,0
241,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lille,Dunkerque,2,Objets divers,Iles Françaises de l’Amérique,1353,,94168,,,0
20,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Caen,Granville,2,Caffé,Iles Françaises de l’Amérique,4329,4123,97358972,livres,,0
44,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Caen,Granville,2,Coton en laine,Iles Françaises de l’Amérique,456,294,15218329,livres,,0
99,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Caen,Granville,2,Sucre terré,Iles Françaises de l’Amérique,7812,12600,41411073,livres,,0
206,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Caen,Granville,2,Sirop fin,Iles Françaises de l’Amérique,56,56,47419,livres,,0
7,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Rouen,Honfleur,2,Cacao,Iles Françaises de l’Amérique,2211,4422,429433,livres,,0
23,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Rouen,Honfleur,2,Caffé,Iles Françaises de l’Amérique,380118,362018,97358972,livres,,0
34,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Rouen,Honfleur,2,Canefice,Iles Françaises de l’Amérique,168,200,88271,livres,,0
47,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Rouen,Honfleur,2,Coton en laine,Iles Françaises de l’Amérique,216988,139993,15218329,livres,,0
63,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Rouen,Honfleur,2,Indigo,Iles Françaises de l’Amérique,56572,5956,10516394,livres,,0
80,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Rouen,Honfleur,2,Sucre brut,Iles Françaises de l’Amérique,506681,1178328,41062450,livres,,0
101,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Rouen,Honfleur,2,Sucre terré,Iles Françaises de l’Amérique,186826,301331,41411073,livres,,0
152,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Rouen,Honfleur,2,Carret,Iles Françaises de l’Amérique,120,12,108085,livres,,0
163,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Rouen,Honfleur,2,Confitures,Iles Françaises de l’Amérique,574,574,75146,livres,,0
187,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Rouen,Honfleur,2,Liqueurs,Iles Françaises de l’Amérique,20,,109700,,,0
208,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Rouen,Honfleur,2,Sirop fin,Iles Françaises de l’Amérique,218,218,47419,livres,,0
250,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Rouen,Honfleur,2,Morphil,Sénégal et Guinée,30624,5104,407364,livres,,
254,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Rouen,Honfleur,2,Objets divers,Sénégal et Guinée,20759,,43849,,,
27,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Marseille,La Ciotat,2,Caffé,Iles Françaises de l’Amérique,33995,32377,97358972,livres,Pas sûr de la direction,0
50,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Marseille,La Ciotat,2,Coton en laine,Iles Françaises de l’Amérique,14705,9487,15218329,livres,Pas sûr de la direction,0
65,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Marseille,La Ciotat,2,Indigo,Iles Françaises de l’Amérique,17299,1821,10516394,livres,Pas sûr de la direction,0
83,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Marseille,La Ciotat,2,Sucre brut,Iles Françaises de l’Amérique,2811,6537,41062450,livres,Pas sûr de la direction,0
