marchandises_norm_ortho,marchandises_simplifiees,source_bdc,nbr_bdc_marchandises_norm_ortho,nbr_bdc_marchandises_simplifiees
toile ; de coton ; à carreau,toile ; de coton ; à carreau,0,0,0
toile ; de coton ; à carreaux,,1,1,31324
toile ; de coton ; à jamin,toile ; de coton ; à jamin,1,1,1
toile ; de coton ; étrangère,toile ; de coton ; étrangère,1,3,3
toile ; de coton et mousseline,,1,1,31324
toile ; de coton et nankin,toile ; de coton et nankin,0,0,0
toile ; de coton teinte haut prix,toile ; de coton ; teinte,1,1,5
toile ; de coton à imprimer,toile ; de coton à imprimer,1,2,2
"toile ; de coton, mousseline et nankin","toile ; de coton, mousseline et nankin",1,23,23
"toile ; de coton, mousseline, nankin et des indes","toile ; de coton, mousseline, nankin et des indes",1,10,10
toile ; de coton ; piquée,,1,1,31324
toile ; de coton ; pour mouchoir,,1,1,31324
toile ; de coton ; teinte bas prix,,1,1,31324
toile ; de cottonade,toile ; de cottonade,1,1,1
toile ; de couleur,toile ; de couleur,1,5,5
toile ; de courtrai,toile ; de courtrai,1,2,2
toile ; de coutil,toile ; de coutil,1,26,29
toile ; de coutil ; à carreau,toile ; de coutil ; à carreau,0,0,0
toile ; de crin,toile ; de crin,1,163,163
toile ; de crin ; cirée,toile ; de crin ; cirée,0,0,0
toile ; de crin ; cirée et gommée,toile ; de crin ; cirée et gommée,0,0,0
toile ; de fil,toile ; de Bretagne ; raxonne,1,3,4
toile ; de fil ; blanche,toile ; de fil ; blanche,0,0,0
toile ; de fil ; commune,toile ; de fil ; commune,0,0,0
toile ; de fil ; coutil,toile ; de fil ; coutil,1,2,2
toile ; de fil ; en coutil,toile ; de fil ; en coutil,1,1,1
toile ; de fil de coton ; siamoise,toile ; de fil de coton ; siamoise,1,14,475
toile ; de fil et coton,toile ; de fil et coton,1,108,158
toile ; de fil et coton ; basin,toile ; de fil et coton ; basin,1,1,2
toile ; de fil et coton ; blanche,toile ; de fil et coton ; blanche,1,1,1
toile ; de fil et coton ; diverse,toile ; de fil et coton,1,25,158
toile ; de fil et coton ; en siamoise ; blanche,toile ; de fil et coton ; siamoise ; blanche,1,2,2
toile ; de fil et coton ; en siamoise ; imprimée,toile ; de fil de coton ; siamoise ; imprimée,1,2,6
toile ; de fil et coton ; en siamoise ; teinte,toile ; de fil de coton ; siamoise ; teinte,1,2,5
toile ; de fil et coton ; imprimée,toile ; de fil et coton ; imprimée,1,2,2
toile ; de fil et coton ; siamoise,toile ; de fil et coton ; siamoise,1,22,22
toile ; de fil et coton ; teinte,toile ; de fil et coton ; teinte,1,3,3
toile ; de fil et de coton dite sciamoise,toile ; de fil de coton ; siamoise,1,1,475
toile ; de fil teint,,1,1,31324
toile ; de filezie,toile ; de filezie,1,2,2
toile ; de fleur de Rouen,toile ; fleur de Rouen,1,2,2
toile ; de fougère,toile ; de fougère,1,5,5
toile ; de gris,toile ; de gris,1,1,1
toile ; de guingamp,toile ; de guingamp,1,3,9
toile ; de halle,,1,1,31324
toile ; de lin,toile ; de lin,1,188,206
toile ; de lin ; au lait,toile ; de lin ; au lait,1,14,14
toile ; de lin ; batiste,toile ; de lin ; batiste,1,123,123
toile ; de lin ; batiste et limon,toile ; de lin ; batiste et limon,1,17,17
toile ; de lin ; blanche,toile ; de lin ; blanche,1,385,392
toile ; de lin ; blanche ; commune,toile ; de lin ; blanche,1,1,392
toile ; de lin ; blanche damassée pour nappe et serviette,toile ; de lin ; blanche,1,1,392
toile ; de lin ; blanche de 12 sols par aune,toile ; de lin ; blanche,1,1,392
toile ; de lin ; blanche de 20 sols par aune,toile ; de lin ; blanche,1,1,392
toile ; de lin ; blanche de sol par aune,,1,1,31324
toile ; de lin ; blanche de sols par aune,toile ; de lin ; blanche,0,0,0
toile ; de lin ; blanche et assortie,toile ; de lin ; blanche et assortie,1,6,6
toile ; de lin ; blanche pour nappe et serviette,toile ; de lin ; blanche,1,1,392
toile ; de lin ; brochée,toile ; de lin ; brochée,1,4,4
toile ; de lin ; cirée,toile ; de lin ; cirée,1,1,1
toile ; de lin ; claire,toile ; de lin ; claire,1,3,3
toile ; de lin ; claire et gaze,toile ; de lin ; claire et gaze,1,2,2
toile ; de lin ; commune,toile ; de lin,1,17,206
toile ; de lin ; coutil,toile ; de lin ; coutil,1,4,4
toile ; de lin ; crue,toile ; de lin ; crue,1,4,4
toile ; de lin ; d'Abbeville,toile ; de lin ; d'Abbeville,1,1,1
toile ; de lin ; d'Alençon,toile ; de lin ; d'Alençon,1,1,1
toile ; de lin ; d'Amiens,toile ; de lin ; d'Amiens,1,1,1
toile ; de lin ; de 13 aunes,,1,1,31324
toile ; de lin ; de 15 aunes,,1,1,31324
toile ; de lin ; de Beaujolais,toile ; de lin ; de Beaujolais,1,1,1
toile ; de lin ; de Beauvais,toile ; de lin ; de Beauvais,1,66,67
toile ; de lin ; de Cambrais,toile ; de lin ; de Cambrais,1,11,11
toile ; de lin ; de Cholet,toile ; de lin ; de Cholet,1,88,88
toile ; de lin ; de Flandre,toile ; de lin ; de Flandre,1,14,14
toile ; de lin ; de Frise,toile ; de lin ; de Frise,1,1,1
toile ; de lin ; de Gand,toile ; de lin ; de Gand,1,1,1
toile ; de lin ; de Hollande,toile ; de lin ; de Hollande,1,50,50
toile ; de lin ; de Laval,toile ; de lin ; de Laval,1,143,144
toile ; de lin ; de Lille,toile ; de lin ; de Lille,1,5,5
toile ; de lin ; de Marigny,toile ; de lin ; de Marigny,1,1,1
toile ; de lin ; de Pinon,toile ; de lin ; de Pinon,1,4,4
toile ; de lin ; de Rouen,toile ; de lin ; de Rouen,1,105,105
toile ; de lin ; de Russie,toile ; de lin ; de Russie,1,1,1
toile ; de lin ; de Saint Quentin,,1,2,31324
toile ; de lin ; de Saint-Quentin,,1,4,31324
toile ; de lin ; de Senlis,toile ; de lin ; de Senlis,1,1,1
toile ; de lin ; de Servins,toile ; de lin ; de Servins,1,1,1
toile ; de lin ; de St. Malo,toile ; de lin ; de St. Malo,1,1,1
toile ; de lin ; de St. Quentin,toile ; de lin ; de St. Quentin,1,315,315
toile ; de lin ; de Troyes,toile ; de lin ; de Troyes,1,11,11
toile ; de lin ; de Valenciennes,toile ; de lin ; de Valenciennes,1,114,114
toile ; de lin ; de bernay,toile ; de lin ; de bernay,1,1,1
toile ; de lin ; divers,toile ; de lin ; divers,1,1,1
toile ; de lin ; diverse,toile ; de lin ; diverse,1,190,190
toile ; de lin ; en linge ; de table,toile ; de lin ; linge ; de table,1,4,4
toile ; de lin ; fin,toile ; de lin ; fin,1,1,1
toile ; de lin ; fine,toile ; de lin ; fine,1,38,38
toile ; de lin ; fine ; de Cambrais,toile ; de lin ; fine ; de Cambrais,0,0,0
toile ; de lin ; fine ; de Hollande,toile ; de lin ; fine ; de Hollande,0,0,0
toile ; de lin ; fine ; de Valencienne,toile ; de lin ; fine ; de Valenciennes,0,0,0
toile ; de lin ; fine ; de Cambrais,,1,1,31324
toile ; de lin ; fine ; de Hollande,,1,1,31324
toile ; de lin ; fine ; de Valencienne,,1,6,31324
toile ; de lin ; gingas,toile ; de lin ; gingas,1,5,5
toile ; de lin ; gommée,toile ; de lin ; gommée,1,1,1
toile ; de lin ; grasse,toile ; de lin ; grosse,1,2,18
toile ; de lin ; grise,,1,8,31324
toile ; de lin ; grosse,toile ; de lin ; grosse,1,16,18
toile ; de lin ; grosse pointe,toile ; de lin ; grosse pointe,1,1,1
toile ; de lin ; imprimée,toile ; de lin ; imprimée,1,3,3
toile ; de lin ; indigo,toile ; de lin ; indigo,1,1,1
toile ; de lin ; limon et cambray,toile ; de lin ; limon et cambray,1,1,1
toile ; de lin ; lingerie,toile ; de lin ; lingerie,1,4,4
toile ; de lin ; linon,toile ; de lin ; linon,1,10,10
toile ; de lin ; linon ; brodée,toile ; de lin ; linon ; brodée,1,1,1
toile ; de lin ; ordinaire,toile ; de lin,0,0,0
toile ; de lin ; ouvré,toile ; de lin ; ouvrée,1,2,17
toile ; de lin ; ouvrée,toile ; de lin ; ouvrée,1,15,17
toile ; de lin ; peinte et imprimée ; nationale,toile ; de lin ; peinte et imprimée ; nationale,1,4,4
toile ; de lin ; platille,toile ; de lin ; platille,1,9,9
toile ; de lin ; rayée,toile ; de lin ; rayée,1,2,2
toile ; de lin ; rayée et teinte,toile ; de lin ; rayée et teinte,1,1,1
toile ; de lin ; royale,toile ; de lin ; royale,1,49,49
toile ; de lin ; teinte,toile ; de lin ; teinte,1,7,11
toile ; de lin ; toilette,toile ; de lin ; toilette,1,3,3
toile ; de lin ; à doubler,toile ; de lin ; à doubler,1,2,2
toile ; de lin ; à matelas,toile ; de lin ; à matelas,1,2,2
toile ; de lin ; écrue,toile ; de lin ; écrue,1,5,5
"toile ; de lin ; écrue, grosse et ordinaire","toile ; de lin ; écrue, grosse et ordinaire",1,6,6
toile ; de lin blanche haut prix,toile ; de lin ; blanche,1,1,392
toile ; de lin et chanvre,toile ; de lin et de chanvre,1,263,367
toile ; de lin et chanvre ; diverse,toile ; de lin et de chanvre,1,45,367
toile ; de lin et coton,toile ; de lin et coton,0,0,0
toile ; de lin grise bas prix,toile ; de lin ; grise,1,1,9
toile ; de lin grise d'en dessous de 10 sols l'aune,toile ; de lin ; grise,1,1,9
toile ; de lin grise d'en dessous de 20 sols l'aune,toile ; de lin ; grise,1,1,9
toile ; de lin grise d'en dessus de 10 sols l'aune,toile ; de lin ; grise,1,1,9
toile ; de lin grise en dessous de 10 sols,toile ; de lin ; grise,1,1,9
toile ; de lin grise et ardoisée,toile ; de lin ; grise et ardoisée,1,1,1
toile ; de lin grise pour essui main,toile ; de lin ; grise,1,1,9
toile ; de lin grise à 10 sols et en dessous,toile ; de lin ; grise,1,1,9
toile ; de lin grise à 10 sols et en dessus,toile ; de lin ; grise,1,1,9
toile ; de lin grise à 30 sols l'aune,toile ; de lin ; grise,1,1,9
toile ; de lin teinte bas prix,toile ; de lin ; teinte,1,1,11
toile ; de lin teinte haut prix,toile ; de lin ; teinte,1,1,11
toile ; de lin teinte pour coeffe de chapeau,toile ; de lin ; teinte,1,1,11
toile ; de lin teinte pour mouchoir,toile ; de lin ; teinte,1,1,11
"toile ; de lin, batiste et linon","toile ; de lin, batiste et linon",0,0,0
toile ; de linge de table ; à nappe et serviette,toile ; de linge de table ; à nappe et serviette,1,1,1
toile ; de lin ; blanche,,1,20,31324
toile ; de lin ; grise,,1,1,31324
toile ; de lin ; teinte,,1,1,31324
toile ; de lisson,toile ; de lisson,1,1,1
toile ; de montagne,,1,17,31324
toile ; de ménage,,1,67,31324
toile ; de nanquin,étoffe ; coton ; nankin,1,1,12
toile ; de paille,toile ; de paille,1,3,3
toile ; de peinte,toile ; de peinte,1,1,1
toile ; de platille,toile ; de platille,1,3,3
toile ; de ploc,toile ; de ploc,1,13,13
toile ; de serviette,,1,1,31324
toile ; de soie,toile ; de soie,1,5,5
toile ; de voile,toile ; de voile,1,5,5
toile ; des Indes,toile ; des Indes,1,121,122
toile ; des Indes ; Caladaris,toile ; des Indes ; Caladaris,1,3,3
toile ; des Indes ; Perse,toile ; des Indes ; Perse,1,2,3
toile ; des Indes ; Perse du commerce étranger,toile ; des Indes ; Perse,1,1,3
toile ; des Indes ; baffetas,toile ; des Indes ; taffetas,1,2,2
toile ; des Indes ; bajutapeau,toile ; des Indes ; bajutapeau,0,0,0
toile ; des Indes ; bajutapeaux,,1,1,31324
toile ; des Indes ; bandanas,toile ; des Indes ; bandanas,1,1,1
toile ; des Indes ; bayette,toile ; des Indes ; bayette,1,1,1
toile ; des Indes ; bazin,toile ; des Indes ; bazin,1,1,1
toile ; des Indes ; biranpeaux,toile ; des Indes ; biranpeaux,1,2,2
toile ; des Indes ; brantes,toile ; des Indes ; brantes,1,1,1
toile ; des Indes ; brauls,toile ; des Indes ; brauls,1,2,2
toile ; des Indes ; bétille,toile ; des Indes ; bétille,1,1,1
toile ; des Indes ; cachelat,toile ; des Indes ; cachelat,1,1,1
toile ; des Indes ; cachelis,toile ; des Indes ; cachelis,1,2,2
toile ; des Indes ; chafelas,toile ; des Indes ; chafelas,1,1,1
toile ; des Indes ; challe,toile ; des Indes ; challe,1,1,1
toile ; des Indes ; chouclas,toile ; des Indes ; chouclas,1,2,2
toile ; des Indes ; coton ; blanche,toile ; des Indes ; coton ; blanche,1,1,1
toile ; des Indes ; coupis,toile ; des Indes ; coupis,1,1,1
toile ; des Indes ; de guingamp,toile ; des Indes ; de guingamp,1,1,1
toile ; des Indes ; diverse,toile ; des Indes ; diverse,1,14,14
toile ; des Indes ; gastas,toile ; des Indes ; gastas,1,1,1
toile ; des Indes ; guinée blanche,toile ; des Indes ; guinée blanche,1,4,4
toile ; des Indes ; guinée blanche et bleue,toile ; des Indes ; guinée blanche et bleue,1,5,5
toile ; des Indes ; guinée bleue,toile ; des Indes ; guinée bleue,1,1,1
toile ; des Indes ; indienne,indienne,1,1,207
toile ; des Indes ; korola,toile ; des Indes ; korola,1,2,2
toile ; des Indes ; liménéas,toile ; des Indes ; liménéas,1,2,2
toile ; des Indes ; meganepeaux,toile ; des Indes ; meganepeau,1,1,1
toile ; des Indes ; mousseline,toile ; des Indes ; mousseline,1,5,5
toile ; des Indes ; nankin,toile ; des Indes ; nankin,1,2,2
toile ; des Indes ; nicanéas,toile ; des Indes ; nicanéas,1,2,2
toile ; des Indes ; nilas,toile ; des Indes ; nilas,1,1,1
toile ; des Indes ; néganépane,toile ; des Indes ; néganépane,1,2,2
toile ; des Indes ; peinte,toile ; des Indes ; peinte,1,1,1
toile ; des Indes ; photes,toile ; des Indes ; photes,1,2,2
toile ; des Indes ; platille,toile ; des Indes ; platille,1,6,6
toile ; des Indes ; provenant du commerce français,toile ; des Indes ; provenant du commerce français,1,5,5
toile ; des Indes ; provenant du commerce étranger,toile ; des Indes ; provenant du commerce étranger,1,2,2
toile ; des Indes ; ricanias,toile ; des Indes ; ricanias,1,1,1
toile ; des Indes ; romalis,toile ; des Indes ; romalis,1,3,3
toile ; des Indes ; shetas,toile ; des Indes ; shetas,1,1,1
toile ; des Indes ; tapse,toile ; des Indes ; tapse,1,2,2
toile ; des Indes ; tapsel,toile ; des Indes ; tapsel,0,0,0
toile ; des Indes ; tapsels,,1,1,31324
toile ; des Indes ; tepaye,toile ; des Indes ; tepaye,1,1,1
toile ; des halle,toile ; des halle,1,3,3
toile ; dite drol et drouel,toile ; dite drol et drouel,1,1,1
toile ; diverse,toile,1,192,316
toile ; diverse ; de lin et de chanvre,toile ; de lin et de chanvre,0,0,0
toile ; diverse ; en batiste,toile ; diverse ; en batiste,1,1,1
toile ; du Béarn,toile ; du Béarn,1,3,3
toile ; du Lyonnais,toile ; du Lyonnais,1,1,1
toile ; du pays,toile ; du pays,1,7,7
toile ; dure,toile ; dure,1,12,12
toile ; découpée,toile ; découpée,1,1,1
toile ; embabis,toile ; embabis,1,2,2
toile ; en chemise,toile ; en chemise,1,1,1
toile ; en coutil,,1,4,31324
toile ; en fair,toile ; en fair,1,2,2
toile ; en linge,toile ; en linge,1,1,1
toile ; en linge ; de table,,1,1,31324
toile ; en linge de table,toile ; linge de table,0,0,0
toile ; en rossière,toile ; en rossière,1,1,1
toile ; en serviette,toile ; en serviette,1,2,2
toile ; en siamoise,,1,3,31324
toile ; en siamoise ; a peu de soie,,1,1,31324
toile ; en siamoise ; au sixième de soie,,1,2,31324
toile ; en siamoise ; fil et coton,,0,0,0
toile ; entre large,toile,0,0,0
toile ; et bonneterie,toile et bonneterie,1,1,1
toile ; et coton en balle,toile et coton en balle,1,1,1
toile ; et fil,toile et fil,1,1,1
toile ; et treilli lustrée,toile et treillis lustrée,1,1,1
toile ; et étoffe ; de coton,toile et étoffe ; de coton,1,1,1
toile ; façonnée en sac,toile ; sac,1,1,4
toile ; fil et coton,toile ; fil et coton,1,112,113
toile ; fil et coton ; diverse,toile ; fil et coton ; diverse,1,3,3
toile ; fil et coton ; en siamoise,toile ; de fil de coton ; siamoise,1,3,475
toile ; fil et coton ; siamoise,toile ; de fil de coton ; siamoise,1,7,475
toile ; fil et coton ; siamoise ; imprimée,toile ; de fil de coton ; siamoise ; imprimée,1,1,6
toile ; fil et coton pour mouchoir,toile ; fil et coton,1,1,113
toile ; fine,toile ; fine,1,25,28
toile ; fine et commune,toile ; fine et commune,1,5,5
toile ; flamande,toile ; flamande,0,0,0
toile ; fleuret ; blancard,,1,10,31324
toile ; fougère,,0,0,0
toile ; gingas,toile ; gingas,1,11,11
toile ; gingas ; nationale,toile ; gingas ; nationale,1,5,5
toile ; glassée,toile ; glacée,1,1,1
toile ; gomme,toile ; gommée,1,1,1
toile ; gommée ; bourgon,toile ; gommée ; bourgon,1,3,3
toile ; gommée ; canevas,toile ; gommée ; canevas,1,3,3
toile ; gommée ; treillis,toile ; gommée ; treillis,1,7,7
toile ; gracienne,toile ; gracienne,0,0,0
toile ; grise,toile ; grise,1,36,36
toile ; grise ; non battue,toile ; grise ; non battue,1,1,1
toile ; gros fort,toile ; gros fort,1,23,23
toile ; grosse,,1,156,31324
toile ; grosse ; à carreau de Lille,toile ; grosse ; à carreau de Lille,0,0,0
toile ; grosse ; à carreaux de Lille,,1,1,31324
toile ; guingamp,toile ; guingamp,1,1,2
toile ; guinée,toile ; guinée,1,1,1
toile ; guinée ; bleue,toile ; guinée ; bleue,1,4,4
toile ; haut brin,,0,0,0
toile ; idem ; d'Olonne,toile ; idem ; d'Olonne,1,1,1
toile ; idem ; fin,toile ; idem ; fin,1,1,1
toile ; imprimée,toile ; imprimée,1,8,8
toile ; indienne,toile ; indienne,1,2,2
toile ; kettroy,toile ; kettroy,1,1,1
toile ; killis,toile ; killis,1,10,10
toile ; lavée,toile ; lavée,1,2,2
toile ; limeneas,toile ; limeneas,1,1,1
toile ; lin ; blancard,toile ; lin ; blancard,1,8,9
toile ; lin ; gingas,toile ; lin ; gingas,1,90,90
toile ; lin ; grenade,toile ; lin ; grenade,1,28,28
toile ; linge ; de table,,0,0,0
toile ; linge ; de table ; damassé,,1,1,31324
toile ; linge ; de table ; serviette,,1,1,31324
toile ; linge de table,toile ; linge de table,1,218,275
toile ; linge de table ; canapé,toile ; linge de table ; canapé,1,4,4
toile ; linge de table ; divers,toile ; linge de table,1,39,275
toile ; linge de table ; serviette,toile ; linge de table ; serviette,1,10,10
toile ; linge de table ; vieux,toile ; linge de table ; vieux,1,1,1
toile ; linge de table ; à Nappe,toile ; linge de table ; à Nappe,1,5,5
toile ; linge de table ; à serviette,toile ; linge de table ; à serviette,1,13,13
toile ; linon,toile ; linon,1,13,13
toile ; linon ; batiste,toile ; linon ; batiste,1,1,1
toile ; lustrée,toile ; lustrée,1,12,12
toile ; manche,toile ; manche,1,1,1
toile ; manouf,toile ; manouf,1,30,30
toile ; micanéas,toile ; nicanéas,1,2,4
toile ; montagne,toile ; montagne,1,1,1
toile ; mousseline,toile ; mousseline,1,10,10
toile ; mêlée,toile ; mêlée,1,23,23
toile ; mêlée ; ?,toile,1,26,316
toile ; mêlée ; batiste et linon,toile ; batiste et linon,0,0,0
toile ; mêlée ; blanche,toile ; blanche,1,21,204
toile ; mêlée ; d'Irlande,toile ; mêlée ; d'Irlande,1,1,1
toile ; mêlée ; d'emballage,toile ; d'emballage,1,21,25
toile ; mêlée ; d'étoupe,toile ; d'étoupe,1,6,78
toile ; mêlée ; de Bretagne,toile ; de Bretagne,1,5,186
toile ; mêlée ; de Cambray,toile ; de Cambray,1,2,2
toile ; mêlée ; de Flandre,toile ; de Flandre,1,2,5
toile ; mêlée ; de Laval,toile ; de Laval,1,4,53
toile ; mêlée ; de Rouen,toile ; de Rouen,1,1,17
toile ; mêlée ; de Russie,toile ; mêlée ; de Russie,1,1,1
toile ; mêlée ; de chanvre et de lin,toile ; de chanvre et de lin,0,0,0
toile ; mêlée ; de coutil,toile ; mêlée ; de coutil,1,1,1
toile ; mêlée ; de fil et coton,toile ; de fil et coton,1,25,158
toile ; mêlée ; de lin et de chanvre,toile ; de lin et de chanvre,1,58,367
toile ; mêlée ; de linge de table,toile ; linge de table,1,6,275
toile ; mêlée ; divers,toile,1,17,316
toile ; mêlée ; diverse,toile ; mêlée ; diverse,1,40,40
toile ; mêlée ; d’emballage,toile ; d'emballage,1,4,25
toile ; mêlée ; en linge de table,toile ; linge de table,1,11,275
toile ; mêlée ; en sac,toile ; sac,1,3,4
toile ; mêlée ; fine,toile ; fine,1,2,28
toile ; mêlée ; ganak,toile ; ganak,1,2,2
toile ; mêlée ; gingas,toile ; mêlée ; gingas,1,1,1
toile ; mêlée ; grosse,toile ; mêlée ; grosse,1,12,12
toile ; mêlée ; grosse en face,toile ; grosse en face,1,12,12
toile ; mêlée ; grosse et sommier,toile ; grosse et sommier,1,6,6
toile ; mêlée ; guingan,toile ; de guingamp,1,6,9
toile ; mêlée ; imprimé,toile imprimé,1,2,2
toile ; mêlée ; peinte,toile ; peinte,1,34,411
toile ; mêlée ; rayée,toile ; mêlée ; rayée,1,1,1
toile ; mêlée ; serpillere,toile ; serpillière,1,3,40
toile ; mêlée ; serpillière,toile ; mêlée ; serpillere,1,1,1
toile ; mêlée ; teinte,toile ; teinte,1,12,12
toile ; mêlée ; à bretagne,toile ; de Bretagne,1,1,186
toile ; mêlée ; à carreau,toile ; mêlée ; à carreau,0,0,0
toile ; mêlée ; à carreaux,,1,10,31324
toile ; mêlée ; écrue,toile ; écrue,1,10,11
toile ; nankin,toile ; étoffe ; coton ; nankin,1,9,9
toile ; nankin ; de l'Inde,toile ; nankin ; de l'Inde,1,4,4
toile ; nicanéas,toile ; nicanéas,1,2,4
toile ; non battue,toile ; non battue,1,8,8
toile ; noyale,toile ; noyale,1,11,11
toile ; ordinaire,toile,1,20,316
toile ; ouvrée,toile ; ouvrée,1,6,6
toile ; peinte,toile ; peinte,1,377,411
toile ; peinte ; imprimée,toile ; peinte ; imprimée,1,1,1
toile ; peinte et indienne,toile ; peinte et indienne,0,0,0
toile ; peinte et indienne ; de l'Inde,toile ; peinte et indienne ; de l'Inde,1,5,5
toile ; peinte et indienne ; nationale,toile ; peinte et indienne ; nationale,1,5,5
toile ; peinte et indienne ; étrangère,toile ; peinte et indienne ; étrangère,1,3,3
toile ; perse et indienne,toile ; perse et indienne,1,1,1
toile ; petite,toile ; petite,1,3,3
toile ; piquée,,1,31,31324
toile ; platille,toile ; platille,1,94,94
toile ; poméranienne,toile ; de Poméranie,0,0,0
toile ; potonnoise,toile ; potonnoise,1,2,2
toile ; pour ameublement,toile ; pour ameublement,1,1,1
toile ; pour ameublement ; toile cirée,toile ; cirée,0,0,0
toile ; pour ameublement ; toile cirée ; aune,toile ; cirée,0,0,0
toile ; pour ameublement ; toile cirée,,1,1,31324
toile ; pour ameublement ; toile cirée ; aune,,1,1,31324
toile ; pour essuie main,toile,1,1,316
toile ; pour matelas,toile ; à matelas,0,0,0
toile ; pour matelats,,1,1,31324
toile ; pour mouchoir,toile,1,1,316
toile ; pour nappe,toile ; pour nappe,1,1,2
toile ; pour nappe et serviette,toile ; pour nappe et serviette,1,1,1
toile ; pour serviette,toile ; pour serviette,1,1,1
toile ; pour tabac,toile ; pour tabac,1,1,1
toile ; pour tableau,toile ; pour tableau,1,1,1
toile ; pour talliet,toile ; pour talliet,1,1,1
toile ; pour tente,toile ; pour tente,1,1,1
toile ; presitte,toile ; presitte,1,1,1
toile ; pressée,toile ; pressée,1,1,1
toile ; prohibée,,1,1,31324
toile ; rayée,,1,29,31324
toile ; rayée pour mouchoir,toile ; rayée,1,1,1
"toile ; rayée, ardoisée et rayonnée","toile ; rayée, ardoisée et rayonnée",1,1,1
toile ; rosconne,toile ; rosconne,0,0,0
toile ; rouge,toile ; rouge,1,1,1
toile ; rousse,,1,18,31324
toile ; royale,toile ; royale,1,41,41
toile ; sangalette,toile ; sangalette,1,6,6
toile ; serpillière,toile ; serpillière,1,37,40
toile ; siamoise,toile ; de fil de coton ; siamoise,1,219,475
toile ; siamoise ; fil et coton,toile ; de fil de coton ; siamoise,0,0,0
toile ; siamoise ; imprimée,toile ; de fil de coton ; siamoise ; imprimée,1,3,6
toile ; siamoise ; teinte,toile ; de fil de coton ; siamoise ; teinte,1,3,5
toile ; siamoise ; fil et coton,,1,4,31324
toile ; taupe,toile ; taupe,1,1,1
toile ; teinte,,1,68,31324
toile ; tissée ; très fin,toile ; fine,0,0,0
toile ; toilerie,,0,0,0
toile ; tout coton,,0,0,0
toile ; treillis,toile ; treillis,0,0,0
toile ; treillis et gommée,toile ; treillis et gommée,0,0,0
toile ; à bas,toile ; à bas,1,8,8
toile ; à bluteau,toile ; à bluteau,0,0,0
toile ; à bluteaux,,1,2,31324
toile ; à canevas,toile ; à canevas,1,2,2
toile ; à carreau,,0,0,0
toile ; à carreau et à matelas,toile ; à carreau et à matelas,0,0,0
toile ; à carreaux,,1,92,31324
toile ; à carreaux et à matelas,,1,4,31324
toile ; à doubler,toile ; à doubler,1,2,2
toile ; à drapeau,toile ; à drapeau,0,0,0
toile ; à matelas,toile ; à matelas,1,57,58
toile ; à nappe,toile ; à nappe,1,3,3
toile ; à nappe et serviette,,0,0,0
toile ; à paillasse,toile ; à paillasse,1,3,3
toile ; à pavillon,toile ; à pavillon,1,2,2
toile ; à peindre,toile ; à peindre,1,1,1
toile ; à sac,,1,9,31324
toile ; à sacquette dite talette,toile ; à sacquette dite talette,1,1,1
toile ; à serviette,,1,18,31324
toile ; à serviette ; de Lille,toile ; à serviette ; de Lille,1,2,2
toile ; à tamis,toile ; à tamis,1,12,12
toile ; à tapisser,toile ; à tapisser,1,1,1
toile ; à treillis,toile ; à treillis,0,0,0
toile ; à voile,toile ; à voile,1,372,373
toile ; à voile ; de 24 aunes,,0,0,0
toile ; écrue,,1,3,31324
toile ; écrue pour essuie main,toile ; écrue,1,1,11
"toile ; écrue, de lin et de chanvre","toile ; écrue, de lin et de chanvre",0,0,0
"toile ; écrue, grise et ardoisée","toile ; écru, grise et ardoisée",1,1,1
toile ; étoupe ; de chanvre,,1,2,31324
toile ; étoupe ; de lin,,1,5,31324
toile ; étrangère,toile ; étrangère,1,29,29
toile ; étrangère ; du Piémont,toile ; étrangère ; du Piémont,1,1,1
toile ; étroite,toile,0,0,0
toile large,toile,1,3,316
toilerie,toile,1,2,316
toilerie ; bonneterie de fil,toilerie ; bonneterie de fil,1,7,7
toilerie ; toile batiste et linon,toilerie ; toile batiste et linon,1,51,51
toilerie ; toile de chanvre,toilerie ; toile de chanvre,1,32,32
toilerie ; toile de coutil,toilerie ; toile de coutil,1,7,7
toilerie ; toile de coutil et de bazin,toilerie ; toile de coutil et de bazin,1,5,5
toilerie ; toile de coutil à carreau,toilerie ; toile de coutil à carreau,0,0,0
toilerie ; toile de coutil à carreaux,,1,17,31324
"toilerie ; toile de fil, peinte, teinte et imprimée","toilerie ; toile de fil, peinte, teinte et imprimée",1,4,4
toilerie ; toile de lin,toilerie ; toile de lin,1,33,33
toilerie ; toile de lin ; divers,toilerie ; toile de lin ; divers,0,0,0
toilerie ; toile de lin et de chanvre,toilerie ; toile de lin et de chanvre,1,18,18
toilerie ; toile de lin ; divers,,1,34,31324
"toilerie ; toile lin, batiste et linon","toilerie ; toile lin, batiste et linon",1,52,52
toilerie ; toile linge de table,toilerie ; toile linge de table,1,22,22
toilerie ; toile mouchoir,toilerie ; toile mouchoir,1,4,4
toilerie ; toile mouchoir ; blanc et teint,toilerie ; toile mouchoir ; blanc et teint,0,0,0
toilerie ; toile mouchoir ; de fil,toilerie ; toile mouchoir ; de fil,0,0,0
toilerie ; toile mouchoir ; blanc et teint,,1,27,31324
toilerie ; toile mouchoir ; de fil,,1,4,31324
toilerie ; toile mêlée ; de fil et coton,toilerie ; toile mêlée ; de fil et coton,1,91,91
