marchandises_norm_ortho,marchandises_simplifiees,source_bdc,nbr_bdc_marchandises_norm_ortho,nbr_bdc_marchandises_simplifiees
assiette ; de bois,assiette ; de bois,1,2,2
assiette ; de faïence,assiette ; de faïence,1,2,2
assiette ; de porcelaine,assiette ; de porcelaine,1,1,1
assiette ; de terre,assiette ; de terre,1,3,3
assiette et plat,assiette et plat,1,1,1
attache ; de cuivre,attache ; de cuivre,1,1,1
attelle ; de collier,attelle ; de collier,1,9,14
attelle ; de cuivre,attelle ; de collier,1,5,14
auge,auge,1,2,2
auge ; de carreau,auge ; de carreau,1,1,1
aussière,cordage ; aussière,1,1,1
aux à fauxhes,aux à fauxhes,1,1,1
avelanèdes,avellanède,1,50,50
avelines,avelines,1,5,295
aviron,avelines,1,290,295
aviron ; brut,aviron ; brut,1,6,6
aviron ; de 12 pieds,aviron ; de 12 pieds,1,1,1
aviron ; de 18 pieds,aviron ; de 18 pieds,1,1,1
aviron ; de 30 pieds,aviron ; de 30 pieds,1,1,1
aviron ; de 5 pieds,aviron ; de 5 pieds,1,1,1
aviron ; poli,aviron ; poli,1,1,1
avoine,avoine,1,215,258
avoine ; en gerbe,avoine ; en gerbe,1,1,1
avoine ; moulée,avoine ; moulée,1,1,1
avoine et haricot,avoine et haricot,1,1,1
"avoine, orge ; etc.","avoine, orge ; etc.",1,1,1
azur,drogue ; pour la peinture et la teinture ; azur,1,433,469
azur ; commun,azur ; commun,1,74,74
azur ; fin,azur ; fin,0,0,0
azur ; gros,azur ; gros,1,3,3
azur et cobalt,azur et cobalt,1,20,20
azur ; fin,,1,2,31324
azur ; gros,,1,10,31324
babouche,babouche,1,18,18
babouche ; de maroquin,babouche ; de maroquin,1,1,1
babus,babus,1,4,4
bac contenant 1 aime,bac contenant 1 aime,1,1,1
bac de pierre,bac de pierre,1,1,9
bac de pierre bleue,bac de pierre,1,1,9
bac de pierre contenant 1 aime,bac de pierre,1,1,9
bac de pierre contenant 4 aimes,bac de pierre,1,1,9
bac de pierre de 1/2 d'aime,bac de pierre,1,1,9
bac de pierre de 3/4 d'aime,bac de pierre,1,1,9
bac de pierre de moindre classe,bac de pierre,1,1,9
bac de pierre en dessous d'un ame,bac de pierre,1,1,9
bac de pierre en dessus d'un ame,bac de pierre,1,1,9
badiane,badiane,1,3,3
baffetas,taffetas,1,44,86
baffetas ; blanc,baffetas ; blanc,0,0,0
baffetas ; bleu,baffetas ; bleu,0,0,0
baffetas ; blanc,,1,2,31324
baffetas ; bleu,,1,11,31324
bagage,bagage,1,1,1
bague,bague,1,4,4
bague ; d'or,bague ; d'or,1,1,1
bague ; de cuivre,bague ; de cuivre,1,1,1
bague ; de laiton,bague ; de laiton,1,2,2
bague ; de verre,bague ; de verre,1,1,1
bague ; à pierre ; fausse,bague ; à pierre ; fausse,1,1,1
baguette ; de bois,baguette ; de bois,1,1,1
baguette ; de fusil,baguette ; de fusil,1,16,16
baguette ; à chandelle,baguette ; à chandelle,1,1,1
baguette ; étoffe,baguette ; étoffe,1,2,2
bahut,bahut,1,6,6
baie ; de buis,baie ; de buis,1,1,1
baie ; de foye,baie ; de foye,1,1,1
baie ; de genièvre,baie ; de genièvre,1,2,2
baies ; de foye,,1,1,31324
baigne,baigne,1,5,5
baignoire,baignoire,1,1,1
baigot,baigot,1,1,1
baille,baille,1,1,1
bailliarge,bailliarge,1,5,5
bajanne ; tannée,bajanne ; tannée,1,8,8
bajutapeau,bajutapeau,1,65,65
bajutapeaux,,1,1,31324
balai,balai,1,147,147
balai ; coupée,balai ; coupée,1,3,3
balai ; de bois,balai ; de bois,1,37,37
balai ; de bruyère,balai ; de bruyère,1,11,11
balai ; de chanvre,balai ; de chanvre,1,1,1
balai ; de crin,balai ; de crin,1,7,7
balai ; de foyer,balai ; de foyer,1,1,1
balai ; de jonc,balai ; de jonc,1,16,16
balai ; de jong,balai ; de jong,1,7,7
balai ; de laine ; à laver les plancher,balai ; de laine ; à laver les plancher,0,0,0
balai ; de laine ; à laver les planchers,,1,1,31324
balai ; de paille de riz,balai ; de paille de riz,1,2,2
balai ; de palme,balai ; de palme,1,31,31
balai ; de riz,balai ; de riz,1,3,3
balai ; de soie,balai ; de soie,1,7,7
balai ; de soie ; de porc,balai ; de soie ; de porc,1,16,16
balai ; de toile,balai ; de toile,1,1,1
balai ; divers,balai ; divers,1,1,1
balai ; du roi,balai ; du roi,1,1,1
balai ; fin,balai ; fin,1,1,1
