marchandises,marchandises_normalisees_orthogr,source_bdc,nbr_bdc_marchandises,nbr_bdc_marchandises_normalisees
Caramel,caramel,1,1,1
Carcasse ; à peu de soye,carcasse ; à peu de soie,1,2,2
Carcasses,carcasse,1,1,2
Cardamome,cardamone,0,0,0
Cardamomium,cardamone,1,1,31
Cardamomum,cardamone,1,24,31
Cardamomun,cardamone,1,1,31
Cardamone,cardamone,0,0,0
Cardamum,cardamone,1,1,31
Cardanomun,cardamone,1,1,31
Cardes,carde,0,0,0
Cardes ; a carder,carde ; à carder,1,1,131
Cardes ; carder,carde ; carder,1,1,1
Cardes ; neuves,carde ; neuve,1,1,2
Cardes ; vieilles,carde ; vieille,1,1,1
Cardes ; à cadrer,carde ; à carder,1,1,131
Cardes ; à carder,carde ; à carder,1,65,131
Cardes ; à drapier,carde ; à drapier,1,1,2
Cardes a carder,carde ; à carder,1,8,131
Cardes en fer,carde ; en fer,0,0,0
Cardes neuves,carde ; neuve,1,1,2
Cardes pour laine,carde ; pour laine,0,0,0
Cardes vieilles,carde ; vieille,1,7,8
Cardes vielles,carde ; vieille,1,1,8
Cardes à carder,carde ; à carder,1,55,131
Cardine,cardine,1,1,7
Cardines,cardine,1,6,7
Cardines de Sapin,cardine ; de sapin,1,1,1
Cardons,cardon,1,2,3
Careaux ; de verre,carreau ; de verre,1,1,1
Careaux ; moulage ; de France,carreau ; moulage ; de France,1,1,1
Careaux a paver,carreau ; à paver,1,1,9
Carelet,carelet,1,1,1
Cargaison,cargaison,0,0,0
Cargaisons,cargaison,0,0,0
Cargo et provisions,cargo et provision,0,0,0
Caril,caril,1,1,1
Carisels ou creseaux,toile ; carisel ou créseau,1,7,7
Carisé,carizé,1,2,14
Carisée,carizé,1,1,14
Carisées,carizé,1,1,14
Carives vielles,carizé ; vieille,1,2,2
Carizal,carizé,1,1,14
Carize,carizé,1,1,14
Carize etoffe,carizé ; étoffe,1,1,1
Carizee,carizé,1,1,14
Carizé,carizé,1,7,14
Carlon,cardon,1,1,3
Carlé,carlé,1,2,2
Carmin,carmin,1,10,10
Carnasse,carnasse,1,8,8
Carnatane,carnatane,1,1,1
Carnifié,carnifié,1,1,1
Carny,carny,1,1,1
Carols,carol,1,1,1
Caroos,carrosse,1,1,33
Caroots,carotte,1,1,10
Carosse,carrosse,1,6,33
Carosser,carrosse,1,2,33
Carosses,carrosse,1,21,33
Carosses ; grands ; montés sur leur train et harnois riches,carrosse ; grand ; monté sur leur train et harnois riche,1,1,1
Carosses et harnois,carrosse et harnois,1,1,1
Carots,carotte,1,1,10
Carotte,carotte,1,1,10
Carotte d'enfants,carotte ; d'enfant,1,1,1
Carpeaux ; alvins,carpeaux ; alvin,1,4,5
Carpeaux ;a lvins,carpeaux ; alvin,1,1,5
Carpes,carpe,1,26,27
Carpette,carpette,1,3,3
Carpettes,carpette,1,1,1
Carractere à imprimer,caractère d'imprimerie,1,1,112
Carracteres d'Imp.rie,caractère d'imprimerie,1,1,112
Carracteres d'imprimerie,caractère d'imprimerie,1,6,112
Carracteres à imprimer,caractère d'imprimerie,1,2,112
Carracteres à imprimerie,caractère ; à imprimer,1,1,5
Carractères ; d'imprimerie,caractère d'imprimerie,1,2,112
Carreau ; de marbre,carreau ; de marbre,1,3,44
Carreau ; de terre,carreau ; de terre,1,1,199
Carreaux,carreau,1,2,2
Carreaux (pour le sol),carreau ; pour le sol,0,0,0
Carreaux ;  à dentelle,carreau ; à dentelle,0,0,0
Carreaux ; ???,carreau ; ?,1,1,1
Carreaux ; De Pierre,carreau ; de pierre,1,2,21
Carreaux ; De lorre,carreau ; de lorre,1,4,4
Carreaux ; De marbre,carreau ; de marbre,1,1,44
Carreaux ; De pierre,carreau ; de pierre,1,2,21
Carreaux ; Isle de France,carreau ; Île de France,1,1,1
Carreaux ; bleux,carreau ; bleu,1,1,1
Carreaux ; d'ardoises,carreau ; d'ardoise,1,1,1
Carreaux ; de Pierre,carreau ; de pierre,1,1,1
Carreaux ; de bidache,carreau ; de bidache,1,4,5
Carreaux ; de brique,carreau ; de brique,1,1,1
Carreaux ; de dentelle,carreau ; de dentelle,1,1,1
Carreaux ; de fayance,carreau ; de faïence,1,5,15
Carreaux ; de fayence,carreau ; de faïence,1,1,15
Carreaux ; de marbre,carreau ; de marbre,1,29,44
Carreaux ; de marbre ; pour le Roy,carreau ; de marbre ; pour le roi,1,1,1
Carreaux ; de perries,carreau ; de pierre,1,1,21
Carreaux ; de pierre,carreau ; de pierre,1,8,21
Carreaux ; de pierres,carreau ; de pierre,1,6,21
Carreaux ; de sera,carreau ; de sera,1,2,2
Carreaux ; de terre,carreau ; de terre,1,142,199
Carreaux ; de verre,carreau ; de verre,1,3,6
Carreaux ; debidache,carreau ; de bidache,1,1,5
Carreaux ; meulage de Brie,carreau ; meulage de Brie,1,2,3
Carreaux ; meulage de France,carreau ; meulage de France,1,1,1
Carreaux ; meulage de brie,carreau ; meulage de Brie,1,1,3
Carreaux ; moulage,carreau ; moulage,1,2,4
Carreaux ; moulage ; de Brie,carreau ; moulage ; de Brie,1,2,2
Carreaux ; moulage ; de France,carreau ; moulage ; de France,1,2,4
Carreaux ; moulage de France,carreau ; moulage ; de France,1,2,4
Carreaux ; moulages,carreau ; moulage,1,2,4
Carreaux ; noir,carreau ; noir,1,3,4
Carreaux ; rouges,carreau ; rouge,1,1,1
Carreaux ; à dentelle,carreau ; à dentelle,1,2,4
Carreaux ; à faire dentelle,carreau ; à faire dentelle,1,1,4
Carreaux ; à paver,carreau ; à paver,1,4,9
Carreaux ; à pever,carreau ; à paver,1,1,9
Carreaux a pave,carreau ; à paver,1,1,9
Carreaux a paver,carreau ; à paver,1,1,9
Carreaux de Fayance,carreau ; de faïence,1,1,15
Carreaux de Fayence,carreau ; de faïence,1,3,15
Carreaux de Marbre,carreau ; de marbre,1,1,44
Carreaux de Pierre,carreau ; de pierre,1,1,7
Carreaux de Terre,carreau ; de terre,1,22,199
Carreaux de Terre a paver,carreau ; de terre à paver,1,1,3
Carreaux de Verre s a vitres,carreau ; de verre à vitre,1,1,12
Carreaux de fayance,carreau ; de faïence,1,2,15
Carreaux de fayence,carreau ; de faïence,1,1,15
Carreaux de gros Marbre,carreau ; de marbre,1,1,44
Carreaux de marbre,carreau ; de marbre,1,2,44
Carreaux de pierre,carreau ; de pierre,1,5,7
Carreaux de pierre a pave,carreau ; de pierre à paver,1,1,2
Carreaux de pierre a paver,carreau ; de pierre à paver,1,1,2
Carreaux de pierre noire,carreau ; de pierre noire,1,1,1
Carreaux de pierres,carreau ; de pierre,1,1,7
Carreaux de pierres de Terre,carreau ; de pierre de terre,1,1,1
Carreaux de pières,carreau ; de pierre,1,1,21
Carreaux de pièrre,carreau ; de pierre,1,1,21
Carreaux de terre,carreau ; de terre,1,24,199
Carreaux de terre à paver,carreau ; de terre à paver,1,1,3
Carreaux de terres,carreau ; de terre,1,2,199
Carreaux de verre,carreau ; de verre,1,3,6
Carreaux de verre pour vitres,carreau ; de verre à vitre,1,2,12
Carreaux de verre à vitre,carreau ; de verre à vitre,1,4,12
Carreaux de verres à vitres,carreau ; de verre à vitre,1,4,12
Carreaux à dentelle,carreau ; noir,1,1,4
Carrelage,carrelage,0,0,0
Carrelets sechés,carrelet séché,0,0,0
Carrelets séchés,carrelet séché,0,0,0
Carres,carret,1,2,16
Carret,carret,1,14,16
Carrosses,carrosse,1,1,33
Carrouge,carrouge,1,13,31
Carrouges,carrouge,1,18,31
Carrreaux ; de marbre,carreau ; de marbre,1,3,44
Carré,carré,1,20,20
Carte ; géographique,carte ; géographique,1,3,43
Carte de la côte d'angleTerre,carte ; de la côte d'Angleterre,1,1,1
Carte à jouer,carte ; à jouer,1,3,262
Cartes,carte,0,0,0
Cartes  : géographiques,carte ; géographique,0,0,0
Cartes : géographiques,carte ; géographique,1,1,43
Cartes ; a jouer,carte ; à jouer,1,6,262
Cartes ; de géografie,carte ; de géographie,1,1,7
Cartes ; de géographie,carte ; de géographie,1,6,7
Cartes ; de géographie ; sur toile,carte ; de géographie ; sur toile,1,1,1
Cartes ; geographiques,carte ; géographique,1,5,43
Cartes ; géographique,carte ; géographique,1,5,43
Cartes ; géographiques,carte ; géographique,1,23,43
Cartes ; géographiques et estampes,estampe et carte géographique,1,2,10
Cartes ; marines,carte ; marine,1,5,11
Cartes ; à Joüer,carte ; à jouer,1,3,262
Cartes ; à jouer,carte ; à jouer,1,82,262
Cartes ; à joüer,carte ; à jouer,1,19,262
Cartes a jouer,carte ; à jouer,1,2,262
Cartes de géographie,carte ; géographique,1,1,43
Cartes géographiques,carte ; géographique,1,4,43
Cartes marine,carte ; marine,1,1,11
Cartes marines,carte ; marine,1,3,11
Cartes à Jouer,carte ; à jouer,1,2,262
Cartes à jouer,carte ; à jouer,1,142,262
Cartes à jouers,carte ; à jouer,1,1,262
Cartes;  marine,carte ; marine,1,1,11
Carton,carton,1,3,47
Carton ; en feuilles,carton ; en feuille,1,1,1
Carton ; à drapier,carton ; à drapier,1,1,1
Carton moulé,carton ; moulé,1,3,3
Carton ouvré,carton ; ouvré,1,31,31
Carton ouvré et en feuilles,carton ; ouvré et en feuille,1,31,31
Cartons,carton,1,43,47
Cartons ; peints,carton,1,1,47
Cartouches,cartouche,1,1,1
Carts ; de nonante,carte ; à jouer,1,1,262
Carubi,carubi,1,5,19
Carubis,carubis,1,14,19
Carvi,carvi,1,1,1
Carzeaux ; de marbre,carreau ; de marbre,1,1,44
Carzeaux de marbre,carreau ; de marbre,1,3,44
Carzeaux de terre,carreau ; de terre,1,2,199
Carzé,carzé,1,6,6
Casaque à nègre,casaque ; à nègre,1,1,1
Casaques,casaque,1,1,1
Casaques de froc,casaque de froc,1,1,1
Casaques de peau,casaque de peau,1,1,1
Cascalogne,castalogne,1,2,20
Cascarille,cascarille,1,4,19
Cascarilles,cascarille,1,15,19
Case,casse,1,7,34
Casques de charge,casque de charge,0,0,0
Cassalignea,cassia lignea,1,3,7
Cassalogne,castalogne,1,2,20
Casse,casse,1,23,34
Casse (c'est la même chose),casse,1,1,34
Casse ; drogue,casse ; remède,1,2,6
Casse ; remedes,casse ; remède,1,1,6
Casse ; étoffe,casse étoffe,1,1,3
Casse Etoffe,casse étoffe,1,2,3
Casse au canéfice,casse ; au canéfice,1,4,4
Casse drogue,casse ; remède,1,1,6
Casse drogues,casse ; remède,1,1,6
Casse en batons,casse ; en bâton,1,1,1
Casse remade,casse ; remède,1,1,6
Casselas,cassela,1,1,1
Casseroles,casserole,0,0,0
Casseroles en fer,casserole ; de fer,0,0,0
Casses,casse,1,3,34
Casses ; de fer,casse ; de fer,1,3,3
Casses ; garnies,casse ; garnie,1,1,1
Casses de léton,casse ; de laiton,1,1,1
Cassia ; Lignea,cassia lignea,1,1,63
Cassia ; lignea,cassia lignea,1,1,63
Cassia Lignea,cassia lignea,1,8,63
Cassia lignea,cassia lignea,1,21,63
Cassia lignes,cassia lignea,1,1,63
Cassia lignex,cassia lignea,1,1,63
Cassia linea,cassia lignea,1,2,7
Cassia-lignea,cassia lignea,1,4,63
Cassiafistula,cassia lignea,0,0,0
Cassialignea,cassia lignea,1,9,63
Cassialignes,cassia lignea,1,2,63
Cassialinea,cassia lignea,1,2,7
Cassiatignea,cassia lignea,1,1,63
Cassis,cassis,1,1,1
Cassis lignes,cassia lignea,1,1,63
Cassoles,cassole,1,1,1
Cassonade,cassonnade,1,1,5
Cassonnade,cassonnade,1,3,5
Castalogne,castalogne,1,15,20
Castas,castalogne,1,1,20
Castor,castor,1,4,5
Castor ; gras,castor ; gras,1,1,25
Castor ; sec,castor ; sec,1,1,23
Castor Sec,castor ; sec,1,21,23
Castor blanc,castor ; blanc,1,1,1
Castor gras,castor ; gras,1,21,25
Castor sec,castor ; sec,1,2,4
Castorcum,castoreum,1,1,5
Castoreum,castoreum,1,4,5
Castors,castor,1,1,5
Castors gras,castor ; gras,1,1,25
Castoteunt,castoteunt,1,1,1
Catadarits,catadarit,1,1,1
Catendevy,catendevy,1,1,1
Catequin,catequin,1,1,2
Cathechismes,catéchisme,1,1,1
Cauis,cauri,1,1,153
Caumes ; bambous,caume ; bambou,1,1,1
Caumes ; de bois,caume ; de bois,1,1,1
Caumes ; de jonc,caume ; de jonc,1,1,1
Cauria,cauri,1,3,153
Caurie,cauri,1,1,153
Caurier,cauri,1,1,153
Cauris,cauri,1,138,153
Cauris ; diverses,cauri,1,1,153
Causels ; de bars,causel de bar,1,2,3
Causels de bar,causel de bar,1,1,3
Causels de bois,cause de bois,1,1,1
Cave ; de 6 flacons,cave ; de 6 flacons,1,1,1
Cave Garnies,cave ; garnie,1,1,85
Cave Garnies de flacon,cave ; garnie de flacons,1,2,4
Cave garnie,cave ; garnie,1,2,85
Cave garnie ; de flacons ; de cristal,cave garnie ; de flacons ; de cristal,1,1,1
Cavelle,cannelle,1,3,753
Cavelles,cannelle,1,4,753
Caves,cave,1,7,7
Caves ; de 6 flacons,cave ; de 6 flacons,1,3,3
Caves ; de 9 flacons,cave ; de 9 flacons,1,1,1
Caves ; de la flacon,cave ; à flacons,1,1,4
Caves ; garnier,cave ; garnie,1,4,85
Caves ; garnies,cave ; garnie,1,27,85
Caves ; garnies ; de 29 flacons,cave ; garnie ; de 29 flacons,1,1,1
Caves ; garnies ; de 6 flacons,cave ; garnie ; de 6 flacons,1,3,3
Caves ; garnies ; de 9 flacons,cave ; garnie ; de 9 flacons,1,2,2
Caves ; garnies de 6 flacons,cave ; garnie ; de 6 flacons,1,1,1
Caves ; garnies de flacons,cave ; garnie de flacons,1,1,85
Caves ; non garnies de flacons,cave ; non garnie de flacons,1,1,1
Caves ; à flacons,cave ; à flacons,1,1,2
Caves ; à tabac,cave ; à tabac,1,1,1
Caves Garnie,cave ; garnie,1,6,85
Caves Garnier,cave ; garnie,1,1,85
Caves Garnies,cave ; garnie,1,16,85
Caves Garnies ?,cave ; garnie,1,1,85
Caves Garnies asorties,cave ; garnie,1,2,85
Caves Garnies de 12 flacons,cave ; garnie ; avec 12 flacons,1,1,2
Caves Garnies de 6 flacons,cave ; garnie ; avec 6 flacons,1,1,1
Caves Garnies de Douze flacon,cave ; garnie ; avec 12 flacons,1,1,2
Caves avec flacons,cave ; avec flacons,1,2,4
Caves avec leur flacon,cave ; avec flacons,1,1,4
Caves de 12 flacons,cave ; avec 12 flacons,1,1,1
Caves et canevelle ; de six flacons,cave ; avec 6 flacons,1,1,1
Caves et flacons,cave ; garnie de flacons,1,1,4
Caves et leurs flacons,cave ; garnie de flacons,1,1,4
Caves garaics,cave ; garnie,1,1,85
Caves garnier,cave ; garnie,1,2,85
Caves garnies,cave ; garnie,1,20,85
Caves garnis,cave ; garnie,1,1,85
Cavial,caviar,1,1,2
Caviar,caviar,0,0,0
Caviers de terre,cuvier ; de terre,1,1,6
Cavizé,cavizé,1,1,1
Cayes ; d'oiseaux,cage ; d'oiseau,1,1,1
Cazé,cazé,1,1,1
Ceaustatille ...toffe,ceaustatille étoffe,1,1,1
Cedra,cédra,1,15,33
Cedras,cédra,1,8,33
Cedre,cédra,1,5,33
Ceinture ; d'argent fin,ceinture ; d'argent fin,1,1,1
Ceinture ; de soye,ceinture ; de soie,1,1,1
Ceinture ; marine,ceinture ; marine,1,1,1
Ceinture;  brodée ; de soye,ceinture; brodée ; de soie,1,1,1
Ceintures,ceinture,1,12,12
Ceintures ; de soye,ceinture ; de soie,1,1,1
Ceintures de laine,ceinture de laine,1,6,6
Ceinturons,ceinturon,1,19,20
Ceinturons ; brodés,ceinturon ; brodé,1,1,1
Ceinturons ; brodés ; d'argent,ceinturon ; brodé ; d'argent,1,1,1
Ceinturons ; de buffle,ceinturon ; de buffle,1,3,3
Ceinturons ; de peau,ceinturon ; de peau,1,1,1
Ceinturons ; de soye,ceinturon ; de soie,1,1,1
Ceinturons ; unis,ceinturon ; uni,1,1,1
Ceinturons brodés d'or,ceinturon ; brodé d'or,1,1,1
Ceinturons de soye,ceinturon ; de soie,1,4,4
Ceinturons;  piqués,ceinturons; piqué,1,1,1
Cement,cement,0,0,0
Cendaline,cendaline,1,3,3
Cendra ; potasse,cendre ; potasse,1,1,244
Cendre,cendre,1,12,40
Cendre ;  potasse,cendre ; potasse,0,0,0
Cendre ; ??,cendre ; ??,1,2,2
Cendre ; Poland,cendre ; Pologne,1,1,5761
Cendre ; a fumer,cendre ; à fumer,1,2,5
Cendre ; barille,cendre ; barille,1,1,5
Cendre ; barille et fonde,cendre ; barille et fonde,1,1,1
Cendre ; blan,cendre ; blan,1,1,1
Cendre ; bleu,cendre ; bleu,1,1,1
Cendre ; bleue,cendre ; bleue,1,25,33
Cendre ; bleus,cendre ; bleue,1,1,33
Cendre ; bleüe,cendre ; bleue,1,9,15
Cendre ; bourde,cendre ; bourde,1,1,4
Cendre ; broyée ; à l'huile,cendre ; broyée ; à l'huile,1,1,1
Cendre ; cassan,cendre ; cassant,1,2,3
Cendre ; cassant,cendre ; cassant,1,1,3
Cendre ; casseau,cendre ; casseau,1,19,31
Cendre ; casseaux,cendre ; casseaux,1,10,31
Cendre ; commune,cendre ; commune,1,122,130
Cendre ; d'horphèvre,cendre ; à orfèvre,1,1,13
Cendre ; d'orfevre,cendre ; à orfèvre,1,1,13
Cendre ; d'orphevre,cendre ; à orfèvre,1,6,13
Cendre ; de Plomb,cendre ; de plomb,1,2,31
Cendre ; de Sicile,cendre ; de Sicile,1,3,4
Cendre ; de Vareck,cendre ; de varech,1,1,8
Cendre ; de Varet,cendre ; de varet,1,2,5
Cendre ; de barille,cendre ; barille,1,1,5
Cendre ; de bois,cendre ; de bois,1,12,19
Cendre ; de bouille,cendre ; de houille,1,1,33
Cendre ; de bourbe,cendre ; bourde,1,1,4
Cendre ; de chaux,cendre ; de chaux,1,7,14
Cendre ; de chouille,cendre ; de houille,1,1,33
Cendre ; de courbe,cendre ; de courbe,1,1,1
Cendre ; de fonde,cendre ; fonde,1,1,6
Cendre ; de grignon,cendre ; de grignon,1,1,1
Cendre ; de houille,cendre ; de houille,1,14,33
Cendre ; de hoüille,cendre ; de houille,1,7,33
Cendre ; de malte,cendre ; de malte,1,1,1
Cendre ; de mer,cendre ; de mer,1,3,8
Cendre ; de plomb,cendre ; de plomb,1,27,31
Cendre ; de potasse,cendre ; potasse,1,6,244
Cendre ; de soude,cendre ; de soude,1,1,3
Cendre ; de tourbe et de paille,cendre ; de tourbe et de paille,1,1,1
Cendre ; de varec,cendre ; de varech,1,1,8
Cendre ; de varecq,cendre ; de varech,1,1,8
Cendre ; de varet,cendre ; de varet,1,3,5
Cendre ; de verre,cendre ; de verre,1,3,3
Cendre ; de vitarch,cendre ; de vitarch,1,1,1
Cendre ; diverse,cendre ; diverse,1,9,9
Cendre ; fonde,cendre ; fonde,1,5,6
Cendre ; gravelee,cendre ; gravelée,1,3,84
Cendre ; gravelins,cendre ; gravelin,0,0,0
Cendre ; gravelée,cendre ; gravelée,1,58,84
Cendre ; gravelées,cendre ; gravelée,1,2,84
Cendre ; menuisée,cendre ; menuisée,1,1,1
Cendre ; polasse,cendre ; potasse,1,1,244
Cendre ; potasse,cendre ; potasse,1,162,244
Cendre ; potasse ; etc.,cendre ; potasse,1,1,244
Cendre ; salin,cendre ; potasse,1,2,244
Cendre ; soude,cendre ; de soude,1,2,3
Cendre ; vedasse,cendre ; vedasse,1,27,39
Cendre ; verte,cendre ; verte,1,6,6
Cendre ; à fumer,cendre ; à fumer,1,3,5
Cendre ; à fumer  ; terre,cendre ; à fumer ; terre,0,0,0
Cendre ; à fumer ; terre,cendre ; à fumer ; terre,1,10,29
Cendre ; à fumer terre,cendre ; à fumer ; terre,1,11,29
Cendre ; à fumerterre,cendre ; à fumer ; terre,1,1,29
Cendre ; à savon,cendre ; à savon,1,1,2
Cendre Bleues,cendre ; bleue,1,1,15
Cendre Gravelé,cendre ; gravelée,1,1,84
Cendre Gravelée,cendre ; gravelée,1,1,84
Cendre Potase,cendre ; potasse,1,2,244
Cendre Potasse,cendre ; potasse,1,9,244
Cendre bleue,cendre ; bleue,1,2,15
Cendre blue,cendre ; bleue,1,2,15
Cendre casseaux,cendre ; casseaux,1,1,31
Cendre commune,cendre ; commune,1,6,130
Cendre de Plom,cendre de plom,1,1,1
Cendre de bois,cendre ; de bois,0,0,0
Cendre granele,cendre ; gravelée,1,1,84
Cendre gravelle,cendre ; gravelée,1,2,84
Cendre gravellé,cendre ; gravelée,1,1,84
Cendre gravelé,cendre ; gravelée,1,2,84
Cendre poreuse,cendre ; poreuse,1,5,5
Cendre potasse,cendre ; potasse,1,4,244
Cendre vedasse,cendre ; vedasse,1,3,39
Cendre à Houille,cendre ; de houille,1,1,33
Cendre à fumer terre,cendre ; à fumer ; terre,1,1,29
Cendre à orphevre,cendre ; à orfèvre,1,1,13
Cendre(s)/Frène,cendre ; de frêne,0,0,0
Cendre;bleue et verte,cendre ; bleue et verte,1,1,1
Cendre;gravelée,cendre ; gravelée,1,1,84
Cendres,cendre,1,1,40
Cendres ; A fumer terre,cendre ; à fumer ; terre,1,3,29
Cendres ; Barille,cendre ; barille,1,1,1
Cendres ; Bourde,cendre ; bourde,1,1,97
Cendres ; Bourdes,cendre ; bourde,1,2,97
Cendres ; D'orfevre,cendre ; à orfèvre,1,3,13
Cendres ; De Mer,cendre ; de mer,1,2,8
Cendres ; De Potasse,cendre ; potasse,1,2,244
Cendres ; De Sicile,cendre ; de Sicile,1,1,4
Cendres ; De Vareck,cendre ; de varech,1,2,8
Cendres ; De bois,cendre ; de bois,1,1,19
Cendres ; De bouille,cendre ; de houille,1,1,33
Cendres ; De chaux,cendre ; de chaux,1,3,14
Cendres ; De courbe,cendre ; de courbe,1,2,4
Cendres ; De houille,cendre ; de houille,1,1,33
Cendres ; De lessive,cendre ; de lessive,1,1,2
Cendres ; De mer,cendre ; de mer,1,1,8
Cendres ; De soude,cendre ; dite soude,1,8,59
Cendres ; Dite Sonde,cendre ; dite soude,1,1,59
Cendres ; Dite soude,cendre ; dite soude,1,15,59
Cendres ; Divers,cendre ; diverse,1,7,91
Cendres ; Diverses,cendre ; diverse,1,15,91
Cendres ; Gravelée,cendre ; gravelée,1,2,84
Cendres ; Gravelées,cendre ; gravelée,1,2,84
Cendres ; Potasse,cendre ; potasse,1,24,244
Cendres ; Vedasse,cendre ; vedasse,1,4,39
Cendres ; barille,cendre ; barille,1,3,5
Cendres ; bourde,cendre ; bourde,1,2,4
Cendres ; cassout,cendre ; cassout,1,1,1
Cendres ; d'orfevre,cendre ; à orfèvre,1,1,13
Cendres ; d'os,cendre ; d'os,1,1,1
Cendres ; de bois,cendre ; de bois,1,3,19
Cendres ; de chaux,cendre ; de chaux,1,2,14
Cendres ; de matron,cendre ; de matron,1,1,1
Cendres ; de mer,cendre ; de mer,1,1,8
Cendres ; de plomb,cendre ; de plomb,1,1,31
Cendres ; de tourbe,cendre ; de tourbe,1,2,4
Cendres ; de vareck,cendre ; de varech,1,3,8
Cendres ; des Rois,cendre ; des rois,1,1,1
Cendres ; gravelée,cendre ; gravelée,1,1,84
Cendres ; gravelées,cendre ; gravelée,1,2,84
Cendres ; potasse,cendre ; potasse,1,10,244
Cendres ; potasse et vedasse,cendre ; potasse et vedasse,1,6,56
Cendres ; soude,cendre ; soude,1,10,10
Cendres ; soude ; d'Egypte ou Natrum,cendre ; soude ; d'Egypte ou Natrum,1,1,1
Cendres ; soude et potasse,cendre ; soude et potasse,1,2,23
Cendres ; tourbe,cendre ; tourbe,1,1,1
Cendres ; vedasse,cendre ; vedasse,1,3,39
Cendres ; à fumer ; terre,cendre ; à fumer ; terre,1,1,29
Cendres ; à savon,cendre ; à savon,1,1,2
Cendres de plomb,cendre ; de plomb,0,0,0
Cendres dite soude,cendre ; dite soude,1,20,59
Cendres dites potasses et soudes,cendre ; soude et potasse,1,21,23
Cendres dites soude,cendre ; dite soude,1,8,59
Cendres diverses,cendre ; diverse,1,68,91
"Cendres diverses ; Potasse, vedasses et gravelées","cendre ; potasse, vedasse et gravelée",1,14,111
"Cendres diverses ; potasse, vedasses et gravelées","cendre ; potasse, vedasse et gravelée",1,12,111
Cendres gravelins,cendre ; gravelée,1,1,84
"Cendres gravelées, potasse, vedasse &c",cendre ; potasse et vedasse,1,15,56
"Cendres gravelées, potasse, vedasse, &c",cendre ; potasse et vedasse,1,18,56
Cendres potasse,cendre ; potasse,1,15,244
Cendres potasse vedasse et gravelée,"cendre ; potasse, vedasse et gravelée",1,9,111
"Cendres potasse, vedasse et gravelée","cendre ; potasse, vedasse et gravelée",1,22,111
"Cendres potasse, védasse et gravelée","cendre ; potasse, vedasse et gravelée",1,12,111
"Cendres potasse, védasse, et gravelées","cendre ; potasse, vedasse et gravelée",1,10,111
Cendres propres aux manufactures,cendre ; pour manufacture,1,42,42
"Cendres soude, natron et salin","cendre ; soude, natron et salin",1,8,40
"Cendres soudes, natron et salin","cendre ; soude, natron et salin",1,18,40
"Cendres soudes, natron et salins","cendre ; soude, natron et salin",1,14,40
"Cendres, potasse, vedasse et gravelée","cendre ; potasse, vedasse et gravelée",1,20,111
"Cendres, potasse, vedasses, &c",cendre ; potasse et vedasse,1,17,56
"Cendres, soude",cendre ; dite soude,1,7,59
"Cendres-potasse, védasse et gravelée","cendre ; potasse, vedasse et gravelée",1,12,111
Censes de batiments,censes de batiment,1,1,1
Centaurées/bleuets,centaurée et bleuet,0,0,0
Cerceaux,cerceau,0,0,0
Cerceaux de fûts,cerceau ; de fût,0,0,0
Cercle ; à barils,cercle ; à baril,1,1,1
Cercle ; à tamis,cercle ; à tamis,1,1,10
Cercle de Bois,cercle ; de bois,1,1,29
Cercle de bois,cercle ; de bois,1,12,29
Cercle de tonneaux,cercle ; à tonneau,1,1,66
Cercles,cercle,1,1,1
Cercles  : de bois,cercle ; de bois,0,0,0
Cercles : de bois,cercle ; de bois,1,4,29
Cercles ; de bois,cercle ; de bois,1,91,268
Cercles ; de bois ; de bariques,cercle ; de bois ; de barrique,1,1,1
Cercles ; de fer,cercle ; de fer,1,4,190
Cercles ; à tamis,cercle ; à tamis,1,5,10
Cercles ; à tanneaux,cercle ; à tamis,1,2,10
Cercles ; à tonneaux,cercle ; à tonneau,1,43,66
Cercles a pipes,cercle ; à pipe,1,1,1
Cercles a tonneau,cercle ; à tonneau,1,1,66
Cercles a tonneaux,cercle ; à tonneau,1,4,66
Cercles de Bois,cercle ; de bois,1,6,268
Cercles de Fer,cercle ; de fer,1,2,4
Cercles de Tonneaux,cercle ; à tonneau,1,1,66
Cercles de bois,cercle ; de bois,1,79,268
Cercles de fer pour tonneaux,cercle ; de fer ; à tonneau,0,0,0
Cercles de feuillards,cercle ; de feuillard,1,1,1
Cercles de tonneaux,cercle ; à tonneau,1,2,66
Cercles en Bois,cercle ; de bois,1,2,29
Cercles en bois,cercle ; de bois,1,8,29
Cercles à Tonneaux,cercle ; à tonneau,1,4,66
Cercles à quarts,cercle ; à quart,1,1,1
Cercles à tonneaux,cercle ; à tonneau,1,23,268
Cercles à à tonneaux,cercle ; à tonneau,1,9,268
Cercocole,cercocole,1,1,1
Cerdes à tonneaux,cercle ; à tonneau,1,9,66
Cereux,cereux,1,1,1
Cerises,cerise,1,3,17
Cerizes,cerise,1,13,17
Cerles ; à bariques,cercle ; à barrique,1,2,2
Cerles ; à tonneaux,cercle ; à tonneau,1,2,2
Cerles à Tonneaux,cercle ; à tonneau,1,1,66
Cerneaux,cerneau,1,1,1
Ceruse,céruse,1,40,481
Ceruze,céruse,1,218,481
Ceruzes,céruse,1,1,21
Cervelas,cervelas,1,4,37
Cervelat,cervelas,1,1,37
Cervelats,cervelas,1,29,37
Cervulats,cervelas,1,1,37
Cerùze,céruse,1,1,21
Cetuze,céruse,1,1,21
