marchandises	marchandises_norm_ortho		source_bdc	nbr_bdc_marchandises	nbr_bdc_marchandises_norm_ortho
chapeaux ; poil et laine	chapeaux poil et laine		1	5	398
chapeaux ; poil et layne	chapeaux poil et laine		1	1	398
Chapeaux ; poils et laine	chapeaux poil et laine		1	7	398
Chapeaux ; sortis	chapeaux sortis		1	1	1
Chapeaux ; unis	chapeaux unis		1	2	2
Chapeaux ; vigogne	chapeaux vigogne		1	40	71
chapeaux ; vigogne	chapeaux vigogne		1	1	71
Chapeaux ; Vigognes	chapeaux vigogne		1	1	71
Chapeaux ; vigognes	chapeaux vigogne		1	5	71
Chapeaux ;d'écorces	chapeaux d'écorce		1	1	6
Chapeaux à bordés	chapeaux à bordés	x	1	1	53
Chapeaux à naigre	chapeaux à nègre		1	1	74
Chapeaux a negre	chapeaux à nègre		1	2	74
Chapeaux à negre	chapeaux à nègre		1	2	74
Chapeaux à nègre	chapeaux à nègre		1	8	74
Chapeaux à Negres	chapeaux à nègre		1	3	74
Chapeaux à negres	chapeaux à nègre		1	1	74
Chapeaux à Négres	chapeaux à nègre		1	5	74
Chapeaux à négres	chapeaux à nègre		1	2	74
Chapeaux à nègres	chapeaux à nègre		1	5	74
Chapeaux a page	chapeaux à page				
Chapeaux aux negres	chapeaux à nègre		1	2	74
Chapeaux Balards	chapeaux bâtards				
Chapeaux batard	chapeaux bâtards				
Chapeaux batards	chapeaux bâtards				
Chapeaux batars	chapeaux bâtards				
Chapeaux bordé	chapeaux bordés		1	2	53
Chapeaux bordes	chapeaux bordés		1	1	53
Chapeaux Bordés	chapeaux bordés		1	6	53
Chapeaux bordés	chapeaux bordés		1	2	53
Chapeaux bordés d'or	chapeaux bordés d'or		1	1	3
Chapeaux brodés	chapeaux brodés		1	1	53
Chapeaux Castor	chapeaux castor		1	2	577
Chapeaux castor	chapeaux castor		1	19	577
Chapeaux castor bordés	chapeaux castor bordés		1	4	4
Chapeaux castor bordés d'or et d'argent	chapeaux castor bordés d'or et d'argent		1	1	3
Chapeaux Castor non bordées	chapeaux castor non bordés		1	1	1
Chapeaux castor vernis	chapeaux castor vernis		1	3	4
Chapeaux castor, bordez d'or et d'argent	chapeaux castor bordés d'or et d'argent		1	1	3
Chapeaux castors	chapeaux castor		1	4	311
Chapeaux castors vernies	chapeaux castor vernis		1	1	4
Chapeaux commun	chapeaux communs		1	2	92
Chapeaux commune	chapeaux communs		1	1	92
Chapeaux communs	chapeaux communs		1	12	92
chapeaux communs	chapeaux communs				
chapeaux communs de pailles	chapeaux communs de paille		0	0	0
chapeaux d'ozier	chapeaux d'osier				
chapeaux de bois	chapeaux de bois				
Chapeaux de casor	chapeaux de casor		1	1	311
Chapeaux de castor	chapeaux de castor		1	8	311
Chapeaux de castor borde d'or	chapeaux de castor bordés d'or		1	1	1
Chapeaux de castor borde or et argent	chapeaux de castor bordés or et argent		1	1	3
Chapeaux de castor tins	chapeaux de castor fins	x	1	1	1
Chapeaux de castor unis	chapeaux de castor unis		1	1	1
Chapeaux de Castors	chapeaux de castor		1	2	311
Chapeaux de castors	chapeaux de castor		1	2	311
Chapeaux de Cigogne	chapeaux de vigogne		1	1	71
Chapeaux de Feutre	chapeaux de feutre		1	2	36
Chapeaux de feutre	chapeaux de feutre		1	9	36
Chapeaux de laine	chapeaux de laine		1	43	158
chapeaux de laine	chapeaux de laine				
Chapeaux de leine	chapeaux de laine		1	1	158
Chapeaux de paille	chapeaux de paille		1	28	159
chapeaux de paille	chapeaux de paille				
chapeaux de paille dits garde soleil	chapeaux de paille dits garde-soleils		0	0	0
Chapeaux de paille et d'écorce	chapeaux de paille et d'écorce		1	15	172
Chapeaux de paille et d'écorce de bois	chapeaux de paille et d'écorce de bois		1	146	172
Chapeaux de paille et d'écorces	chapeaux de paille et d'écorce		1	6	172
Chapeaux de poil	chapeaux de poil				
chapeaux de poil	chapeaux de poil				
Chapeaux de poil borde or et argeant	chapeaux de poil bordés or et argeant		1	1	32
Chapeaux de poil et de laine	chapeaux de poil et de laine		1	18	398
Chapeaux de poil et laine	chapeaux de poil et laine				
Chapeaux de poiles laines	chapeaux de poil et laine		1	1	398
chapeaux de soye	chapeaux de soie		0	0	0
Chapeaux de vigagne	chapeaux de vigogne		1	1	71
Chapeaux dely castor	chapeaux demi castor		1	1	327
Chapeaux demi casrtor	chapeaux demi castor		1	2	327
Chapeaux demi Castor	chapeaux demi castor		1	1	327
Chapeaux demi castor	chapeaux demi castor		1	5	327
Chapeaux demi Castors	chapeaux demi castor		1	1	327
Chapeaux demi castors	chapeaux demi castor		1	2	327
Chapeaux demis castor	chapeaux demi castor		1	1	327
ChaPeaux demy castor	chapeaux demi castor				
Chapeaux Demy Castor	chapeaux demi castor		1	1	327
Chapeaux demy Castor	chapeaux demi castor				
Chapeaux demy castor	chapeaux demi castor		1	11	327
chapeaux demy castor	chapeaux demi castor		1	2	327
Chapeaux demy vigognes	chapeaux demi vigogne				
Chapeaux divers	chapeaux divers		1	14	53
Chapeaux en laine	chapeaux en laine		1	2	158
chapeaux en paille	chapeaux en paille		1	1	159
Chapeaux en poil	chapeaux en poil		1	1	32
Chapeaux finis	chapeaux finis				
Chapeaux fins	chapeaux fins				
Chapeaux grossier	chapeaux grossiers				
Chapeaux grossiers	chapeaux grossiers				
Chapeaux mi Castor	chapeaux mi castor		1	5	327
Chapeaux mi castor	chapeaux mi castor		1	3	327
Chapeaux my castor	chapeaux mi castor		1	2	327
chapeaux neufs	chapeaux neufs		0	0	0
Chapeaux Poil en laine	chapeaux poil en laine		1	1	398
Chapeaux poil en laine	chapeaux poil en laine		1	1	398
Chapeaux poil estain	chapeaux poil estain		1	1	398
Chapeaux Poil et Laine	chapeaux poil et laine				
Chapeaux poil et laine	chapeaux poil et laine				
Chapeaux pour laine	chapeaux pour laine				
Chapeaux unis demi forme	chapeaux unis demi forme		1	2	2
chapeaux vieux	chapeaux vieux		0	0	0
Chapeaux vigogne	chapeaux vigogne		1	2	71
Chapeaux Vigognes	chapeaux vigogne		1	1	71
Chapeaux vigognes	chapeaux vigogne				
Chapeaux; castor	chapeaux castor		1	14	311
Chapelet	chapelet		1	5	28
Chapelet ; de Jerusalem	chapelet de Jérusalem		1	1	1
Chapelets	chapelets				
Chapelets ; commun	chapelets communs		1	1	1
Chapelets ; de bois	chapelets de bois		1	8	11
Chapelets ; de coco	chapelets de coco		1	1	6
Chapelets ; de cocos	chapelets de coco		1	5	6
Chapelets ; de verre	chapelets de verre		1	2	2
Chapelets de bois	chapelets de bois		1	3	11
Chapellerie	chapellerie		1	200	245
Chapellerie de toute sorte	chapellerie de toute sorte		1	50	50
Chapellerie en paille et sparterie	chapellerie en paille et sparterie		1	31	31
Chapellerie en poil et laine	chapellerie en poil et laine		1	36	36
Chapepeaux Castor	chapeaux castor		1	1	311
Chapeuax de poil et laine	chapeaux de poil et laine				
Chaplas	chaplas	x	1	1	1
Chaplelets	chapelets		1	3	28
Chapons	chapons		1	2	3
chapons	chapons		1	1	3
Chapons gras	chapons gras				
Chappeaux Castor	chapeaux castor		1	1	577
Charbon	charbon				
charbon	charbon				
Charbon ; à drapier	charbon à drapier		1	1	82
Charbon ; De bois	charbon de bois		1	7	235
Charbon ; de Bois	charbon de bois		1	2	235
Charbon ; de bois	charbon de bois		1	192	235
charbon ; de bois	charbon de bois		1	4	235
Charbon ; de boulanger	charbon de boulanger		1	1	1
Charbon ; De Pierre	charbon de pierre		1	1	10
Charbon ; De pierre	charbon de pierre		1	3	10
Charbon ; de pierre	charbon de pierre		1	2	10
Charbon ; De pièrre	charbon de pierre		1	2	10
Charbon ; De Terre	charbon de terre		1	8	778
Charbon ; De terre	charbon de terre		1	9	778
Charbon ; de Terre	charbon de terre		1	4	778
Charbon ; de terre	charbon de terre		1	397	778
Charbon ;de bois	charbon de bois		1	1	778
Charbon à drapier	charbon à drapier		1	7	82
Charbon de bois	charbon de bois				
Charbon de bois et de terre	charbon de bois et de terre		1	34	163
Charbon de Terre	charbon de terre		1	233	778
Charbon de terre	charbon de terre				
charbon de terre	charbon de terre				
charbon de terre à cuir chaux	charbon de terre à cuir chaux		0	0	0
Charbon de terre et de bois	charbon de terre et de bois		1	120	163
Charbons	charbon		1	195	222
Charbons ; De bois	charbon de bois		1	4	235
Charbons ; de bois	charbon de bois		1	1	235
Charbons ; De pierre	charbon de pierre		1	2	10
Charbons ; De terre	charbon de terre		1	4	778
Charbons ; de terre	charbon de terre		1	2	778
Charbons à drapier	charbon à drapier		1	11	82
Charbons cardiers	charbon cardier	x	1	12	23
charbons de bois	charbon de bois		0	0	0
charbons de boulanger et bresette	charbon de boulanger et bresette	x	0	0	0
charbons de terre d'Angleterre	charbon de terre d'Angleterre		0	0	0
Charbons de terre et de bois	charbon de terre et de bois		1	9	163
charbons de terre ou de pierre dits houille	charbon de terre ou de pierre dit houille		0	0	0
Charbons/houilles	charbon houille		0	0	0
Chardon	chardons		1	1	778
Chardon ; A ampier	chardons à drapier		1	2	82
Chardon ; a drapier	chardons à drapier		1	1	4
Chardon ; à drapier	chardons à drapier		1	6	82
Chardon ; à drappier	chardons à drapier		1	3	4
Chardons	chardons		1	12	12
Chardons ; a drapier	chardons à drapier		1	1	82
Chardons ; à drapier	chardons à drapier		1	24	82
Chardons ; a drapiers	chardons à drapier		1	1	82
Chardons ; à drapiers	chardons à drapier		1	1	82
Chardons a drapier	chardons à drapier		1	5	82
Chardons à drapier	chardons à drapier		1	23	82
Chardons cardiers	chardons cardiers		1	11	23
Charettes	charrettes		1	1	2
charettes	charrettes		0	0	0
charge en Fer ; blanc	charge en fer-blanc		1	1	1
Chari ; salée	chari salé	x	1	1	609
chariot a feu	chariots à feu		1	1	1
Chariots	chariots		1	10	10
Chariots Neufs	chariots neufs		1	1	1
Charlotonne	charlotonne	x	1	1	1
Charonies	charonies	x	1	1	1
Charonin	charonin	x	1	1	1
charpie	charpie		0	0	0
Charrues	charrues		1	1	10
charrues	charrues		0	0	0
Charrües	charrues		1	2	10
Charues	charrues		1	2	10
Charües	charrues		1	2	10
Charuës	charrues		1	2	10
chaselade	chaselade	x	1	1	58
chaselar	chasselas		1	1	58
Chaselas	chasselas				
chaselas	chasselas		1	1	58
Chasselas	chasselas		1	44	58
chasselas	chasselas		1	1	58
Chasselat	chasselas		1	2	58
chasselat	chasselas		1	1	58
Chasselats	chasselas		1	5	58
Chassemouches	chasse-mouches		1	1	1
Chasuble	chasuble		1	2	7
Chasubles	chasuble		1	5	7
Chataigne	châtaignes		1	24	185
Chataignes	châtaignes		1	159	185
chataignes	châtaignes		1	1	185
Chataîgnes	châtaignes		0	0	0
chataignes biscotes	châtaignes biscotes	x			
chataignes biscuites	châtaignes biscotes	x			
chataignes blanche	châtaignes blanches				
Chataignes blanches	châtaignes blanches		1	3	3
chataignes blanches	châtaignes blanches				
Chataîgnes et noix	châtaignes et noix		0	0	0
Chataignes fraiches	châtaignes fraîches				
chataignes fraiches	châtaignes fraîches				
Chataignes fraisches	châtaignes fraîches				
chataignes fraisches	châtaignes fraîches				
chataignes freches	châtaignes fraîches				
Chataignes seches	châtaignes sèches				
chataignes seches	châtaignes sèches				
Chataignes seiches	châtaignes sèches		1	4	4
chateignes blanches	châtaignes blanches				
chateignes seches	châtaignes sèches				
Chatons	chatons		1	1	1
Chauderie de fer	chauderie de fer	x	1	1	9
Chauderie de fer	chauderie de fer	x	1	1	9
Chaudière ; de cuivre	chaudière de cuivre		1	1	4
Chaudière de cuivre	chaudière de cuivre		1	1	4
Chaudière de cuivre à sucre	chaudière de cuivre à sucre		1	1	4
Chaudière en cuivre	chaudière en cuivre				
Chaudieres de fer	chaudière de fer				
Chaudières de fer	chaudière de fer		1	1	9
Chaudieres de fert	chaudière de fer		1	1	9
Chaudières de fert	chaudière de fer		1	1	9
Chaudières de fonte	chaudière de fonte		1	1	1
Chaudières de potin	chaudière de potin	x	1	1	1
Chaudières/cuves	chaudière cuve		0	0	0
Chaudierie de cuivres	chaudière de cuivre		1	1	126
Chaudierres de fer	chaudière de fer		1	1	9
Chaudiers de Fer	chaudière de fer		1	1	9
Chaudon s de Cuivre	chaudons de cuivre	x	1	1	4
Chaudriéres a bray	chaudière à brai		1	1	1
Chaudrieres de fer	chaudière de fer		1	1	9
Chaudron	chaudron		1	1	2
Chaudron de Cuivre	chaudron de cuivre		1	8	126
Chaudron en cuivre	chaudron en cuivre		1	1	126
Chaudrons	chaudron		0	0	0
Chaudrons Basin de Cuivre	chaudron bassin de cuivre		1	1	126
Chaudrons de Cuivre	chaudron de cuivre		1	1	126
Chaudrons de cuivre	chaudron de cuivre		1	7	126
Chaudrons de Cuivre jaune	chaudron de cuivre jaune		1	1	2
Chaudrons de cuivre jaune	chaudron de cuivre jaune				
Chaudrons de Cuivres	chaudron de cuivre		1	2	126
Chaudrons de fer	chaudron de fer		1	2	2
Chaudrons de potin	chaudron de potin	x	1	1	1
Chaudrons en cuivre	chaudron en cuivre		0	0	0
Chaudrons en laiton	chaudron en laiton		0	0	0
Chauffe ; pieds	chauffe-pieds		1	1	37
Chauffe pieds	chauffe-pieds				
chauffe pieds	chauffe-pieds				
Chauffepied	chauffe-pieds		1	1	37
Chauffepieds	chauffe-pieds		1	6	37
Chauffes ; pieds	chauffe-pieds		1	2	37
Chauffete	chauffete	x	1	1	1
Chauffrettes ; de bois	chaufferettes de bois		1	1	1
chause pied	chausse-pieds		1	1	37
Chause pieds	chausse-pieds		1	15	37
chause pieds	chausse-pieds		1	1	37
Chausettes	chaussettes		1	1	1
Chausettes de fil	chaussettes de fil		1	1	51
Chausse pied	chausse-pieds		1	2	37
Chausse pieds	chausse-pieds		1	7	37
Chausse piés	chausse-pieds				
Chausses ; pieds	chausse-pieds		1	1	37
Chausseterie	chausseterie		1	1	1
Chaussetes de fil	chaussettes de fil		1	1	51
Chaussettes ; de fil	chaussettes de fil		1	21	51
Chaussettes de fil	chaussettes de fil		1	28	51
chaussettes de fil	chaussettes de fil				
Chaussons	chaussons		1	5	5
Chaussons ; de fil	chaussons de fil		1	1	1
Chaussons ; de laine	chaussons de laine		1	2	2
chaussons de carisee et drap à laver maisons	chaussons de carisé et drap à laver maisons		0	0	0
chaussons de fil	chaussons de fil				
Chaussures	chaussures		0	0	0
Chaux	chaux				
chaux	chaux		0	0	0
Chaux ; à bâtir	chaux à bâtir		1	2	2
Chaux ; éteinte	chaux éteinte		1	1	1
Chaux ; vive	chaux vive		1	3	3
Chaux et cendres	chaux et cendre		1	1	1
chaux et cendres de chaux mellés	chaux et cendre de chaux mêlées		0	0	0
chaux fondu	chaux fondue		0	0	0
Chaux, plâtre et ciment	chaux plâtre et ciment		1	35	48
Chaux/calcaire	chaux calcaire		0	0	0
Chazetas	chazetas	x	1	1	1
Chcoloat	chocolat		1	1	461
Chelöes	chelöes	x			
Cheminée ; de marbre	cheminée de marbre		1	1	4
Cheminée ; de pierre ; de liere	cheminée de pierre de liere	x	1	1	1
Cheminées ; de marbre	cheminée de marbre		1	3	4
cheminées, statues, etc	cheminée statue etc		0	0	0
Chemise	chemises		1	1	45
Chemise ; de Toile ; de lin	chemises de toile de lin		1	2	4
Chemise ; Toile ; de lin	chemises toile de lin		1	2	4
Chemise de toille de lin garnies	chemises de toile de lin garnies		1	1	79
Chemises	chemises		1	43	45
Chemises ; à Negre	chemises à nègre		1	1	17
Chemises ; à Negres	chemises à nègre		1	7	17
Chemises ; à negres	chemises à nègre		1	1	17
Chemises ; à Nègres	chemises à nègre		1	1	17
Chemises ; à nègres	chemises à nègre		1	3	17
Chemises ; bleues	chemises bleues		1	1	1
Chemises ; Bretonnes	chemises bretonnes		1	14	32
Chemises ; bretonnes	chemises bretonnes		1	17	32
Chemises ; commune	chemises communes		1	1	33
Chemises ; Communes	chemises communes		1	1	33
Chemises ; communes	chemises communes		1	31	33
Chemises ; de ginga	chemises de gingas	x	1	2	6
Chemises ; de gingars	chemises de gingas	x	1	1	6
Chemises ; de gingas	chemises de gingas	x	1	3	6
Chemises ; de Laval	chemises de Laval		1	2	2
Chemises ; de lin	chemises de lin		1	12	12
Chemises ; de nègres	chemises de nègre		1	1	1
Chemises ; de toile	chemises de toile		1	4	4
Chemises ; de toile ; commune	chemises de toile communes		1	2	2
Chemises ; de Toile ; de lin	chemises de toile de lin		1	1	8
Chemises ; de Toile ; de lin ; garnies	chemises de toile de lin garnies		1	1	1
Chemises ; de toile de Bretagne	chemises de toile de Bretagne		1	1	4
Chemises ; de toile de Bretagne rayée	chemises de toile de Bretagne rayée		0	0	0
Chemises ; diverses	chemises diverses		1	1	45
Chemises ; Fines	chemises fines		1	2	22
Chemises ; fines	chemises fines		1	19	22
Chemises ; garnics	chemises garnies		1	2	79
Chemises ; garnier	chemises garnies		1	5	79
Chemises ; Garnies	chemises garnies		1	2	79
Chemises ; garnies	chemises garnies		1	48	79
Chemises ; garnis	chemises garnies		1	2	79
Chemises ; gingas	chemises gingas	x	1	3	3
Chemises ; Toile ; de lin	chemises toile de lin		1	2	8
Chemises ; Unies	chemises unies		1	1	28
Chemises ; unies	chemises unies		1	26	28
Chemises ; unis	chemises unies		1	1	28
Chemises à fumer	chemises à fumer	x	1	1	1
Chemises a Negre	chemises à nègre				
Chemises a negre	chemises à nègre				
Chemises à nègre	chemises à nègre		1	1	17
Chemises a negres	chemises à nègre		1	1	17
Chemises à negres	chemises à nègre		1	1	17
Chemises à nègres	chemises à nègre		1	1	17
Chemises blanche ouvrée	chemises blanches ouvrées		1	1	1
Chemises bretonnes	chemises bretonnes		1	1	32
Chemises de laine	chemises de laine		0	0	0
Chemises de lin	chemises de lin		1	1	8
Chemises de Toile de lin	chemises de toile de lin				
Chemises de toile de lin	chemises de toile de lin		1	1	8
Chemises de toile de lin garnis	chemises de toile de lin garnies		1	1	8
Chemises de toiles de Morlaix	chemises de toile de Morlaix		1	1	1
Chemises de toille de lin	chemises de toile de lin		1	1	8
Chemises de toille de st Jean	chemises de toile de Saint-Jean	x	1	1	1
Chemises de toilles de Bretagne	chemises de toile de Bretagne		1	1	4
Chemises de toilles de lin	chemises de toile de lin		1	1	8
Chemises de toilles de lin garnies	chemises de toile de lin garnies		1	1	79
Chemises écossaises	chemises écossaises		0	0	0
Chemises fine	chemises fines				
Chemises fines	chemises fines		1	1	22
Chemises garnies	chemises garnies		1	18	79
Chemises garnies de Batiste	chemises garnies de batiste		1	1	1
Chemises garnies pour femmes	chemises garnies pour femme		1	1	1
Chemises garnies pour hommes	chemises garnies pour homme		1	1	1
chemises neufs	chemises neuves		0	0	0
Chemises neutres	chemises neutres	x	1	1	1
Chemises pour hommes	chemises pour homme		1	1	1
Chemises pour Soldats	chemises pour soldat				
chemises vieille	chemises vieilles				
chemises vieilles	chemises vieilles				
chénes de Fer	chaînes de fer		1	1	1
Chenille ; au Quart	chenille au quart	x	1	1	1
Chenille ; de flavret	chenille de flavret	x	1	1	1
Chenille ; de soye	chenille de soie	x	1	13	18
Chenille de soie	chenille de soie	x	1	1	18
Chenille de soye	chenille de soie	x	1	2	18
Chenilles ; de chesne	chenille de chêne	x	1	1	1
Chenilles ; de soye	chenille de soie	x	1	2	18
Cher Sallée	chair salée		1	1	609
Cherboye ; de terre	charbon de terre		1	1	2352
cheuvron de meRizie	chevrons de merisier		1	1	1
Cheval	chevaux				
cheval	chevaux		1	1	536
Cheval ; à bas prix	chevaux à bas prix		1	1	3
Cheval ; à haut prix	chevaux à haut prix		1	1	1
Cheval ; à moyen prix	chevaux à moyen prix		1	1	1
Cheval ; de bois	chevaux de bois		1	1	4
Cheval ; petit	chevaux petits		1	1	1
Cheval a moyen prix	chevaux à moyen prix				
cheval à moyen prix	chevaux à moyen prix				
Cheval de Bois	chevaux de bois		1	1	4
Cheval de bois	chevaux de bois				
cheval deBois	chevaux de bois		1	1	4
Chevaux	chevaux		1	397	536
chevaux	chevaux		1	2	536
Chevaux ; a bas prix	chevaux à bas prix		1	1	3
Chevaux ; à bas prix	chevaux à bas prix		1	1	3
Chevaux ; anglais	chevaux anglais		1	1	1
Chevaux ; chevaux	chevaux chevaux		1	15	536
Chevaux ; d'un an	chevaux d'un an		1	1	1
Chevaux ; de 3 ans	chevaux de trois ans		1	1	1
Chevaux ; de bas pris	chevaux de bas prix		1	13	536
Chevaux ; de bois	chevaux de bois		1	1	4
Chevaux ; de haut prix	chevaux de haut prix		1	10	536
Chevaux ; de labour	chevaux de labour		1	2	2
Chevaux ; de selle	chevaux de selle		1	2	2
Chevaux ; Jumens	chevaux juments		1	2	3
Chevaux ; poulains	chevaux poulains		1	2	29
chevaux ; poulains	chevaux poulains		1	1	29
chevaux de barbarie	chevaux de Barbarie				
Chevaux entiers	chevaux entiers		0	0	0
Chevaux et ânes	chevaux et ânes		1	4	4
Chevaux,juments et poulins	chevaux juments et poulains		1	8	536
Cheveaux	chevaux		1	15	536
cheveaux	chevaux				
CheVeaux pour enfant	chevaux pour enfant		1	1	1
Cheveux	cheveux				
cheveux	cheveux				
Cheveux ; communs	cheveux communs		1	3	3
cheveux à faire peruques	cheveux à faire perruques		0	0	0
Cheveux bouclés	cheveux bouclés		0	0	0
Cheveux commun	cheveux communs				
cheveux commun	cheveux communs				
Cheveux communs	cheveux communs				
cheveux communs	cheveux communs				
Cheveux communx	cheveux communs				
cheveux et laines en perruques	cheveux et laine en perruques		0	0	0
Cheveyx	cheveux		1	1	183
Cheville de Bois	cheville de bois		1	5	7
Cheville de Fer	cheville de fer		1	1	2
Chevilles	cheville		0	0	0
Chevilles ; de chesne	cheville de chêne		1	1	1
Chevilles ; pour bâteaux	cheville pour bateaux		0	0	0
Chevilles de Bois	cheville de bois		1	1	7
Chevilles en fer	cheville en fer		0	0	0
Chevillieres ; de fil	chevillières de fil		1	2	2
Chevreaux	chevreaux		1	3	4
Chevreaux a moyen prix	chevreaux à moyen prix		1	1	4
Chevres	chèvres		1	69	116
chevres	chèvres		1	2	116
Chèvres	chèvres		1	43	116
chevreuil	chevreuil		0	0	0
chevron	chevrons				
Chevron ; de sapin	chevrons de sapin		1	1	2
chevron de Bois d'Acajou	chevrons de bois d'acajou		1	1	1
chevron de sapin	chevrons de sapin				
Chevrons	chevrons		1	25	26
chevrons	chevrons				
Chevrons ; de 10 pieds	chevrons de 10 pieds				
Chevrons ; de 16 pieds	chevrons de 16 pieds		1	1	1
chevrons ; de 18 pieds	chevrons de 18 pieds		1	1	1
Chevrons ; de 25 pieds	chevrons de 25 pieds				
Chevrons ; de 26 pieds	chevrons de 26 pieds		1	1	1
Chevrons ; de bois	chevrons de bois		1	3	9
Chevrons ; de chesne	chevrons de chêne		1	3	6
Chevrons ; de sapin	chevrons de sapin		1	20	35
Chevrons ; de sapin ; 12 pieds	chevrons de sapin 12 pieds		1	1	1
Chevrons ; de sapin ; 24 pieds	chevrons de sapin 24 pieds		1	1	2
Chevrons ; de sapin ; de 10 pieds	chevrons de sapin de 10 pieds		1	1	1
Chevrons ; de sapin ; de 14 pieds	chevrons de sapin de 14 pieds		1	1	1
Chevrons ; de sapin ; de 24 pieds	chevrons de sapin de 24 pieds		1	1	2
Chevrons de 12 pieds	chevrons de 12 pieds				
Chevrons de 18 pieds	chevrons de 18 pieds				
Chevrons de 45 a 50 pieds	chevrons de 45 à 50 pieds				
Chevrons de 8 pieds	chevrons de 8 pieds				
Chevrons de bois	chevrons de bois		1	6	9
chevrons de bois	chevrons de bois		1	1	116
Chevrons de Bois d'Acajou	chevrons de bois d'acajou		1	4	4
Chevrons de bois dacajou	chevrons de bois d'acajou				
Chevrons de Cedre	chevrons de cèdre		1	1	1
Chevrons de Chêne	chevrons de chêne		1	1	6
Chevrons de chêne de 5 a 6 pieds	chevrons de chêne de 5 à 6 pieds				
Chevrons de chesne	chevrons de chêne		1	2	6
Chevrons de Sapin	chevrons de sapin		1	12	35
Chevrons de sapin	chevrons de sapin		1	2	35
chevrons de sapin	chevrons de sapin				
Chevrons de sapin ; de 15 a 20 pieds	chevrons de sapin de 15 à 20 pieds				
Chevrons de sapin ; de 3 a 4 pieds	chevrons de sapin de 3 à 4 pieds				
Chevrons de sapin ; de 7 a 8 pieds	chevrons de sapin de 7 à 8 pieds				
Chevrons de sapin de 14 a 15 pieds	chevrons de sapin de 14 à 15 pieds				
Chevrons de sapin de 15 pieds	chevrons de sapin de 15 pieds				
Chevrons de sapin de 18 pieds	chevrons de sapin de 18 pieds				
Chevrons de sapin de 22 pieds	chevrons de sapin de 22 pieds				
Chevrons de sapin de 7 pieds	chevrons de sapin de 7 pieds				
Chialar	chialar	x	1	1	1
Chicas	chicas	x	1	1	1
Chicolin	chicolin	x	1	1	5
Chicorée	chicorée		0	0	0
Chicorée moulue	chicorée moulue		1	45	45
Chicotin	chicotin	x	1	4	5
Chiena	chiens		1	1	41
Chiens	chiens		1	39	41
chiens courants de chasse	chiens courants de chasse		0	0	0
Chiffons	chiffons		1	17	17
Chilas	chilas	x	1	7	8
Chille	chille	x	1	1	8
Chima ; calin	chima calin	x	1	1	1
Chine	chine	x	1	1	2
Chinois	chinois	x	1	1	1
chise de fourneaux	chise de fourneaux	x	0	0	0
Chitspamabage	chitspamabage	x	1	1	1
Chitte	chitte	x	1	8	12
chitte	chitte	x	1	1	12
Chitte ; étoffe	chitte étoffe	x	1	1	1
Chittes	chitte	x	1	2	12
chittes	chitte	x	1	1	12
Chivelles	chivelles	x	1	1	1
Chocoat	chocolat		1	1	461
Chocolas	chocolat				
Chocolat	chocolat				
chocolat	chocolat		1	7	461
Chocolat en patte	chocolat en pâte		1	1	1
Chocolats	chocolat		1	3	461
chocolats	chocolat		1	1	461
Choises garnies	choises garnies	x			
Chouclas	chouclas	x	1	1	461
Choux	choux				
choux	choux				
Choux ; à planter	choux à planter		1	2	3
Choux ; fleurs	choux-fleurs		1	1	3
choux à planter	choux à planter		0	0	0
choux cabus	choux cabus	x	1	1	1
Choux confits	choux confits		1	1	1
Choux fleurs	choux-fleurs				
Choux marinés	choux marinés				
choux salés	choux salés		0	0	0
choux-fleurs	choux-fleurs		0	0	0
choux-fleurs, cabus et artichoux	choux-fleurs cabus et artichauts	x	0	0	0
Chrabon ; de terre	charbon de terre		1	4	778
Christ ; d'yvoire	christ d'ivoire		1	1	3
Christs ; d'yvoire	christ d'ivoire		1	1	3
Christs ; d'yvoire ; montés sur velours	christ d'ivoir monté sur velours		1	1	1
Chrits ; d'yvoire	christ d'ivoire		1	1	3
Chruches de grez	cruches de grès		1	1	14
Chuivre en chaudron	cuivre en chaudron		1	1	126
Chuquelas	chuquelas	x	1	6	6
Cidre	cidre		1	158	162
cidre	cidre		1	1	162
Cidre et bière	cidre et bière		1	13	85
Cidres	cidre		1	3	162
Cierge ; de cire ; blanche	cierges de cire blanche		1	1	1
Cierges	cierges		1	3	3
Cierges et flambeaux	cierges et flambeaux		1	1	1
cignes	cygnes		0	0	0
Cignes ; en vie	cygnes en vie		1	1	1
Cilindre	cylindre		1	2	2
Cime	cime	x	1	1	1
cimens	ciment		1	1	18
Ciment	ciment		1	12	18
ciment	ciment				
ciment ou tiras	ciment ou tiras	x	0	0	0
cimente	ciment		1	1	18
Cinabre	cinabre				
cinabre	cinabre				
Cinabre ; broyé	cinabre broyé		1	4	12
Cinabre Broyé	cinabre broyé		1	7	12
cinabre Broyé	cinabre broyé		1	1	12
Cinabre en pierre	cinabre en pierres				
Cinabre en roche	cinabre en roche		1	1	1
Cinabre fin	cinabre fin		1	1	1
Cinabrium	cinabre				
cinabrium	cinabre				
Cinabrun	cinabre				
Cinamomum	cannelle	x	1	3	715
cinturons	ceinturons		0	0	0
Ciradille	ciradille	x			
Cirage ; pour chaussures	cirage pour chaussures		1	1	1
Circaca	circaca	x	1	4	13
Circaras	circaras	x			
Circes blanche et jaune	cire blanche et jaune		0	0	0
