marchandises,marchandises_normalisees_inter,marchandises_normalisees,product_prix,dutchtranslation,englishproduct,unit,alternativenames,source_rg_1774,source_rgbase,source_france,source_sound,source_hambourg,v14,v15,remarques,nbr_lignes_fr,nbr_lignes_hambourg,blok,source_bdc,nbr_bdc_marchandises,nbr_bdc_marchandises_normalisees
Cloux de geroffle,Clous de girofle,Clous de girofle,,,,,,,,,,,,,,,,1,1,1,3
Cloux de girofle,Clous de girofle,Épicerie ; girofle,,,,,,,,0,1,,,,,0,,1,0,0,0
Cloux dorés,Clous ; dorés,Clous ; dorés,,,,,,,,,,,,,,,,1,1,1,33
Cmphre,,,,,,,,,,,,,,,,,,,1,1,3084
Coas de soye,Coas ; de soie,Coas ; de soie,,,,,,,,,,,,,,,,1,1,1,1
Cocalum,Cocalum,Cocalum,,,,,,,,,,,,,,,,1,1,1,1
Cocax,Cochenille,Cochenille,,,,,,,,,,,,,,,,1,1,2,4
Cochelis,,,,,,,,,,,,,,,,,,,1,3,3084
Cochenille,Cochenille,Drogue ; pour la peinture et la teinture ; Cochenille,,,,,,0,0,1,,1,,,,163,36,1,1,658,813
Cochenille ; mesteque,,,,,,,,,,,,,,,,,,,1,3,3084
Cochenille Mereque,Cochenille ; mestèque,Cochenille ; mestèque,,,,,,,,,,,,,,,,1,1,1,5
Cochenille Mesteque,Cochenille ; mestèque,Cochenille ; mestèque,,,,,,,,,,,,,,,,1,1,1,5
Cochenille Silvestre,Cochenille ; Silvestre,Cochenille ; Silvestre,,,,,,,,,,,,,,,,1,1,1,2
Cochenille colorant,Cochenille,Drogue ; pour la peinture et la teinture ; Cochenille,,,,,,,,0,1,,,,,0,,1,0,0,0
Cochenille et indigo,Cochenille et indigo,Cochenille et indigo,,,,,,,,0,1,,,,,0,,1,0,0,0
Cochenille messegne,Cochenille ; mestèque,Cochenille ; mestèque,,,,,,,,,,,,,,,,1,1,1,5
Cochenille mesteque,Cochenille ; mestèque,Cochenille ; mestèque,,,,,,,,,,,,,,,,1,1,2,5
Cochenille silvestre,Cochenille ; Silvestre,Cochenille ; Silvestre,,,,,,,,,,,,,,,,1,1,1,2
Cochenilles,Cochenille,Drogue ; pour la peinture et la teinture ; Cochenille,,,,,,,,,,,,,,,,1,1,8,813
Cochenville,Cochenille,Cochenille,,,,,,,,,,,,,,,,1,1,1,4
Cochon ; de lait,Cochons ; salé,Cochons ; salé,,,,,,,,,,,,,,,,1,1,4,25
Cochon ; sallé,,,,,,,,,,,,,,,,,,,1,1,3084
Cochon ; salé,Cochons ; salé,Cochons ; salé,,,,,,0,0,1,,,,,,4,,1,1,19,25
Cochon ; salés,Chair ; salée ; de porc,Chair ; salée ; de porc,,,,,,0,0,1,,,,,,2,,1,1,2,52
Cochon sallé,Cochons ; salé,Cochons ; salé,,,,,,,,,,,,,,,,1,1,1,25
Cochon salé,Cochons ; salé,Cochons ; salé,,,,,,,,,,,,,,,,1,1,1,25
Cochons,Chair ; salée ; de porc,Chair ; salée ; de porc,,,,,,0,0,1,,,,,,1,,1,1,1,52
Cochons ; Salés,Chair ; salée ; de porc,Chair ; salée ; de porc,,,,,,0,0,1,,,,,,1,,1,1,1,52
Cochons ; de laie,Cochons ; de lait,Cochons ; de lait,,,,,,,,,,,,,,,,1,1,1,28
Cochons ; de lait,Cochons ; de lait,Cochons ; de lait,,,,,,0,0,1,,,,,,13,,1,1,21,28
Cochons ; salé,Chair ; salée ; de porc,Chair ; salée ; de porc,,,,,,0,0,1,,,,,,11,,1,1,15,52
Cochons ; salés,Chair ; salée ; de porc,Chair ; salée ; de porc,,,,,,0,0,1,,,,,,4,,1,1,6,52
Cochons de lait,Cochons ; de lait,Cochons ; de lait,,,,,,0,0,1,,,,,,2,,1,1,2,28
Cochons salé,Cochons ; salé,Cochons ; de lait,,,,,,0,0,1,,,,,,1,,1,1,1,28
Coclearia,Cochons ; de lait,Cochons ; de lait,,,,,,0,0,1,,,,,,2,,1,1,2,28
Coco,Coco,Cocos,,,,,,0,0,1,,,,,,17,,1,1,4,31
Cocoa,Coco,Coco,,,,,,,,,,,,,,,,1,1,1,1
Cocon,Cocons,Cocons,,,,,,0,0,1,,,,,,2,,1,1,2,2
Cocon de soie,Cocons ; de soie,Cocons ; de soie,,,,,,0,0,1,,,,,,1,,1,1,1,55
Cocons ; de soye,Cocons ; de soie,Cocons ; de soie,,,,,,0,0,1,,,,,,9,,1,1,24,55
Cocons ; de soyes,Cocons ; de soie,Cocons ; de soie,,,,,,,,,,,,,,,,1,1,3,55
Cocons de Soye,Cocons ; de soie,Cocons ; de soie,,,,,,0,0,1,,,,,,6,,1,1,6,55
Cocons de soye,Cocons ; de soie,Cocons ; de soie,,,,,,0,0,1,,,,,,16,,1,1,17,55
Cocos,Cocos,Cocos,,,,,,,,,,,,,,,,1,1,27,31
Cocos ; de levant,,,,,,,,,,,,,,,,,,,1,1,3084
Cocos ; du levant,,,,,,,,,,,,,,,,,,,1,1,3084
Cocqs ; d'inde,,,,,,,,,,,,,,,,,,,1,1,3084
Cocqs d'indes,Coqs ; d'Inde,Coqs ; d'Inde,,,,,,,,,,,,,,,,1,1,1,6
Coctif,Coctif,Coctif,,,,,,0,0,1,,,,,,1,,1,1,1,1
Codearia,Codearia,Codearia,,,,,,,,,,,,,,,,1,1,1,1
Coeffes de chapeaux,Coiffes de chapeaux,Coiffes de chapeaux,,,,,,0,0,1,,,,,,4,,1,1,5,13
Coeurs de beuf,Cœurs de beufs,Cœurs de beufs,,,,,,0,0,1,,,,,,1,,1,1,2,3
Coffre,,,,,,,,,,,,,,,,,,,1,1,3084
Coffre ; de chirurgie,Coffres ; de chirurgie,Coffres ; de chirurgie,,,,,,,,,,,,,,,,1,1,1,35
Coffre ; fort,,,,,,,,,,,,,,,,,,,1,1,3084
Coffre ; vieux,Coffres ; vieux,Coffres ; vieux,,,,,,0,0,1,,,,,,1,,1,1,1,1
Coffre a thé,Coffres ; de thé,Coffres ; de thé,,,,,,,,,,,,,,,,1,1,1,1
Coffre de Fer,Coffres ; de fer,Coffres ; de fer,,,,,,,,,,,,,,,,1,1,3,6
Coffre de chirurgie,Coffres ; de chirurgie,Coffres ; de chirurgie,,,,,,0,0,1,,,,,,1,,1,1,3,35
Coffre fort de fer,Coffres ; de fer,Coffres ; de fer,,,,,,,,,,,,,,,,1,1,1,6
Coffres,Coffres,Coffres,,,,,,,,0,1,,,,,0,,1,0,0,0
Coffres ; de bois,Coffres ; de bois,Coffres ; de bois,,,,,,0,0,1,,,,,,8,,1,1,16,19
Coffres ; de chirurgie,Coffres ; de chirurgie,Coffres ; de chirurgie,,,,,,0,0,1,,,,,,11,,1,1,22,35
Coffres ; de chirurgien,Coffres ; de chirurgie,Coffres ; de chirurgie,,,,,,,,,,,,,,,,1,1,1,35
Coffres ; de sapin,,,,,,,,,,,,,,,,,,,1,1,3084
Coffres ; forts,Coffres ; forts,Coffres ; forts,,,,,,0,0,1,,,,,,6,,1,1,6,6
Coffres de Chirurgie,Coffres ; de chirurgie,Coffres ; de chirurgie,,,,,,0,0,1,,,,,,1,,1,1,1,35
Coffres de Fer,Coffres ; de fer,Coffres ; de fer,,,,,,,,,,,,,,,,1,1,2,6
Coffres de bois,Coffres ; de bois,Coffres ; de bois,,,,,,0,0,1,,,,,,3,,1,1,3,19
Coffres de chirurgie,Coffres ; de chirurgie,Coffres ; de chirurgie,,,,,,0,0,1,,,,,,7,,1,1,7,35
Coffres de voyage,Coffres ; de voyage,Coffres ; de voyage,,,,,,,,0,1,,,,,0,,1,0,0,0
Coffres/cercueils en cypès,Coffres et cercueils en cyprès,Coffres et cercueils en cyprès,,,,,,,,0,1,,,,,0,,1,0,0,0
Cognac,Cognac,Cognac,,,,,,,,0,1,,,,,0,,1,0,0,0
Coiffe de tambou,Coiffe ; de tambou,Coiffe ; de tambou,,,,,,,,,,,,,,,,1,1,1,1
Coiffes de chapeaux,Coiffe ; de chapeaux,Coiffe ; de chapeaux,,,,,,,,,,,,,,,,1,1,1,1
Coiffures,Coiffures,Coiffures,,,,,,,,,,,,,,,,1,1,1,1
Coiffures de gase,Coiffures ; de gazes,Coiffures ; de gazes,,,,,,,,,,,,,,,,1,1,1,3
Coiffures de gazes,Coiffures ; de gazes,Coiffures ; de gazes,,,,,,,,,,,,,,,,1,1,1,3
Coiffures à dentelles,Coiffures ; à dentelles,Coiffures ; à dentelles,,,,,,,,,,,,,,,,1,1,1,1
Coifures de gazes,Coiffures ; de gazes,Coiffures ; de gazes,,,,,,,,,,,,,,,,1,1,1,3
Coins,Coins,Coins,,,,,,,,0,1,,,,,0,,1,0,0,0
Coity,Coity,Coity,,,,,,,,,,,,,,,,1,1,1,1
Cole; de poisson,Colle ; de poisson,Colle ; de poisson,,,,,,,,,,,,,,,,1,1,1,249
Cole;commune,Colle ; commune,Colle ; commune,,,,,,,,,,,,,,,,1,1,1,15
Cole;forte,Colle ; forte,Colle ; forte,,,,,,,,,,,,,,,,1,1,1,298
Coliers ; de cheval,Colliers ; de cheval,Colliers ; de cheval,,,,,,0,0,1,,,,,,2,,1,1,3,5
Coliers ; de jaix,Colliers ; de jais,Colliers ; de jais,,,,,,0,0,1,,,,,,1,,1,1,1,2
Coliers ; de nacre ; de perles,,,,,,,,,,,,,,,,,,,1,1,3084
Coliers ; de perles,Coliers ; de perles,Colliers ; de perles,,,,,,,,,,,,,,,,1,1,1,2
Coliers ; de perles fausses,Colliers ; de perles ; fausses,Colliers ; de perles ; fausses,,,,,,0,0,1,,,,,,1,,1,1,1,8
Colins,Colins,Colins,,,,,,,,0,1,,,,,0,,1,1,1,1
Colle,Colle,Colle,,,,,,0,0,1,1,,,,,5,,1,1,7,66
Colle  : forte,Colle ; forte,Colle ; forte,,,,,,0,0,1,,,,,,1,,1,0,0,0
Colle : forte,Colle ; forte,Colle ; forte,,,,,,,,,,,,,,,,1,1,1,298
Colle ; De poisson,Colle ; de poisson,Colle ; de poisson,,,,,,0,0,1,,,,,,5,,1,1,5,249
Colle ; Divers,Colle ; diverse,Colle,,,,,,0,0,1,,,,,,5,,1,1,5,66
Colle ; Forte,Colle ; forte,Colle ; forte,,,,,,0,0,1,,,,,,8,,1,1,8,298
Colle ; a papetier,Colle ; forte,Colle ; forte,,,,,,0,0,1,,,,,,1,,1,1,1,298
Colle ; commune,Colle ; commune,Colle,,,,,,0,0,1,,,,,,11,,1,1,17,66
Colle ; de Flandre,Colle ; de Flandre,Colle ; de Flandre,,,,,,0,0,1,,,,,,3,,1,1,6,19
Colle ; de Poisson,Colle ; de poisson,Colle ; de poisson,,,,,,0,0,1,,,,,,5,,1,1,5,249
Colle ; de flandre,Colle ; de Flandre,Colle ; de Flandre,,,,,,0,0,1,,,,,,3,,1,1,12,19
Colle ; de poisson,Colle ; de poisson,Colle ; de poisson,,,,,,,,1,,,,,,91,,1,1,166,249
Colle ; de poisson ; etc.,Colle ; de poisson,Colle ; de poisson,,,,,,,,,,,,,,,,1,1,1,249
Colle ; des Flandres,Colle ; de Flandre,Colle ; de Flandre,,,,,,0,0,1,,,,,,1,,1,1,1,19
Colle ; diverse,Colle ; diverse,Colle ; diverse,,,,,,,,,,,,,,,,1,1,2,158
Colle ; forte,Colle ; forte,Colle ; forte,,,,,,0,0,1,,,,,,105,,1,1,192,298
Colle ; forte ; de flandre,,,,,,,,,,,,,,,,,,,1,1,3084
Colle ; forte ; de poisson,,,,,,,,,,,,,,,,,,,1,1,3084
Colle ; à papetier,Colle ; à papier,Colle ; à papier,,,,,,0,0,1,,,,,,1,,1,1,1,2
Colle ; à papeties,Colle ; à papier,Colle ; à papier,,,,,,0,0,1,,,,,,1,,1,1,1,2
Colle A poison,Colle ; de poisson,Colle ; de poisson,,,,,,,,,,,,,,,,1,1,1,249
Colle Commune,Colle ; commune,Colle ; commune,,,,,,,,,,,,,,,,1,1,2,15
Colle Comune,Colle ; commune,Colle ; commune,,,,,,,,,,,,,,,,1,1,2,15
Colle Forte,Colle ; forte,Colle ; forte,,,,,,,,,,,,,,,,1,1,29,298
Colle commune,Colle ; commune,Colle ; commune,,,,,,,,,,,,,,,,1,1,7,15
Colle de Poisson,Colle ; de poisson,Colle ; de poisson,,,,,,,,,,,,,,,,1,1,1,249
Colle de poison,Colle ; de poisson,Colle ; de poisson,,,,,,,,,,,,,,,,1,1,9,249
Colle de poisson,Colle ; de poisson,Colle ; de poisson,,,,,,,,,,,,,,,,1,1,20,249
Colle de toute sorte,Colle ; diverse,Colle,,,,,,0,0,0,,,,,,0,,1,0,0,0
Colle diverse,Colle ; diverse,Colle,,,,,,0,0,1,,,,,,7,,1,1,7,66
Colle faible,Colle ; faible,Colle ; faible,,,,,,,,,,,,,,,,1,1,1,1
Colle fort,Colle ; forte,Colle ; forte,,,,,,,,,,,,,,,,1,1,1,298
Colle forte,Colle ; forte,Colle ; forte,,,,,,0,0,1,,,,,,6,,1,1,54,298
Colle; forte,,,,,,,,,,,,,,,,,,,1,1,3084
Colles,Colle,Colle,,,,,,,,,,,,,,,,1,1,13,66
Colles ; De Poisson,Colle ; de poisson,Colle ; de poisson,,,,,,0,0,1,,,,,,6,,1,1,6,249
Colles ; De poisson,Colle ; de poisson,Colle ; de poisson,,,,,,0,0,1,,,,,,1,,1,1,1,249
Colles ; Diverses,Colle ; diverse,Colle ; diverse,,,,,,0,0,1,,,,,,4,,1,1,4,158
Colles ; diverses,Colle ; diverse,Colle ; diverse,,,,,,,,,,,,,,,,1,1,2,158
Colles de poisson,Colle ; de poisson,Colle ; de poisson,,,,,,,,,,,,,,,,1,1,32,249
Colles de toute sorte,Colle ; diverse,Colle ; diverse,,,,,,,,,,,,,,,,1,1,127,158
Colles de toutes sortes,Colle ; diverse,Colle ; diverse,,,,,,,,,,,,,,,,1,1,18,158
Colles ordinaires,Colle ; ordinaire,Colle ; ordinaire,,,,,,,,,,,,,,,,1,1,22,22
Colliatour;moulu,Bois ; de caliatour ; moulu,Bois ; de caliatour ; moulu,,,,,,,,,,,,,,,,1,1,1,11
Collier de grenats,Colliers ; de grenat,Colliers ; de grenat,,,,,,,,,,,,,,,,1,1,1,2
Colliers ; d'ambre,Colliers ; d'ambre,Colliers ; d'ambre,,,,,,,,,,,,,,,,1,1,1,1
Colliers ; de cheval,Colliers ; de cheval,Colliers ; de cheval,,,,,,,,,,,,,,,,1,1,1,5
Colliers ; de grenat,Colliers ; de grenat,Colliers ; de grenat,,,,,,,,,,,,,,,,1,1,1,2
Colliers ; de jais,Colliers ; de jais,Colliers ; de jais,,,,,,0,0,1,,,,,,1,,1,1,1,2
Colliers ; de perles,Colliers ; de perles,Colliers ; de perles,,,,,,0,0,1,,,,,,1,,1,1,1,2
Colliers ; de perles fausses,Colliers ; de perles ; fausses,Colliers ; de perles ; fausses,,,,,,0,0,1,,,,,,3,,1,1,6,8
Colliers de cheval,Colliers ; de cheval,Colliers ; de cheval,,,,,,0,0,1,,,,,,1,,1,1,1,5
Colliers de perles fausses,Colliers ; de perles ; fausses,Colliers ; de perles ; fausses,,,,,,,,,,,,,,,,1,1,1,8
Collonne de Noyer,Colonne ; de noyer,Colonne ; de noyer,,,,,,,,,,,,,,,,1,1,1,1
Colloquinte,Coloquinte,Drogue ; médicinale ; Coloquinte,,,,,,,,,,,,,,,,1,1,1,56
Colombinc,Colombine,Colombine,,,,,,0,0,1,,,,,,1,,1,1,1,93
Colombine,Colombine,Colombine,,,,,,0,0,1,,,,,,49,,1,1,92,93
Colophane ou Spingler,Colophane ou Spingler,Colophane ou Spingler,,hars voor strijkstokken,resin for bows,guilders,,1,0,0,,,,,,0,,1,0,0,0
Coloquinte,Coloquinte,Drogue ; médicinale ; Coloquinte,,,,,,0,0,1,,,,,,13,,1,1,21,56
Coloquintes,Coloquinte,Drogue ; médicinale ; Coloquinte,,,,,,0,0,1,,,,,,10,,1,1,28,56
Colorant ?,Colorant ?,Colorant ?,,,,,,,,0,1,,,,,0,,1,0,0,0
Colorant bleu,Colorant ; bleu,Drogue ; pour la peinture et la teinture ; Bleu,,,,,,,,0,1,,,,,0,,1,0,0,0
Colorant et verdegris,Colorant et vert-de-gris,Drogue ; pour la peinture et la teinture ; Colorant et vert-de-gris,,,,,,,,0,1,,,,,0,,1,0,0,0
Colorant rouge,Colorant ; rouge,Colorant ; rouge,,,,,,,,0,1,,,,,0,,1,0,0,0
Colorant rouge/marron,Colorant ; rouge et marron,Colorant ; rouge et marron,,,,,,,,0,1,,,,,0,,1,0,0,0
Comestibles,Comestibles,Comestibles,,,,,,0,0,1,,,,,,13,,1,1,14,14
Comestibles ; beurre ; salé,Comestibles ; beurre ; salé,Comestibles ; beurre ; salé,,,,,,,,,,,,,,,,1,1,6,6
Comestibles ; biscuit,Comestibles ; biscuit,Comestibles ; biscuit,,,,,,,,,,,,,,,,1,1,6,6
Comestibles ; bœuf ; salé,Comestibles ; bœuf ; salé,Comestibles ; bœuf ; salé,,,,,,,,,,,,,,,,1,1,6,6
Comestibles ; chairs ; salées ; diverses,Comestibles ; chairs ; salées ; diverses,Comestibles ; chairs ; salées ; diverses,,,,,,,,,,,,,,,,1,1,6,6
Comestibles ; cochon salé et petit salé,Comestibles ; cochon ; salé,Comestibles ; cochon ; salé,,,,,,,,,,,,,,,,1,1,5,5
Comestibles ; confitures ; diverses,Comestibles ; confitures ; diverses,Comestibles ; confitures ; diverses,,,,,,,,,,,,,,,,1,1,6,6
Comestibles ; cuisses ; d'oyes,Comestibles ; cuisses ; d'oyes,Comestibles ; cuisses ; d'oyes,,,,,,,,,,,,,,,,1,1,5,5
Comestibles ; divers,Comestibles ; divers,Comestibles ; divers,,,,,,,,,,,,,,,,1,1,7,22
Comestibles ; farines,Comestibles ; farine,Comestibles ; farine,,,,,,,,,,,,,,,,1,1,6,6
Comestibles ; fromages ; divers,Comestibles ; fromages ; divers,Comestibles ; fromages ; divers,,,,,,,,,,,,,,,,1,1,6,6
Comestibles ; grains ; comestibles ; divers,Grains ; comestibles ; divers,Grains ; comestibles ; divers,,,,,,,,,,,,,,,,1,1,5,6
Comestibles ; graisses ; diverses,Comestibles ; graisses ; diverses,Comestibles ; graisses ; diverses,,,,,,,,,,,,,,,,1,1,5,5
Comestibles ; gruau,Comestibles ; gruau,Comestibles ; gruau,,,,,,,,,,,,,,,,1,1,2,2
Comestibles ; jambon,Comestibles ; jambon,Comestibles ; jambon,,,,,,,,,,,,,,,,1,1,6,6
Comestibles ; lard ; salé,Comestibles ; lard ; salé,Comestibles ; lard ; salé,,,,,,,,,,,,,,,,1,1,6,6
Comestibles ; pâtes d'Italie et vermichel,Comestibles ; pâtes d'Italie et vermicelle,Comestibles ; pâtes d'Italie et vermicelle,,,,,,,,,,,,,,,,1,1,4,4
Comestibles ; ris,Comestibles ; riz,Comestibles ; riz,,,,,,,,,,,,,,,,1,1,4,4
Comestibles divers,Comestibles ; divers,Comestibles ; divers,,,,,,0,0,1,,,,,,15,,1,1,15,22
Commode,Commodes,Commodes,,,,,,0,0,1,,,,,,2,,1,1,5,32
Commode ; de sapin,,,,,,,,,,,,,,,,,,,1,1,3084
Commodes,Commodes,Commodes,,,,,,0,0,1,,,,,,13,,1,1,19,32
Commodes ; de bois,Commodes ; de bois,Commodes ; de bois,,,,,,0,0,1,,,,,,3,,1,1,3,3
Comode,Commodes,Commodes,,,,,,,,,,,,,,,,1,1,1,32
Comodes,Commodes,Commodes,,,,,,,,,,,,,,,,1,1,5,32
Comodes ; de sapin,,,,,,,,,,,,,,,,,,,1,1,3084
Comodes de bois noyer,Commodes ; de noyer,Commodes ; de noyer,,,,,,,,,,,,,,,,1,1,1,1
Comodes ornées,Commodes ; ornées,Commodes ; ornées,,,,,,,,,,,,,,,,1,1,1,1
Compas,Compas,Compas,,,,,,0,0,1,,,,,,1,,1,1,2,2
Compas ; de cuivre,Compas ; de cuivre,Compas ; de cuivre,,,,,,0,0,1,,,,,,1,,1,1,1,1
Compas ; de mer,Compas ; de mer,Compas ; de mer,,,,,,0,0,1,,,,,,2,,1,1,2,3
Compas de mer,Compas ; de mer,Compas ; de mer,,,,,,,,,,,,,,,,1,1,1,3
Comperose,Couperose,Couperose,,,,,,,,,,,,,,,,1,1,1,25
Composition ; de chimie,Composition ; de chimie,Composition ; de chimie,,,,,,0,0,1,,,,,,1,,1,1,1,1
Composition ; de verre,Composition ; de verre,Composition ; de verre,,,,,,0,0,1,,,,,,1,,1,1,1,4
Compotiers;  de terre,,,,,,,,,,,,,,,,,,,1,1,3084
Concombres,Concombre,Concombre,,,,,,,,0,1,,,,,0,,1,0,0,0
Conducteur,,,,,,,,,,,,,,,,,,,1,1,3084
Confection,Confection,Confection,,,,,,0,0,1,,,,,,6,,1,1,11,12
Confection ; d'Alrkerme,Confection ; d'Alkerme,Confection ; d'Alkerme,,,,,,0,0,1,,,,,,1,,1,1,1,3
Confection ; d'hiacinthe,,,,,,,,,,,,,,,,,,,1,1,3084
Confection ; d'hyacinte,Confection ; d'hyacinte,Confection ; d'hyacinte,,,,,,0,0,1,,,,,,2,,1,1,2,9
Confection d'alkerme,Confection ; d'Alkerme,Confection ; d'Alkerme,,,,,,,,,,,,,,,,1,1,2,3
Confection d'hiacinte,Confection ; d'hyacinte,Confection ; d'hyacinte,,,,,,,,,,,,,,,,1,1,1,9
Confection d'hyacinte,Confection ; d'hyacinte,Confection ; d'hyacinte,,,,,,,,,,,,,,,,1,1,4,9
Confection d'hyacinthe,Confection ; d'hyacinte,Confection ; d'hyacinte,,,,,,,,,,,,,,,,1,1,1,9
Confection d'hyeceinte,Confection ; d'hyacinte,Confection ; d'hyacinte,,,,,,0,0,1,,,,,,1,,1,1,1,9
Confections ; d'hiacintes,,,,,,,,,,,,,,,,,,,1,1,3084
Confecton,Confection,Confection,,,,,,,,,,,,,,,,1,1,1,12
Confiseries,Confiseries,Confiseries,,,,,,,,0,1,,,,,0,,1,0,0,0
Confitues,,,,,,,,,,,,,,,,,,,1,7,3084
Confiture,Confitures,Confitures,,,,,,,,,,,,,,,,1,1,35,718
Confiture sèches,Confitures ; sèches,Confitures ; sèches,,,,,,,,,,,,,,,,1,1,1,6
Confiture séche,Confitures ; sèches,Confitures ; sèches,,,,,,,,,,,,,,,,1,1,1,6
Confitures,Confitures,Confitures,,,,,,0,0,1,1,,,,,344,,1,1,669,718
Confitures de séche,Confitures ; sèches,Confitures ; sèches,,,,,,,,,,,,,,,,1,1,1,6
Confitures seches,Confitures ; sèches,Confitures ; sèches,,,,,,,,,,,,,,,,1,1,1,6
Confitures seiches,Confitures ; sèches,Confitures ; sèches,,,,,,,,,,,,,,,,1,1,2,6
Congre,Congres,Congres,,,,,,,,,,,,,,,,1,1,6,30
Congres,Congres,Congres,,,,,,0,0,1,,,,,,14,,1,1,24,30
Connoissement,Connoissement,Connoissement,,,,,,,,,,,,,,,,1,1,1,1
Conscrues ; de fleures d'orange,Conserve ; de fleures d'orange,Conserve ; de fleures d'orange,,,,,,0,0,1,,,,,,1,,1,1,1,1
Conserve d'Alkerme,Conserve ; d'Alkerme,Conserve ; d'Alkerme,,,,,,,,,,,,,,,,1,1,1,1
Conserve de roze,Conserve ; de rose,Conserve ; de rose,,,,,,0,0,1,,,,,,1,,1,1,1,1
Conterie,Conterie,Conterie,,,,,,0,0,1,,,,,,25,,1,1,36,41
Conteries,Conterie,Conterie,,,,,,0,0,1,,,,,,1,,1,1,5,41
Conton ; en laine,Coton ; en laine,Coton ; en laine,,,,,,0,0,1,,,,,,13,,1,1,13,685
Conton filé,Coton ; filé,Coton ; filé,,,,,,,,,,,,,,,,1,1,14,14
Contra Hierva,Contrahierba,Contrahierba,,,,,,0,0,1,,,,,,1,,1,1,1,12
Contrabierre,Contrahierba,Contrahierba,,,,,,0,0,1,,,,,,1,,1,1,1,12
Contrabierva,Contrahierba,Contrahierba,,,,,,0,0,1,,,,,,3,,1,1,3,12
Contracyrna,,,,,,,,,,,,,,,,,,,1,1,3084
Contragerna,Contrahierba,Contrahierba,,,,,,,,,,,,,,,,1,1,1,12
Contrahierva,Contrahierba,Contrahierba,,,,,,0,0,1,,,,,,3,,1,1,3,12
Contrahyerba,Contrahierba,Contrahierba,,,,,,,,,,,,,,,,1,1,1,12
Contrayerva,Contrahierba,Contrahierba,,,,,,0,0,1,,,,,,1,,1,1,1,12
Contre bordé,Contre-bordé,Contre-bordé,,,,,,,,,,,,,,,,1,1,4,14
Contre brodé,Contre-bordé,Contre-bordé,,,,,,,,,,,,,,,,1,1,1,14
Contre;foyer;de fer,Contrefoyer de fer,Contrefoyer de fer,,,,,,,,,,,,,,,,1,1,1,3
Contreborde,Contre-bordé,Contre-bordé,,,,,,,,,,,,,,,,1,1,2,14
Contrebordé,Contre-bordé,Contre-bordé,,,,,,,,,,,,,,,,1,1,2,14
Contrebrodé,Contre-bordé,Contre-bordé,,,,,,,,,,,,,,,,1,1,1,14
Contrefoyer de Fer,Contrefoyer de fer,Contrefoyer de fer,,,,,,,,,,,,,,,,1,1,1,3
Contrefoyer de fer,Contrefoyer de fer,Contrefoyer de fer,,,,,,0,0,1,,,,,,1,,1,1,1,3
Conty,Conty,Conty,,,,,,,,,,,,,,,,1,1,1,1
Copeaux de bois,Bois ; en copeaux,Bois ; en copeaux,,,,,,,,0,1,,,,,0,,1,0,0,0
Coqs ; d'Inde,Coqs ; d'Inde,Coqs ; d'Inde,,,,,,0,0,1,,,,,,2,,1,1,2,6
Coqs ; d'Indes,Coqs ; d'Inde,Coqs ; d'Inde,,,,,,0,0,1,,,,,,2,,1,1,3,6
Coque ; Levant,Coque ; Levant,Coque ; Levant,,,,,,0,0,1,,,,,,4,,1,1,6,34
Coque ; levant,Coque ; Levant,Coque ; Levant,,,,,,,,,,,,,,,,1,1,4,34
Coque Levan,Coque ; Levant,Coque ; Levant,,,,,,,,,,,,,,,,1,1,1,34
Coque Levant,Coque ; Levant,Coque ; Levant,,,,,,0,0,1,,,,,,9,,1,1,13,34
Coque Levent,Coque ; Levant,Coque ; Levant,,,,,,0,0,1,,,,,,2,,1,1,2,34
Coque levant,Coque ; Levant,Coque ; Levant,,,,,,,,,,,,,,,,1,1,5,34
Coque-levant,,,,,,,,,,,,,,,,,,,1,1,3084
Coques ; Levant,Coque ; Levant,Coque ; Levant,,,,,,,,,,,,,,,,1,1,1,34
Coques levant,Coque ; Levant,Coque ; Levant,,,,,,0,0,1,,,,,,1,,1,1,1,34
Coquillages,Coquillages,Coquillages,,,,,,0,0,1,,,,,,1,,1,1,3,3
Coquille ; de mer,Coquilles ; de mer,Coquilles ; de mer,,,,,,,,,,,,,,,,1,1,2,33
Coquille ; de nacre,Coquilles ; de nacre,Coquilles ; de nacre,,,,,,,,,,,,,,,,1,1,1,25
Coquilles ; de Nacres,Coquilles ; de nacre,Coquilles ; de nacre,,,,,,,,,,,,,,,,1,1,1,25
Coquilles ; de mer,Coquilles ; de mer,Coquilles ; de mer,,,,,,0,0,1,,,,,,11,,1,1,24,33
Coquilles ; de nacre,Coquilles ; de nacre,Coquilles ; de nacre,,,,,,0,0,1,,,,,,12,,1,1,16,25
Coquilles ; de nacres,Coquilles ; de nacre,Coquilles ; de nacre,,,,,,0,0,1,,,,,,4,,1,1,4,25
Coquilles de Mocres,Coquilles ; de Mocres,Coquilles ; de Mocres,,,,,,0,0,1,,,,,,2,,1,1,2,2
Coquilles de mer,Coquilles ; de mer,Coquilles ; de mer,,,,,,0,0,1,,,,,,6,,1,1,6,33
Coquilles de nacre,Coquilles ; de nacre,Coquilles ; de nacre,,,,,,,,1,,,,,,1,,1,1,1,25
Coquilles de nacres,Coquilles ; de nacre,Coquilles ; de nacre,,,,,,0,0,1,,,,,,1,,1,1,2,25
Corail,Corail,Corail,,,,,,0,0,1,,,,,,5,,1,1,39,42
