numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,direction,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,unverified
343,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Ris,Genes,4798,livres,"0,2",959,"-0,6",,1
344,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Rocou,Genes,2115,livres,"2,5",5287,"-0,5",,1
345,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Safran,Genes,325,livres,20,6500,0,,1
346,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Savon,Genes,15607,livres,"0,4",6242,"-0,8",,1
347,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Savonettes,Genes,156,livres,"1,5",234,0,,1
348,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Sel ; armoniac,Genes,154,livres,"1,5",231,0,,1
349,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Soude,Genes,34637,livres,"0,1",3463,"-0,7",,1
350,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Souffre,Genes,1048,livres,"0,2",209,"-0,6",,1
351,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Soyrie,Genes,1794,livres,20,35880,0,,1
352,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Soye ; apretée,Genes,913,livres,25,22825,0,,1
353,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Sucre ; blanc et terré,Genes,389600,livres,"0,5",194800,0,,1
354,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Sucre ; brut,Genes,28233,livres,"0,4",11293,"-0,2",,1
355,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Sucre ; en pain,Genes,1100,livres,1,1100,0,,1
356,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Tabac,Genes,132860,livres,3,398580,0,,1
357,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Tartre,Genes,475,livres,"0,25",112,"-6,75",,1
358,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Thé,Genes,1000,livres,2,2000,0,,1
359,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Toile ; blanche,Genes,6145,livres,5,30725,0,,1
360,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Toiles ; diverses,Genes,11017,livres,"3,5",38559,"-0,5",,1
361,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Toile ; peinte,Genes,8845,livres,5,44225,0,,1
362,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Toile ; françoise,Genes,1360,livres,"4,5",6120,0,,1
363,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Verdet,Genes,21621,livres,"0,6",12972,"-0,6",,1
364,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Verres ; communs,Genes,1120,livres,"0,25",280,0,,1
365,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Vin ; de Provence,Genes,26950,livres,"0,1",2695,0,,1
366,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Vin ; rouge,Genes,4748,milleroles,8,37984,0,,1
367,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Vin ; rouge,Genes,"82,67",charges,9,744,0,,1
368,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Alun,Naples et Sicile,7188,livres,"0,2",1437,"-0,6",,1
369,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Amandes,Naples et Sicile,4303,livres,"0,2",860,"-0,6",,1
370,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Bas ; de soye,Naples et Sicile,1436,livres,40,57440,0,,1
371,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Bled ; froment,Naples et Sicile,30000,livres,"0,1",3000,0,,1
372,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Bois ; a teindre,Naples et Sicile,26656,livres,"0,1",2665,"-0,6",,1
373,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Bray,Naples et Sicile,63990,livres,"0,2",12798,0,,1
374,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Cacao,Naples et Sicile,20968,livres,"1,5",31452,0,,1
375,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Caffé,Naples et Sicile,304790,livres,"0,75",228592,"-0,5",,1
376,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Canefice,Naples et Sicile,4187,livres,"0,25",1046,"-0,75",,1
377,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Canelle,Naples et Sicile,57,livres,10,570,0,,1
378,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Chapeaux ; poil et laine,Naples et Sicile,1460,livres,8,11680,0,,1
379,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Cire ; jaune,Naples et Sicile,34163,livres,"1,5",51244,"-0,5",,1
380,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Cochenille,Naples et Sicile,112,livres,20,2240,0,,1
381,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Confitures,Naples et Sicile,200,livres,"0,75",150,0,,1
382,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Coton ; filé,Naples et Sicile,1200,livres,"1,25",1500,0,,1
383,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Coton ; en laine,Naples et Sicile,6800,livres,1,6800,0,,1
384,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Couperose,Naples et Sicile,8510,livres,"0,1",851,0,,1
385,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Cuirs ; de bœuf ; tannés,Naples et Sicile,169024,livres,"0,6",101414,"-0,4",,1
386,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Cuivre ; ouvré,Naples et Sicile,7940,livres,"1,5",11910,0,,1
387,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Draperie ; ordinaire,Naples et Sicile,28492,livres,5,142460,0,,1
388,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Drogueries,Naples et Sicile,500,livres,2,1000,0,,1
389,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Encens,Naples et Sicile,2539,livres,"0,5",1269,"-0,5",,1
390,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Etamine,Naples et Sicile,3648,livres,3,10944,0,,1
391,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,7,Marseille,Etoffe ; en dorure,Naples et Sicile,1027,livres,80,82160,0,,1
392,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Fayance,Naples et Sicile,300,livres,"0,5",150,0,,1
393,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Fer ; en barres,Naples et Sicile,213108,livres,"0,15",31966,"-0,2",,1
394,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Gomme ; arabique,Naples et Sicile,273,livres,"0,75",204,"-0,75",,1
395,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Huile ; d'olive,Naples et Sicile,1163,livres,"0,5",581,"-0,5",,1
396,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Indigo,Naples et Sicile,7203,livres,5,36015,0,,1
397,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Laines ; diverses,Naples et Sicile,5660,livres,"0,5",2830,0,,1
398,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Librairie,Naples et Sicile,11265,livres,2,22530,0,,1
399,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Liqueurs,Naples et Sicile,9500,livres,1,9500,0,,1
400,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Marchandises ; melées,Naples et Sicile,188,livres,"1,5",282,0,,1
401,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Mercerie,Naples et Sicile,10005,livres,"3,5",35017,"-0,5",,1
402,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Nankin,Naples et Sicile,1800,livres,2,3600,0,,1
403,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Peaux ; de vache ; tannées,Naples et Sicile,105192,livres,1,105192,0,,1
404,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Pierres ; a fusils,Naples et Sicile,2400,livres,"0,2",480,0,,1
405,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Plomb ; en grenaille,Naples et Sicile,26845,livres,"0,25",6711,"-0,25",,1
406,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Plomb ; en saumon,Naples et Sicile,64730,livres,"0,2",12946,0,,1
407,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Poivre,Naples et Sicile,18953,livres,"1,5",28429,"-0,5",,1
408,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Quincaille,Naples et Sicile,19059,livres,3,57177,0,,1
409,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Savon,Naples et Sicile,622,livres,"0,4",248,"-0,8",,1
410,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Sirop ; de capilaire,Naples et Sicile,800,livres,1,800,0,,1
411,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Soirie,Naples et Sicile,11889,livres,20,237780,0,,1
412,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Sucre ; blanc et terré,Naples et Sicile,1298330,livres,"0,5",649165,0,,1
413,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Sucre ; brut,Naples et Sicile,200870,livres,"0,4",80348,0,,1
414,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Tabac,Naples et Sicile,12290,livres,3,36870,0,,1
415,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Toile ; blanche,Naples et Sicile,1885,livres,5,9425,0,,1
416,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Toiles ; diverses,Naples et Sicile,12490,livres,"3,5",43715,0,,1
417,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Toile ; peinte,Naples et Sicile,7295,livres,5,36475,0,,1
418,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Toile ; françoise,Naples et Sicile,3891,livres,"4,5",17509,"-0,5",,1
419,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Verdet,Naples et Sicile,125,livres,"0,6",74,-1,,1
420,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Vin ; de Provence,Naples et Sicile,17497,livres,"0,1",1749,"-0,7",,1
421,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Vin ; de Provence,Naples et Sicile,26,milleroles,8,208,0,,1
422,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Vitriol,Naples et Sicile,16376,livres,"0,5",81880,73692,erreur d'unité,1
423,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Acier,Levant,6635,livres,"0,35",2322,"-0,25",,1
424,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Alun,Levant,37252,livres,"0,2",7450,"-0,4",,1
425,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Amandes,Levant,72997,livres,"0,2",14599,"-0,4",,1
426,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Anchoix,Levant,270,livres,"0,5",135,0,,1
427,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Anis,Levant,4125,livres,"0,25",1031,"-0,25",,1
428,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Arsenic,Levant,4266,livres,"0,3",1279,"-0,8",,1
429,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Arquifou,Levant,170566,livres,"0,15",25584,"-0,9",,1
430,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Bled ,Levant,416000,livres,"0,1",41600,0,,1
431,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Bois ; a teindre,Levant,81632,livres,"0,15",12244,"-0,8",,1
432,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Bonnets ; de laine,Levant,24460,livres,3,73380,0,,1
433,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Bourre ; de soye,Levant,15650,livres,1,15650,0,,1
434,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Bray,Levant,21490,livres,"0,2",4298,0,,1
435,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Briques,Levant,6000,livres,"0,05",300,0,,1
436,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Brun ; rouge,Levant,26861,livres,"0,05",1343,"-0,05",,1
437,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Caffé,Levant,4660082,livres,"0,75",3495061,"-0,5",,1
438,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Canelle,Levant,661,livres,10,6610,0,,1
439,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Cardes,Levant,1176,paires,5,5880,0,,1
440,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Ceruse,Levant,4055,livres,"0,2",811,0,,1
441,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Chandelle,Levant,3100,livres,"0,5",1550,0,,1
442,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Chanvre ; peigné,Levant,3575,livres,"0,5",1787,"-0,5",,1
443,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Chataignes,Levant,21822,livres,"0,1",2182,"-0,2",,1
444,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Cloux ; de fer,Levant,63121,livres,"0,25",15780,"-0,25",,1
445,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Cochenille,Levant,35249,livres,20,704980,0,,1
446,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Colle ; forte,Levant,700,livres,"0,4",280,0,,1
447,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Confitures,Levant,2718,livres,"0,75",2038,"-0,5",,1
448,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Corail ; brut,Levant,326,livres,"0,5",163,0,,1
449,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Corail ; ouvré,Levant,492,livres,100,49200,0,,1
450,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Cordages ; de chanvre,Levant,2312,livres,"0,3",693,"-0,6",,1
451,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Couperose,Levant,3542,livres,"0,1",354,"-0,2",,1
452,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille - Exports – 1778.csv,Local,1778,Exports,8,Marseille,Cuivre ; ouvré,Levant,483,livres,"1,5",724,"-0,5",,1
