item,group,status,beforeItems,afterItems,obsolete,imprimatur
eau d'Esquebat,[0],ambiguous,[Eau ; d'Esquebat],[Eau ; d'Esquebat],no,
eau d'arquebusade,[0],ambiguous,[Eau ; d'arquebusade] [eau d'arquebusade],[Eau ; d'arquebusade] [eau d'arquebusade],no,
eau d'arc,[0],ambiguous,[Eau ; d'arc],[Eau ; d'arc],no,
eau d'anis,[0],ambiguous,[Eau ; d'anis] [Eau ; d'Anis],[Eau ; d'anis] [Eau ; d'Anis],no,
eau cordiale,[0],ambiguous,[Eau ; cordiale] [Eau ; cordialle] [Eau ; Cordialle],[Eau ; cordiale] [Eau ; cordialle] [Eau ; Cordialle],no,
eau coclearia,[0],ambiguous,[Eau coclaria],[Eau coclaria],no,
eau citronnelle,[0],ambiguous,[Eau Citronnelle],[Eau Citronnelle],no,
eau à noirir tabac,[0],ambiguous,[eau à noirir tabac],[eau à noirir tabac],no,
eau,[0],ambiguous,[Eau] [Eau ; ?],[Eau] [Eau ; ?],no,
e ???,[0],ambiguous,[e?],[e?],no,
duyvelsterck,[0],ambiguous,[Duyvelsterck],[Duyvelsterck],no,
duyvelsteen,[0],ambiguous,[duyvelsteen],[duyvelsteen],no,
duvet,[0],ambiguous,[duves] [Duvet] [duvets],[Duvet] [duvets],no,
duffel teint aune,[0],ambiguous,[duffel teint / aune],[duffel teint / aune],no,
duffel teint,[0],ambiguous,[duffel teint],[duffel teint],no,
duffel,[0],ambiguous,[duffel],[duffel],no,
duc-d'Albe de terre,[0],ambiguous,[Duc dalles de terre],[Duc dalles de terre],no,
duc-d'Albe de grés,[0],ambiguous,[Ducdales de gréz],[Ducdales de gréz],no,
duc-d'Albe,[0],ambiguous,[Duc d'Ablier] [duc dales] [Duc dattes] [Ducdalles],[Duc d'Ablier] [duc dales] [Duc dattes] [Ducdalles],no,
drol et drouel,[0],ambiguous,[toile dite drol et drouel],[toile dite drol et drouel],no,
droit sur vinaigre,[0],ambiguous,[Droit sur vinaigre],[Droit sur vinaigre],no,
droit sur vin de Blaye,[0],ambiguous,[Droit sur vin de Blaye],[Droit sur vin de Blaye],no,
droguet et Maroc,[0],ambiguous,[droguet et Maroc],[droguet et Maroc / aune] [droguet et Maroc],no,
droguet des prises,[0],ambiguous,[Droguets des prises],[Droguets des prises],no,
droguet de soie,[0],ambiguous,[Drogué de soye] [Drogues de soye] [Droguet ; de soye] [Droguet de soye] [Etoffe ; de soye ; draguet] [Etoffe ; de soye ; droguet] [Etoffe ; drogues de soïe],[Drogué de soye] [Drogues de soye] [Droguet ; de soye] [Droguet de soye] [Etoffe ; de soye ; draguet] [Etoffe ; de soye ; droguet] [Etoffe ; drogues de soïe],no,
droguet de milan,[0],ambiguous,[Draps ; droguet ; de milan],[Draps ; droguet ; de milan],no,
droguet de laine et fil,[0],ambiguous,[Drogues ; de laine et fil],[Drogues ; de laine et fil],no,
droguet de laine des prises,[0],ambiguous,[Droguet de laine des prises],[Droguet de laine des prises],no,
droguet de laine,[0],ambiguous,[Drap ; drogues ; de laine] [Drap ; droguet ; de laine] [Draps ; droguet ; de laine] [Draps ; droguet ; delaine] [Drogues ; de laine] [Droguet ; de laine] [droguet de laine] [Droguet de laine] [Etoffes ; de laine ; drogeut] [Etoffes ; de laine ; droguit],[droguet de laine / aune] [Drap ; drogues ; de laine] [Drap ; droguet ; de laine] [Draps ; droguet ; de laine] [Draps ; droguet ; delaine] [Drogues ; de laine] [Droguet ; de laine] [droguet de laine] [Droguet de laine] [Etoffes ; de laine ; drogeut] [Etoffes ; de laine ; droguit],no,
droguet de Hollande,[0],ambiguous,[Drap ; drogues ; d'Hollande] [Drap ; droguet ; d'Hollande] [Drap ; droguet d'hollande] [Drap; droguet ; d'hollande] [Draps ; droguet ; d'hollande] [Draps ; droguet ; d'Hollande],[Drap ; drogues ; d'Hollande] [Drap ; droguet ; d'Hollande] [Drap ; droguet d'hollande] [Drap; droguet ; d'hollande] [Draps ; droguet ; d'hollande] [Draps ; droguet ; d'Hollande],no,
