item,group,,,afterItems,obsolete,imprimatur
dominoterie,8,,,[Bidets],no,
dominoterie en images,8,,,[Biblioteque] [Bibliotheque],no,
dominoterie et cartes géographiques,8,,,[Berceau ; d'ozier],no,
doraze,???,,,[Berceaux ; d'enfant] [bercEaux denfant],no,
doreas,6g,,,[Benitier de marbre],no,
dorure,8,,,[Bavoirs],no,
dorure en galon fine,6i,,,[Baudriers de cuir],no,
dorure fausse,8,,,[Baudands] [Baudrier] [Baudriers] [Beaudriers],no,
dorure fausse en or et argent,8,,,[Basson] [bassons] [Bassons] [Instruments ; de musique ; Bassons],no,
dorure fausse en or et argent battu tiré et laminé,8,,,[Bassins de marbre],no,
dorure filée,8,,,[basses et bassons],no,
dorure fine,8,,,[basse ; de viole] [Basse ; de viole] [Basse ; de violle] [Basse ; de voille] [Basse de viole] [Basses ; de violle] [Instruments de musique ; basse de violle],no,
dorure fine en galon d'or,6i,,,[basses] [Instrumens de musique ; basses] [Instruments ; de musique ; basses] [Instruments ; de musique ; Basses] [Instruments de musique basse],no,
dospin en pierre,???,,,[Bas grossiers],no,
dossiers de chaises,8,,,"[bas, gants et bonnets de laine, fil et cotton] [bas. gants et bonnets de laine. fil et cotton]",no,
doublures de martre pour habits,8,,,[Bas; écriers],no,
doublures de petis gris,8,,,[Bas ; drapés],no,
douelles,6b,,,[Bonnetterie ; de poil ; dinde ; bas],no,
douelles à barils,6b,,,[Bas de toille],no,
douelles à barrique,6b,,,[bas de soye vieux] [Bas de soye vieux],no,
douelles à busses,6b,,,[Bas de soye pour homme],no,
douelles à cuve,6b,,,[Bas ; de soye ; pour femme] [Bas de soye pour femme] [Bas de soye pour femmes],no,
douelles à fond,6b,,,[Baie de foye] [Bars de soye] [Bas ; de soie] [Bas ; de soye] [Bas ; de Soye] [Bas de foye] [Bas de soie] [Bas de soïe] [bas de soye] [Bas de soye] [Bas de Soye] [Bas de soyes] [Bas se soye] [Bas soye] [Bas; de soye] [Bonneterie ; bas ; de soie] [Bonneterie ; bas de soie] [Bonneterie bas de soye] [Bonneterie ; de soie ; bas] [Bonneterie ; de soye ; bas] [Bonnetrie de soye bas] [Bonnetterie ; de soye ; bas] [Bonnetterie de soye bas] [Bonneterie ; de soye ; en bas] [Bonneterie ; de soye en bas] [Bonneterie de soie en bas] [Bonneterie de soye (en bas)] [Bonneterie de soye bas] [Bonneterie de soye en bas] [Bonneteries de soye en bas],no,
douelles à pièce,6b,,,[Bas de segovie],no,
douelles à pipe,6b,,,[Bas ; poil et soye] [Bas ; soye et poil],no,
douelles à quart,6b,,,[Bas ; de poil] [Bas; de poil],no,
douelles à tierçons,6b,,,[Bas ; de peau] [Bas ; de peaux] [Bas de peau] [bas de peaux] [Bas de peaux] [Bas; de peau],no,
douelles à tonneau,6b,,,[Bas de laine par paires],no,
douelles de sapin,6b,,,[bas de laine grossiere] [Bas de laine grossiere] [Bas de laine grosses] [Bas de laine grossiers] [Bas de laines grossier] [Bas de laines; grossier],no,
douelles fonçaille,6b,,,[Bas ; de laine ; fins] [Bas ; de laine fin] [Bas ; de laine fins] [Bas de laine fin] [Bas de laine fins],no,
douelles ganivelles,???,,,"[bas, gants et bonnets de laine] [bas. gants et bonnets de laine]",no,
douelles vieilles,6b,,,[Bas et bonnets de laine] [Bonneterie bas et bonnets de laine],no,
douvain,???,,,[Bas ; soye et laine],no,
douvelles,???,,,[Bas ; de laine ; communs] [Bas de laine communs],no,
douvelles de sapin,???,,,[Bas de la laine] [Bas ; de lain] [bas ; de laine] [Bas ; de laine] [bas de laine] [Bas de laine] [Bas de Laine] [Bas de leine] [Bas; de laine] [Bonneterie ; bas ; de laine] [Bonneterie ; de laine ; bas] [Bonneterie ; de laine ; bats] [Bonneterie de laine bas] [Bonnetterie ; de laine ; bas] [Bonnetterie de laine bas] [Bonneterie ; de laine ; en bas] [Bonneterie de laine en bas] [Bonneteries de laine en bas] [Bonneterie ; en bas ; de laine],no,
douves,6b,,,[Bas ; de fleures] [bas ; de fleuret] [Bas ; de fleuret] [Bas de fleures] [Bas de fleuret] [Bas de fleurs] [Bas de fluvet] [Bas; de fleuret] [Bonnetterie ; de fleuret ; bas],no,
douves à tonneaux,6b,,,[Bas ; de filoselle] [Bas ; de filozelle] [Bas ; de Filozelle] [Bas de filonsé] [Bas de filosée] [bas de filoselle] [Bas de filoselle] [Bas de filozele] [bas de filozelle] [Bas de filozelle] [Bas de filozelles] [Bas de flozelle] [Bas; de filozelle] [Bonneterie de filozelle en bas],no,
douves de deux pouces,,,,[Bas ; de fil ; en paires] [Bas ; de fil ; par paires],no,
drache,???,,,[Bas de fil pour hommes],no,
drache de bière,???,,,[Bas de fil pour femmes],no,
dracodium,???,,,[Bas; de fil et laine],no,
dragée,0a,,,[Bas ; de fil commun] [Bas de fil commun],no,
dragée de Keyser,???,,,[bas ; de fil] [Bas ; de fil] [bas de fil] [Bas de fil] [Bas de Fil] [Bas de fils] [Bas; de fil] [Bonneterie ; bas de fil] [Bonneterie bas de fil] [Bonneterie ; de fil ; bats] [Bonneterie de fil bas] [Bonnetterie de fil bas] [Bonneterie ; de fil ; en bas] [Bonneterie de fil (en bas)] [Bonneterie de fil en bas] [Bonneteries de fil en bas] [Bonneteterie de fil en bas],no,
dragonnes,,,,[Bas ; et bonets de coton] [Bas en bonnets de coton] [bas et bonnets de coton] [Bas et bonnets de coton] [Bas et Bonnets de coton] [Bats et bonnets de coton] [Bas et bonnets en coton],no,
dragonnes d'épée,,,,[Bas ; soye et coton],no,
drague de bière,0a,,,[Bas ; de Fil ; de coton ; par paires],no,
drap,6e,,,[Bas ; de coton fil et soye],no,
drap à doubler,6e,,,[Bas ; coton et fil] [Bas coton et fil] [Bas ; de cotton et fil] [Bas de coton et fil] [Bas de Coton et fil] [Bas de cotton et fil] [Bas ; de cotons fil] [Bas ; de fil à coton] [Bas ; de Fil ; de coton] [Bas ; de fil et coton] [Bas de fi et coton] [bas de fil et coton] [Bas de fil et coton] [Bas de fil et Coton] [bas de fil et cotton] [Bas de fil et cotton] [Bas; de fil et coton] [Bas ; fil et coton] [Bas fil et coton] [Bas fil et Coton] [Bonneterie de fil et coton en bas],no,
drap à la valeur,6i,,,[Bas ; coton] [Bas coton] [Bas ; de coton] [Bas ; de cotton] [Bas de colton] [bas de coton] [Bas de coton] [Bas de Coton] [bas de cotton] [Bas de cotton] [Bas de Cotton] [bas de couton] [Bas; de coton] [Bonneterie ; bas ; de coton] [Bonneterie de conton bas] [Bonneterie de coton bas] [Bonnetterie ; de coton ; bas] [Bonnetterie de coton bas] [Bonneterie ; de coton ; en bas] [Bonneterie de coton en bas],no,
drap à matelot,6i,,,[Bas ; de chamois] [Bas ; de Chamois] [Bas de chamoir] [bas de chamois] [Bas de chamois],no,
drap à nègre,6i,,,[Bas ; de castor] [bas de castor] [Bas de castor],no,
drap à sucre,6i,,,[Bas ; de bourre ; de soye] [Bas ; de bourre de soye] [Bonneterie ; bas ; de boure ; de soie] [Bonneterie ; de bourre ; de soye ; bas] [Bonnetterie ; de bourre ; de soye ; bas] [Bonnetterie de bourre de soye bas],no,
drap anglais,6i,,,[Bas d'Estame fin] [Bas d'estame fins],no,
drap au sixième de soie,6f,,,"[Bas , d'estame] [Bas ; d'estame] [Bas ; d'Estame] [Bas ; d'estames] [Bas ; Destames] [Bas d'estame] [Bas d'Estame] [Bas d'estames] [bas destame] [Bas destame] [Bas estames] [Bas; d'estames]",no,
drap blanc,6i,,,[Bas communs],no,
drap blanc d'Espagne,6i,,,[Bas de soye a crin dor],no,
drap blanc de Bremer,6i,,,[Bas] [Bas ; assortis] [Bas divers],no,
drap blanc de douzaine,6i,,,[Baromètre] [Baromètres et lunettes] [Baromettre],no,
drap blanc de douzaine aune,6i,,,[Banquette] [banquettes] [Banquettes],no,
drap blanc de Hollande,6i,,,[Bannettes de cuir],no,
drap blanc du Nord,6i,,,[Bannettes ; d'osier],no,
drap blanc et écarlate,6i,,,[Toiles ; Des Indes ; Bandanas],no,
drap blanc fin,6i,,,[Bancs ; de sapin],no,
drap blanc par aune,6i,,,[Banc ; a couper ; la paille],no,
drap bleu,6i,,,[Balles de fer uni],no,
drap brodé au ciseau en soie,6f,,,"[canon et balles de fer, en livres] [canon et balles de fer. en livres]",no,
drap brodé en or et argent,6i,,,[balles à jouer] [Balles à jouer],no,
drap brodé en soie,6f,,,[Balance et romaine],no,
drap buras,6i,,,[fer de balances ou fleaux],no,
drap bure,6i,,,[Balance et ses poids],no,
drap cad ???,6i,,,[Quincaillerie en balance et romaine],no,
drap callemande,6e,,,[Balances ; de cuivre] [Balence de cuivre] [Cuivre ; en balance] [Cuivre ; en balances],no,
drap commun,6i,,,[Balance de Bois],no,
drap cordeillat,6e,,,[Balance à la romaine],no,
drap cosinis,6i,,,[Balance] [balances] [Balances],no,
drap crêpe,6i,,,[petits balais],no,
drap crêpe de Reims,6i,,,[balais ou ramons],no,
drap d'Abbeville,6i,,,[Balais ; fins],no,
drap d'Amboise,6i,,,[Balais ; du roi],no,
drap d'Amiens,6i,,,[Ballais de Toile],no,
drap d'Andelis,6i,,,[Balai de Soye de porc] [balais de soye de porc] [Balais de soye de Porc] [Balais de Soye de porc] [balays de Soye de porc] [bataris de Soye de porc] [Balais de Soye en porc],no,
drap d'Andelys,6i,,,[Balai ; de soye] [Balais ; de soye] [Balais de Soye] [Ballais de Soye],no,
drap d'Angleterre,6i,,,[Balai ; de ris] [Balais ; de ris] [Balais de riz] [Balais; De ris],no,
drap d'Angleterre aune,6i,,,[Balais de poil],no,
drap d'Angleterre et draps d'Espagne et draps de Hollande,6i,,,[Balais : de plume],no,
drap d'argent et d'or et de soie,6f,,,[Balai ; de palmes] [Balais ; de palme] [Balais ; de palmes] [balais de palme] [Balais de palme] [Balais de Palme] [balais de palmes] [Balais de palmes] [Balais de Palmes] [balaïs de palmes] [Balais; De palme] [Balais; de palmes] [Balays de palme] [balets de palmes] [Ballais de palmes],no,
drap d'Arnetal,6i,,,[Balais ; de paille de ris] [Balais de paille de ris],no,
drap d'aucrin,6i,,,[balais de paille],no,
drap d'Aumale,6i,,,[Balais ; de laine ; à laver les planchéts],no,
drap d'Elbeuf,6i,,,[balais de joncs petits],no,
drap d'Elbeuf de retour,6i,,,[Balai ; de jongs] [Balais ; de jonc] [Balais ; de Jong] [Balais ; de jonga] [Balais ; de jongs] [Balais : de Iongs] [Balais de jonc] [Balais de joncs] [Balais de jong] [Balais de Jong] [Balais de Jong s] [Balais de jongs] [Balais; de jongs] [Balays de jonc],no,
drap d'Elbeuf de velours,6i,,,[Balai de foyer],no,
drap d'Espagne,6i,,,[Balai de Crin] [Balais ; de crin] [Balais de crin] [Ballais de crin],no,
drap d'Espagne aune,6i,,,[Balais ; de chanvre],no,
drap d'Espagne teint,6i,,,[Balai ; de bruyère] [Balais ; de brayere] [Balais ; de bruyere] [Balais ; de bruyère] [Balais ; de bruyeres] [Balais de bruyere],no,
drap d'estames,6e,,,[Ballais de brandes],no,
drap d'or et d'argent fin,6i,,,[Balai ; de bois] [Balais ; de bois] [Balais; de bois],no,
drap Damas,6f,,,[Balais ; coupée],no,
drap dauphine,6e,,,[balais] [Balais] [Balais ; divers] [Balais divers],no,
drap de ?,6i,,,[Baignoires de taules],no,
drap de Beauvais,6e,,,[Baignoires de sapin],no,
drap de Bergopzoom,6i,,,[Beignoires de cuivre] [Cuivre ouvré en baignoire],no,
drap de billard,6i,,,[Bois d'acajou; baignoire],no,
drap de Bolbec,6i,,,[Baignoires] [Beignoire],no,
drap de Bourbon,6i,,,[Bahu] [Bahû] [bahus] [Bahus] [Bahut] [Bahuts],no,
drap de bourbon peint,6i,,,[Baguettes ; à fusils] [Baguettes a fusil] [Baguettes a fusils] [Bagueres ; de fusils] [baguetes de fusils] [Baguettes ; de fusil] [Baguettes ; de fusils] [baguettes de fusil] [Baguettes de fusil] [Baguettes de fusils] [baguettes de fuzil] [baguettes de fuzils] [Baguettes de fuzils],no,
drap de Carcassonne,6i,,,[Bagues ; de verre] [Baques ; de verre],no,
drap de Carcassonne et écarlate,6i,,,[Bagues ; de leton],no,
drap de castor,6e,,,[Bagues ; d'or],no,
drap de castor par aune,6e,,,[Argenterie ; bagues],no,
drap de cérémonie,6i,,,[Bagues ; à pierres ; fausses],no,
drap de Champagne,6i,,,[Bagues] [Baigues],no,
drap de Cherbourg,6i,,,[Babouches ; de maroquin],no,
drap de Cobras gros,6i,,,[Babouchar] [babouche] [babouches] [Babouches] [Babus],no,
drap de Colmar,6i,,,[Aube],no,
drap de cordeillat,6e,,,[Artilleries],no,
drap de coton,6g,,,[artifice fusées etc],no,
drap de coton et de fil,6i,,,[Artiffice] [Artifice],no,
drap de coton et étoffe de coton,6g,,,[Arquebuse],no,
drap de coton et teint,6g,,,[Armure ; vieilles],no,
drap de coton et velours de coton,6g,,,[Fer ; en armures],no,
drap de coton imprimé,6g,,,[Armoire de Sapin],no,
drap de dauphine,6e,,,[Armoires de bois de noyer] [Armoire de noyer] [Armoires ; de noyer],no,
drap de douzaine,6i,,,[Armoire ; de chêne ; ornée],no,
drap de douzaine et teint,6i,,,[Armoire ; de chesne] [Armoires ; de chesne] [Armoires de chesne],no,
drap de douzaine teint aune,6i,,,[Armoires de bois des Isles],no,
drap de droguet,6e,,,[Armoires d'acajou] [Armoires de bois d'acajou],no,
drap de Falaise,6i,,,[Armoire ; ayant servi],no,
drap de fil vieux,6i,,,[Armoir] [Armoire] [Armoires],no,
drap de France,6i,,,[armes remontrances],no,
drap de Glasier,6i,,,[Armes ; blanches ; lames],no,
drap de Glaster,6i,,,[Armes diverses et munitions de guerre],no,
drap de glaster,6i,,,"[Armes et artillerie ; artillerie ; en canons, pierriers, espingoles et mortiers]",no,
drap de glastes,6i,,,[Armes de guerre],no,
drap de Glates,6i,,,[Armes ; autres ; blanches] [Armes ; blanche] [Armes ; blanches] [Armes ; Blanches] [Armes blanche] [armes blanches] [Armes blanches] [Armes; blanches] [Armes ; blanches ; diverses] [Armes blanches diverses] [Armes divers ; blanches] [Armes et artillerie ; armes ; blanches],no,
drap de Glouster,6i,,,[Armes à feu et Artillerie],no,
drap de Hollande,6i,,,[Armes à feu de munition fine],no,
drap de Hollande teint,6i,,,[Armes à feu de munition],no,
drap de Korook,6i,,,[Armes ; a feu] [Armes ; A feu] [Armes ; à feu] [Armes a feu] [armes à feu] [Armes à feu] [Armes à feux] [Armes; a feu] [Armes ; a feu ; diverses] [Armes ; à feu ; diverses] [Armes ; à feu; diverses] [Armes a feu ; diverses] [Armes à feu diverses] [Armes à feux ; diverses] [Armes; à feu; diverses] [Armes de feu] [Armes divers ; à feux] [Armes et artillerie ; armes ; à feu],no,
drap de la Bouille,6i,,,[Armes] [Armes ; blanches et à feu] [Armes blanches et à feau] [Armes blanches et à feu] [Armes ; diverses] [Armes diverses] [armes non reprises] [///Industrie générale///Armes] [///Objets manufacturés///Armes],no,
drap de laine,6e,,,[Argenterie ; vieille] [Argenterie ; vielle] [Argenterie vieille],no,
drap de laine au ??? de soie,6h,,,[Argenterie et orfévrerie en vermeil] [Argenterie et orfèvrerie en vermeil],no,
drap de laine au quart de soie,6f,,,[Argenterie et orfévrerie] [Orfeverie et argenterie],no,
drap de laine avarié,6e,,,[///Matières d'Or et d'argent///Argenterie et orfévrerie] [///Matières d'Or et d'argent///Argenteries et orfévrerie],no,
drap de laine commun,6e,,,"[Bijouterie, argenterie et orfévrerie]",no,
drap de laine cordeillat,6e,,,[Argenterie et bijouterie],no,
drap de laine d'Amiens,6e,,,[Argenterie ; épée] [Argenterie ; épés] [Argenterie; épées],no,
drap de laine d'Andelys,6i,,,[argenterie] [Argenterie] [Argentrie] [Argentries] [Argenterie ; diverse] [Argenterie ; diverses] [Argenterie; diverse] [orfeverie en argenterie] [Orfeverie en argenterie] [Orfèvrerie en argenterie],no,
drap de laine d'Elbeuf,6e,,,[Or et argent faux traits],no,
drap de laine de Beauvais,6e,,,[Or ; et argent ; faux] [Or ; et argt ; faux] [Or ; et argt. Faux] [Or et argent ; faulx] [Or et argent ; faux] [Or et argent faux] [Or et Argent faux] [Or et argt ; faux] [Or et argents faux],no,
drap de laine de cordeillat,6e,,,"[Argent ; faux] [Argent faux] [Argent; faux] [argent faux en fil, cantilles, etc.] [argent faux en fil. cantilles. etc.]",no,
drap de laine de Cours,6e,,,[archets de violons],no,
drap de laine de Lille,6e,,,[arbalettes],no,
drap de laine de Louviers,6e,,,[Anatomie],no,
drap de laine de Nanrabais,6e,,,[Alphabets],no,
drap de laine de Saint-Robert,6e,,,[Alfargate] [Alpargastes] [Alpargate] [Alpargates] [Alpargatte] [Alpargattes],no,
drap de laine de Sedan,6e,,,[almanacs enjolivés],no,
drap de laine de Van Robais,6e,,,[Almanacs],no,
drap de laine de Vir,6e,,,[almagro ou crayon rouge],no,
drap de laine diverse,6e,,,[Allumettes ; souffrées] [allumettes souffrées] [Allumettes souffrées] [Alumettes ; souffrées] [alumettes souffrées],no,
drap de laine draperie diverse,6i,,,[Alumettes operées et souffrées],no,
drap de laine et petits et étoffes,6e,,,[Alumettes ; epicées],no,
drap de laine fin,6e,,,[alumettes de meche souffrée],no,
drap de laine gros,6e,,,[allumettes de coton],no,
drap de laine londrin,6e,,,[Allumettes ; a vin] [Alumettes ; a vin],no,
drap de Languedoc,6i,,,[allumetes] [allumettes] [Allumettes] [Alumette] [alumettes] [Alumettes],no,
drap de Languedoc ordinaire,6i,,,[Ajustemens de soye],no,
drap de Latte,6i,,,[Ajustement ; de femme] [Ajustements ; de femme] [Ajustements de femmes],no,
drap de Lille,6i,,,[Ajustemens] [Ajustement] [Ajustements],no,
drap de Limbourg,6i,,,[Ains et lignes à pêcher] [Ains et lignes a pescher],no,
drap de Limoux,6i,,,[Ains ; a pêcher] [Ains ; à pescher] [ains a pecher] [Ains a pecher] [Ains a pêcher] [Ains à pecher] [ains à pêcher] [Ains à pêcher] [Ains a percher] [ains à pescher] [Ains à pescher],no,
drap de lin,6d,,,[Bavolets ; et egrettes],no,
drap de lin ayant servi,6d,,,[Egrettes ; de soye et argent],no,
drap de lin vieux,6d,,,[Egrette de soye],no,
drap de linge commun,6i,,,[Egrettes de fil or et argent],no,
drap de lit,6i,,,[Aigrettes] [Egrettes],no,
drap de lit ayant servi,6i,,,[agats montés],no,
drap de lit commun,6i,,,[Afust de fut a canon],no,
drap de lit neuf,6i,,,[Affuts ; de fusils],no,
drap de lit toile de lin,6d,,,[Affuts ; de canon] [affuts de canon] [Affuts de canon] [Affuts de canons],no,
drap de lit vieux,6i,,,[Vestes ; de toile grise],no,
drap de Lodève,6i,,,[Veste de droguet de soye],no,
drap de londrin,6i,,,[Vestes ; de drap ; galonnées d'argent],no,
drap de Louviers,6i,,,[Vestes ; de bazin ; brodé] [Veste ; de bazin ; brodée],no,
drap de Louviers au sixième de soie,6f,,,[Vestes ; de soie or et argent],no,
drap de Louvres,6i,,,[toilettes de lin grises],no,
drap de Maroc,6i,,,[Toilette ; de femmes] [Toilettes ; de femme] [Toilettes de femme] [Toilettes de femmes] [Toillettes ; de femme] [Toilette pour femme],no,
drap de Maroc teint de douzaine,,,,[toilettes de lin blanches],no,
drap de montagne,6i,,,[Toilette] [Toilettes],no,
drap de Montauban,6i,,,[Telescope ; en cuivre ; poli],no,
drap de Montauban petite,6i,,,[Telescope ; de bois ; uni],no,
drap de Moucu,6i,,,[Tableaux ; sur toile] [tableaux sur toile] [Tableaux sur toile],no,
drap de Nison,6i,,,[Tableaux ; de famille] [Tableaux de famille],no,
drap de Normandie,6i,,,[tabatieres emaillée],no,
drap de pagnon,6i,,,[Souliers pour Hommes et pour Femmes],no,
drap de Panguede,6i,,,[Ouvrages en cuire ; souliers d'homme et des femmes],no,
drap de Picardie,6i,,,[Ouvrages ; de cordonnerie ; souliers ; de femme] [Ouvrages de cordonnier en souliers pour femme],no,
drap de Pie,6i,,,[Santnaires],no,
drap de Pie aune,6i,,,[Sabres de traite et autre],no,
drap de Poitou,6i,,,[Cuivre ; en robinets] [Robinets ; de cuivre],no,
drap de Reims,6i,,,[Robinets ; de bronze],no,
drap de Rome,6i,,,[Robes de toille peinte],no,
drap de Romorntin,6i,,,[quartiers de reduction],no,
drap de Rouen,6i,,,[Poignets de chemise],no,
drap de Saint-Lô,6i,,,[Poches ; de peau],no,
drap de Sedan,6i,,,[plumets pour chapeaux],no,
drap de Sedan de retour,6i,,,[plume d'autruche ouvré] [plume d'autruche ouvrée] [plume d'autruche ouvrées] [plumes d'autruche ouvrée] [plumes d'autruche ouvrées],no,
drap de Sedan de velours,6i,,,[Plume ; d'autruche ; apprêtée] [Plume ; d'autruche ; aprestée] [Plume ; d'autruche ; aprestées] [Plume d'autruche apretée] [Plume d'autruche aprêtée] [Plume d'autruche apretées] [Plume d'autruches aprestées] [Plumes ; D'autruche ; Apprêtée] [Plumes ; d'autruche ; apprêtées] [Plumes ; d'autruche ; apressées] [Plumes ; d'autruche ; aprestée] [Plumes ; d'autruche ; aprestées] [Plumes ; d'Autruche ; aprestées] [Plumes ; d'autruche ; apretées] [Plumes ; d'autruche ; aprêtées] [Plumes ; d'Autruche ; aprêtées] [Plumes ; d'autruche apressées] [Plumes ; d'autruche aprestée] [Plumes ; d'autruche aprestées] [Plumes ; d'autruches ; apprêtées] [Plumes ; D'autruches ; Apprêtées] [Plumes ; d'autruches ; appretés] [Plumes ; d'autruches ; aprestées] [Plumes ; d'autruches ; aprêtées] [plumes ; d'autruches apretées] [Plumes ; d'autruches apretées] [Plumes d'autruche a preté] [Plumes d'autruche appretées] [Plumes d'autruche apprêtées] [Plumes d'Autruche appretés] [Plumes d'autruche aprestée] [Plumes d'autruche aprestées] [Plumes d'autruche apretée] [plumes d'autruche apretées] [Plumes d'autruche apretées] [Plumes d'autruche aprêtées] [Plumes d'autruches apprestées] [Plumes d'autruches apprêtées] [Plumes d'autruches aprestées] [Plumes d'autruches apretées] [Plumes d'autruches aprêtées] [Plumes d'autruches aprêtés] [Plumes; d'autruche; apretees] [Plumes; D'autruches apprêtées] [Plumes; D'autruches blanches],no,
drap de Ségovie,6i,,,[Plumes ; à écrire ; apprêtées] [Plumes ; a ecrire ; aprestées] [Plumes ; a ecrire ; apretées] [Plumes ; a écrire ; aprêtées] [Plumes ; à écrire ; aprêtées] [Plumes A écrire apresté],no,
drap de Silésie,6i,,,[Plumes ; Apprêtées],no,
drap de Sir,6i,,,[plattes de cuivre gravées et cizelées],no,
drap de soie,6f,,,[pistolets non montés],no,
drap de Soudrain,6i,,,[Ouvrage pipes] [Pipe] [Pipes],no,
drap de Souvier,6i,,,[Perruque Vieille],no,
drap de Van Robais,6i,,,[Perruques de poil de chèvre],no,
drap de vere,6i,,,[Parapluies et parasols] [parapluys et parasols] [Parasols et parapluies],no,
drap de Vir,6i,,,[Parapluie de toile] [parapluies de toile],no,
drap demi fin de laine,6e,,,[parapluies de taffetas],no,
drap des prise,6i,,,[parapluies communs],no,
drap des prises,6i,,,[Parapluie] [parapluies] [Parapluies] [parapluis] [Parapluis] [parapluye] [Parapluye] [parapluyes] [Parapluyes] [Parapuyes] [Parrapluie] [Parrapluye],no,
drap dit packlaeken,6i,,,"[Ouvrage en plaqué, cuivre doré, argenté] [Ouvrages en plaqué, cuivre doré, argenté]",no,
drap dit packlaeken aune,6i,,,[Ouvrages ; souliers ; couverts ; en étoffes ; de soye ; pour femmes],no,
drap dit packlaeken blanc,6i,,,[Ouvrages ; De plumes],no,
drap dit packlaeken teint,6i,,,[Ouvrages ; pantoufles],no,
drap dit plawens,6i,,,[Ouvrage d'ozier en panier],no,
drap dit plawens ou codde,6i,,,[Ouvrages ; d'ozier ; en corbeilles],no,
drap dit plawens ou codde aune,6i,,,[Ornements de table],no,
drap divers ???,6i,,,[///Matière d'Or et d'argent///Orfévrerie] [///Matieres d'Or et d'argent///Orfévrerie] [///Matières d'or et d'argent///Orfévrerie],no,
drap drache,6i,,,[Optiques],no,
drap drapée,6i,,,[Obusiers ; de fonte],no,
drap draperie ???,6i,,,[Nerfs de beuf] [nerfs de bœufs],no,
drap du Berry,6i,,,[Navettes ; d'ecaille],no,
drap du Dauphiné,6i,,,"[Munitions de guerre, projectiles]",no,
drap du Languedoc,6i,,,[Mouchoirs fil et lin],no,
drap du Languedoc de velours,6i,,,[Mouchoirs ; de paliacatte] [mouchoirs paliacate] [Mouchoirs de paliacate] [Mouchoirs de Paliacate],no,
drap du Maroc aune,6i,,,[Mouchoirs fil de lin imprimé],no,
drap du Nord,6i,,,[Mitons ; de soye],no,
drap du Nord teint,6i,,,[Meubles et effets],no,
drap du Poitou,6i,,,[Mercerie ; en peignes ; de corne],no,
drap du sceau,6i,,,"[Mercerie ; en peignes ; de cpr,es]",no,
drap écarlate,6i,,,[Mercerie ; en lignets et ameçons],no,
drap écarlate et du Languedoc,6i,,,[Merceries ; peignes ; de bois],no,
drap et draperie,6i,,,[matelats de crin et de noppes],no,
drap et draperie casinier,6i,,,[marbre à table] [marbre en table] [Marbre en table] [marbre en tables] [Marbre en tables],no,
drap et draperie de laine,6e,,,[manchettes et mouchoirs de mousseline],no,
drap et étoffe,6i,,,[manchettes et mouchoirs brodées],no,
drap et étoffe de laine,6e,,,[Manchette ; de dentelle] [Manchettes ; de dentelle] [Manchettes ; de dentelles] [manchettes et dentelles],no,
drap et tricots,6i,,,[Manchettes brodée] [Manchetes brodées] [Manchette brodées] [Manchettes ; brodée] [Manchettes ; brodées] [manchettes brodées] [Manchettes brodées] [Manchettes brodés],no,
drap étranger,6i,,,[Manchelles] [manchettes] [Manchettes],no,
drap fin,6i,,,[Malles ; vides],no,
drap fin blanc,6i,,,[Malles],no,
drap fin divers dit londrin du Languedoc de Carcassonne et Lodève,,,,[Lunette] [Lunette a longue vuë] [Lunettes],no,
drap fin du Languedoc,6i,,,[Linge ; de Toille ; d'Estoupes],no,
drap fin et draperie,6i,,,[Lingerie de toile gingas de lin],no,
drap fin ordinaire et petite,6i,,,[Lingerie ; diverse ; pour nègres],no,
drap fins de laine,,,,[Lignes percher] [Ligne à pescher] [Lignes ; à pecher] [Lignes ; à pêcher] [Lignes ; à percher] [lignes ; à pescher] [Lignes ; à pescher] [Lignes a pecher] [Lignes a pécher] [Lignes a pêcher] [Lignes à pecher] [Lignes à pêcher] [Lignes a pescher] [lignes à pescher] [Lignes à pescher] [Lignes à Pescher] [Lignes ; à pêche] [Lignes à pêche] [Lignes à peches],no,
drap frac,6i,,,[Horloge ; Timbres],no,
drap gaufré,6i,,,[Horloge ; reveils] [Horlogerie ; reveils],no,
drap gros,6i,,,[Horloge ; ressorte ; de pendules] [Horlogerie ; ressorts de pendulle] [Horlogeries ; ressors de pendules],no,
drap gros de laine,6e,,,"[Horloge ; ressorte ; de montre] [Horlogerie ; ressorts , de montres]",no,
drap grossier,6i,,,[horloge ; neuf],no,
drap iada,6i,,,[Horloge ; montres ; maillées],no,
drap imprimé,6i,,,[Horlogerie ; montres ; de métal],no,
drap kalmouk,6i,,,[Horloge ; montres ; de cuivre] [Horlogerie ; montres ; de cuivre] [Horlogeries ; montres ; de cuivre],no,
drap layette,6i,,,[Horloge ; montres ; d'or] [Horlogerie ; montres ; d'or] [Horlogeries ; montres ; d'or],no,
drap londrin,6e,,,"[Horloge ; montres ; d'argent] [Horlogerie ; en montres ; d'argent] [Horlogerie ; montres , d'argent] [Horlogerie ; montres ; d'argent] [Horlogerie ; montres ; d'argt] [Horlogeries ; montres ; d'argent]",no,
drap londrin petit,6e,,,[Horlogerie ; clefs de montres],no,
drap matine petit,6i,,,[Horloge ; Chaines ; de cuivre],no,
drap molleton,6i,,,[Horloge ; Chaines ; d'or] [Horlogerie ; chaîne d'or] [Horlogeries ; chaines d'or],no,
