simplification,medicinal,note
garras,,
garancine ; sans racine,,
garancine,,
drogue ; pour la peinture et la teinture ; garance ; préparée,,
drogue ; pour la peinture et la teinture ; garance ; racine de alizari,,
drogue ; pour la peinture et la teinture ; garance ; non robée,,
drogue ; pour la peinture et la teinture ; garance ; grappe,,
drogue ; pour la peinture et la teinture ; garance ; diverse,,
drogue ; pour la peinture et la teinture ; garance ; commune,,
garance ; blanc,garance ; blanc,
drogue ; pour la peinture et la teinture ; garance ; billon,,
garance,garance,
garage,,
ganvette ; à faire des ancre,,
gant et pantoufle ; de laine,,
gant et pantoufle ; de coton,,
gant et mitaine ; de soie,,
gant et mitaine ; de filoselle,,
gant ; à petit ruban,,
gant ; à large ruban,,
gant ; liseré ; de soie,,
gant ; liseré,,
gant ; garni de ruban,,
gant ; divers,,
gant ; de velours,,
gant ; de soie,,
gant ; de senteur,,
gant ; de peau et autre,,
gant ; de peau de cabri,,
gant ; de peau ; fin,,
gant ; de peau,,
gant ; de laine,,
gant ; de franchipane,,
gant ; de fleuret,,
gant ; de filoselle,,
gant ; de fil et coton,,
gant ; de fil,,
gant ; de fer,,
gant ; de daim,,
gant ; de cuir,,
gant ; de coton,,
gant ; de chamois,,
gant ; de castor,,
gant ; de Russie,,
gant ; de Grenoble,,
gant,,
ganse ; de laine,,
ganse ; de fleuret,,
ganse ; d'or,,
ganse ; commune,,
ganse,,
ganielle de bois,,
ganepot,,
galte,,
galou ; pilé,,
galot ; de cuivre,,
galop,,
galon ; à peu de soie,,
galon ; soie et fil,,
galon ; pilé,,
galon ; fin,,
galon ; en ruban de laine,,
galon ; en ruban de fil,,
galon ; or et argent ; de fil,,
galon ; dorure ; d'argent,,
galon ; divers,,
galon ; de soie et fil,,
galon ; de soie,,
galon ; de livrée ; du roi,,
galon ; de livrée,,
galon ; de laine,,
galon ; de fleuret,,
galon ; de filoselle,,
galon ; de fil,,
galon ; or et argent ; fin,,
galon ; or et argent,,
galon ; d'or ; fin,,
galon ; d'or ; faux,,
galon ; d'or,,
galon ; d'argent ; faux,,
galon ; d'argent,,
galon ; brûlé,,
galon ; au quart de soie,,
galon,,
galoche,,
galle,,
galipot,,
galin,,
galette et gaufrette,,
galette ; rouge,,
galette ; de porcelaine,,
galette ; de genièvre,,
galet,,
galbanum,galbanum,
galanterie,,
galanga,galanga,
graine ; jaune,,
gaine ; de couteau ; de papier,,
gaine ; de couteau,,
fût ; en bois,,
féverole,,
fève ; en gerbe,,
fève ; plate,,
fève ; séchée,,
fève,,
futaine ; peinte,,
futaine et dimit,,
futaine ; de Tournai,,
futaine ; blanche,,
futaine,,
futaillerie des flandres,,
futaillerie ; grossiere,,
futaillerie de St Claude,,
futaillerie,,
futaille ; vieille,,
futaille ; vide,,
futaille ; petite ; de bière,,
futaille ; en petit baril,,
futaille ; de bois,,
futaille,,
fustet,,
fustage,,
arme ; à feu ; fusil et carabine,,
arme ; à feu ; fusil ; neuf,,
arme ; à feu ; fusil ; démonté,,
fusil ; de traite,,
fuseau,,
furet,,
fumier ; de pigeon et autre,,
fumier ; commun,,
fumier,,
"fruit vert, en orange et citron ; fruit sec, en amande, figue et raisin",,
fruit et légume ; confit ; mariné,,
fruit et légume ; confit ; en vinaigre,,
fruit ; à l'eau de vie,,
fruit ; cru ; raisin ; muscat,,
fruit ; vert ; orange et citron,,
fruit ; cru ; orange ; citron,,
fruit ; cru ; figue,,
fruit ; vert,,
fruit ; sec ; raisin ; en grappe,,
fruit ; sec ; raisin ; de Corinthe,,
fruit ; sec ; raisin ; d'époque,,
fruit ; sec ; raisin ; d'Espagne,,
fruit ; sec ; raisin,,
fruit ; sec ; pruneau,,
fruit ; sec ; prune et pruneau,,
fruit ; sec ; pistache,,
fruit ; sec ; orange,,
fruit ; sec ; noix et noisette,,
fruit ; sec ; noix,,
fruit ; sec ; figue,,
fruit ; sec ; divers,,
fruit ; sec ; datte,,
fruit ; sec ; châtaigne,,
fruit ; sec ; avelines et noisette,,
"fruit sec ; amande, figue et raisin",,
fruit ; sec ; amande et raisin,,
fruit ; sec ; amande,,
fruit ; sec,,
fruit ; salé et au vinaigre ; olive,,
fruit ; salé ; olive,,
fruit ; salé ; mariné,,
fruit ; rude,,
fruit ; raisin ; de Corinthe,,
fruit ; raisin,,
fruit ; pruneau,,
fruit ; prune et pruneau,,
fruit ; prune ; sèche,,
fruit ; pomme et noix,,
fruit ; pistache,,
fruit ; orange,,
fruit ; noisette,,
fruit ; mêlé,,
fruit ; moulu ; divers,,
fruit ; grenade,,
fruit ; frais ; raisin,,
fruit ; frais ; orange ; citron,,
fruit ; frais ; olive,,
fruit ; frais ; divers,,
fruit ; frais ; amande,,
fruit ; frais,,
fruit ; figue,,
fruit ; en somme,,
fruit ; en figue,,
fruit ; en confiture,,
fruit ; dur mêlé,,
fruit ; divers ; citron ; orange,,
"fruit ; divers ; amande, pelure, raisin, prune",,
fruit ; de Corinthe,,
fruit ; cuit,,
fruit ; cru ; vendange,,
fruit ; cru ; raisin,,
fruit ; cru ; prune de ...,,
fruit ; cru ; pomme et poire,,
fruit ; cru ; pomme,,
fruit ; cru ; orange,,
fruit ; cru ; marron,,
fruit ; cru ; divers,,
fruit ; cru ; citron et orange,,
fruit ; cru ; citron,,
fruit ; cru ; châtaigne et marron,,
fruit ; cru ; cedras,,
fruit ; cru ; bigarade,,
fruit ; cru ; bergamote,,
fruit ; confit ; à l'eau de vie et au sucre,,
fruit ; confit ; à l'eau de vie,,
fruit ; confit ; olive,,
fruit ; confit ; en vinaigre,,
fruit ; confit ; en confiture,,
fruit ; confit ; divers,,
fruit ; confit ; confiture et au sucre,,
fruit ; confit ; confiture,,
fruit ; confit ; au sucre,,
fruit ; confit,,
fruit ; citron,,
"fruit ; châtaigne, marron, noix",,
fruit ; châtaigne,,
fruit ; au vinaigre ; divers,,
fruit ; au vinaigre ; cornichon,,
fruit ; au vinaigre,,
fruit ; amande,,
fruit,,
grain ; froment ; en gerbe,,
fromage et souffre,,
fromage et plomb,,
fromage ; en jambon,,
fromage ; du pays,,
fromage ; de lait doux,,
fromage ; de chèvre,,
fromage ; de Suisse,,
fromage ; de Sassenage,,
fromage ; de Sardaigne,,
fromage ; de Roquefort,,
fromage ; de Parmesan,,
fromage ; de Parme,,
fromage ; de Normandie,,
fromage ; de Milan,,
fromage ; de Marottes,,
fromage ; de Karolles,,
fromage ; de Hollande et doux,,
fromage ; de Hollande,,
fromage ; de Gruyère,,
fromage ; de Comté,,
fromage ; de Chester,,
fromage ; de Brie,,
fromage ; d'Auvergne,,
fromage ; d'Angleterre,,
fromage ; cru,,
fromage ; commun,,
fromage,,
froc de laine,,
froc de Bolbec,,
frise ; étoffe,,
frise ; à la Gode,,
frise ; sèche,,
frise,,
frisade ; teinte,,
frisade et bergopzoom,,
frisade ; blanche,,
frisade,,
friperie,,
frions,,
frange ; or et argent ; faux,,
frange ; or et argent,,
frange ; or,,
frange ; de soie,,
frange ; or ; faux,,
fraisset ; de vermillon,,
fourré,,
fourrure et grande peau,,
fourrure ; morceau,,
fourrure ; de soie,,
fourrure ; de phoque,,
fourrure ; de petit gris,,
fourrure ; de martre,,
fourrure ; de léopard,,
fourrure ; de lynx,,
fourrure ; de lapin,,
fourrure ; de chèvre,,
fourrure ; de chevreuil,,
fourrure ; de chaton,,
fourrure ; de chat,,
fourrure ; de Russie,,
fourrure ; d'agneau,,
fourrure,,
foureau ; de bajonette,,
foureau ; d'épée et de sabre,,
foureau ; d'épée de toute espece,,
fourreau ; d'épée,,
fourrage et patûrage,,
fourrage ; vesse,,
fourrage ; son,,
"fourrage ; paille, son, foin",,
fourrage ; paille,,
fourrage ; herbe et trèfle,,
fourrage ; gland de chêne,,
fourrage ; foin,,
fourrage ; divers,,
fourrage,,
fourniment,,
fourneau ; de terre,,
fourneau ; de fer,,
fourneau ; de brique,,
fourchette,,
four,,
foulerie,,
foulas,,
foulard ; pour femme en tissu très fin,,
foulard ; en soie,,
foulard,,
fouet,,
fotas,,
fotail,,
fort ; en diable,,
forme ; à sucre,,
forme ; à soulier,,
forme ; à cordonnier,,
forme ; de chapeau,,
force ; à tondre,,
force ; à drapier,,
fonte ; de pistolet,,
fonte,,
fontaine de fer blanc ; avec lève cuvette,,
fontaine de fer blanc,,
fond à meule ; blanc,,
fond ; de bateau/navire ?,,
fond ; de bassin,,
fond ; ?,,
folium ; geriofilalum,,
folium,,
foin,,
flûte ; douce,,
flûte,,
poisson ; flétan ; salé,,
poisson ; flétan,,
fléau ; de fer,,
flèche ; marine,,
flèche,,
flotteur ; en écorce,,
fleuret et lame de fleuret,,
fleuret,,
fleur de muscade,fleur de muscade,
fleur ; de violette,fleur ; de violette,
fleur ; de souffre,fleur ; de souffre,
fleur ; de rose,fleur ; de rose,
fleur ; de romarin,,
fleur ; de poix,,
fleur ; de pin,,
épicerie ; muscade ; fleur,épicerie ; muscade ; fleur,
moutarde ; fleur,,
fleur ; de lavande,fleur ; de lavande,
fleur ; de jasmin,,
fleur ; de jardin,,
fleur ; de dictame,fleur ; de dictame,
fleur ; de cannelle,,
fleur ; de bouquet,,
fleur ; de Chine,fleur ; de Chine,
fleur ; d'oranger et de lavande,fleur ; d'oranger et de lavande,
fleur ; d'oranger,fleur ; d'oranger,
fleur ; d'orange,,
fleur ; d'estima,,
fleur ; d'esquinante,fleur ; d'esquinante,
fleur ; d'avoine,,
fleur ; d'aspic,fleur ; d'aspic,
fleur ; artificielle,,
fleur ; aromatique,,
fleur,,
poisson ; flet et carrelet,,
flanelle et Bergopzoom,,
étoffe ; de laine ; flanelle ; rayée,,
étoffe ; de laine ; flanelle ; peint,,
étoffe ; de laine ; flanelle ; blanche,,
étoffe ; de laine ; flanelle,,
flambeau ; d'harpoise,,
flambeau ; argenté,,
flambeau,,
flacon ; vide,,
flacon de verre,,
flacon ; de crème,,
flacon,,
fiole pour apothicaire,,
finette,,
fine et biscuit,,
"filoselle, fleuret et bourre de soie",,
filoselle et bourre de soie,,
filoselle,,
filoers ou safran sauvage,,
filin,,
filet ; à sennes,,
filet ; à sardine,,
filet ; pour la pêche,,
filet ; de verre,,
filet ; de patine,,
filet ; de palme,,
filet ; de lin tord cru et simple cru,,
filet ; de lin cru pour toile,,
filet ; de lin cru pour dentelle,,
filet ; de lin cru haut prix,,
filet ; de lin cru de bas prix,,
filet ; de lin cru de 10 à 12 florins la livre,,
filet ; de lin blanc pour dentelle,,
filet ; de lin blanc et cru pour dentelle,,
filet ; de lin blanc de 5 à 8 florins la livre,,
filet ; de lin blanc de 10 à 12 florins la livre,,
filet ; de lin blanc ; non tordu,,
filet ; de laine pour tenture,,
filet ; de laine ou sayette teinte,,
filet ; de laine ou sayette blanche,,
filet ; de filoselle,,
filet ; de Turquie teint,,
filet ; de Turquie cru,,
filet ; de Turquie blanc,,
filet ; d'auf,,
filet ; cru pour toile,,
filet ; blanc haut prix,,
filet ; blanc bas prix,,
filet,,
filasse,,
filage,,
fil ; écru,,
fil ; à voile,,
fil ; à tricoter,,
fil ; à toile,,
fil ; à tisserand ; divers,,
fil ; à tisserand ; de chenette,,
fil ; à senne,,
fil ; à rez,,
fil ; à papillon,,
fil ; à marquer,,
fil ; à ligne,,
fil ; à forme,,
fil ; à fondre,,
fil ; à folle,,
fil ; à faire toile cru,,
fil ; à esturgeon,,
fil ; à dentelle ; sain,,
fil ; à dentelle ; moyen,,
fil ; à dentelle ; mi fin,,
fil ; à dentelle ; fin,,
fil ; à dentelle ; cru,,
fil ; à dentelle ; commun,,
fil ; à dentelle ; blanc,,
fil ; à dentelle,,
fil ; à coudre ; à voile,,
fil ; à coudre ; moyen,,
fil ; à coudre ; en poignée,,
fil ; à coudre ; en masse,,
fil ; à coudre ; du fin,,
fil ; à coudre ; divers,,
fil ; à coudre ; de ritte,,
fil ; à coudre ; de ménage,,
fil ; à coudre ; de couteau,,
fil ; à coudre ; de couleur,,
fil ; à coudre ; de chanvre,,
fil ; à coudre ; de Rennes,,
fil ; à coudre ; de Piedmont,,
fil ; à coudre ; de Bretagne,,
fil ; à coudre ; commun,,
fil ; blanc ; à coudre,,
fil ; à coudre,,
fil ; à cordonnier,,
fil ; à broder,,
fil ; à brocher,,
fil ; à Sennes,,
fil ; tord,,
fil ; teint,,
fil ; single,,
fil ; retord,,
fil ; pour dentelle ?,,
fil ; plat,,
fil ; or et argent ; fin,,
fil ; or et argent,,
fil ; non retord,,
fil ; long,,
fil ; gros,,
fil ; gris single,,
fil ; gris ; simple,,
fil ; gris,,
fil ; fin,,
fil ; everda,,
fil ; en poignée,,
fil ; en masse,,
fil ; en gueule,,
fil ; double,,
fil ; dorure ; or et argent ; fin,,
fil ; dorure ; or et argent faux,,
fil ; dorure ; or et argent,,
fil ; dorure ; d'or et d'argent ; faux,,
fil ; dorure ; d'or ; fin,,
fil ; dorure ; d'or,,
fil ; dorure ; d'argent,,
fil ; divers de lin et de chanvre,,
fil ; divers,,
fil ; de ville,,
fil ; de soie,,
fil ; de ritte,,
fil ; de poil ; de chèvre,,
fil ; de palangre,,
fil ; de ménage,,
fil ; de loupe,,
fil ; de lin teint,,
fil ; de lin et de chanvre,,
fil ; de lin ; écru ; audelis,,
fil ; de lin ; écru,,
fil ; de lin ; à coudre,,
fil ; de lin ; teint ; à coudre,,
fil ; de lin ; teint ; retord,,
fil ; de lin ; simple ; commun,,
fil ; de lin ; simple,,
fil ; de lin ; retord,,
fil ; de lin ; non retord,,
fil ; de lin ; gris ; simple,,
fil ; de lin ; gris ; retord,,
fil ; de lin ; fin ; retord,,
fil ; de lin ; divers,,
fil ; de lin ; de couleur,,
fil ; de lin ; crû ; simple,,
fil ; de lin ; crû,,
fil ; de lin ; blanc ; simple,,
fil ; de lin ; blanc ; retord,,
fil ; de lin ; blanc,,
fil ; de lin ; bis ; simple,,
fil ; de lin ; bis ; retord,,
fil ; de lin ; bis ; blanc,,
fil ; de lin ; bis,,
fil ; de lin,,
fil ; de laiton ; argenté,,
fil ; de laiton,,
fil ; de laine ; à coudre,,
fil ; de laine ; teint,,
fil ; de laine ; blanc,,
fil ; de laine,,
fil ; de fleuret,,
fil ; de fer ; à carde,,
quincaillerie ; de fer ; fil,,
fil ; de cuivre,,
fil ; de crin,,
fil ; de couleur,,
fil ; de coton ; teint,,
fil ; de coton ; blanc,,
fil ; de coton,,
fil ; de corailleur,,
fil ; de chèvre,,
fil ; de chevrette,,
fil ; de chenette,,
fil ; de charrette,,
fil ; de chanvre,,
fil ; de caret,,
fil ; de Turquie,,
fil ; de Silésie,,
fil ; de Rennes,,
fil ; de Piémont,,
fil ; de Niort,,
fil ; de mulquinerie,,
fil ; de Morlaix,,
fil ; de Flandre ; fin,,
fil ; de Bretagne,,
fil ; de Bourgogne,,
fil ; de Bieustons,,
fil ; d'étoupe,,
fil ; d'épreuve,,
fil ; d'or et d'argent,,
fil ; d'or ; fin,,
fil ; d'or ; faux,,
fil ; d'or,,
fil ; d'argent,,
fil ; d'archal,,
fil ; d'arbalète,,
fil ; d'acier,,
fil ; d'Espinay,,
fil ; cru ; à toile,,
fil ; cru ; simple,,
fil ; cru,,
fil ; cardé,,
fil ; blanc et couleur,,
fil ; à coudre ; blanc,,
fil ; blanc ; retord,,
fil ; blanc,,
fil ; auville,,
fil ; à tisserand,,
fil,,
figure ; en plâtre,,
figure ; de cire habillée,,
figure ; de bronze,,
figure,,
figue et sumac,,
figue et raisin,,
figue,,
fideau,,
fichu,,
ficelle,,
fiasque,,
feutre,,
feuille et herbe ; à teindre,,
feuille a poing,,
feuille ; de laurier,,
feuillard ; en bois,,
feuillard ; de fer,,
feuillard ; de bois,,
feuillard,,
feu ; argenté,,
fert ; ouvré,,
ferré,,
ferronnerie,,
ferrement ; à sucre,,
ferrement,,
ferrandine,,
ferraille ; vieille,,
feraille,,
ferblanterie,,
fer et canon de fer,,
fer et acier,,
fer ; écuré avec de l'acier,,
fer ; à sculpter,,
ouvrage ; de fer ; à repasser,,
ouvrage ; de fer ; à nègre,,
fer ; à moulin,,
fer ; à lame,,
fer ; à la valeur,,
fer ; à friser,,
fer ; à coiffure,,
fer ; à cheval,,
fer ; vieux,,
fer ; tôle,,
fer ; suédois,,
fer ; spatté,,
fer ; roue,,
fer ; rond,,
fer ; raille,,
fer ; quarré,,
fer ; pour foyer,,
fer ; plat,,
ouvrage ; de fer pour maréchal,,
fer ; ouvré et battu,,
fer ; ouvré en son et vesse,,
ouvrage ; de fer ; de plomb,,
ouvrage ; de fer,,
fer ; noir ; en feuille,,
fer ; noir et en tôle,,
fer ; noir ; simple,,
fer ; noir,,
fer ; neuf,,
fer ; marth,,
fer ; marchand,,
fer ; maqua,,
fer ; malléable,,
fer ; forgé,,
fer ; fondu et coulé,,
fer ; figuré,,
fer ; ferrement,,
fer ; en étrille,,
fer ; en étau,,
fer ; en écope,,
fer ; en verge et Latte,,
fer ; en verge,,
fer ; en tôle et en feuille,,
fer ; en tôle,,
fer ; en tuyau,,
fer ; en truffe,,
fer ; en taillanderie,,
fer ; en suc,,
ouvrage ; de serrurerie ; fer,,
fer ; en scie,,
fer ; en rechaux,,
fer ; en rampe,,
fer ; en poêle à frire,,
fer ; en poterie,,
fer ; en poids,,
fer ; en plature,,
fer ; en platine,,
fer ; en plate,,
fer ; en plaque,,
fer ; en plançon,,
fer ; en pivot,,
fer ; en pierrier,,
fer ; en pelle,,
fer ; en paquet,,
fer ; en palme,,
outil ; en fer,,
fer ; en mitraille,,
fer ; en mine,,
fer ; en metume,,
fer ; en masse,,
fer ; en marmite,,
fer ; en lèchefrite,,
fer ; en limaille,,
fer ; en lame,,
fer ; en gueuse,,
fer ; en grillon,,
fer ; en grille,,
fer ; en grillage,,
fer ; en grenaille,,
fer ; en gratte,,
fer ; en grappin,,
fer ; en fléau,,
fer ; en figure,,
"fer ; en feuille, feuillard et tôle",,
fer ; en feuille double,,
fer ; en feuille,,
fer ; en feuillard et en cercle,,
fer ; en feuillard,,
ferraille,,
fer ; en fafion,,
fer ; en essieu,,
ouvrage ; de fer ; enclume et étau,,
fer ; en culture,,
fer ; en crapaudine,,
fer ; en couvercle,,
fer ; en compas,,
fer ; en coffre,,
fer ; en clou,,
fer ; en cloche,,
fer ; en cierge,,
fer ; en chou,,
fer ; en chaudronnerie,,
fer ; en chaudière,,
fer ; en charrue,,
fer ; en chape,,
fer ; en cercle,,
fer ; en caverge,,
fer ; en casse,,
ouvrage ; de fer ; carillon,,
fer ; en brancard,,
fer ; en boue,,
fer ; en botte,,
fer ; en bombe,,
fer ; en boite,,
fer ; en bocage,,
fer ; en batterie,,
fer ; en bassin,,
fer ; en barre et verge,,
fer ; en bande,,
fer ; en ballon,,
fer ; en balance,,
fer ; en Guéné,,
fer ; en ?,,
fer ; de tête,,
fer ; de traite,,
fer ; de lin Cierge,,
fer ; de fonte ; ouvré,,
fer ; de fonte,,
fer ; de charrue,,
fer ; courbe,,
fer ; caverge,,
fer ; blanc ; vieux,,
fer ; blanc simple,,
ouvrage ; de fer ; blanc,,
fer ; blanc en tôle,,
fer ; blanc ; en feuille,,
fer ; blanc ; en barre,,
fer ; blanc,,
fer ; battu et fondu,,
poêle ; de fer,,
fer ; battu,,
fer ; argenté,,
fer ; Dhipsium,,
fer,,
fenugrec,fenugrec,
fenouil,,
"faïence, poterie et verrerie",,
"faïence, poterie ; de grès et de terre",,
faïence et poterie,,
faïence ; en carreau,,
faïence ; diverse,,
faïence ; de Rouen,,
faïence ; commune,,
faïence,,
fayotte,,
favelotte ; en gerbe,,
favelotte,,
faux et faucille,,
faux ; à faucher,,
faux,,
fauteuil de tapisserie,,
faute,,
fautas,,
faucon,,
faucille,,
fataille vidée,,
fasoche,,
fascine ; de bois,,
"farine, pâte et vermicelle",,
"farine, gruau, biscuit et pâte",,
"farine, gruau et pâte",,
"farine, gruau et biscuit",,
"farine, biscuit de mer et pâte d'Italie",,
"farine, biscuit et pâte",,
farine et pâte ; d'Italie,,
farine et biscuit de mer,,
farine ; ordinaire,,
farine ; en tonneau,,
farine ; en sac,,
farine ; en fleure,,
farine ; en déchet,,
farine ; diverse,,
farine ; en gruau,,
farine ; de grain ; seigle,,
farine ; de grain ; sarrasin,,
farine ; de grain ; froment ; fleur,,
farine ; de grain ; froment,,
farine ; de fleur,,
farine ; de bouquette,,
farine ; de grain ; blé,,
farine et gruau ; d'orge,,
farine ; d'orge,,
farine ; d'avoine,,
farine,,
farce a drapier,,
fanon ; de baleine,,
fanon,,
fange ; de soie,,
fanal de vaisseau,,
fanal ; de verre,,
fanaile,,
faltranck suisse,,
falquiere de mulet,,
faisan,,
faille de laine,,
drogue ; médicinale ; quinquina ; extrait,drogue ; médicinale ; quinquina ; extrait,
extrait ; de lavande,extrait ; de lavande,
extrait ; de genièvre,extrait ; de genièvre,
extrait ; de citron,,
extrait ; d'odaw,,
euphorbe,euphorbe,
etoffe ; mélangée ; diverse,,
etoffe ; mélangée,,
étoffe ; de soie en dorure,,
étoffe ; de soie ; brodée,,
etoffe ; brodée et brochée,,
etoffe ; bourrée ; de soie,,
étoffe ; au 1/4 de soie,,
etendelle,,
etaya,,
etave,,
estère de jonc,,
esturgeon ; salé,,
esturgeon ; mariné,,
esturgeon ; en daube,,
estrasse ; de soie,,
estrasse ; de Savoie,,
estampe et gravure,,
estampe et carte géographique,,
estampe ; en feuille,,
estampe,,
estagnon,,
essieu ; de fer,,
essieu,,
essence ; de thym,,
essence ; de rose,,
essence ; de paruce,,
épicerie ; muscade ; essence,épicerie ; muscade ; essence,
essence ; de jasmin,,
essence ; de girofle,essence ; de girofle,
essence ; de citron,essence ; de citron,
essence ; de cendre de bois,,
essence ; de cannelle,essence ; de cannelle,
essence ; de bergamote,,
essence ; d'anis,,
essence ; au bruit ; aromatique,,
essence,,
esquine,,
esprots fumé,,
esprit ; de vitriol,esprit ; de vitriol,
esprit ; de vin,esprit ; de vin,
esprit ; de souffre,esprit ; de souffre,
esprit ; de sel,esprit ; de sel,
esprit ; de romarin,esprit ; de romarin,
esprit ; de nitre,esprit ; de nitre,
esprit ; de myrrhe,esprit ; de myrrhe,
esprit ; de lavande,esprit ; de lavande,
esprit ; de fleur d'orange,esprit ; de fleur d'orange,
esprit ; de fil,esprit ; de fil,
esprit ; de cèdre,esprit ; de cèdre,
esprit ; de coton,esprit ; de coton,
esprit ; de corne de cerf,esprit ; de corne de cerf,
esprit ; de coclearia,esprit ; de coclearia,
esprit ; de citron,esprit ; de citron,
esprit ; de bergamote,esprit ; de bergamote,
esprit ; d'absinthe,esprit ; d'absinthe,
esprit,esprit,
étoffe ; espagnolette,,
espadrille,,
espadon,,
escot ; de fer,,
escortine,,
escope,,
esco,,
esclephins ; salé,,
esclephins,,
escayolle,,
escargot,,
escarbille,,
escarasse,,
escamite,,
ergot ; de bœuf,,
equine,equine,
equeurs,,
entenolle,,
engrais ; gru,,
engrais ; divers,,
engrais,,
endive,,
encre ; à écrire et à imprimer,,
encre ; à écrire,,
encre ; rouge,,
encre ; de la chine,,
encre ; d'imprimerie,,
encre ; commune,,
encre,,
ouvrage ; de fer ; enclume,,
encens et savon,,
encens,encens,
empeigne ; peinte pour soulier,,
empeigne et talon de cuir coupé,,
empeigne ; de toille,,
empeigne ; de soulier,,
empeigne ; couppé pour empeigne ;,,
empeigne ; brodée pour soulier,,
empeigne,,
embarcation et autre objet de marine,,
embarcation ; avec agrès,,
elegias,,
elbot ; salé,,
elbot,,
efforce à tondre,,
effilé ; de soie,,
effilé ; de fil,,
effet ; à déménager,,
echaussillon,,
ecart de bœuf,,
écaille ; diverse,,
eau et huile spiritueuse,,
eau ; vulnéraire,eau ; vulnéraire,
eau ; spiritueuse,,
eau ; sans pareille,,
eau ; rose,,
eau ; remède,,
eau ; puante,,
eau ; octaze,,
eau ; ocgeniente,,
eau ; médicinale et minérale,eau ; médicinale et minérale,
eau ;médicinale ; vulnéraire,eau ;médicinale ; vulnéraire,
eau ; médicinale ; des Carmes,eau ; médicinale ; des Carmes,
eau ; médicinale ; de raisin,eau ; médicinale ; de raisin,
eau ; médicinale ; de pin,eau ; médicinale ; de pin,
eau ; médicinale ; de marquette,,
eau ; médicinale ; de genièvre,,
eau ; médicinale ; de fleur d'oranger,eau ; médicinale ; de fleur d'oranger,
eau ; médicinale ; de coclearia,eau ; médicinale ; de coclearia,
eau ; médicinale ; de cannelle,eau ; médicinale ; de cannelle,
eau ; médicinale ; de Chypre,,
eau ; médicinale ; cordiale,eau ; médicinale ; cordiale,
eau ; médicinale,,
eau ; minérale,,
eau ; gazeuse,,
eau ; forte,eau ; forte,
eau ; ferrée,,
eau ; divine,,
eau ; diverse,,
eau ; distillée,,
eau ; des caverne,,
eau ; de vie ; triple,,
eau ; de vie ; simple,,
eau ; de vie ; rectifiée,,
eau ; de vie ; et rhum et tafia,,
eau ; de vie ; et rhum,,
eau ; de vie ; et liqueur,,
eau ; de vie ; double,,
eau ; de vie ; diverse,,
eau ; de vie ; de vin,,
eau ; de vie ; de grain,,
eau ; de vie ; de genièvre,,
eau ; de vie ; de grain ; blé,,
eau ; de vie ; de Rochefort,,
eau ; de vie ; de Rez,,
eau ; de vie ; de Marennes,,
eau ; de vie ; de Cognac,,
eau ; de vie ; de Charente,,
eau ; de vie ; d'oléron,,
eau ; de vie ; d'Espagne,,
eau ; de vie ; d'Andaye,,
eau ; de vie,,
eau ; de toilette,,
eau ; de tartre,,
eau ; de senteur et quintessence,,
eau ; de senteur ; sans pareille,,
eau ; de senteur ; rose,,
eau ; de senteur ; diverse,,
eau ; de senteur ; de nard,eau ; de senteur ; de nard,
eau ; de senteur ; de lavande,,
eau ; de senteur ; de citron,eau ; de senteur ; de citron,
eau ; de senteur ; de bergamote,,
eau ; de senteur,,
eau ; de sel,,
eau ; de rose,,
eau ; de raisin,eau ; de raisin,
eau ; de pin,eau ; de pin,
eau ; de nard,eau ; de nard,
eau ; de mélisse,eau ; de mélisse,
eau ; de miel,,
eau ; de mer,,
eau ; de lavande,eau ; de lavande,
eau ; de la reine d'Hongrie,eau ; de la reine d'Hongrie,
eau ; de senteur ; de la reine de Hongrie,eau ; de senteur ; de la reine de Hongrie,
eau ; de genièvre,,
eau ; de cuivre,,
eau ; de composition,,
eau ; de coclearia,eau ; de coclearia,
eau ; de citron,eau ; de citron,
eau ; de cerise,,
eau ; de cannelle,eau ; de cannelle,
eau ; de bouleau,,
eau ; de bergamote,eau ; de bergamote,
eau ; de Spa,eau ; de Spa,
eau ; de Philipine,,
eau ; de Marquette,,
eau ; de Cologne,,
eau ; des carmes,eau ; des carmes,
eau ; de Bussingne,,
eau ; de Bussing,,
eau ; de Bristol,,
eau ; d'arquebusade,eau ; d'arquebusade,
eau ; d'anis,eau ; d'anis,
eau ; cordiale,eau ; cordiale,
eau ; citronnelle,eau ; citronnelle,
eau,,
dégrau,,
déchet ; de pierre,,
debris de vaisseau et vieux ouvrage de charpente,,
dé ; à jouer,,
dé ; à coudre,,
dé ; de laiton,,
dé ; de fer,,
dé ; de cuivre,,
dé,,
duyvelsterck,,
duvet,,
duffel ; teint,,
duffel,,
duc-d'Albe ; de terre,,
duc-d'Albe ; de grés,,
duc-d'Albe,,
droguet et Maroc,,
droguet ; de fil et laine,,
étoffe ; droguet,,
droguerie,droguerie,
drogue d'apothicaire ; commune,drogue d'apothicaire ; commune,
drogue a peindre,,
drogue ; émeri,,
drogue ; verdet,drogue ; verdet,
drogue ; térébenthine,drogue ; térébenthine,
drogue ; tripoli,,
drogue ; séné,drogue ; séné,
drogue ; soux ; en feuille,,
drogue ; soux ; de grabanite,,
drogue ; soie et laine,,
drogue ; sel ; de saturne,drogue ; sel ; de saturne,
drogue ; salsepareille,drogue ; salsepareille,
drogue ; rhubarbe,drogue ; rhubarbe,
