dutchtranslation,unit,tax_office,quantity,exportimport,product_prix,product,product_Original,sitc1digit,sitc18thc,alternativenames
houtskool,kolenkar,herve,.3888889,export,,charbons de bois,charcoal,,,
houtskool,kolenkar,ieper,.018518519,transit,,charbons de bois,charcoal,,,
houtskool,kolenkar,chimay,2737.8889,import,,charbons de bois,charcoal,,,
houtskool,kolenkar,bergen,102.125,export,,charbons de bois,charcoal,,,
houtskool,kolenkar,luxemburg,929.20831,export,,charbons de bois,charcoal,,,
houtskool,kolenkar,namen,67.625,transit,,charbons de bois,charcoal,,,
houtskool,kolenkar,doornik,168.72223,export,,charbons de bois,charcoal,,,
houtskool,kolenkar,charleroi,576,transit,,charbons de bois,charcoal,,,
houtskool,kolenkar,tienen,4.1111112,export,,charbons de bois,charcoal,,,
houtskool,kolenkar,doornik,.24074075,import,,charbons de bois,charcoal,,,
houtskool,kolenkar,nieuwpoort,222.38889,export,,charbons de bois,charcoal,,,
houtskool,kolenkar,marche,100.25,transit,,charbons de bois,charcoal,,,
houtskool,kolenkar,namen,1820.1389,export,,charbons de bois,charcoal,,,
houtskool,kolenkar,sintniklaas,19.55555,export,,charbons de bois,charcoal,,,
houtskool,kolenkar,luxemburg,12,transit,,charbons de bois,charcoal,,,
houtskool,kolenkar,chimay,228.1111,transit,,charbons de bois,charcoal,,,
houtskool,kolenkar,kortrijk,4.685185,export,,charbons de bois,charcoal,,,
houtwerk (charon),gulden,turnhout,24,import,,bois et ouvrage de charonnerie,woodwork for cartmakers,6,6,
houtwerk (charon),gulden,marche,196,import,,bois et ouvrage de charonnerie,woodwork for cartmakers,6,6,
houtwerk (charon),gulden,brussel,1062,export,,bois et ouvrage de charonnerie,woodwork for cartmakers,6,6,
houtwerk (charon),gulden,marche,490,export,,bois et ouvrage de charonnerie,woodwork for cartmakers,6,6,
houtwerk (charon),gulden,stvith,188,transit,,bois et ouvrage de charonnerie,woodwork for cartmakers,6,6,
houtwerk (charon),gulden,luxemburg,16,import,,bois et ouvrage de charonnerie,woodwork for cartmakers,6,6,
houtwerk (charon),gulden,stvith,64,import,,bois et ouvrage de charonnerie,woodwork for cartmakers,6,6,
houtwerk (charon),gulden,doornik,123,import,,bois et ouvrage de charonnerie,woodwork for cartmakers,6,6,
houtwerk (charon),gulden,brugge,15,import,,bois et ouvrage de charonnerie,woodwork for cartmakers,6,6,
houtwerk (charon),gulden,gent,10,export,,bois et ouvrage de charonnerie,woodwork for cartmakers,6,6,
houtwerk (charon),gulden,turnhout,10,export,,bois et ouvrage de charonnerie,woodwork for cartmakers,6,6,
houtwerk (charon),gulden,chimay,10,import,,bois et ouvrage de charonnerie,woodwork for cartmakers,6,6,
houtwerk (charon),gulden,tienen,30,import,,bois et ouvrage de charonnerie,woodwork for cartmakers,6,6,
houtwerk (charon),gulden,namen,36,export,,bois et ouvrage de charonnerie,woodwork for cartmakers,6,6,
houtwerk (charon),gulden,charleroi,28,export,,bois et ouvrage de charonnerie,woodwork for cartmakers,6,6,
houtwerk (charon),gulden,stvith,32,export,,bois et ouvrage de charonnerie,woodwork for cartmakers,6,6,
houtwerk (charon),gulden,luxemburg,510,export,,bois et ouvrage de charonnerie,woodwork for cartmakers,6,6,
houtwerk (charon),gulden,marche,40,transit,,bois et ouvrage de charonnerie,woodwork for cartmakers,6,6,
houtwerk (eenvoudig schrijnwerk),gulden,luxemburg,230,import,,ouvrages de menuiserie simple,simple cabinetwork,6,6,
houtwerk (eenvoudig schrijnwerk),gulden,chimay,8,export,,ouvrages de menuiserie simple,simple cabinetwork,6,6,
houtwerk (eenvoudig schrijnwerk),gulden,marche,32,import,,ouvrages de menuiserie simple,simple cabinetwork,6,6,
houtwerk (eenvoudig schrijnwerk),gulden,namen,32,transit,,ouvrages de menuiserie simple,simple cabinetwork,6,6,
houtwerk (eenvoudig schrijnwerk),gulden,doornik,195,export,,ouvrages de menuiserie simple,simple cabinetwork,6,6,
houtwerk (eenvoudig schrijnwerk),gulden,charleroi,6,import,,ouvrages de menuiserie simple,simple cabinetwork,6,6,
houtwerk (eenvoudig schrijnwerk),gulden,namen,711,export,,ouvrages de menuiserie simple,simple cabinetwork,6,6,
houtwerk (eenvoudig schrijnwerk),gulden,marche,20,export,,ouvrages de menuiserie simple,simple cabinetwork,6,6,
houtwerk (eenvoudig schrijnwerk),gulden,stvith,600,export,,ouvrages de menuiserie simple,simple cabinetwork,6,6,
houtwerk (eenvoudig schrijnwerk),gulden,namen,273,import,,ouvrages de menuiserie simple,simple cabinetwork,6,6,
houtwerk (eenvoudig schrijnwerk),gulden,luxemburg,94,transit,,ouvrages de menuiserie simple,simple cabinetwork,6,6,
houtwerk (eenvoudig schrijnwerk),gulden,brussel,15,export,,ouvrages de menuiserie simple,simple cabinetwork,6,6,
houtwerk (eenvoudig schrijnwerk),gulden,kortrijk,25,import,,ouvrages de menuiserie simple,simple cabinetwork,6,6,
houtwerk (eenvoudig schrijnwerk),gulden,herve,12,export,,ouvrages de menuiserie simple,simple cabinetwork,6,6,
houtwerk (eenvoudig schrijnwerk),gulden,luxemburg,139,export,,ouvrages de menuiserie simple,simple cabinetwork,6,6,
"houtwerk (getouwen, persen, molens...)",aantal,marche,6,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,chimay,12,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,doornik,15,export,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,charleroi,3,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,bergen,15,export,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,charleroi,2,export,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,doornik,8,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,ieper,2,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,stvith,1,export,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,ieper,18,export,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,ieper,26,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,tienen,1,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,namen,2,transit,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,chimay,57,export,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,bergen,2,export,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,doornik,1,export,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,namen,9,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,namen,7,export,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,herve,430,transit,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,stvith,25,export,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,bergen,10,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,luxemburg,5,export,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,turnhout,83,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,bergen,568,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,kortrijk,1,export,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,chimay,17,transit,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,turnhout,15,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,chimay,400,export,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,marche,156,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,doornik,203,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,herve,12,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,ieper,3,export,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,kortrijk,20,export,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,chimay,6,transit,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,marche,2,transit,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,chimay,688,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,marche,8,transit,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,charleroi,74,export,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,tienen,11,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,namen,1,transit,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,stvith,1,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,charleroi,35,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,namen,27,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,marche,2,export,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,stvith,7,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,namen,5,export,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,herve,2,transit,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,luxemburg,1,export,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",gulden,marche,95,export,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
"houtwerk (getouwen, persen, molens...)",aantal,herve,3,import,,"metiers, presses cribles, bulteaux de moulin","looms, presses, mills",6,6,
houtwerk (gevernist van spa),gulden,turnhout,95,import,,ouvrages de bois vernis de Spa,varnished woodwork from Spa,6,6,ouvrages de Spa et vernis
houtwerk (gevernist van spa),gulden,herve,196,import,,ouvrages de bois vernis de Spa,varnished woodwork from Spa,6,6,ouvrages de Spa et vernis
houtwerk (gevernist van spa),gulden,stphillipe,90,import,,ouvrages de bois vernis de Spa,varnished woodwork from Spa,6,6,ouvrages de Spa et vernis
houtwerk (gevernist van spa),gulden,stvith,358,transit,,ouvrages de bois vernis de Spa,varnished woodwork from Spa,6,6,ouvrages de Spa et vernis
houtwerk (gevernist van spa),gulden,turnhout,10,export,,ouvrages de bois vernis de Spa,varnished woodwork from Spa,6,6,ouvrages de Spa et vernis
houtwerk (gevernist van spa),gulden,antwerpen,5447,export,,ouvrages de bois vernis de Spa,varnished woodwork from Spa,6,6,ouvrages de Spa et vernis
houtwerk (gevernist van spa),gulden,stvith,16,import,,ouvrages de bois vernis de Spa,varnished woodwork from Spa,6,6,ouvrages de Spa et vernis
houtwerk (gevernist van spa),gulden,brussel,101,transit,,ouvrages de bois vernis de Spa,varnished woodwork from Spa,6,6,ouvrages de Spa et vernis
houtwerk (gevernist van spa),gulden,herve,2319,transit,,ouvrages de bois vernis de Spa,varnished woodwork from Spa,6,6,ouvrages de Spa et vernis
houtwerk (gevernist van spa),gulden,tienen,6,import,,ouvrages de bois vernis de Spa,varnished woodwork from Spa,6,6,ouvrages de Spa et vernis
houtwerk (gevernist van spa),gulden,namen,3,transit,,ouvrages de bois vernis de Spa,varnished woodwork from Spa,6,6,ouvrages de Spa et vernis
houtwerk (gevernist van spa),gulden,herve,22,export,,ouvrages de bois vernis de Spa,varnished woodwork from Spa,6,6,ouvrages de Spa et vernis
houtwerk (gevernist van spa),gulden,antwerpen,14,import,,ouvrages de bois vernis de Spa,varnished woodwork from Spa,6,6,ouvrages de Spa et vernis
houtwerk (groot en klein door elkaar),gulden,tienen,493,export,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,namen,420,transit,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,oostende,283,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,kortrijk,163,transit,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,charleroi,457,export,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,oostende,30,export,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,stvith,2438,export,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,namen,2115,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,charleroi,19,transit,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,namen,624,export,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,kortrijk,3641,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,luxemburg,5120,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,stvith,406,transit,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,luxemburg,3850,export,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,chimay,1215,transit,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,brussel,1588,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,herve,348,export,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,chimay,367,export,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,chimay,1453,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,ieper,1738,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,sintniklaas,8921,export,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,marche,6028,export,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,herve,230,transit,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,marche,1568,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,nieuwpoort,170,export,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,charleroi,1561,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,stphillipe,2384,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,kortrijk,183,export,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,sintniklaas,468,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,luxemburg,3028,transit,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,brugge,321,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,turnhout,1376,export,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,doornik,5777,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,marche,222,transit,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,bergen,623,export,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,herve,485,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,gent,804,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,gent,2937,export,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,nieuwpoort,649,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,brussel,65,transit,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,antwerpen,547,export,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,turnhout,500,transit,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,antwerpen,87,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,ieper,846,export,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,doornik,930,export,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,bergen,6674,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,brussel,1907,export,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,turnhout,1440,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,brugge,1455,export,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,stvith,606,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot en klein door elkaar),gulden,tienen,7043,import,,divers gros et menus ouvrages de bois,mixed woodwork,6,6,
houtwerk (groot),kar,sintniklaas,1.25,import,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (groot),kar,kortrijk,.71399999,export,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (groot),kar,charleroi,10,transit,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (groot),kar,doornik,3,import,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (groot),kar,marche,2.3499999,export,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (groot),kar,bergen,27.9,export,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (groot),kar,chimay,.375,import,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (groot),kar,sintniklaas,102.45,export,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (groot),kar,turnhout,3.25,export,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (groot),kar,chimay,4.5,export,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (groot),kar,herve,23.5,import,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (groot),kar,charleroi,4.3125,export,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (groot),kar,gent,3.375,export,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (groot),kar,herve,.5,export,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (groot),kar,nieuwpoort,.2,export,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (groot),kar,brussel,10.5,export,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (groot),kar,tienen,7.75,export,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (groot),kar,doornik,1.3329999,export,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (groot),kar,ieper,1.25,export,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (groot),kar,antwerpen,208.1875,export,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (groot),kar,marche,1,import,,gros ouvrages de bois,large woodwork,6,6,
houtwerk (klein),zak,herve,.5,export,,menus ouvrage de bois,small woodwork,6,6,
houtwerk (klein),zak,herve,24.583,import,,menus ouvrage de bois,small woodwork,6,6,
houtwerk (klein),zak,herve,1,transit,,menus ouvrage de bois,small woodwork,6,6,
houtwerk (klein),zak,turnhout,48.5,export,,menus ouvrage de bois,small woodwork,6,6,
houtwerk (klein),zak,charleroi,15,export,,menus ouvrage de bois,small woodwork,6,6,
houtwerk (klein),zak,ieper,6,export,,menus ouvrage de bois,small woodwork,6,6,
houtwerk (klein),zak,antwerpen,308.25,export,,menus ouvrage de bois,small woodwork,6,6,
houtwerk (klein),zak,brussel,40.5,export,,menus ouvrage de bois,small woodwork,6,6,
houtwerk (kuipers),gulden,brugge,60,export,,ouvrages de tonneliers,woodwork for coopers,6,6,
houtwerk (kuipers),gulden,brussel,27,export,,ouvrages de tonneliers,woodwork for coopers,6,6,
houtwerk (timmerwerk),gulden,luxemburg,39,import,,ouvrages de charpentier,carpentry,6,6,bois préparée pour charpente
houtwerk (timmerwerk),gulden,marche,2695,export,,ouvrages de charpentiers,carpentry,6,6,bois préparée pour charpente
houtwerk (timmerwerk),gulden,sintniklaas,386,export,,ouvrages de charpentiers,carpentry,6,6,bois préparée pour charpente
houtwerk (timmerwerk),gulden,kortrijk,8040,export,,ouvrages de charpentiers,carpentry,6,6,bois préparée pour charpente
houtwerk (timmerwerk),gulden,brugge,1032,export,,ouvrages de charpentiers,carpentry,6,6,bois préparée pour charpente
houtwerk (timmerwerk),gulden,marche,802,transit,,ouvrages de charpentiers,carpentry,6,6,bois préparée pour charpente
houtwerk (timmerwerk),gulden,stvith,418,import,,ouvrages de charpentiers,carpentry,6,6,bois préparée pour charpente
houtwerk (timmerwerk),gulden,brugge,9,import,,ouvrages de charpentiers,carpentry,6,6,bois préparée pour charpente
houtwerk (timmerwerk),gulden,luxemburg,15,transit,,ouvrages de charpentiers,carpentry,6,6,bois préparée pour charpente
houtwerk (timmerwerk),gulden,stvith,1419,transit,,ouvrages de charpentiers,carpentry,6,6,bois préparée pour charpente
houtwerk (timmerwerk),gulden,bergen,200,export,,ouvrages de charpentiers,carpentry,6,6,bois préparée pour charpente
houtwerk (timmerwerk),gulden,chimay,20,import,,ouvrages de charpentiers,carpentry,6,6,bois préparée pour charpente
houtwerk (timmerwerk),gulden,marche,471,import,,ouvrages de charpentiers,carpentry,6,6,bois préparée pour charpente
houtwerk (timmerwerk),gulden,stvith,452,export,,ouvrages de charpentiers,carpentry,6,6,bois préparée pour charpente
houtwerk (timmerwerk),gulden,luxemburg,646,export,,ouvrages de charpentiers,carpentry,6,6,bois préparée pour charpente
houtwerk (verguld en gebeeldhouwd schrijnwerk),gulden,herve,15,import,,ouvrages de bois sculpté et doré,guilded cabinetwork,6,6,
houtwerk (verguld en gebeeldhouwd schrijnwerk),gulden,doornik,168,import,,ouvrages de bois sculpté et doré,guilded cabinetwork,6,6,
houtwerk (verguld en gebeeldhouwd schrijnwerk),gulden,doornik,90,export,,ouvrages de bois sculpté et doré,guilded cabinetwork,6,6,
houtwerk (verguld en gebeeldhouwd schrijnwerk),gulden,brussel,179,import,,ouvrages de bois sculpté et doré,guilded cabinetwork,6,6,
"huiden (beren, tijgers, wolven..., zond.bereiding)",aantal,ieper,27,export,,"peaux de loups, d'ours, de tigres","hides of bears, tigers and wolves",2,2,[idem] sans apprêt
"huiden (beren, tijgers, wolven..., zond.bereiding)",aantal,sintniklaas,18,import,,"peaux de loups, d'ours, de tigres","hides of bears, tigers and wolves",2,2,[idem] sans apprêt
"huiden (beren, tijgers, wolven..., zond.bereiding)",aantal,nieuwpoort,143,import,,"peaux de loups, d'ours, de tigres","hides of bears, tigers and wolves",2,2,[idem] sans apprêt
"huiden (beren, tijgers, wolven..., zond.bereiding)",aantal,chimay,50,transit,,"peaux de loups, d'ours, de tigres","hides of bears, tigers and wolves",2,2,[idem] sans apprêt
"huiden (beren, tijgers, wolven..., zond.bereiding)",aantal,antwerpen,283,export,,"peaux de loups, d'ours, de tigres","hides of bears, tigers and wolves",2,2,[idem] sans apprêt
"huiden (beren, tijgers, wolven..., zond.bereiding)",aantal,luxemburg,1,transit,,"peaux de loups, d'ours, de tigres","hides of bears, tigers and wolves",2,2,[idem] sans apprêt
"huiden (beren, tijgers, wolven..., zond.bereiding)",aantal,luxemburg,1,import,,"peaux de loups, d'ours, de tigres","hides of bears, tigers and wolves",2,2,[idem] sans apprêt
"huiden (beren, tijgers, wolven..., zond.bereiding)",aantal,nieuwpoort,43,export,,"peaux de loups, d'ours, de tigres","hides of bears, tigers and wolves",2,2,[idem] sans apprêt
"huiden (beren, wolven en tijgers, bereid)",aantal,chimay,2,transit,,"peaux de loups, d'ours, de tigres (appretées)","hides of bears, tigers and wolves",,,
"huiden (beren, wolven en tijgers, bereid)",aantal,tienen,1,import,,"peaux de loups, d'ours, de tigres","hides of bears, tigers and wolves",2,2,[idem] appretés
"huiden (beren, wolven en tijgers, bereid)",aantal,namen,2,export,,"peaux de loups, d'ours, de tigres","hides of bears, tigers and wolves",2,2,[idem] appretés
"huiden (beren, wolven en tijgers, bereid)",aantal,tienen,1,export,,"peaux de loups, d'ours, de tigres","hides of bears, tigers and wolves",2,2,[idem] appretés
"huiden (beren, wolven en tijgers, bereid)",aantal,oostende,8,import,,"peaux de loups, d'ours, de tigres","hides of bears, tigers and wolves",2,2,[idem] appretés
"huiden (beren, wolven en tijgers, bereid)",aantal,namen,1,import,,"peaux de loups, d'ours, de tigres","hides of bears, tigers and wolves",2,2,[idem] appretés
"huiden (beren, wolven en tijgers, bereid)",aantal,antwerpen,2,export,,"peaux de loups, d'ours, de tigres","hides of bears, tigers and wolves",2,2,[idem] appretés
huiden (bevers),aantal,oostende,465,import,,peaux de castor,beaver skins,2,2,[idem] sans apprêt
huiden (bevers),aantal,stphillipe,90,import,,peaux de castor,beaver skins,2,2,[idem] sans apprêt
