grain_type,simplification
,chair salée chair de bœuf langue de bœuf
,chair salée chair de porc diverse
,chair salée chair de porc jambon
,chair salée chair de porc lard
,chair salée chair de porc saucisson
,chair salée cuisse d'oie
,chair salée de toute sorte
,chair salée jambon
,chair salée langue de bœuf
,chair salée lard
,chair salée petit salé
,chair salée porc
,chair salée saucisson
,chair salée saumure
,chair volaille et gibier
,chaise
,chaise de commodité
,chaise à deux roue
,chaise à porteur
,chaise commune
,chaise d'enfant
,chaise de bois
,chaise de canne
,chaise de fer
,chaise de jonc
,chaise de noyer
,chaise de paille
,chaise de passerame leurs arnoies
,chaise de poste
,chaise de rotin
,chaise de tapisserie
,chaise et cabriolet
,chaise et fauteuil
,chaise et fauteuil de canne
,chaise et fauteuil de jonc
,chaise pliante
,chaise pliante de cuir de Russie
,chaise roulante
,chaise roulante avec harnais
,chaise roulante avec son train
,chaise roulante vieille
,chalon blanc
,chalon blanc souphré
,chalon peint
,chaloupe démontée
,chambranle de porte
,champignon
,champignon mariné
,champignon sec
,chandelier à pique
,chandelier de bois
,chandelier de cuivre
,chandelier de laiton
,chandelle à porteur
,chandelle à l'huile de baleine
,chandelle de bois
,chandelle de canne
,chandelle de commodité
,chandelle de jonc
,chandelle de paille
,chandelle de rotin
,chandelle de suif
,chandelle moitié cire
,chandelle roulante
,chanvre apprêté
,chanvre battu
,chanvre brut
,chanvre cru
,chanvre de masse
,chanvre 2e qualité
,chanvre dit chenevolle
,chanvre divers
,chanvre en lien
,chanvre en masse
,chanvre en ramade
,chanvre en rame
,chanvre et lin
,chanvre peigné
,chanvre 1ère qualité
,chanvre saisir
,chanvre sérancé
,chanvre tillé
,chanvre tressé
,chapeau
,chapeau ? castor
,chapeau brodé
,chapeau d'Angleterre
,chapeau assorti
,chapeau bordé d'argent
,chapeau brodé d'or
,chapeau bordé d'or et d'argent
,chapeau castor bordé d'argent
,chapeau castor bordé d'or
,chapeau castor brodé d'or
,chapeau de castor non brodé
,chapeau castor uni
,chapeau de castor verni
,chapeau commun
,chapeau de laine commun
,chapeau d'écorce d'arbre
,chapeau d'écorce de tilleul
,chapeau d'enfant
,chapeau dauphin
,chapeau de bois
,chapeau de castor brodé d'or
,chapeau de castor fin
,chapeau de castor uni
,chapeau de cuir
,chapeau de femme
,chapeau de feutre
,chapeau de feutre uni
,chapeau de loutre
,chapeau de poil
,chapeau de poil brodé d'or et d'argent
,chapeau de satin
,chapeau de soie
,chapeau de velours
,chapeau demi
,chapeau fin
,chapeau mêlé
,chapeau neuf
,chapeau perse
,chapeau sorti
,chapeau uni
,chapeau uni et demi forme
,chapeau vieux
,chapelet
,chapelet commun
,chapelet de bois
,chapelet de coco
,chapelet de verre
,chapellerie divers
,chapellerie en paille et sparterie
,chapla
,chapon
,chardon à drapier
,chardon cardier
,charbon de bois
,charbon de bois et de terre
,charbon de boulanger
,charbon de boulanger et bresette
,charbon de pierre
,chardon
,charge en fer blanc
,chariot
,chariot à feu
,chariot neuf
,charonie
,charrette
,charrue
,chasse mouche
,fruit cru châtaigne
,fruit cru châtaigne blanche
,fruit cru châtaigne et noix
,fruit cru châtaigne sèche
,chaton
,chaudière de fer
,chaudière de bray
,chaudière et cuve
,chaudière de fonte
,chaudière de potin
,cuivre en chaudron
,chaudron de fer
,chaudron de potin
,chaudron en laiton
,chaufferette de bois
,chaussette
,chaussette de fil
,chausson
,chausson de carisee et drap à laver maison
,chausson de fil
,chausson de laine
,chaussure
,chaux à bâtir
,chaux de calcaire
,chaux et cendre de chaux mellé
,chaux éteinte
,chaux fondu
,"chaux, plâtre et ciment"
,chaux vive
,cheminée de marbre
,cheminée de pierre de lierre
,cheminée statue
,chemise
,chemise à fumer
,chemise à nègre
,chemise ouvrée blanche
,chemise bleue
,chemise bretonne
,chemise commune
,chemise de gingas
,chemise de laine
,chemise de Laval
,chemise de nègre
,chemise de toile
,chemise de toile commune
,chemise de toile de Bretagne
,chemise de toile de St Jean
,chemise écossaise
,chemise fine
,chemise garnie de Batiste
,chemise garnie pour femme
,chemise garnie pour homme
,chemise neutre
,chemise neuve
,chemise pour homme
,chemise unie
,chenille au quart
,chenille de chêne
,chenille de flavret
,chenille de soie
,cheval à bas prix
,cheval à haut prix
,cheval à moyen prix
,cheval d'un an
,cheval de bois
,cheval de labour
,cheval de selle
,cheval de 3 ans
,cheval petit
,cheveu
,bétail chèvre
,chevron
,chevron de 16 pieds
,chevron de 18 pieds
,chevron de 26 pieds
,chevron de bois
,chevron de bois d'acajou
,chevron de cèdre
,chevron de merisier
,chevron de sapin
,chevron de sapin 12 pieds
,chevron de sapin de 24 pieds
,chevron de sapin de 10 pieds
,chevron de sapin de 14 pieds
,chicotin
,chicorée moulue
,chien
,chiffon
,chilas
,chima calin
,chine
,chise de fourneau
,chitte étoffe
,chivelle
,chocolat en patte
,chou
,chou à planter
,chou cabus
,chou confit
,chou salé
,christ d'ivoire monté de velours
,christ d'ivoire
,cierge
,cierge de cire blanche
,cierge et flambeau
,cinabre broyé
,cinabre en roche
,cinabre fin
,cirage pour chaussure
,cire à cacheter
,cire blanche
,cire blanche en feuille
,cire blanche en flambeau
,cire blanche ouvrée
,cire de bougie
,cire en crasse
,cire d'Espagne
,cire d'Espagne à cacheter
,cire diverse
,cire en figure
,cire en flambeau
,cire en grabeau
,cire en grain
,cire en pain
,cire et chandelle de cire
,cire jaune du levant
,cire jaune en bougie et chandelle
,cire jaune en cierge et flambeau
,cire jaune en pain
,cire blanche et jaune fondue et en bougie
,cire rouge en flambeau
,ciseau
,citron
,citron aigre
,citron confit
,citron en conserve
,citron salé
,citron vert
,clairon
,claphout en blocq
,clappe ou douve à baril
,clappe ou douve à baril de sapin
,clavecin
,clavecin vieux
,claye à parquer
,clinquant d'or faux
,cloche
,cloche de métal
,cloche de verre
,clochette
,clochette de fonte
,cloporte
,clou
,clou et acier
,clou et caboche de fer
,cloutier
,coas de soie
,drogue pour la peinture et la teinture cochenille
,cochenille campêche
,coco
,cocon
,codde blanc
,coffre
,coffre à garniture de peau
,coffre de thé
,coffre et cercueil en cyprès
,coffre de bois
,coffre de chirurgie
,coffre de fer
,coffre de fer et berse
,coffre de noyer
,coffre de sapin
,coffre de voyage
,coffre vieux
,coffre fort de fer
,coiffe à perruque
,coiffe blonde
,coiffe de dentelle de soie
,coiffe de tambou
,coiffure
,coiffure à dentelle
,coiffure de blonde
,coiffure de blonde et palatine
,coin
,colin
,colle
,colle à papier
,colle commune
,colle faible
,colle forte de Flandres
,colle forte de poisson
,colle ordinaire
,collier d'ambre
,collier de cheval
,collier de grenat
,collier de jais
,collier de nacre de perle
,collier de perle
,collier de perle fausse
,collier de verre
,colonne de noyer
,colophane ou Spingler
,drogue médicinale coloquinte
,colorant ?
,colorant rouge
,colorant rouge et marron
,comestible
,comestible beurre salé
,comestible biscuit
,comestible bœuf salé
,comestible chair salée diverse
,comestible cochon salé
,comestible confiture diverse
,comestible cuisse d'oye
,comestible divers
5,comestible farine
,comestible fromage divers
,comestible graisse diverse
5,comestible gruau
,comestible jambon
,comestible lard salé
,commode
,commode avec dessus de marbre
,commode de bois
,commode de noyer
,commode de bois violet
,commode de marqueterie
,commode de sapin
,commode ornée
,compas de cuivre
,compas de mer
,composition de chimie
,composition de verre
,compotiers de terre
,concombre et cornichon
,confection d'alkermès
,confection d'hyacinthe
,confiture
,confiture sèche
,congre
,connoissement
,conserve de rose
,conserve de fleure d'orange
,coton en laine
,contrahierba
,contre-bordé
,bois en copeau
,copeau pour fourreau d'épée
,coq
,coq d'Inde
,coquille de mer
,coquille de nacre
,coquille écaille de tortue et nacre de perle
,corail blanc
,corail brun
,corail brut et taillé
,corail de jardin
,corail en grabeau
,corail faux
,corail fin ouvré
,corail gros
,corail rouge
,corbeille
,cordage à boyau
,cordage d'auf
,cordage d'emballage
,cordage d'espar
,cordage de Caret
,cordage de chanvre
,cordage de jonc
,cordage de Satangres
,cordage vieux
,cordage divers
,cordage en ficelle
,cordage et corde
,cordage goudronné
,cordillaterie
,corde
,corde à arçon
,corde à boyau
,corde à boyau et à violon
,corde à fouet
,corde à instrument
,"corde, cable et ficelle"
,corde d'auf
,corde d'or
,corde de chanvre
,corde de guitare
,corde en fibre
,corde et écorce de tilleul
,corde et ficelle
,corde pour navire
,corde vieille
,cordonnet
,cordonnet de poil
,cordon
,cordon d'argent
,cordon d'or
,cordon d'or et d'argent
,cordon de fil
,cordon de filoselle
,cordon de fleuret
,cordon de montre
,cordon de montre avec or
,cordon de soie
,cornaline
,corne ?
,corne à faire peigner
,corne de bétail
,corne de cerf
,corne de lanterne
,corne de mouton
,corne de vache
,corne de verre
,corne diverse
,corne mêlée
,cornichon
,cornichon confit
,corode
,corps d'arbre brut
,corps d'arbre de 20 à 30 pieds
,corps d'arbre de 30 à 40 pieds
,corps d'arbre de 40 à 50 pieds
,corps d'arbre en dessous de 20 pieds
,corps de jupe
,corps piqué
,cor de chasse
,corset
,corset de toile
,cotillon de toile piquée
,coton à broder
,coton autre et de Méditerranée
,coton filé blanc
,coton cardé
,coton filé des Indes
,coton en ouatte
,coton divers
,coton en laine du Brésil
,coton en masse
,coton en mêche
,coton en poil
,coton en rame
,coton étoffe des Indes
,coton filé commun
,coton filé en laine
,coton filé en rame
,coton filé étranger
,coton filé fin
,coton filé rouge
,coton ouvré
,coton rouge
,coton sits et mousseline
,coton teint
,cotonnade
,cotonnade bonneterie
,cotonnade bonneterie de coton de fil
,cotonnade chapellerie
,cotonnade couverture
,cotonnade dentelle et blonde
,"cotonnade drap, étoffe de toute sorte"
,cotonnade nankin
,"cotonnade toile, basin et nankin"
,cotonnade étoffe
,"cotonnade étoffe, drap et velours"
,"cotonnade étoffe, drap, velours et couverture"
,cotonnade gaze
,"cotonnade gaze, crêpe et tulle"
,cotonnade gaze et tulle
,cotonnade mouchoir
,cotonnade mouchoir de coton et fil
,cotonnade mouchoir et schal
,cotonnade schal
,cotonnade toile de coton
,cotonnade toile mousseline
,cotonnade toile mousseline unie et brûlée
,cotonnade toile mousseline unie et peinte
,cotonnade toile peinte et indienne
,cotonnade toile peinte et siamoise
,"cotonnade toile peinte, indienne et siamoise"
,"cotonnade toile peinte, teinte et imprimée, indienne et siamoise"
,couchette garnie
,couette
,couette pour banc
,couffin d'osier
,coulemen de terre
,couleur
,couleur à peindre
,couleur ou colorant
,couleur et teinture préparée
,couperose blanche
,courbe de bois
,courbe de chêne
,corroi de fusil
,coussin à faire dentelle
,coussin de velours
,couteau
,couteau à couper paille et pour tanneur
,couteau à fendre
,couteau à hacher la paille
,couteau à indigo
,couteau à tanneur
,couteau commun
,couteau de chasse
,couteau de gaïac
,couteau de gazat
,couteau de table
,couteau de traite
,couteau garni en argent
,coutellerie commune
,coutellerie diverse
,coutre
,coutil à lit
,coutil de Hollande
,couverture d'étoupe
,couverture d'etouppe de laine
,couverture de coton
,couverture de lisière
,couverture de locque
,couverture pour cheval
,couverture
,couverture à nègre
,couverture d'Elbeuf
,couverture d'indienne
,couverture de Béarn
,couverture de bazal
,couverture de bourre
,couverture de bourre de soie
,couverture de capiton
,couverture de castalogne
,couverture de crin
,couverture de filoselle
,couverture de fleur
,couverture de fleuret
,couverture de laine commune
,couverture de laine de Montpellier
,couverture de laine et coton
,couverture de laine fine
,couverture de lit
,couverture de ploc
,couverture de Rouen
,couverture de soie
,couverture diverse
,couverture de Languedoc
,couverture peinte
,couverture pour nuque
,crabe et geenaerts
,crabe et limaçon
,craie
,"craie, blanc d'Espagne, ocre jaune et rouge"
,craie blanche
,craie noire
,"craie, ocre brun et rouge"
,craie pour écrire
,craie rouge
,crampon
,crampon de fer
,crapaudine
,crapaudine de fer
,crapaudine de fonte
,craquelin (Bretzel)
,cresse
,crasse d'amidon
,crasse d'huile
,crasse de plomb
,crasse de suif
,crasse de tan
,cravate
,cravate de soie noire
,cravate et mouchoir de coton
,crayon
,crayon d'Allemagne
,crayon de pastel
,crayon et craie
,"crayon fin de pastel, laque et lack-lack des Indes"
,crayon fin de pastel
,"crayon, graphite et mine de plomb"
,crayon noir
,crème de tartre
,crêpe de laine
,crêpe noir
,crêpe pour chapeau
,crépon
,crépon de laine
,creuset et figure de pierre
,crible
,crible et bulteau de moulin
,crin à pécher
,crin aprêté et frisé
,crin brut
,crin de cheval
,crin de cheval brut
,crin de cheval griporé
,crin de cheval ouvré
,crin plat
,cristal brut
,cristal d'office
,cristal de tartre
,cristal taillé
,croix à pierre fausse
,croix de cuivre
,croix de grès
,crons et débris de maison
,cruche
,cruche de Cologne
,cruche de fer
,cruche de terre
,cuillère
,cuillère de bois
,cuirasse
,cuir
,cuir à semelle
,cuir apprêté
,cuir de bœuf apprêté
,cuir de vache apprêté
,cuir blanc
,cuir brut
,cuir corroyé
,cuir corroyé divers
,cuir cru et à poil
,cuir d'alun (jaune)
,cuir d'Espagne
,cuir d'Espagne dit maroquin
,cuir d'Irlande
,cuir de ? de Naches
,cuir de ? en poil
,cuir de bœuf
,cuir de bœuf corroyé
,cuir de bœuf et vache aprêté
,cuir de bœuf d'Illinois
,cuir de bœuf salé
,cuir de Bosan
,cuir de buffle
,cuir de cerf
,cuir de cerf en poil
,cuir de cheval
,cuir de chèvre
,cuir de génisse
,cuir de génisse corroyé
,cuir de génisse en poil
,cuir de moscovie
,cuir de porc
,cuir de Prusse
,cuir de Russie
,cuir de Turqie
,cuir de vache
,cuir de vache en grain
,cuir de vache tissé
,cuir divers
,cuir divers tanné
,cuir doré vieux
,cuir en bassin
,cuir de bœuf vert
,cuir en grain
,cuir en poil divers
,cuir en retail
,cuir épais
,cuir et peau
,cuir et peau de bœuf et de vache apprêté
,cuir et peau non apprêté
,cuir fin
,cuir fort
,cuir génisse corroyé
,cuir jaune
,cuir maroquin
,cuir non apprêté
,cuivre poil et salé
,cuir pour botte
,cuir pour semelle
,cuir pour soufflet
,cuir rouge
,cuir salé divers
,cuir salé à poil
,cuir séché
,cuir sec et salé
,cuir tanné fort
,cuir tanné en poil
,cuir tanné pour empeigne
,cuir tanné pour semelle
,cuir vieux
,cuisse
,cuisse d'oie
,cuivre
,cuivre à chaudron
,cuivre à cloche
,cuivre à couverture
,monnaie cuivre
,cuivre battu
,"cuivre, bronze et laiton"
,cuivre brun
,cuivre brut
,cuivre rouge brut
,cuivre cercle en poil
,cuivre crû
,cuivre crû en bloc
,cuivre cru en masse
,cuivre de fer
,cuivre de fourrure
,cuivre de Namur
,cuivre de pompe
,"cuivre , de Russie"
,cuivre dit laiton en feuille
,cuivre dite potin
,cuivre divers
,cuivre doré
,cuivre en barre
,cuivre en bassin
,cuivre en cachet
,cuivre en chanvrier
,cuivre en clochette
,cuivre en coupe
,cuivre en étuve
,cuivre en feuille en planche
,cuivre en fourrure
,cuivre en fourrure et rozette
,hôpitaux de cuivre
,cuivre en lame
,cuivre en lancher
,cuivre en limaille
,cuivre en lingot
,cuivre en masse
,neptune de cuivre
,cuivre en pain
,cuivre en pain en brut
,cuivre en plateau
,cuivre en platte
,cuivre en platine et plaque
,cuivre en potasse
,cuivre en poterie
,robinet de cuivre
,cuivre en rouleau
,cuivre en toupe
,cuivre et pièce de cuivre
,cuivre de fer en poids
,cuivre fine
,cuivre forgé
,cuivre jaune
,cuivre jaune avec calamine
,cuivre jaune en bloc
,cuivre jaune en clou
,cuivre jaune en platte
,cuivre jaune et rouge
,cuivre jaune fondu
,cuivre jaune non ouvré
,cuivre laminé
,cuivre non ouvré en rosette ou plaque
,cuivre ordinaire
,cuivre potier
,cuivre potin
,cuivre potin gris
,cuivre rompu
,cuivre rouge
,"cuivre rouge crü ou en bloc, pour Namur"
,cuivre rouge en chaudron
,cuivre rouge en masse pour être raffiner
,cuivre rouge en platte
,cuivre rouge neuf
,cuivre rouge ouvré
,cuivre satin
,cuivre vieux
,cuivre vieux et en mitraille
,culotte
,culotte de peau
,culotte de toile
,culotte tricot
,cul d'artichaut
,cuscute luzerne
,cuvier
,cygne en vie
,cylindre en cuivre
,baldaquin
,dais pour église
,dalle
,dalle en céramique dure
,damas
,damas à frange d'argent
,damas cafard
,damas de faux
,damas de Luques
,étoffe damas
,dame-jeanne de verre
,demoiselle
,drap de laine fin
,datte et pistache
,or
,debris de vaisseau et vieux ouvrage de charpente
,cuir déchet
,déchet de pierre
,degras de peau
,demoiselle de sapin
,denrée alimentaire
,denrée divers
,dentelle à peu de soie
,dentelle blanche
,dentelle commune
,dentelle d'argent faux
,dentelle d'argent fin
,dentelle d'or
,dentelle d'or et d'argent
,dentelle d'or et d'argent faux
,dentelle d'or faux
,dentelle d'or fin
,dentelle de fer
,dentelle de fil blanc
,dentelle de fil blanc commune
,dentelle de fil blanc de Lille
,dentelle de fil commune
,dentelle de fil d'Alençon
,dentelle de fil de Bergame
,dentelle de fil de crin
,dentelle de fil de Flandre
,dentelle de fil de laine
,dentelle de fil de lin
,dentelle de fil de Normandie
,dentelle de fil diverse
,dentelle de fil dorure d'argent
,dentelle de fil d'or faux
,dentelle de fil d'or fin
,dentelle de fil de tulle
,dentelle de fil fine
,dentelle de fil grosse
,dentelle de fil de Lille
,dentelle de malines
,dentelle de normandie
,dentelle de soie blanche
,dentelle diverse
,dentelle en dorure
,dentelle fine
,dentelle grosse
,dentelle mi soie
,dentelle d'or et d'argent fin
,dent de vache marine
,dé
,dé à coudre
,dé à jouer
,dé de cuivre
,dé de fer
,dé de laiton
,miroir
,dessein de papier
,devant de veste
,fleur de dictame
,diamant fin
,dictionnaire du commerce
,dinde
,dindon
,disque de charrue en fer
,dissouchaye
,distillat
,divers gros et menu ouvrage de bois
,dominoterie en image
,dominoterie et carte géographique
,doréas
,dorpin en pierre
,dorure fausse
,dorure fausse en or et argent
,"dorure fausse en or et argent battu, tiré et laminé"
,dorure fine
,dorure fine en galon d'or
,poisson dos
,dospin en pierre
,dossier de chaise
,doublure de martre pour habit
,douelle
,douelle à barrique
,douelle à fond
,douelle à pièce
,douelle à pipe
,douelle à quartz
,douelle à tonneau
,douelle de sapin
,douelle fonçaille
,douve
,douve de deux pouces
,douve en bois pour teinture en cuve
,douve pour pipe
,drache de bierre
,dragonne
,dragonne d'épée
,drague de bière
,drap au 6e de soie
,drap blanc
,drap blanc d'Espagne
,drap blanc de Bremer
,drap blanc de douzaine
,drap blanc de Hollande
,drap blanc par aune
,drap brodé au ciseau en soie
,drap brodé en or et argent
,drap brodé en soie
,drap carizé
,drap casimir
,drap commun
,drap crêpe
,drap d'Abbeville
,drap d'Amboise
,drap d'Andelis
,drap d'Angleterre
,"drap d'Angleterre, de Hollande et d'Espagne"
,drap d'Arnetal
,drap d'aucrin
,drap d'Aumale
,drap d'Elbeuf de retour
,drap d'Espagne
,drap d'estames
,drap d'or et d'argent fin
,drap de Beauvais
,drap de Bergoopseau
,drap de bourbon
,drap de burs ou de frise
,drap de Carcassonne
,drap de castor
,drap de castor par aune
,drap de coton
,drap de coutil
,drap de douzaine
,drap de fil vieux
,drap de France
,drap de Glates
,drap de Glouster
,drap de Hollande
,drap de Komrix
,drap de la Bouille
,drap de laine au ? de soie
,drap de laine avarié
,drap bleu
,drap de laine commun
,drap serge d'Arnetal
,drap de ?
,drap de laine de Beauvais
,drap de cérémonie
,drap de Cherbourg
,drap de Montauban
,drap de Nison
,drap de Rome
,drap de Rouen
,drap de Sedan
,drap de Silésie
,drap de Sir
,drap de laine de Vir
,drap des prise
,drap de laine draperie diverse
,drap de Languedoc
,drap du nord
,drap du sceau
,drap écarlate
,drap étranger
,drap de Latte
,drap de Limbourg
,drap de Limoux
,drap de lin vieux
,drap de linge commun
,drap de lit commun
,drap de lit neuf
,drap de lit vieux
,drap de Lodève
,drap de Louvier au 6e de soie
,drap de montagne
,drap de Moucu
,drap de Normandie
,drap de Panguede
,drap de Picardie
,drap de Pie
,drap de Saint Lô
,drap de Sedan de retour
,drap de Ségovie
,drap de soie
,drap de Soudrain
,drap de Vir
,drap dit packlaeken
,drap dit packlaeken blanc
,drap dit packlaeken teint
,drap dit plamens
,drap dit plawens ou codde
,drap divers anglais
,drap divers de Limbourg
,drap draperie divers
,drap divers écarlate
,drap divers fin
,drap drache
,drap drapé
,drap bayette
,drap capoterie
,drap draperie d'Abbeville
,drap draperie Damas
,drap draperie de Carcassonne
,drap draperie de Montauban
,drap draperie de Languedoc
,drap espagnolette
,drap draperie fine
,drap flanelle
,drap draperie frac
,drap draperie futaine
,drap draperie iada
,drap irtaine
,drap draperie layette
,drap draperie moutade
,drap draperie petite
,drap draperie petite de main
,drap draperie petite de Sedan
,drap draperie petite de Silésie
,drap draperie petite divers
,drap draperie petite de Languedoc
,drap draperie petite du Maroc
,drap pinchina
,drap serge de laine
,drap serge sergette
,drap draperie tricot
,drap droguet d'Angleterre
,drap droguet de castor
,drap droguet de Hollande
,drap droguet de milan
,drap de Maroc
,"drap de Maroc, teint de douzaine"
,drap du nord blanc
,drap du nord teint
,drap fin
,drap fin du Languedoc
,drap goudronné
,drap grossier
,drap imprimé
,drap Languedoc
,drap native divers
,drap naturel commune
,drap naturel de Sedan
,drap naturel diverse
,drap naturel Sirre
,drap noir
,drap palencourt
,drap ratine diverse
,drap raz d'Angleterre
,drap raz de castor
,drap raz des Lo
,drap de Reims
,drap serge d'aumale
,drap de fil et laine serge
,drap serge de Lille
,drap serge de Montauban
,drap serge des prise
,drap serge drapée
,drap serge écarlate
,drap serge fil et laine
,drap serge forte
,drap serge imprimée
,drap teint
,drap teint d'Espagne et de Hollande
,drap vert
,drapeau
,drapeau vieux
,drap à la valeur
,drap callemande
,drap de Champagne
,drap de laine
,drap de laine de Sedan
,drap de laine diverse
,drap de laine Londrin
,draperie de Montauban
,drap de Poitou
,draperie et étoffe de laine
,drap d'or d'argent et soie
,draperie ordinaire
,drap de Languedoc ordinaire
,drap de Silésie petit
,drap platine
,drogue pour la peinture
,drogue alun
,drogue canéfice
,drogue chimique diverse
,drogue chimique et métallique
,drogue chimique et métallique argent vif
,drogue chimique et métallique arsenic
,drogue chimique et métallique diverse
,drogue cochenille
,drogue d'apothicaire
,drogue galle
,drogue gomme arabique
,drogue gomme commune
,drogue gomme barbarie
,drogue gomme élastique
,drogue gomme gutte
,drogue huile de vitriol
,drogue médicinale
,drogue médicinale camphre
,drogue médicinale rhubarbe
,drogue médicinale safran
,drogue médicinale salsepareille
,drogue médicinale séné
,drogue médicinale tamarin
,drogue mêlée
,drogue mêlée gomme commune
,drogue métallique divers
,drogue métallique sel ammoniac
,drogue odorante
,drogue odorante encens
,drogue pour la peinture galle
,drogue pour la peinture sumac
,drogue pour la peinture et la teinture galle
,drogue pour la peinture et la teinture verdet
,drogue pour la peinture et la teinture alizari
,drogue pour la peinture et la teinture alun
,drogue pour la peinture et la teinture bleu en pierre
,drogue pour la peinture et la teinture curcuma
,drogue pour la peinture et la teinture diverse
,drogue pour la peinture et la teinture garance
,drogue pour la peinture et la teinture vermillon
,drogue pour la peinture et la teinture Inde platte
,drogue pour la peinture et la teinture iris
,drogue pour la peinture et la teinture lackmoir
,drogue pour la peinture et la teinture noix de galles
,drogue pour la peinture et la teinture ocre en pierre
,drogue pour la peinture et la teinture stil de grain
,drogue pour la peinture et la teinture tartre
,drogue térébenthine essence et huile
,drogue quinquina
,drogue sel de saturne
,drogue séné
,drogue verdet
,drogue a peindre
,drogue alquifoux
,drogue azur
,drogue cantharide
,drogue cassia lignea
,drogue castor
,drogue chimique
,drogue chimique eau forte
,drogue chimique esprit de sel
,drogue chimique esprit de vice
,drogue chimique et métallique antimoine
,drogue chimique et métallique eau forte
,drogue chimique et métallique esprit de sel
,drogue chimique sel d'epsum
,drogue chimique et métallique sel de Globert
,drogue chimique et métallique sel divers
,drogue chimique et métallique sublime
,drogue chimique et métallique zinc
,drogue chimique sel d'opium
,drogue chimique ?
,drogue chimique sel de Globert
,drogue chimique sel de paume
,drogue chimique sel de plomb
,drogue chimique sel de potasse
,drogue chimique sel saturne
,drogue chimique sel de tamarin
,drogue chimique sel divers
,drogue chimique sel gemme
,drogue chimique sel sublimé
,drogue chimique sublimé
,drogue médicinale benjoin
,drogue médicinale canyolore
,drogue médicinale cavefico
,drogue médicinale cristal de tartre
,drogue médicinale poudre brillant
,drogue médicinale sableuée
,drogue médicinale sang dragon
,drogue médicinale chévaque
,drogue médicinale opium
,drogue médicinale précipité
,drogue médicinale résine de jalap
,drogue médicinale sublime
,drogue couperose
,drogue d'apothicaire commune
,droguet de castor
,droguet de laine
,droguet de laine et fil
,drogue de misme
,drogue rhubarbe
,drogue salsepareille
,brai raffiné
,drogue réunie diverse
,drogue gomme diverse
,drogue diverse sagon
,drogue émeri
,drogue fine
,drogue gomme
,gomme arabique
,drogue gomme couperose
,drogue gomme du Sénégal
,gomme élastique
,drogue gomme galle
,drogue gomme herbe grande
,drogue gomme métallique diverse
,gomme myrrhe
,drogue gomme pour peinture et teinture
,drogue gomme verdet
,gomme diverse
,drogue indigo
,drogue indigo des îles française
,drogue litharge
,drogue mauris
,drogue médicinale agaric gros
,drogue médicinale aloès capalin
,drogue médicinale baume divers
,drogue médicinale beunne
,drogue médicinale bol d'Arménie
,drogue médicinale calaurure
,drogue médicinale capillaire
,drogue médicinale carrouge
,drogue médicinale casse
,drogue médicinale chicolin
,drogue médicinale chimique eau forte
,drogue médicinale coque du Levant
,drogue médicinale cordial
,drogue médicinale cumin
,drogue médicinale diagedum
,drogue médicinale eau de felzer
,drogue médicinale eau sederale
,drogue médicinale eau vulnéraire
,drogue médicinale camomille
,drogue médicinale plante
,drogue médicinale plante aristoloche
,drogue médicinale plante carrue
,drogue médicinale plante coque levant
,drogue médicinale plante coriandre
,drogue médicinale plante cumin
,drogue médicinale plante fleur de benjoin
,drogue médicinale plante galanga
,drogue médicinale plante ginseng
,drogue médicinale plante ogarie
,drogue médicinale plante racine
,drogue médicinale plante rhubarbe
,drogue médicinale plante salsepareille
,drogue médicinale plante sebestre
,drogue médicinale plante simarouba
,drogue médicinale plante tamarin
,drogue tournesol
,drogue médicinale fleur de violette
,drogue médicinale galbanum
,drogue médicinale gentiane
,drogue médicinale jalap
,drogue médicinale magnésie
,drogue médicinale mousse de mer
,drogue médicinale orge perlé
,drogue médicinale pignon d'Inde
,drogue médicinale racine diverse
,drogue médicinale réglisse sur bâne
,drogue médicinale séné en feuille
,drogue médicinale sel ammoniac
,drogue médicinale semen contra
,drogue médicinale squine
,drogue médicinale storax liquide
,drogue médicinale thériaque
,drogue médicinale vanille
,drogue médicinale zedonire
,drogue asfafélida
,drogue mêlée benjoin
,drogue blanc de baleine
,drogue mêlée borax
,drogue doraze
,drogue térébenthine essence
,drogue essence de vitriol
,drogue mêlée fleur d'aspic ou de lavande
,drogue galbanum
,drogue mêlée gomme adragant
,drogue mêlée gomme arabique
,drogue mêlée gomme de barbarie
,gomme de cenzier
,gomme de gaïac
,gomme euphorbe
,gomme galanga
,gomme gedda
,drogue mêlée gomme gutte
,drogue mêlée gomme laque
,drogue mêlée gomme Sénégal
,drogue gousse arabique
,drogue gousse diverse
,drogue gousse gatte
,drogue gousse lagne
,drogue graine diverse
,drogue huile d'amande
,drogue mastic
,drogue métallique
,drogue métallique argent vif
,drogue métallique arsenic
,drogue métallique auchinoise
,drogue métallique et chimique sel d'étain
,drogue métallique mercerie
,drogue métallique mercure
,drogue métallique piharge
,drogue métallique salamouris
,drogue métallique toutenague
,drogue métallique vitriol
,drogue mine de plomb
,drogue minium
,drogue musc
,drogue noix de galle
,drogue odorante ambre gris
,drogue odorante ambre jaune
,drogue odorante musc
,drogue pour la peinture et la teinture bleu de pierre
,drogue pour la peinture et la teinture herbe à teindre
,drogue pour la peinture et la teinture laque de Venise
,drogue pour la peinture et la teinture laque en poudre
,drogue pour la peinture et la teinture laque fausse
,drogue pour la peinture et la teinture laque plate
