marchandises_norm_ortho,classification_hambourg_large
degras,
degras de peau,
dégrau,
demelle de fil,
demille,
demitte,
demoiselle,
demoiselle de bois,
demoiselle de sapin,
denrée alimentaire,
denrée divers,
denrées coloniales cacao,Cacao
denrées coloniales café,Café
denrées coloniales indigo,Indigo
denrées coloniales rocou,
denrées coloniales sucre blanc terré et tête,Sucre ; cru blanc ; du Brésil 
denrées coloniales sucre brut,Sucre ; cru blanc ; du Brésil
dent d'éléphant,
dent de cheval marin,
dent de morphil,
dent de vache marine,
dentelle,
dentelle à peu de soie,
dentelle blanche,
dentelle commune,
dentelle d'argent,
dentelle d'argent faux,
dentelle d'argent fin,
dentelle d'or,
dentelle d'or et d'argent,
dentelle d'or et d'argent faux,
dentelle d'or et d'argent fin,
dentelle d'or faux,
dentelle d'or fin,
dentelle de fer,
dentelle de fil,
dentelle de fil blanc,
dentelle de fil blanc commune,
dentelle de fil blanc de Lille,
dentelle de fil commune,
dentelle de fil d'Alençon,
dentelle de fil d'or faux,
dentelle de fil d'or fin,
dentelle de fil de Bergame,
dentelle de fil de Caen,
dentelle de fil de crin,
dentelle de fil de Flandre,
dentelle de fil de laine,
dentelle de fil de Lille,
dentelle de fil de lin,
dentelle de fil de Normandie,
dentelle de fil de soie,
dentelle de fil de tulle,
dentelle de fil diverse,
dentelle de fil dorure d'argent,
dentelle de fil du Puy,
dentelle de fil et soie,
dentelle de fil fine,
dentelle de fil grosse,
dentelle de Flandres,
dentelle de malines,
dentelle de normandie,
dentelle de soie,
dentelle de soie blanche,
dentelle de soie blonde,
dentelle de soie dite blonde,
dentelle de soie et blonde,
dentelle de soie et fil,
dentelle diverse,
dentelle du Puy,
dentelle en dorure,
dentelle et blonde,
dentelle fine,
dentelle grosse,
dentelle mi soie,
dentelle or et argent,
dents d'éléphant,
dents de morphil,
derle,
dessein de papier,
devant de veste,
dévidoir,
diamant fin,
dictamus,
dictionnaire du commerce,
dimelle,
dimit,
dinde,
dindon,
dioxide de plomb,
disque de charrue en fer,
dissouchaie,
dissouchaye,
distillat,
ditors,
divers,
divers gros et menu ouvrage de bois,
diverse,
domino,
dominoterie,
dominoterie en image,
dominoterie et carte géographique,
doreas,
doréas,
dorpin en pierre,
dorure,
dorure fausse,
dorure fausse en or et argent,
"dorure fausse en or et argent battu, tiré et laminé",
dorure fine,
dorure fine en galon d'or,
dospin en pierre,
dossier de chaise,
doublure de martre pour habit,
douelle,
douelle à barrique,
doüelle à cuve,
douelle à fond,
douelle à pièce,
douelle à pipe,
douelle à quartz,
douelle à tonneau,
douelle de sapin,
douelle fonçaille,
douvain,
douve,
douve de deux pouces,
douve en bois pour teinture en cuve,
douve pour pipe,
douzaine de ?,
drache,
drache de bierre,
dragée,
dragonne,
dragonne d'épée,
drague de bière,
drap,
drap  de Louvres,
drap à doubler,
drap à la valeur,
drap au 6e de soie,
drap bayette,
drap blanc,
drap blanc d'Espagne,
drap blanc de Bremer,
drap blanc de douzaine,
drap blanc de Hollande,
drap blanc par aune,
drap bleu,
drap brodé au ciseau en soie,
drap brodé en or et argent,
drap brodé en soie,
drap buras,
drap callemande,
drap capoterie,
drap carizé,
drap casimir,
drap casinier,
drap commun,
drap cordeillard,
drap cordellat,
drap crêpe,
drap crèpe de Reims,
drap d'Abbeville,
drap d'Amboise,
drap d'Amiens,
drap d'Andelis,
drap d'Andelys,
drap d'Angleterre,
"drap d'Angleterre, de Hollande et d'Espagne",
drap d'Arnetal,
drap d'aucrin,
drap d'Aumale,
drap d'Elberd,
drap d'Elbeuf,
drap d'Elbeuf de retour,
drap d'Espagne,
drap d'estames,
drap d'or d'argent et soie,
drap d'or et d'argent fin,
drap de ?,
drap de Beauvais,
drap de Bergoopseau,
drap de bourbon,
drap de burs ou de frise,
drap de Carcassonne,
drap de castor,
drap de castor par aune,
drap de cérémonie,
drap de Champagne,
drap de Cherbourg,
drap de coton,
drap de cour,
drap de coutil,
drap de douzaine,
drap de fil et laine serge,
drap de fil vieux,
drap de France,
drap de Glates,
drap de Glouster,
drap de Hollande,
drap de Komrix,
drap de la Bouille,
drap de laine,
drap de laine au ? de soie,
drap de laine avarié,
drap de laine baye blanche,
drap de laine baye teinte,
drap de laine bayette,
drap de laine commun,
drap de laine d'Elbeuf,
drap de laine de Beauvais,
drap de laine de Languedoc,
drap de laine de Louviers,
drap de laine de Saint-Robert,
drap de laine de Sedan,
drap de laine de Silésie,
drap de laine de Van Robais,
drap de laine de Vir,
drap de laine diverse,
drap de laine draperie diverse,
drap de laine fin,
drap de laine Londrin,
drap de laine londrin,
drap de laine serge,
drap de Languedoc,
drap de Languedoc fin,
drap de Languedoc ordinaire,
drap de Latte,
drap de Lille,
drap de Limbourg,
drap de Limoux,
drap de lin,
drap de lin vieux,
drap de linge commun,
drap de lit,
drap de lit commun,
drap de lit neuf,
drap de lit vieux,
drap de lit vieux,
drap de Lodève,
drap de Londrin,
drap de Louvier au 6e de soie,
drap de Louviers,
drap de Maroc,
"drap de Maroc, teint de douzaine",
drap de montagne,
drap de Montauban,
drap de Moucu,
drap de Nison,
drap de Normandie,
drap de Panguede,
drap de Picardie,
drap de Pie,
drap de Poitou,
drap de Reims,
drap de Rome,
drap de Rouen,
drap de Saint Lô,
drap de Saint Robert,
drap de Sedan,
drap de Sedan de retour,
drap de Ségovie,
drap de Silésie,
drap de Silésie petit,
drap de Sir,
drap de soie,
drap de Soudrain,
drap de Van Robais,
drap de Vir,
drap des prise,
drap dit packlaeken,
drap dit packlaeken blanc,
drap dit packlaeken teint,
drap dit plamens,
drap dit plawens ou codde,
drap divers,
drap divers ???,
drap divers anglais,
drap divers de laine,
drap divers de Limbourg,
drap divers écarlate,
drap divers fin,
drap diverse,
drap drache,
drap drague,
drap drapé,
drap draperie cadi,
drap draperie d'Abbeville,
drap draperie d'Amiens,
drap draperie d'aufine,
drap draperie Damas,
drap draperie de Carcassonne,
drap draperie de Languedoc,
drap draperie de Montauban,
drap draperie divers,
drap draperie espagnolette,
drap draperie fine,
drap draperie flanelle,
drap draperie frac,
drap draperie futaine,
drap draperie iada,
drap draperie layette,
drap draperie molleton,
drap draperie motton,
drap draperie moutade,
drap draperie ordinaire,
drap draperie petite,
drap draperie petite de Languedoc,
drap draperie petite de main,
drap draperie petite de Sedan,
drap draperie petite de Silésie,
drap draperie petite divers,
drap draperie petite diverse,
drap draperie petite du Maroc,
drap draperie ratine,
drap draperie serge,
drap draperie tricot,
drap draperie tricots,
drap droguet,
drap droguet d'Angleterre,
drap droguet d'Hollande,
drap droguet de castor,
drap droguet de fil et laine,
drap droguet de Hollande,
drap droguet de laine,
drap droguet de milan,
drap droguet fil a laine,
drap du Dauphiné,
drap du Languedoc,
drap du nord,
drap du nord blanc,
drap du nord mellé,
drap du nord teint,
drap du sceau,
drap Duffel,
drap écarlate,
drap espagnolette,
drap étranger,
drap fin,
drap fin du Languedoc,
drap flanelle,
drap gauffré,
drap goudronné,
drap grossier,
drap imprimé,
drap irtaine,
drap Languedoc,
drap londrin,
drap Maroc,
drap molton,
drap native divers,
drap naturel commun,
drap naturel commune,
drap naturel de Sedan,
drap naturel diverse,
drap naturel Sirre,
drap noir,
drap ordinaire,
drap palencourt,
drap petit,
drap pinchina,
drap platine,
drap poudrin,
drap ratine,
drap ratine diverse,
drap raz d'Angleterre,
drap raz de castor,
drap raz de Maroc,
drap raz des Lo,
drap raze blanche,
drap serge,
drap serge à doubler,
drap serge blanc,
drap serge d'Angleterre,
drap serge d'Arnetal,
drap serge d'aumale,
drap serge d'Aumale,
drap serge de laine,
drap serge de Lille,
drap serge de Montauban,
drap serge de Nîmes,
drap serge des prise,
drap serge drapée,
drap serge écarlate,
drap serge et satin turc,
drap serge fil et laine,
drap serge forte,
drap serge imprimée,
drap serge large,
drap serge sergette,
drap serge teint,
drap teint,
drap teint d'Espagne,
drap teint d'Espagne et de Hollande,
drap teint de Hollande,
drap vert,
drap vieux,
drapeau,
drapeau castor,
drapeau mi castor,
drapeau mi vigogne,
drapeau poil et laine,
drapeau vieux,
drapeau vigogne,
draperie,
draperie de laine,
draperie de Montauban,
draperie et étoffe,
draperie et étoffe de laine,
draperie ordinaire,
draperie petite,
drogue,
drogue a peindre,
drogue aigre de vitriol,
drogue alquifoux,
drogue alun,
drogue antimoine,
drogue asfafélida,
drogue azur,
drogue blanc de baleine,
drogue bongra animal,
drogue canéfice,
drogue cantharide,
drogue capilaire,
drogue carabé,
drogue cassia lignea,
drogue castor,
drogue chimique,
drogue chimique ?,
drogue chimique diverse,
drogue chimique eau forte,
drogue chimique esprit de sel,
drogue chimique esprit de vice,
drogue chimique et métallique,
drogue chimique et métallique antimoine,
drogue chimique et métallique argent vif,
drogue chimique et métallique arsenic,
drogue chimique et métallique diverse,
drogue chimique et métallique eau forte,
drogue chimique et métallique esprit de sel,
drogue chimique et métallique marcure,
drogue chimique et métallique sel amoniac,
drogue chimique et métallique sel de Globert,
drogue chimique et métallique sel divers,
drogue chimique et métallique sublime,
drogue chimique et métallique zinc,
drogue chimique sel ammoniac,
drogue chimique sel amoniac,
drogue chimique sel d'epsum,
drogue chimique sel d'opium,
drogue chimique sel de Globert,
drogue chimique sel de paume,
drogue chimique sel de plomb,
drogue chimique sel de potasse,
drogue chimique sel de tamarin,
drogue chimique sel divers,
drogue chimique sel gemme,
drogue chimique sel saturne,
drogue chimique sel sublimé,
drogue chimique sublimé,
drogue cochenille,
drogue commune,
drogue commune,
drogue composée pour la médecine benjoin,
drogue couperose,
drogue d'apothicaire,
drogue d'apothicaire,
drogue d'apothicaire commune,
drogue de misme,
drogue diverse,
drogue diverse sagon,
drogue doraze,
drogue émeri,
drogue essence de vitriol,
drogue fine,
drogue galbanum,
drogue galle,
drogue gomme,
drogue gomme adraganthe,
drogue gomme arabique,
drogue gomme barbarie,
drogue gomme commune,
drogue gomme copal,Gomme
drogue gomme couperose,
drogue gomme de barbarie,
drogue gomme diverse,
drogue gomme du Sénégal,
drogue gomme élastique,
drogue gomme galle,
drogue gomme gutte,Gomme
drogue gomme herbe grande,
drogue gomme laque,Gomme
drogue gomme médécinale diverse,
drogue gomme métallique diverse,
drogue gomme pour peinture et teinture,
drogue gomme racine d'alizary,
drogue gomme sandarak,
drogue gomme Sénégal,
drogue gomme verdet,
drogue gousse arabique,
drogue gousse diverse,
drogue gousse du Senegal,
drogue gousse gatte,
drogue gousse lagne,
drogue graine diverse,
drogue huile d'amande,
drogue huile de thérébenthine,
drogue huile de vitriol,
drogue indigo,
drogue indigo des îles française,
drogue jus de réglisse,
drogue litharge,
drogue mastic,
drogue mauris,
drogue médicinale,
drogue médicinale agaric,
drogue médicinale agaric gros,
drogue médicinale aloès,
drogue médicinale aloès capalin,
drogue médicinale assa fétide,
drogue médicinale baume divers,
drogue médicinale beaume de copahu,
drogue médicinale beaume du Pérou,
drogue médicinale benjoin,
drogue médicinale beunne,
drogue médicinale bois de réglisse,
drogue médicinale bois réglisse,
drogue médicinale bol d'Arménie,
drogue médicinale borax,
drogue médicinale calaurure,
drogue médicinale camomille,
drogue médicinale camphre,
drogue médicinale canéfice,
drogue médicinale cantharide,
drogue médicinale canyolore,
drogue médicinale capillaire,
drogue médicinale cardamone,
drogue médicinale carrouge,
drogue médicinale casa lignea,
drogue médicinale casse,
drogue médicinale cassia lignea,
drogue médicinale cavefico,
drogue médicinale cévadille,
drogue médicinale chévaque,
drogue médicinale chicolin,
drogue médicinale chimique eau forte,
drogue médicinale coloquinte,
drogue médicinale coque du Levant,
drogue médicinale coraline,
drogue médicinale cordial,
drogue médicinale crème de tartre,
drogue médicinale creuse de sartre,
drogue médicinale cristal de tartre,
drogue médicinale cumin,
drogue médicinale diagedum,
drogue médicinale diverse,
drogue médicinale eau de felzer,
drogue médicinale eau sederale,
drogue médicinale eau vulnéraire,
drogue médicinale fleur de violette,
drogue médicinale galbanum,
drogue médicinale gentiane,
drogue médicinale herbe,
drogue médicinale huile de benjoin,
drogue médicinale ipécacuana,
drogue médicinale jalap,
drogue médicinale jalap racine,
drogue médicinale jalap résine,
drogue médicinale jus de réglisse,
drogue médicinale magnésie,
drogue médicinale manne,
drogue médicinale mousse de mer,
drogue médicinale œil d'écrevisse,
drogue médicinale œil d'écrevisse,
drogue médicinale opium,
drogue médicinale orge perlé,
drogue médicinale pignon d'Inde,
drogue médicinale plante,
drogue médicinale plante aristoloche,
drogue médicinale plante carrue,
drogue médicinale plante casse en bâton,
drogue médicinale plante coque levant,
drogue médicinale plante coriandre,
drogue médicinale plante cumin,
drogue médicinale plante fleur de benjoin,
drogue médicinale plante galanga,
drogue médicinale plante ginseng,
drogue médicinale plante Guajocum,
drogue médicinale plante jalap,
drogue médicinale plante ogarie,
drogue médicinale plante quinquina,
drogue médicinale plante racine,
drogue médicinale plante rhubarbe,
drogue médicinale plante salsepareille,
drogue médicinale plante sebestre,
drogue médicinale plante simarouba,
drogue médicinale plante tamarin,
drogue médicinale poudre brillant,
drogue médicinale précipité,
drogue médicinale quinquina,
drogue médicinale quinquina extrait,
drogue médicinale racine diverse,
drogue médicinale réglisse,
drogue médicinale réglisse en bois,
drogue médicinale réglisse racine,
drogue médicinale réglisse sur bâne,
drogue médicinale résine de jalap,
drogue médicinale réunie,
drogue médicinale rhubarbe,
drogue médicinale sableuée,
drogue médicinale safran,
drogue médicinale salsepareille,
drogue médicinale sang dragon,
drogue médicinale scamonée,
drogue médicinale seamanée,
drogue médicinale sel ammoniac,
drogue médicinale semen contra,
drogue médicinale séné,
drogue médicinale séné en feuille,
drogue médicinale séné en grabau,
drogue médicinale squine,
drogue médicinale stafisaigre,
drogue médicinale storax,
drogue médicinale storax liquide,
drogue médicinale sublime,
drogue médicinale sublime corosif,
drogue médicinale tamarin,
drogue médicinale thériaque,
drogue médicinale vanille,
drogue médicinale zedonire,
drogue mêlée,
drogue mêlée benjoin,
drogue mêlée borax,
drogue mêlée fleur d'aspic ou de lavande,
drogue mêlée gomme adragant,
drogue mêlée gomme arabique,
drogue mêlée gomme commune,
drogue mêlée gomme de barbarie,
drogue mêlée gomme de sandarac,
drogue mêlée gomme gedda,
drogue mêlée gomme gutte,
drogue mêlée gomme laque,
drogue mêlée gomme Sénégal,
drogue mêlée mastic,
drogue métallique,
drogue métallique antimoine,
drogue métallique argent vif,
drogue métallique arsenic,
drogue métallique auchinoise,
drogue métallique divers,
drogue métallique diverse,
drogue métallique et chimique sel d'étain,
drogue métallique litharge,
drogue métallique mercerie,
drogue métallique mercure,
drogue métallique piharge,
drogue métallique salamouris,
drogue métallique sel ammoniac,
drogue métallique toutenague,
drogue métallique vitriol,Vitriol ; blanc
drogue métallique vitriol bleue,
drogue métallique vitriol de Chypre,Vitriol ; blanc
drogue mine de plomb,
drogue minium,
drogue musc,
drogue noix de galle,
drogue odorante,
drogue odorante ambre gris,
drogue odorante ambre jaune,
drogue odorante encens,
drogue odorante mirre,
drogue odorante musc,
drogue pour la peinture,
drogue pour la peinture et la teinture,
drogue pour la peinture et la teinture alizari,
drogue pour la peinture et la teinture alizari graine,
drogue pour la peinture et la teinture alizari racine,
drogue pour la peinture et la teinture alquifou,
drogue pour la peinture et la teinture alun,Alun
drogue pour la peinture et la teinture alun en dracy,Alun
drogue pour la peinture et la teinture azur,
drogue pour la peinture et la teinture azur et bleu de Prusse,
drogue pour la peinture et la teinture blanc,
drogue pour la peinture et la teinture blanc d'Espagne,
drogue pour la peinture et la teinture blanc de ?,
drogue pour la peinture et la teinture blanc de céruse,
drogue pour la peinture et la teinture blanc de ferax,
drogue pour la peinture et la teinture blanc de herps,
drogue pour la peinture et la teinture bleu,
drogue pour la peinture et la teinture bleu commun,
drogue pour la peinture et la teinture bleu de paille,
drogue pour la peinture et la teinture bleu de pierre,
drogue pour la peinture et la teinture bleu de Prusse,
drogue pour la peinture et la teinture bleu de Prusse et graine jaune,
drogue pour la peinture et la teinture bleu de Prusse et lazulite,
drogue pour la peinture et la teinture bleu de smalt,
drogue pour la peinture et la teinture bleu en encre,
drogue pour la peinture et la teinture bleu en pierre,
drogue pour la peinture et la teinture bleu fin,
drogue pour la peinture et la teinture borax raffiné,
drogue pour la peinture et la teinture brun rouge,
drogue pour la peinture et la teinture cendre bleue,
drogue pour la peinture et la teinture céruse,
drogue pour la peinture et la teinture cinabre,
drogue pour la peinture et la teinture cochenille,Cochenille
drogue pour la peinture et la teinture colorant et vert-de-gris,
drogue pour la peinture et la teinture couleur et huile,
drogue pour la peinture et la teinture couperose,
drogue pour la peinture et la teinture croix d'voire,
drogue pour la peinture et la teinture cunier,
drogue pour la peinture et la teinture curcuma,
drogue pour la peinture et la teinture diverse,
drogue pour la peinture et la teinture fnée platte,
drogue pour la peinture et la teinture fris,
drogue pour la peinture et la teinture galle,
drogue pour la peinture et la teinture galles en sorte,Galle
drogue pour la peinture et la teinture garance,
drogue pour la peinture et la teinture garance billon,
drogue pour la peinture et la teinture garance commune,
drogue pour la peinture et la teinture garance diverse,
drogue pour la peinture et la teinture garance grappe,
drogue pour la peinture et la teinture garance non preparée,
drogue pour la peinture et la teinture garance non robée,
drogue pour la peinture et la teinture garance préparée,
drogue pour la peinture et la teinture garance racine,
drogue pour la peinture et la teinture garance racine de alizari,
drogue pour la peinture et la teinture garonne,
drogue pour la peinture et la teinture gatte noire,
drogue pour la peinture et la teinture graine,
drogue pour la peinture et la teinture graine d'Avignon,
drogue pour la peinture et la teinture graine d'écarlatte,
drogue pour la peinture et la teinture graine jaune,
drogue pour la peinture et la teinture gris,
drogue pour la peinture et la teinture herbe à teindre,
drogue pour la peinture et la teinture Inde platte,
drogue pour la peinture et la teinture indigo,Indigo
drogue pour la peinture et la teinture indigo gatimalo,Indigo
drogue pour la peinture et la teinture iris,
drogue pour la peinture et la teinture iris de Florence,
drogue pour la peinture et la teinture jais,
drogue pour la peinture et la teinture jaune de naples,
drogue pour la peinture et la teinture jude fine,
drogue pour la peinture et la teinture jude flottante,
drogue pour la peinture et la teinture jude plate,
drogue pour la peinture et la teinture lackière,
drogue pour la peinture et la teinture lackmoir,
drogue pour la peinture et la teinture lacque platte,
drogue pour la peinture et la teinture laque,
drogue pour la peinture et la teinture laque de Venise,
drogue pour la peinture et la teinture laque en poudre,
drogue pour la peinture et la teinture laque fausse,
drogue pour la peinture et la teinture laque plate,
drogue pour la peinture et la teinture littarge,
drogue pour la peinture et la teinture marron,
drogue pour la peinture et la teinture mastie,
drogue pour la peinture et la teinture mine de plomb,
drogue pour la peinture et la teinture mine de plomb noire,
drogue pour la peinture et la teinture mine de plomb rouge,
drogue pour la peinture et la teinture mine de prusse,
drogue pour la peinture et la teinture minium,Minium
drogue pour la peinture et la teinture muce de plomb,
drogue pour la peinture et la teinture noir,
drogue pour la peinture et la teinture noir d'ivoire,
drogue pour la peinture et la teinture noir de fumée,
drogue pour la peinture et la teinture noix,
drogue pour la peinture et la teinture noix de galles,
drogue pour la peinture et la teinture ocre,
drogue pour la peinture et la teinture ocre brun,
drogue pour la peinture et la teinture ocre en pierre,
drogue pour la peinture et la teinture ocre jaune,
drogue pour la peinture et la teinture ocre noir,
drogue pour la peinture et la teinture ocre rouge,
drogue pour la peinture et la teinture orbe,
drogue pour la peinture et la teinture orpiment,
drogue pour la peinture et la teinture orpin,
drogue pour la peinture et la teinture orseille,
drogue pour la peinture et la teinture orseille apprêtée,
drogue pour la peinture et la teinture pastel,
drogue pour la peinture et la teinture pastel à teindre,
drogue pour la peinture et la teinture pérelle,
drogue pour la peinture et la teinture perle bleue,
drogue pour la peinture et la teinture poudre et teinture verte,
drogue pour la peinture et la teinture racine d'alisary,
drogue pour la peinture et la teinture rocou,
drogue pour la peinture et la teinture rouge de venise,
drogue pour la peinture et la teinture rouge minéral,
drogue pour la peinture et la teinture saffranum,
drogue pour la peinture et la teinture sanguine,
drogue pour la peinture et la teinture semence,
drogue pour la peinture et la teinture serra merita,
drogue pour la peinture et la teinture stil de grain,
drogue pour la peinture et la teinture sumac,Sumac
drogue pour la peinture et la teinture tartre,Tartre
drogue pour la peinture et la teinture térébenthine,
drogue pour la peinture et la teinture terre d'ombre,
drogue pour la peinture et la teinture tournesol,
drogue pour la peinture et la teinture tournesol et d'acmail,
drogue pour la peinture et la teinture verdet,Vert-de-gris
drogue pour la peinture et la teinture vermillon,
drogue pour la peinture et la teinture vermillon ou sulfure de vermillon,
drogue pour la peinture et la teinture verni,
drogue pour la peinture et la teinture vers de gris,
drogue pour la peinture et la teinture vert de gris,Vert-de-gris
drogue pour la peinture et la teinture vitriol de Chypre,
drogue pour la peinture et teinture gande,
drogue pour la peinture galle,
drogue pour la peinture ocre,
drogue pour la peinture sumac,
drogue quinquina,
drogue racine d'alizary,
drogue réunie,
drogue réunie diverse,
drogue réunie diverse matières première,
drogue réunie matières première,
drogue rhubarbe,
drogue safran,Safran ; orange
drogue salsepareille,
drogue sandarac,
drogue sel de saturne,
drogue sel de vitriol,
drogue sel médécinal divers,
drogue séné,
drogue soie et laine,
drogue soux de grabanite,
drogue soux en feuille,
drogue térébenthine,Thérébenthine
drogue térébenthine essence,Thérébenthine
drogue térébenthine essence et huile,Thérébenthine
drogue térébenthine huile,Thérébenthine
drogue tournesol,
drogue tripoli,
drogue verdet,Vert-de-gris
droguerie,
droguerie chimique et métallique diverse,
droguerie diverse,
droguerie gomme arabique,Gomme
droguerie gomme du Sénégal,Gomme
droguerie gomme laque,Gomme
droguerie médicinale diverse,
droguerie médicinale quinquina,
droguerie pour les peintures et la teinture,
droguerie pour les peintures et la teinture galle,Galle
droguerie pour les peintures et la teinture huile de térébenthine,Thérébenthine
droguerie pour les peintures et la teinture indigo,Indigo
droguerie pour les peintures et la teinture safranum,Safran ; orange 
droguerie pour les peintures et la teinture verdet,
drogues chimiques sel ammoniac,
drogues composées pour ma médecine crème de tartre,Tartre
drogues composées pour ma médecine jus de réglisse,
drogues composées pour ma médecine manne,
drogues diverses drogues diverses réunies,
drogues diverses gomme diverse,Gomme
drogues diverses huile et essence de térébenthine,Thérébenthine
drogues gomme Sénégal,Gomme
drogues médicinales crème de tartre,Tartre
drogues médicinales diverses,
drogues médicinales drogues médicinales réunies,
drogues médicinales en plantes réglisse,
drogues médicinales en plantes safran,Safran ; orange 
drogues médicinales en plantes tournesol,
drogues médicinales quinquina,
drogues mêlées diverses,
drogues mêlées gomme arabique,Gomme
drogues mêlées gousses arabiques,
drogues métalliques ???,
drogues métalliques vitriol,Vitriol ; blanc
drogues odorantes diverses,
drogues pour la teinture alun,Alun
drogues pour la teinture cochenille,Cochenille
drogues pour la teinture herbes à teindre,
drogues pour la teinture noir de galle,Galle
drogues pour la teinture safranum,Safran ; orange 
drogues pour la teinture tartre,Tartre
drogues pour les peintures diverses,
drogues pour les peintures et la teinture ???,
drogues pour les peintures et la teinture alun,Alun
drogues pour les peintures et la teinture diverses,
drogues pour les peintures et la teinture garance,
drogues pour les peintures et la teinture herbes à teindres,
drogues pour les peintures et la teinture huile de térébenthine,Thérébenthine
drogues pour les peintures et la teinture noix de galle,Galle
drogues pour les peintures et la teinture safranum,Safran ; orange 
drogues pour les peintures et la teinture tartre,Tartre
drogues pour les peintures et la teinture térébenthine,Thérébenthine
drogues pour les peintures et la teinture verdet,
drogues pour les peintures huile de térébenthine,Thérébenthine
drogues pour les peintures ocre,
drogues pour les peintures térébenthine,Thérébenthine
drogues pour les peintures verdet,
droguet de castor,
droguet de fil et laine,
droguet de laine,
droguet de laine et fil,
droguet et Maroc,
duc-d'Albe,
duc-d'Albe de grés,
duc-d'Albe de terre,
duffel,
duffel teint,
duvet,
duyvelsterck,
eau,
eau à noircir tabac,
eau citronnelle,
eau cordiale,
eau d'anis,
eau d'arquebusade,
eau de Barbade,
eau de Barbades,
eau de bergamote,
eau de bouleau,
eau de Bristol,
eau de Bussing,
eau de Bussingne,
eau de cannelle,
eau de cerise,
eau de Charente,
eau de citron,
eau de coclearia,
eau de Cologne,
eau de composition,
eau de cuivre,
eau de fleur d'orange,
eau de fleurs d'orange,
eau de genièvre,
eau de la reine d'Hongrie,
eau de la reine de Hongrie,
eau de larmes,
eau de lavande,
eau de Marquette,
eau de mélisse,
eau de mer,
eau de miel,
eau de mirrhe,
eau de nard,
eau de Philipine,
eau de pin,
eau de plombière,
eau de raisin,
eau de rose,
eau de roze,
eau de sel,
eau de seltz,
eau de senlaw,
eau de senteur,
eau de senteur de bergamote,
eau de senteur de citron,
eau de senteur de la reine de Hongrie,
eau de senteur de lavande,
eau de senteur de nard,
eau de senteur diverse,
eau de senteur et quintessence,
eau de senteur rose,
eau de senteur sans pareille,
eau de Spa,
eau de tartre,
eau de toilette,
eau de vie,Eau ; de vie
eau de vie d'Andaye,Eau ; de vie
eau de vie d'Espagne,Eau ; de vie
eau de vie d'oléron,
eau de vie de Charente,
eau de vie de Cognac,
eau de vie de genièvre,
eau de vie de grain,
eau de vie de grain blé,
eau de vie de grain de genièvre,
eau de vie de Marennes,
eau de vie de Rez,
eau de vie de Rochefort,
eau de vie de vin,Eau ; de vie
eau de vie diverse,Eau ; de vie
eau de vie double,
eau de vie et liqueur,
eau de vie et rhum,
eau de vie et rhum et tafia,
eau de vie rectifiée,
eau de vie simple,Eau ; de vie
eau de vie triple,
eau des Barbades,
eau des carmes,
eau des Carmes,
eau des caverne,
eau des cavernes,
eau des farmes,
eau distillée,
eau diverse,
eau divine,
eau et huile spiritueuse,Eau ; de vie
eau ferrée,
eau forte,
eau gazeuse,
eau médicinale,
eau médicinale cordiale,
eau médicinale d'arquebusan,
eau médicinale de cannelle,
eau médicinale de Chypre,
eau médicinale de coclearia,
eau médicinale de fleur d'oranger,
eau médicinale de genièvre,
eau médicinale de marquette,
eau médicinale de mélisse,
eau médicinale de pin,
eau médicinale de raisin,
eau médicinale de Seltzer,
eau médicinale des Carmes,
eau médicinale et minérale,
eau médicinale vulnéraire,
eau minérale,
eau ocgeniente,
eau octaze,
eau puante,
eau remède,
eau rose,
eau sans pareille,
eau spiritueuse,
eau vulnéraire,
eau-de-vie,Eau ; de vie
eau-de-vie de Charente,Eau ; de vie
eau-de-vie de Cognac,Eau ; de vie
eau-de-vie de la Charente,Eau ; de vie
eau-de-vie de Ré,Eau ; de vie
eau-de-vie de Rochefort,Eau ; de vie
eau-de-vie de vin,Eau ; de vie
eau-forte,
ebénisterie,
écaille,
écaille de cahoüanne,
écaille de caret,
écaille de poisson,
écaille de tortue,
écaille diverse,
écaille octomœe,
ecarlate,
ecarlatin de Beauvais,
ecart de bœuf,
echala,
echalote,
échalotes,
echantillon et morceau de soie,
échantillon et morceau de soie,
echarpe de soie,
écharpe de soie,
echarpe et gaze,
écharpe et gaze,
echaussillon,
echelle,
échelle,
ecope,
ecope de sapin,
ecorce,
ecorce à tanner,
ecorce d'arbre,
écorce d'arbre,
ecorce d'arbre étoffe,
écorce d'arbre étoffe,
"ecorce d'arbre, bast, foularde",
ecorce d'orange,
ecorce d'orange et de citron,
ecorce d'orange seche,
ecorce d'orange sergal,
écorce de bergamote,
ecorce de bergamotte,
ecorce de bois,
ecorce de bois de fer,
ecorce de bouleau,
écorce de bouleau,
écorce de cacao,
ecorce de cèdre,
ecorce de chanvre,
ecorce de chêne,
ecorce de chêne moulue,
écorce de citron,
ecorce de citron confit,
écorce de citron et d'orange,
écorce de citron séchée,
ecorce de grenade,
ecorce de hesne,
ecorce de magellan,
ecorce de pin en poussière,
ecorce de soie,
ecorce de tilleul,
ecorce diverse,
écran,
ecrevisse,
écrevisse,
écrevisse de mer,
écrevisse de rivière,
écrin,
écrin peint,
ecritoire,
ecritoire garni d'or,
ecru de cerise,
écuelle de terre,
écuelle de vermillon,
effet à déménager,
effilé de fil,
effilé de soie,
efforce à tondre,
églefin séché,
egouttoir,
égouttoir,
égouttoir à fondre,
eguille a boite,
elbot,
