orthographic_pierre,simplification,status,beforeItems,afterItems,obsolete,imprimatur
bois fagots,[bois ; à brûler],ambiguous,,[Bois ; fagot] [Bois ; fagolo] [Bois; fagots] [Bois ; fagots],no,
fagots,[bois ; à brûler],ambiguous,,[Fagots],no,
bois de chauffage,[bois ; à brûler],ambiguous,,[Bois de chauffage],no,
bois à teinture,[bois ; a teinture] [bois ; à teindre],ambiguous,,[Bois ; a teinture] [Bois a teinture],no,
bois d'ansprete,[bois ; anspects],ambiguous,,[Bois ; d'ansprete],no,
bois anspect,[bois ; anspects],ambiguous,,[Bois ; auspects] [Bois ; Anspect] [Bois anspects] [Bois ; anspect] [Bois ; anspects],no,
bois d'aloès,[bois ; d'aloès],ambiguous,,[Bois ; d'aloes] [Bois ; d'aloès] [Bois; d'aloës] [Bois ; d'aloës] [bois d'aloües],no,
bois d'esquine,[bois ; d'esquine] [bois ; d'esquisse],ambiguous,,[Bois ; d'esquisse] [Bois ; d'esquine],no,
bois de buis,[??? bois ; de buis],ambiguous,,[Bois ; De buis] [Bois ; de bris] [Bois; de buis] [Bois ; de Buis] [Bois de bui] [Bois de buy] [Bois de buis] [bois de buis] [Bois ; de buy] [Bois de Buy] [Bois ; de buis] [bois de buy],no,
bois de Pernambouc,[bois ; de Camanbourg] [bois ; de fernambourg] [bois ; de pernambouc],ambiguous,,[Bois ; de Pernambouc] [Bois ; de ferrambourg] [Bois ; de fermambourg] [Bois ; de fernanbourg] [Bois ; de fernamboury] [Bois; de fernambourg] [Bois ; de fornambourg] [Bois ; de Fernambourg] [Bois ; de Sermanbourg] [Bois ; de fernambour] [Bois ; de Fermanbourg] [Bois ; de Sermambourg] [Bois ; de Camanbourg] [Bois ; de fermanbourg] [Bois ; de Simanbourg] [Bois ; de Fimanbourg] [Bois de fenambourg] [Bois de Fer nambourg] [Bois de fernambourg] [Bois de fermanbourg] [bois de fernambourg] [Bois de Fernanbourg] [Bois ; de fernembourg] [Bois de pernambourg] [Bois de Termanbour] [Bois ; de pernambouc] [Bois de Pernambouc] [Bois de Permanbouc] [Bois ; de fernambourg] [Bois de pernanmbouc] [Bois de pernenbour] [Bois de permanbonne],no,
bois de Campêche râpé,[bois ; de campêche ; râpé] [bois ; de campêche],ambiguous,,[Bois de campêche rapé] [Bois ; de campeche rapé] [Bois ; de campêche rappé] [Bois ; de campesche Rappé] [Bois ; de campech Rapé] [Bois de cmapesphe rapé] [Bois de campeche rapé] [Bois de Campêche rapé] [Bois de Campeshe Rapé] [Bois de campesche rapé] [Bois de Campeshe Rape] [Bois de Campeshe râpé] [Bois Campêche râpé] [Bois de Campêche râpé],no,
bois de Campêche en bûches,[bois ; de campêche ; en bûche],ambiguous,,[Bois de Campêche ; en buches] [Bois de campesche ; en buches] [Bois ; de campeche en buches] [Bois ; de campêche en Buches] [Bois de campêche en buches] [Bois ; de campesche en buches] [Bois ; de campêche en buche] [Bois ; de Campesch en Buches] [Bois de campesche en buches] [bois de campêche en buche] [Bois de cmapesphe en buches] [Bois de Campêche en buches],no,
bois de Cayenne,[bois ; de Cayenne],ambiguous,,[Bois ; de Cayenne] [Bois de cayenne],no,
bois de construction divers,[bois ; de construction],ambiguous,,[Bois ; de construction ; divers] [Bois; De construction; Divers] [Bois de construction divers],no,
bois divers de construction,[bois ; de construction],ambiguous,,[Bois divers de construction],no,
bois divers de construction en planches etc.,[bois ; de construction],ambiguous,,"[Bois divers de construction en planches, etc]",no,
bois divers et de construction,[bois ; de construction],ambiguous,,[Bois divers et de construction],no,
bois divers pour construction,[bois ; de construction] [bois ; pour construction],ambiguous,,[Bois divers pour construction] [Bois ; divers ; pour construction],no,
bois de construction,[bois ; de construction],ambiguous,,[Bois de constructions] [Bois ; De construction] [Bois; de construction] [Bois; De construction] [Bois ; de constructions] [Bois ; de Construction] [Bois ; de construction] [bois de construction] [Bois de Constructions] [Bois de construction],no,
bois de Pernambouc arbustes,[bois ; de fernambourg],ambiguous,,[Bois ; de fernambourg ; arbustes],no,
bois Pernambouc,[bois ; de fernambourg],ambiguous,,[Bois ; fernambourg],no,
bois de gabarit,[bois ; de gabarie],ambiguous,,[Bois ; de gabarie] [bois de gabaris],no,
bois de jacaranda,[bois ; de jacaranda] [bois ; de jaraconda],ambiguous,,[Bois ; de jaracumba] [Bois; de jaraconda] [Bois ; de jaraconda] [Bois ; de jaracunda] [Bois ; de Jaraconda] [Bois ; de jacaranda],no,
bois de machemillier,[bois ; de machemillier] [bois ; de machenette],ambiguous,,[Bois; de machenette] [Bois ; de machivilliers] [Bois ; de machemilliers] [Bois ; demachemillier] [Bois de Mactemelle],no,
bois de Sainte-Marthe moulu,[bois ; de Sainte Marthe],ambiguous,,[Bois ; de Saint Marthe ; moulu],no,
bois de Sainte-Marthe en bûches,[bois ; de Sainte Marthe],ambiguous,,[Bois ; de Saint Marthe ; en buches],no,
bois de Sainte-Marthe,[bois ; de Sainte Marthe] [bois ; de sainte Marthe],ambiguous,,[Bois ; des marthe] [Bois ; de N marthe] [Bois ; de S Marthe] [Bois ; de St. Marth] [Bois ; de S.Marth] [Bois ; de s.marthe] [Bois ; de S.marthe] [Bois; de Ste Marthe] [Bois ; de Ste-Marthe] [Bois ; de Ste. Marthe] [Bois ; de Ste Marthe] [Bois; De Ste Marthe] [Bois ; de Saint Martre] [Bois ; de St. Marthe] [Bois ; de Sainte-Marthe] [Bois ; de Ste marthe] [Bois de Ste Marthe] [bois de Ste Marthe] [bois de Ste marthe] [Bois ; de sainte marthe] [Bois de sainte marthe] [Bois de Ste marthe] [Bois de Sainte-Marthe] [Bois de Saint-marthe] [bois de ste marthe] [Bois de St Marthe] [Bois de Sainte Marthe] [Bois ; de Saint Marthe],no,
bois de mathe,[bois ; de Sainte Marthe],ambiguous,,[Bois de Mathe],no,
bois néphrétique,[bois ; de néphrétique] [bois ; néphrétique],ambiguous,,[Bois ; neffretique] [Bois; nefrétique] [Bois ; de néphrétique] [Bois ; nefretique],no,
bois de palissandre,[bois ; de palisante] [bois ; de palissandre],ambiguous,,[bois de palisante] [Bois ; de palessandre] [Bois ; de patissandre] [Bois; de palissandre] [Bois ; de palissandre] [Bois ; de Palissandre],no,
bois de santal en bûches,[bois ; de santal ; en bûche],ambiguous,,[Bois ; de sandal ; en buches] [Bois de sandal ; en buches] [Bois de sandal en buches],no,
bois de sassafras,[bois ; de saxafras],ambiguous,,[Bois ; de saxafran] [Bois de Saxafras] [Bois ; de Saxafras] [Bois de saxafras] [Bois ; de saxafras] [Bois de salsafras] [Bois ; de saxafra] [bois de saxafra] [Bois de saxafra],no,
bois des Îles et des Indes,[bois ; d'Inde et des îles] [bois ; des Isles et des Indes] [bois ; des Iles],ambiguous,,[Bois des iles] [Bois ; des îles et des Indes] [Bois des iles et des Indes] [Bois des îles et des indes] [Bois des îles et des Indes] [Bois des Iles et des Indes] [Bois des lies et des Indes] [Bois des îles] [Bois ; des Isles et des Indes] [Bois des Isles et des Indes],no,
bois des Îles,[bois ; des Isles] [bois ; des Iles],ambiguous,,[Bois ; des Isles] [Bois des Isles],no,
