marchandises_norm_ortho	marchandises_simplifiées	marchandises_simplifiées_unifiées
articles réunis de peu de valeur	articles, de peu de valeur, divers	
articles réunis et tissus étrangers réexportés	articles, divers ; et ; tissus étrangers, réexportés	
artifice	artifice	
artifice	artifice	
artifice fusées etc.	artifice : fusées ; etc.	
artillerie	artillerie	
artillerie	artillerie	
artillerie ; en bombes et boulets	artillerie : bombes ; et ; boulets	
artillerie ; en boulets	artillerie : boulets	
artillerie de cuivre	artillerie, en cuivre	
artillerie en canons, bombes	artillerie : canons ; bombes	
ase fétide	ase fétide	
ase fétide	ase fétide	
ase fétide	ase fétide	
ase fétide	ase fétide	
ase fétide	ase fétide	
ase fétide	ase fétide	
ase fétide	ase fétide	
ase fétide	ase fétide	
ase fétide	ase fétide	
ase fétide	ase fétide	
ase fétide	ase fétide	
ase fétide	ase fétide	
asperges	asperges	
asperges et scorsonaires	asperges ; et ; scorsonaires	
asphalte	asphalte	
asphalte	asphalte	
asphalte	asphalte	
aspolatum	aspolatum	
assiette	assiette	
assiette ; de bois	assiette, en bois	
assiette ; de terre	assiette, en terre	
assiette de faïence	assiette, en faïence	
assiette de faïence	assiette, en faïence	
assiette de porcelaine	assiette, en porcelaine	
assiette de terre	assiette, en terre	
assiette en bois	assiette, en bois	
assiette et plat	assiette ; et ; plat	
asustum	asustum	
attaches de cuivre	attaches, en cuivre	
attelles ; de colliers	attelles, de colliers	
attelles ; de colliers	attelles, de colliers	
attelles de colliers	attelles, de colliers	
attelles de colliers	attelles, de colliers	
attelles de colliers	attelles, de colliers	
attelles de colliers	attelles, de colliers	
attelles de colliers	attelles, de colliers	
attelles de colliers	attelles, de colliers	
auclimes	auclimes	
auges	auges	
auges ; de carreaux	auges, de carreaux	
auges illisible	auges, illisible	
aurcsats	aurcsats	
aussières	aussières	
aux à fauches	aux, à fauches	
avelanèdes	avelanèdes	
avelanèdes	avelanèdes	
avelanèdes	avelanèdes	
avelines	avelines	
aviron	aviron	
aviron	aviron	
aviron	aviron	
aviron	aviron	
aviron	aviron	
aviron ; brut	aviron, brut	
aviron ; de 12 pieds	aviron, de 12 pieds	
aviron ; de 18 pieds	aviron, de 18 pieds	
aviron ; de 30 pieds	aviron, de 30 pieds	
aviron ; de 5 pieds	aviron, de 5 pieds	
aviron; poli	aviron, poli	
avoine	avoine	
avoine	avoine	
avoine	avoine	
avoine	avoine	
avoine ; en gerbes	avoine, en gerbes	
avoine ; mondée	avoine, mondée	
avoine ; moulée	avoine, moulée	
avoine et haricots	avoine ; et ; haricots	
avoine, orge ; etc.	avoine ; orge ; etc.	
azur	azur	
azur	azur	
azur	azur	
azur ; commun	azur, commun	
azur ; commun	azur, commun	
azur ; commun	azur, commun	
azur ; gros	azur, gros	
azur commun	azur, commun	
azur commun	azur, commun	
azur commun	azur, commun	
azur commun	azur, commun	
azur commun	azur, commun	
azur commun	azur, commun	
azur commun	azur, commun	
azur et cobalt	azur ; et ; cobalt	
azur et cobalt	azur ; et ; cobalt	
azur et cobalt	azur ; et ; cobalt	
azur fin	azur, fin	
azur gros	azur, gros	
azur ou bleu commun	azur, commun	
couverts en argent	argent : couverts	
divers articles	articles, divers	
fer : en armures	fer : armures	
haches d'arme	haches d'arme	
piques (armes)	armes : piques	
pistolets (armes)	armes : pistolets	
salé et mariné ; anchois	anchois, salé, et mariné	
