marchandises,marchandises_norm_ortho,mériteplusdetravail,imprimatur,nbr_dans_bdc
Bois de Campeshe,bois de Campêche,,Pierre Gervais,7
Bois de Campeshe Rape,bois de Campêche râpé,,Pierre Gervais,2
Bois de Campeshe Rapé,bois de Campêche râpé,,Pierre Gervais,1
Bois de Campeshe râpé,bois de Campêche râpé,,Pierre Gervais,1
Bois de Canet,bois de canet,x,Pierre Gervais,1
Bois de catiatour,bois de Caliatour,,Pierre Gervais,1
Bois de cayenne,bois de Cayenne,,Pierre Gervais,1
bois de cedre,bois de cèdre,,Pierre Gervais,
Bois de cèdre,bois de cèdre,,Pierre Gervais,1
bois de cerf,bois de cerf,,Pierre Gervais,1
Bois de Champeche,bois de Campêche,,Pierre Gervais,1
Bois de charonage,bois de charronage,,Pierre Gervais,12
Bois de charonages,bois de charronage,,Pierre Gervais,1
Bois de cHarpente,bois de charpente,,Pierre Gervais,1
Bois de charpente,bois de charpente,,Pierre Gervais,1
Bois de Charpente,bois de charpente,,Guillaume Daudin,1
Bois de charpenterie,bois de charpenterie,,Pierre Gervais,
Bois de chauffage,bois de chauffage,,Pierre Gervais,
Bois de chêne,bois de chêne,,Pierre Gervais,3
Bois de chêne ; de 30 a 40 pieds,bois de chêne de 30 à 40 pieds,,Pierre Gervais,1
Bois de chêne ; de 40 pieds,bois de chêne de 40 pieds,,Pierre Gervais,1
Bois de Chêne Bordage,bois de chêne bordage,,Pierre Gervais,1
Bois de chene bouts de 6 pieds,bois de chêne bouts de 6 pieds,,Pierre Gervais,1
bois de chêne carrée,bois de chêne carré,,Pierre Gervais,
Bois de chêne courbé pour construction navale,bois de chêne courbé pour construction navale,,Pierre Gervais,
Bois de Chene de Constructions,bois de chêne de construction,,Pierre Gervais,1
Bois de chêne en lattes,bois de chêne en lattes,,Pierre Gervais,2
Bois de chene planches,bois de chêne planches,,Pierre Gervais,1
Bois de chene pour bordage,bois de chêne pour bordage,,Pierre Gervais,1
Bois de chêne pour construction,bois de chêne pour construction,,Pierre Gervais,1
bois de chêne ronde,bois de chêne rond,,Pierre Gervais,
"bois de chène, carré",bois de chène carré,,Pierre Gervais,
"bois de chène, ronde",bois de chêne rond,,Pierre Gervais,
Bois de chesne,bois de chêne,,Pierre Gervais,3
Bois de chesne a batir,bois de chêne à bâtir,,Pierre Gervais,1
Bois de chesne de 5 pieds morceaux,bois de chêne de 5 pieds morceaux,,Pierre Gervais,1
Bois de chesne des carisage,bois de chêne d'équarrissage,,Pierre Gervais,1
bois de chesne pour construction,bois de chêne pour construction,,Pierre Gervais,1
Bois de clafou,bois de clafou,,Pierre Gervais,1
Bois de cmapesphe en buches,bois de Campêche en bûches,,Pierre Gervais,1
Bois de cmapesphe rapé,bois de Campêche râpé,,Pierre Gervais,1
Bois de Combary,bois de courbaril,,Pierre Gervais,1
Bois de construction,bois de construction,,Pierre Gervais,75
bois de construction,bois de construction,,Pierre Gervais,4
Bois de construction de 40 pieds,bois de construction de 40 pieds,,Pierre Gervais,1
Bois de construction divers,bois de construction divers,,Pierre Gervais,2
Bois de construction en planches,bois de construction en planches,,Pierre Gervais,3
Bois de construction et autres,bois de construction et autre,,Pierre Gervais,15
Bois de construction et en planches,bois de construction et en planches,,Pierre Gervais,1
Bois de construction; Bois de marine,bois de construction bois de marine,,Pierre Gervais,1
Bois de construction; Bordage de chêne,bois de construction bordage de chêne,,Pierre Gervais,2
Bois de construction; Bordage de sapin,bois de construction bordage de sapin,,Pierre Gervais,2
Bois de construction; Courbes de chêne,bois de construction courbe de chêne,,Pierre Gervais,1
Bois de construction; En mats et esparts,bois de construction en mâts et espars,,Pierre Gervais,2
Bois de construction; En poutres,bois de construction en poutres,,Pierre Gervais,1
Bois de construction; Espars,bois de construction espars,,Pierre Gervais,2
Bois de construction; Mats et matériaux,bois de construction mâts et matériaux,,Pierre Gervais,2
Bois de construction; Mérein,bois de construction merrains,,Pierre Gervais,3
Bois de construction; Planches sapin,bois de construction planches sapin,,Pierre Gervais,5
Bois de construction; plançons de chêne,bois de construction plançons de chêne,,Pierre Gervais,1
Bois de Constructions,bois de construction,,Pierre Gervais,15
Bois de constructions,bois de construction,,Pierre Gervais,12
Bois de corne,bois de corne,,Pierre Gervais,
bois de coudre et panniers dudit bois,bois de coudre et paniers dudit bois,,Pierre Gervais,
bois de courbant,bois de courbant,,Pierre Gervais,1
Bois de fanambourg rapé,bois de Pernambouc rapé,,Pierre Gervais,1
Bois de Fayence,bois de faïence,,Pierre Gervais,2
Bois de fenambourg,bois de Pernambouc,,Pierre Gervais,1
Bois de Fer,bois de fer,,Pierre Gervais,1
Bois de Fer nambourg,bois de Pernambouc,,Pierre Gervais,2
Bois de Fer nambourg rapé,bois de Pernambouc râpé,,Pierre Gervais,1
Bois de fermanbourg,bois de Pernambouc,,Pierre Gervais,1
Bois de fernambourg,bois de Pernambouc,,Pierre Gervais,11
bois de fernambourg,bois de Pernambouc,,Pierre Gervais,1
Bois de fernambourg ; moulu,bois de Pernambouc moulu,,Guillaume Daudin,1
Bois de Fernanbourg,bois de Pernambouc,,Pierre Gervais,1
Bois de feuillard,bois de feuillards,,Pierre Gervais,14
bois de flèches,bois de flèches,,Pierre Gervais,
"bois de flèches, arcs etc",bois de flèches arc etc.,,Pierre Gervais,
Bois de France,bois de France,,Pierre Gervais,
Bois de frène,bois de frêne,,Pierre Gervais,
Bois de Fustel,bois de fustel,,Pierre Gervais,4
Bois de fustel,bois de fustel,,Pierre Gervais,3
bois de fustel,bois de fustel,,Pierre Gervais,3
bois de gabaris,bois de gabarit,,Pierre Gervais,1
Bois de Gayac,bois de gaiac,,Pierre Gervais,13
Bois de gayac,bois de gaiac,,Pierre Gervais,30
bois de gayac,bois de gaiac,,Pierre Gervais,10
bois de gayac rapé,bois de gaiac râpé,,Pierre Gervais,1
Bois de gayas,bois de gaiac,,Pierre Gervais,1
bois de gays,bois de gays,,Pierre Gervais,1
bois de geroffle,bois de girofle,,Pierre Gervais,1
Bois de gerofle,bois de girofle,,Pierre Gervais,2
bois de gerofle,bois de girofle,,Pierre Gervais,1
Bois de hêtre,bois de hêtre,,Pierre Gervais,
Bois de Houx Buches,bois de houx bûches,,Pierre Gervais,1
Bois de Lit,bois de lit,,Pierre Gervais,1
Bois de lit,bois de lit,,Pierre Gervais,14
Bois de Mactemelle,bois de machemillier,,Pierre Gervais,1
Bois de marguerite,bois de marguerite,x,Pierre Gervais,1
Bois de marqueterie,bois de marqueterie,,Pierre Gervais,14
Bois de marquetterie,bois de marqueterie,,Pierre Gervais,1
Bois de Mathe,bois de mathe,x,Pierre Gervais,1
Bois de menuiserie,bois de menuiserie,,Pierre Gervais,2
Bois de merrain,bois de merrains,,Pierre Gervais,4
Bois de Moyer,bois de noyer,,Pierre Gervais,1
Bois de Noyer,bois de noyer,,Pierre Gervais,1
Bois de noyer,bois de noyer,,Pierre Gervais,6
bois de noyer,bois de noyer,,Pierre Gervais,2
bois de palisante,bois de palissandre,,Pierre Gervais,
Bois de permanbonne,bois de Pernambouc,,Pierre Gervais,1
Bois de Permanbouc,bois de Pernambouc,,Pierre Gervais,1
Bois de Pernambouc,bois de Pernambouc,,Pierre Gervais,1
Bois de pernambourg,bois de Pernambouc,,Pierre Gervais,1
Bois de pernanmbouc,bois de Pernambouc,,Pierre Gervais,1
Bois de pernenbour,bois de Pernambouc,,Pierre Gervais,1
Bois de pin en planche,bois de pin en planches,,Pierre Gervais,1
Bois de pin en planches,bois de pin en planches,,Pierre Gervais,1
Bois de pin en planches,bois de pin en planches,,Guillaume Daudin,3
"bois de Provence, sernambue et campeche",bois de Provence Pernambouc et Campêche,,Pierre Gervais,
Bois de reglisse,bois de réglisse,,Pierre Gervais,2
bois de reglisse,bois de réglisse,,Pierre Gervais,6
Bois de réglisse,bois de réglisse,,Pierre Gervais,4
bois de reglissy,bois de réglisse,,Pierre Gervais,1
bois de romarin,bois de romarin,,Pierre Gervais,
Bois de rose,bois de rose,,Pierre Gervais,1
bois de roseau,bois de roseau,,Pierre Gervais,1
bois de roseaux,bois de roseau,,Pierre Gervais,1
bois de rouage et ouvrages de charonerie,bois de rouage et ouvrages de charronnerie,,Pierre Gervais,
bois de rozeau,bois de roseau,,Pierre Gervais,4
Bois de Saint Martin,bois de Saint-Martin,,Pierre Gervais,
Bois de Saint-marthe,bois de Sainte-Marthe,,Pierre Gervais,1
Bois de Sainte Marthe,bois de Sainte-Marthe,,Pierre Gervais,4
Bois de sainte marthe,bois de Sainte-Marthe,,Pierre Gervais,4
Bois de Sainte-Marthe,bois de Sainte-Marthe,,Pierre Gervais,1
Bois de salsafras,bois de sassafras,,Pierre Gervais,2
Bois de sandal,bois de santal,,Pierre Gervais,19
bois de sandal,bois de santal,,Pierre Gervais,1
Bois de sandal ; en buches,bois de santal en bûches,,Pierre Gervais,1
Bois de sandal ; moulu,bois de santal moulu,,Pierre Gervais,1
Bois de sandal en buches,bois de santal en bûches,,Pierre Gervais,1
Bois de Sandal Moulu,bois de santal moulu,,Pierre Gervais,7
Bois de sandal moulu,bois de santal moulu,,Pierre Gervais,7
bois de sandal moulu,bois de santal moulu,,Pierre Gervais,2
bois de sandal moulû,bois de santal moulu,,Pierre Gervais,2
Bois de sandale,bois de santal,,Pierre Gervais,4
Bois de sandale Moulu,bois de santal moulu,,Pierre Gervais,1
bois de santal,bois de santal,,Pierre Gervais,
Bois de santal ?,bois de santal ???,,Pierre Gervais,1
Bois de Sapan,bois de sappan,,Pierre Gervais,2
Bois de sapan,bois de sappan,,Pierre Gervais,2
Bois de Sapan moulu a teindre,bois de sappan moulu à teindre,,Pierre Gervais,1
Bois de Sapin,bois de sapin,,Pierre Gervais,8
bois de sapin,bois de sapin,,Pierre Gervais,2
Bois de sapin ; de 2 a 3 pieds,bois de sapin de 2 à 3 pieds,,Pierre Gervais,1
Bois de sapin ; de 22 pieds de long sur 12 pouces d'épaisseur,bois de sapin de 22 pieds de long sur 12 pouces d'épaisseur,,Pierre Gervais,1
Bois de sapin ; de 6 pieds,bois de sapin de 6 pieds,,Pierre Gervais,1
Bois de sapin de 20 a 30 pieds,bois de sapin de 20 à 30 pieds,,Pierre Gervais,1
Bois de sapin de 40 pieds,bois de sapin de 40 pieds,,Pierre Gervais,2
Bois de sapin en planche,bois de sapin en planches,,Pierre Gervais,2
Bois de sapin en planches,bois de sapin en planches,,Pierre Gervais,59
Bois de sapin en planches communes,bois de sapin en planches communes,,Pierre Gervais,4
Bois de sapin en planches resciées,bois de sapin en planches resciées,,Pierre Gervais,2
Bois de Sapin peinte,bois de sapin peint,,Pierre Gervais,1
bois de sapin pour charpente,bois de sapin pour charpente,,Pierre Gervais,
Bois de sapin pour construction,bois de sapin pour construction,,Pierre Gervais,2
Bois de saxafra,bois de sassafras,,Pierre Gervais,1
bois de saxafra,bois de sassafras,,Pierre Gervais,1
Bois de Saxafras,bois de sassafras,,Pierre Gervais,2
Bois de saxafras,bois de sassafras,,Pierre Gervais,2
bois de selles,bois de selles,,Pierre Gervais,
Bois de serva en planches,bois de serva en planches,x,Pierre Gervais,1
Bois de siramobasse,bois de simarouba,,Pierre Gervais,1
Bois de Siramonbas,bois de simarouba,,Pierre Gervais,1
Bois de siramonbas,bois de simarouba,,Pierre Gervais,1
Bois de siranombas,bois de simarouba,,Pierre Gervais,1
Bois de St Marthe,bois de Sainte-Marthe,,Pierre Gervais,1
Bois de St Martin,bois de Saint-Martin,,Pierre Gervais,
Bois de Ste Marthe,bois de Sainte-Marthe,,Pierre Gervais,2
Bois de Ste marthe,bois de Sainte-Marthe,,Pierre Gervais,1
bois de Ste Marthe,bois de Sainte-Marthe,,Pierre Gervais,1
bois de Ste marthe,bois de Sainte-Marthe,,Pierre Gervais,1
bois de ste marthe,bois de Sainte-Marthe,,Pierre Gervais,2
Bois de teindre,bois de teindre,,Pierre Gervais,1
Bois de Teinture,bois de teinture,,Pierre Gervais,4
Bois de teinture,bois de teinture,,Pierre Gervais,58
Bois de Termanbour,bois de Pernambouc,,Pierre Gervais,1
Bois de Tilleul,bois de tilleul,,Pierre Gervais,
Bois de toute sorte,bois de toute sorte,,Pierre Gervais,12
Bois de toutes espèces,bois de toute espèce,,Pierre Gervais,1
Bois de toutes sortes,bois de toute sorte,,Pierre Gervais,13
bois de toutes sortes,bois de toute sorte,,Pierre Gervais,
bois de toutes sortes declarés par valeur,bois de toute sorte déclaré par valeur,,Pierre Gervais,
Bois de violette,bois de violette,,Pierre Gervais,1
Bois des iles,bois des Îles et des Indes,,Pierre Gervais,
Bois des îles,bois des Îles et des Indes,,Pierre Gervais,187
Bois des Iles et des Indes,bois des Îles et des Indes,,Pierre Gervais,22
Bois des iles et des Indes,bois des Îles et des Indes,,Pierre Gervais,37
Bois des îles et des Indes,bois des Îles et des Indes,,Pierre Gervais,81
Bois des îles et des indes,bois des Îles et des Indes,,Pierre Gervais,6
Bois des îles et des Indes de teinture,bois des Îles et des Indes de teinture,,Pierre Gervais,14
"Bois des îles et des Indes, d'ébénisterie",bois des Îles et des Indes d'ébénisterie,,Pierre Gervais,32
"Bois des îles et des Indes, pour teinture et marqueterie",bois des Îles et des Indes pour teinture et marqueterie,,Pierre Gervais,3
"Bois des îles et des Indes, pr ébénisterie et marquet.",bois des Îles et des Indes pour ébénisterie et marqueterie,,Pierre Gervais,10
Bois des Indes de teinture et de marqueterie,bois des Indes de teinture et de marqueterie,,Pierre Gervais,6
Bois des Indes rapé,bois des Indes râpé,,Pierre Gervais,1
Bois des Isles,bois des Îles,,Pierre Gervais,5
Bois des Isles et des Indes,bois des Îles et des Indes,,Pierre Gervais,6
Bois des lies et des Indes,bois des Îles et des Indes,,Pierre Gervais,13
Bois dinde Rapé,bois des Indes râpé,,Pierre Gervais,1
bois dit 'ricter',bois dit ricter,,Pierre Gervais,
bois dit ricter,bois dit ricter,,Pierre Gervais,
bois dit schaelen ou rebus de bois,bois dit schaelen ou rebuts de bois,,Pierre Gervais,
bois dit werres,bois dit weres,,Pierre Gervais,
Bois divers,bois divers,,Pierre Gervais,505
Bois divers de construction,bois divers de construction,,Pierre Gervais,71
"Bois divers de construction en planches, etc",bois divers de construction en planches etc.,,Pierre Gervais,12
Bois divers et de construction,bois divers et de construction,,Pierre Gervais,35
Bois divers pour construction,bois divers pour construction,,Pierre Gervais,18
"Bois divers, Planches",bois divers planches,,Pierre Gervais,1
Bois divers;,bois divers,,Pierre Gervais,1
Bois divers; De Bruyere,bois divers de bruyère,,Pierre Gervais,1
Bois divers; De sapin divers,bois divers de sapin divers,,Pierre Gervais,1
Bois doré,bois doré,,Pierre Gervais,2
Bois du BR...SIL,bois du Brésil,,Pierre Gervais,6
Bois du bresil,bois du Brésil,,Pierre Gervais,1
Bois du Brésil,bois du Brésil,,Pierre Gervais,
Bois du brésil,bois du Brésil,,Pierre Gervais,1
Bois du BREZIL,bois du Brésil,,Pierre Gervais,1
bois du Brezil,bois du Brésil,,Pierre Gervais,1
Bois du Brezil Rapé,bois du Brésil râpé,,Pierre Gervais,1
Bois en aviron,bois en avirons,,Pierre Gervais,2
Bois en avirons,bois en avirons,,Pierre Gervais,5
Bois en bordage,bois en bordage,,Pierre Gervais,1
Bois en bordages de chêne,bois en bordage de chêne,,Pierre Gervais,1
Bois en cercles,bois en cercles,,Pierre Gervais,13
Bois en manches de gaffe,bois en manches de gaffes,,Pierre Gervais,2
Bois en materiaux,bois en matériaux,,Pierre Gervais,1
Bois en mâts,bois en mâts,,Pierre Gervais,1
Bois en planche de sapin,bois en planches de sapin,,Pierre Gervais,4
Bois en planches,bois en planches,,Pierre Gervais,10
Bois en planches de sapin,bois espars,,Pierre Gervais,2
Bois Espars,bois espars,,Pierre Gervais,1
Bois espars,bois espars,,Pierre Gervais,2
Bois espars de 25 a 30 pieds,bois espars de 25 à 30 pieds,,Pierre Gervais,1
bois et jus de reglisse,bois et jus de réglisse,,Pierre Gervais,
Bois et Merreins,bois et merrains,,Pierre Gervais,
bois et ouvrage de charonnerie,bois et ouvrages de charronnerie,,Pierre Gervais,
Bois et papier ; d'eventails,bois et papier d'éventails,,Pierre Gervais,1
Bois et planches de sapin,bois feuillards,,Pierre Gervais,1
Bois Feuillard,bois feuillards,,Pierre Gervais,1
Bois feuillard,bois feuillards,,Pierre Gervais,55
Bois feuillard à barriques,bois feuillards à barriques,,Pierre Gervais,4
Bois feuillard à boucauds,bois feuillards à boucaud,,Pierre Gervais,4
Bois feuillard en cercles,bois feuillards en cercles,,Pierre Gervais,12
Bois feuillard en cordes,bois feuillards en cordes,,Pierre Gervais,1
Bois feuillard pipage,bois feuillards pipage,,Pierre Gervais,5
Bois feuillards,bois feuillards,,Pierre Gervais,69
Bois Fonds a Castor,bois fond à castor,,Pierre Gervais,1
Bois fustel,bois de fustel,,Pierre Gervais,9
bois fustel,bois de fustel,,Pierre Gervais,1
bois fustet,bois de fustel,,Pierre Gervais,1
Bois Jaune,bois jaune,,Pierre Gervais,4
Bois jaune,bois jaune,,Pierre Gervais,9
bois jaune,bois jaune,,Pierre Gervais,5
Bois jaune a teindre,bois jaune à teindre,,Pierre Gervais,1
Bois jaune rapé,bois jaune râpé,,Pierre Gervais,1
Bois jeaune,bois jaune,,Pierre Gervais,1
Bois lourd,bois lourd,,Pierre Gervais,
Bois Marbre,bois marbre,,Pierre Gervais,3
Bois Marbré,bois marbré,,Pierre Gervais,1
Bois marbré,bois marbré,,Pierre Gervais,3
Bois merain a bariques,bois merrains à barriques,,Pierre Gervais,2
Bois merain a pipes,bois merrains à pipes,,Pierre Gervais,1
Bois merain en feuillard,bois merrains en feuillards,,Pierre Gervais,5
Bois merain fonçailles,bois merrains fonçaille,,Pierre Gervais,1
Bois merains en feuillard,bois merrains en feuillards,,Pierre Gervais,4
Bois merein à barriques douves,bois merrains à barriques douves,,Pierre Gervais,1
Bois Merrain,bois merrains,,Pierre Gervais,19
Bois merrain,bois merrains,,Pierre Gervais,38
bois merrain,bois merrains,,Pierre Gervais,1
Bois merrain ; a barils douelles,bois merrains à barils douelles,,Pierre Gervais,1
Bois merrain ; a bariques douelles,bois merrains à barriques douelles,,Pierre Gervais,6
Bois merrain ; a bariques doüelles,bois merrains à barriques douelles,,Pierre Gervais,1
Bois merrain ; a busses doüelles,bois merrains à busses douelles,,Pierre Gervais,1
Bois merrain ; a fonds,bois merrains à fond,,Pierre Gervais,1
Bois merrain ; a fonds douelles,bois merrains à fond douelles,,Pierre Gervais,2
Bois merrain ; a pipes douelles,bois merrains à pipes douelles,,Pierre Gervais,4
Bois merrain ; à pipes douelles,bois merrains à pipes douelles,,Pierre Gervais,1
Bois merrain ; a quarts douelles,bois merrains à quart douelles,,Pierre Gervais,1
Bois merrain ; divers,bois merrains divers,,Pierre Gervais,1
Bois merrain a bariques,bois merrains à barriques,,Pierre Gervais,2
Bois merrain à bariques,bois merrains à barriques,,Pierre Gervais,2
Bois merrain a bariques ; douelles,bois merrains à barriques douelles,,Pierre Gervais,1
Bois merrain a bariques douelles,bois merrains à barriques douelles,,Pierre Gervais,6
Bois merrain à barriques,bois merrains à barriques,,Pierre Gervais,2
Bois merrain à boucauds,bois merrains à boucaud,,Pierre Gervais,1
Bois merrain a pipes,bois merrains à pipes,,Pierre Gervais,2
Bois merrain à pipes,bois merrains à pipes,,Pierre Gervais,1
Bois merrain a pipes ; douelles,bois merrains à pipes douelles,,Pierre Gervais,1
Bois merrain a pipes douelles,bois merrains à pipes douelles,,Pierre Gervais,10
Bois merrain à tonneaux,bois merrains à tonneaux,,Pierre Gervais,2
Bois merrain douelle,bois merrains douelles,,Pierre Gervais,1
Bois merrain douelles,bois merrains douelles,,Pierre Gervais,5
Bois merrain Doüelles,bois merrains douelles,,Pierre Gervais,1
Bois merrain doüelles,bois merrains douelles,,Pierre Gervais,1
Bois merrain et feuillard,bois merrains et feuillards,,Pierre Gervais,1
Bois merrains,bois merrains,,Pierre Gervais,77
Bois merrein douelles,bois merrains douelles,,Pierre Gervais,2
Bois merrin en douves,bois merrains en douves,,Pierre Gervais,1
Bois osier,bois ouvré,,Pierre Gervais,5
Bois ouvré,bois ouvré,,Pierre Gervais,23
Bois ouvré commodes,bois ouvré commodes,,Pierre Gervais,1
Bois ouvré pour charpente,bois ouvré pour charpente,,Pierre Gervais,1
Bois ouvré tables,bois ouvré tables,,Pierre Gervais,1
Bois ouvrés,bois ouvrés,,Pierre Gervais,58
"Bois ouvrés divers, en perches, échalas, échasses",bois ouvrés divers en perches échalas échasses,,Pierre Gervais,9
"Bois ouvrés, divers",bois ouvrés divers,,Pierre Gervais,18
Bois ozier,bois osier,,Pierre Gervais,14
bois par arbalettes,bois pour arbalètes,,Pierre Gervais,
"Bois perches, échalas, éclisses",bois perches échalas éclisses,,Pierre Gervais,7
Bois peribles,bois perible,,Pierre Gervais,1
bois perrible,bois perible,,Pierre Gervais,1
bois portatif dit Neyster,bois portatif dit neyster,,Pierre Gervais,
Bois pour arc,bois pour arc,,Pierre Gervais,
Bois pour Bordage,bois pour bordage,,Pierre Gervais,1
bois pour chaisses,bois pour chaises,,Pierre Gervais,
Bois pour fonds de tonneaux,bois pour fond de tonneaux,,Pierre Gervais,
Bois pour fûts,bois pour fûts,,Pierre Gervais,
bois pour instrumens de musique,bois pour instruments de musique,,Pierre Gervais,
bois pour lattes,bois pour lattes,,Pierre Gervais,
bois pour palisades,bois pour palissades,,Pierre Gervais,
Bois pour pipes,bois pour pipes,,Pierre Gervais,
Bois pour pompes,bois pour pompes,,Pierre Gervais,
Bois pour quilles,bois pour quilles,,Pierre Gervais,
Bois pour Teinture,bois pour teinture,,Pierre Gervais,1
bois préparé pour fusils,bois préparé pour fusils,,Pierre Gervais,
bois préparé pour ouvrages,bois préparé pour ouvrages,,Pierre Gervais,
bois préparée pour charpente et autres ouvrages,bois préparée pour charpente et autres ouvrages,,Pierre Gervais,
bois préparée pour palissades,bois préparée pour palissades,,Pierre Gervais,
bois préparée pour palissades et terrasse,bois préparée pour palissades et terrasse,,Pierre Gervais,
Bois rouge,bois rouge,,Pierre Gervais,18
Bois rouge des Indes,bois rouge des Indes,,Pierre Gervais,1
Bois rouge rapé,bois rouge râpé,,Pierre Gervais,1
Bois sandale,bois santal,,Pierre Gervais,1
Bois sandale Moulu,bois santal moulu,,Pierre Gervais,1
Bois sapin en planches,bois sapin en planches,,Pierre Gervais,4
bois scié,bois scié,,Pierre Gervais,
bois scié de toutes sortes declarés par valeur,bois scié de toute sorte declaré par valeur,,Pierre Gervais,
bois scié en gites,bois scié en gite,,Pierre Gervais,
bois scié en pieds de gittes,bois scié en pieds de gite,,Pierre Gervais,
bois scié en planches,bois scié en planches,,Pierre Gervais,
bois scié en verres,bois scié en verres,,Pierre Gervais,
Bois sciés en planches,bois sciés en planches,,Pierre Gervais,61
Bois tes peintes,bois tes peintes,,Pierre Gervais,2
Bois tord,bois tors,,Pierre Gervais,3
Bois travaille,bois travaillé,,Pierre Gervais,1
Bois travaillé,bois travaillé,,Pierre Gervais,2
bois travaillé,bois travaillé,,Pierre Gervais,2
bois tropique,bois tropique,,Pierre Gervais,
Bois vers,bois vert,,Pierre Gervais,1
Bois Violet,bois violet,,Pierre Gervais,4
Bois violet,bois violet,,Pierre Gervais,1
Bois; à bâtir,bois à bâtir,,Pierre Gervais,2
Bois; à bats,bois à bâts,,Pierre Gervais,1
Bois; à bruler,bois à brûler,,Pierre Gervais,10
Bois; à faire boëtes,bois à faire boîtes,,Pierre Gervais,1
Bois; à faire sommiers,bois à faire sommiers,,Pierre Gervais,1
Bois; à gaisne,bois à gaine,,Pierre Gervais,1
Bois; à tamis,bois à tamis,,Pierre Gervais,1
Bois; à teindre,bois à teindre,,Pierre Gervais,6
Bois; A tonneaux douilles,bois à tonneaux douelles,,Pierre Gervais,6
Bois; bordages de chesne,bois bordage de chêne,,Pierre Gervais,5
Bois; bourdilles,bois bourdilles,,Pierre Gervais,4
Bois; Cercles,bois cercles,,Pierre Gervais,2
Bois; d'acajou,bois d'acajou,,Pierre Gervais,2
Bois; d'aloës,bois d'aloès,,Pierre Gervais,1
Bois; d'angeole,bois d'angeot,,Pierre Gervais,1
Bois; d'ebenne,bois d'ébène,,Pierre Gervais,3
Bois; d'inde,bois des Indes,,Pierre Gervais,5
Bois; d'olivier,bois d'olivier,,Pierre Gervais,2
Bois; de brésil,bois du Brésil,,Pierre Gervais,1
Bois; de brezil,bois du Brésil,,Pierre Gervais,13
Bois; de buis,bois de buis,,Pierre Gervais,6
Bois; de caliatour,bois de Caliatour,,Pierre Gervais,2
Bois; De Campêche,bois de Campêche,,Pierre Gervais,1
Bois; de campesche,bois de Campêche,,Pierre Gervais,11
Bois; de chataignier,bois de châtaignier,,Pierre Gervais,1
Bois; de chesne,bois de chêne,,Pierre Gervais,5
Bois; de chevrons,bois de chevrons,,Pierre Gervais,1
Bois; De construction,bois de construction,,Pierre Gervais,3
Bois; de construction,bois de construction,,Pierre Gervais,2
Bois; De construction; Divers,bois de construction divers,,Pierre Gervais,1
Bois; de couleur,bois de couleur,,Pierre Gervais,1
Bois; de fernambourg,bois de Pernambouc,,Pierre Gervais,5
Bois; de gayac,bois de gaiac,,Pierre Gervais,4
Bois; de geroffle,bois de girofle,,Pierre Gervais,1
Bois; de grenade,bois de grenade,,Pierre Gervais,1
Bois; de jaraconda,bois de jacaranda,,Pierre Gervais,1
Bois; de lin,bois de lin,,Pierre Gervais,1
Bois; de machenette,bois de machemillier,,Pierre Gervais,1
Bois; de marquetrie,bois de marqueterie,,Pierre Gervais,1
Bois; de marquetterie,bois de marqueterie,,Pierre Gervais,2
Bois; de menuiserie,bois de menuiserie,,Pierre Gervais,2
Bois; de noyer,bois de noyer,,Pierre Gervais,1
Bois; de palissandre,bois de palissandre,,Pierre Gervais,1
Bois; de raquette,bois de raquette,,Pierre Gervais,1
Bois; de Rhodes,bois de Rhodes,,Pierre Gervais,1
Bois; de roüage,bois de rouage,,Pierre Gervais,2
Bois; de roze,bois de rose,,Pierre Gervais,2
Bois; de sandal,bois de santal,,Pierre Gervais,4
Bois; De Santal,bois de santal,,Pierre Gervais,1
Bois; de sapan,bois de sappan,,Pierre Gervais,1
Bois; de sapin,bois de sapin,,Pierre Gervais,1
Bois; de siramombas,bois de simarouba,,Pierre Gervais,2
Bois; De Ste Marthe,bois de Sainte-Marthe,,Pierre Gervais,1
Bois; de Ste Marthe,bois de Sainte-Marthe,,Pierre Gervais,2
Bois; de teinture,bois de teinture,,Pierre Gervais,1
Bois; Divers,bois divers,,Pierre Gervais,3
Bois; du japon,bois du Japon,,Pierre Gervais,1
Bois; espars,bois espars,,Pierre Gervais,5
Bois; fagots,bois fagots,,Pierre Gervais,1
Bois; fustet,bois de fustel,,Pierre Gervais,6
Bois; jaune,bois jaune,,Pierre Gervais,4
Bois; marbré,bois marbré,,Pierre Gervais,3
Bois; merrain; à bariques,bois merrains à barriques,,Pierre Gervais,9
Bois; merrain; à bottes,bois merrains à bottes,,Pierre Gervais,1
Bois; merrain; à busses,bois merrains à busses,,Pierre Gervais,1
Bois; merrain; à fondo,bois merrains à fond,,Pierre Gervais,4
Bois; merrain; à pipes,bois merrains à pipes,,Pierre Gervais,4
Bois; merrain; à tierçons,bois merrains à tierçons,,Pierre Gervais,1
Bois; merrain; à tonneaux,bois merrains à tonneaux,,Pierre Gervais,9
Bois; merrain; de sapin,bois merrains de sapin,,Pierre Gervais,4
Bois; nefrétique,bois néphrétique,,Pierre Gervais,1
Bois; ouvré,bois ouvré,,Pierre Gervais,6
Bois; pour cribles,bois pour cribles,,Pierre Gervais,1
Bois; Pour peinture et teinture,bois pour peinture et teinture,,Pierre Gervais,3
Bois; Pour teinture; Campeche,bois pour teinture de Campêche,,Pierre Gervais,1
