obsolete,orthographic_pierre,simplification,imprimatur,Suggestion de simplification,status,beforeItems,afterItems
no,drap,drap,Guillaume Daudin,[drap],ambiguous,[draps] [Draps] [Drap],[draps] [Draps] [Drap]
no,gros drap de Duffel,drap ; Duffel,Guillaume Daudin,drap ; Duffel,existing,,
no,draperie à la valeur,drap à la valeur,Guillaume Daudin,drap ; à la valeur,rewire,,[Draperie ; à la valeur]
no,drap au sixième de soie,drap au 6e de soie,Guillaume Daudin,drap ; au 6e de soie,rewire,,[Drap ; au 6è de soye] [Draps ; au 6è de soye]
no,drap draperie bay ???,drap bayette,Guillaume Daudin,drap ; bayette,rewire,,[Drap ; draperie ; bay???]
no,drap draperie bayette,drap bayette,Guillaume Daudin,drap ; bayette,rewire,,[Drap ; draperie ; bryelle] [Drap ; draperie ; bayette]
no,drap blanc,drap blanc,Guillaume Daudin,drap ; blanc,rewire,,[draps blancs]
no,drap blanc d'Espagne,drap blanc d'Espagne,Guillaume Daudin,drap ; blanc d'Espagne,rewire,,[draps blancs d'Espagne]
no,drap blanc de Bremer,drap blanc de Bremer,Guillaume Daudin,drap ; blanc de Bremer,rewire,,[drap blanc de Bremer]
no,drap blanc de douzaine,drap blanc de douzaine,Guillaume Daudin,drap ; blanc de douzaine,rewire,,[draps blancs de douzaine]
no,drap blanc de Hollande,drap blanc de Hollande,Guillaume Daudin,drap ; blanc de Hollande,rewire,,[draps blancs d'Hollande]
no,drap blanc par aune,drap blanc par aune,Guillaume Daudin,drap ; blanc par aune,rewire,,[draps blancs par aune / aune] [draps blancs par aune]
no,drap de laine bleu,drap bleu,Guillaume Daudin,drap ; bleu,rewire,,[Drap ; de laine ; bleu]
no,drap brodé aux ciseaux en soie,drap brodé au ciseau en soie,Guillaume Daudin,drap ; brodé ; au ciseau ; en soie,rewire,,[Drap ; brodé ; au ciseau ; en soie]
no,drap brodé en or et argent,drap brodé en or et argent,Guillaume Daudin,drap ; brodé ; en or et argent,rewire,,[Draps ; Brodé ; En or et argent] [Draps ; Brodé en or et argent] [Draps ; Brodés en or et argent]
no,drap brodé en soie,drap brodé en soie,Guillaume Daudin,drap ; brodé ; en soie,rewire,,[Draps ; Brodé ; En soye] [Drap ; brodé ; en soie]
no,draperie callemande,drap callemande,Guillaume Daudin,drap ; callemande,rewire,,[Draperie ; calemande]
no,drap draperie capots,drap capoterie,Guillaume Daudin,drap ; capoterie,rewire,,[Drap ; draperie ; capots]
no,drap carisé,drap carizé,Guillaume Daudin,drap ; carizé,rewire,,[Drap ; carizé]
no,drap casimir,drap casimir,Guillaume Daudin,drap ; casimir,rewire,,[Drap ; casimir] [Drap casimir]
no,drap commun,drap commun,Guillaume Daudin,drap ; commun,rewire,,[draps communs] [Drap ; commun] [Drap commun]
no,drape commune,drap commun,Guillaume Daudin,drap ; commun,rewire,,[Drape ; commune]
no,draperie commune,drap commun,Guillaume Daudin,drap ; commun,rewire,,[Draperie ; commune] [Draperie commune]
no,drap crêpe,drap crêpe,Guillaume Daudin,drap ; crêpe,rewire,,[Drap ; crêpe]
no,drap draperie crêpe,drap crêpe,Guillaume Daudin,drap ; crêpe,rewire,,[Drap ; draperie ; crepe] [Drap ; draperie ; crespe]
no,drap d'Abbeville,drap d'Abbeville,Guillaume Daudin,drap ; d'Abbeville,rewire,,[Draps ; D'abbeville] [Draps ; D'ableville] [Drap ; d'Abbevitte] [Drap ; d'abbevitte] [Draps d'Abbeville] [Drap : d'Abbeville] [Drap ; d'Abbeville] [Drap ; d'abbeville] [Draps d'abeville]
no,drap de laine d'Abbeville,drap d'Abbeville,Guillaume Daudin,drap ; d'Abbeville,rewire,,[Drap ; de laine ; d'Abbeville]
no,coffres de bois,coffre de bois,Guillaume Daudin,coffre ; de bois,rewire,,[Coffres de bois] [Coffres ; de bois]
no,drap d'Andelis,drap d'Andelis,Guillaume Daudin,drap ; d'Andelis,rewire,,[Draps ; d'Andelis]
no,drap d'Andelys,drap d'Andelis,Guillaume Daudin,drap ; d'Andelis,rewire,,[Draps ; d'andelis] [Drap ; d'Andelis] [Drap ; des andelis] [Drap ; d'andely]
no,drap de laine d'Andelys,drap d'Andelis,Guillaume Daudin,drap ; d'Andelis,rewire,,[Drap ; de laine ; d'Andelis]
no,drap d'Angleterre,drap d'Angleterre,Guillaume Daudin,drap ; d'Angleterre,rewire,,[draps d'Angleterre] [Drap ; d'Angleterre] [Drap ; d'angleterre] [Drap d'angletterre] [Drap d'Angleterre]
no,drap de laine d'Angleterre,drap d'Angleterre,Guillaume Daudin,drap ; d'Angleterre,rewire,,[Drap ; de laine ; d'angleterre] [Drap ; de laine ; d'Angleterre]
no,drap d'Angleterre Hollande et Espagne,"drap d'Angleterre, de Hollande et d'Espagne",Guillaume Daudin,"drap ; d'Angleterre, de Hollande et d'Espagne",rewire,,"[Draps ; d'Angleterre, Hollande et Espagne]"
no,drap d'Arnetal,drap d'Arnetal,Guillaume Daudin,drap ; d'Arnetal,rewire,,[Drap ; d'Aructal] [Draps ; d'Arnetal] [Drap ; de Arnetal] [Drap ; d'arnétal] [Drap ; d'Arnelat] [Drap ; D'arnetal] [Draps ; d'arnetal] [Drap ; d'arnetal] [Drap ; d'Arnetal]
no,drap d'aucrin,drap d'aucrin,Guillaume Daudin,drap ; d'aucrin,rewire,,[Draps ; d'aucrin]
no,drap d'Aumale,drap d'Aumale,Guillaume Daudin,drap ; d'Aumale,rewire,,[Drap ; d'aumale]
no,drap d'Elbeuf de retour,drap d'Elbeuf de retour,Guillaume Daudin,drap ; d'Elbeuf ; de retour,rewire,,[Draps ; D'elbeuf de retour]
no,drap d'Espagne,drap d'Espagne,Guillaume Daudin,drap ; d'Espagne,rewire,,[draps d'Espagne] [Drap ; d'Espagne]
no,drap d'estame,drap d'estames,Guillaume Daudin,drap ; d'estames,rewire,,[Drap ; d'estames]
no,drap d'or et d'argent fin,drap d'or et d'argent fin,Guillaume Daudin,drap ; d'or et d'argent fin,rewire,,[Draps ; d'or et d'argent fin]
no,draperie or argent et soie,drap d'ord'argent et soie,Guillaume Daudin,drap ; d'or; d'argent et soie,rewire,,"[Draperie ; or, argent et soye]"
no,drap de laine de ???,drap de ?,Guillaume Daudin,drap ; de ?,rewire,,[Drap ; de laine ; de ?]
no,drap de Beauvais,drap de Beauvais,Guillaume Daudin,drap ; de Beauvais,rewire,,[Draps ; de Beauvais] [Drap ; de Beauvais]
no,drap de Beauvaste,drap de Beauvais,Guillaume Daudin,drap ; de Beauvais,rewire,,[Draps ; De Beauvaste]
no,drap de Bergopzoom,drap de Bergoopseau,Guillaume Daudin,drap ; de Bergoopseau,rewire,,[Draps ; De Bergoopseau]
no,drap de Bourbon,drap de bourbon,Guillaume Daudin,drap ; de bourbon,rewire,,[Drap ; de Bourbon]
no,drap de burs frise étoffe,drap de burs ou de frise,Guillaume Daudin,drap ; de burs ou de frise,rewire,,[Drap de burs/frise (étoffe)]
no,drap de Carcassonne,drap de Carcassonne,Guillaume Daudin,drap ; de Carcassonne,rewire,,[Draps ; De Carcassone] [Drap ; de Carcassonne] [Drap ; de carcassonne] [Draps ; de Carcassonne] [Draps de Carcassonne] [Drap ; de Carcassone] [Drap de Carcassone] [drap de Carcassonne] [Draps de carcassonne] [Drap de Carcasonne] [Drap de Carcassonne] [Drap de carcassonne]
no,drap de laine de Carcassonne,drap de Carcassonne,Guillaume Daudin,drap ; de Carcassonne,rewire,,[Drap ; de laine ; de carcasonne] [Drap ; de laine ; de Carcassonne] [Drap ; de laine ; de Carcassone]
no,drap de castor,drap de castor,Guillaume Daudin,drap ; de castor,rewire,,[draps de castor] [drap de castor] [Draps ; de castor] [Drap ; de castor]
no,drap de Dauphiné,drap de castor,Guillaume Daudin,drap ; de castor,rewire,,[Drap ; de Dauphiné]
no,drap de laine de castor,drap de castor,Guillaume Daudin,drap ; de castor,rewire,,[Drap ; de laine ; de castor]
no,drap de castor aune,drap de castor par aune,Guillaume Daudin,drap ; de castor par aune,rewire,,[draps de castor / aune]
no,drap de castor par aune,drap de castor par aune,Guillaume Daudin,drap ; de castor par aune,rewire,,[draps de castor par aune]
no,drap de laine de cérémonie,drap de cérémonie,Guillaume Daudin,drap ; de cérémonie,rewire,,[Drap ; de laine ; de ceremonie]
no,draperie de Champagne,drap de Champagne,Guillaume Daudin,drap ; de Champagne,rewire,,[Draperie ; de Champagne]
no,drap de laine de Cherbourg,drap de Cherbourg,Guillaume Daudin,drap ; de Cherbourg,rewire,,[Drap ; de laine ; de Cherbourg]
no,drap de coton,drap de coton,Guillaume Daudin,drap ; de coton,rewire,,[Drap ; de coton] [Drap de coton]
no,drap de coutil,drap de coutil,Guillaume Daudin,drap ; de coutil,rewire,,[Drap de coutil]
no,drap de douzaine,drap de douzaine,Guillaume Daudin,drap ; de douzaine,rewire,,[draps de douzaine] [Draps ; de douzaine]
no,drap serge de laine et fil,drap de fil et laine serge,Guillaume Daudin,drap ; de fil et laine ; serge,rewire,,[Drap ; serge ; de laine et fil]
no,drap de fil vieux,drap de fil vieux,Guillaume Daudin,drap ; de fil ; vieux,rewire,,[Drap de fil vieux]
no,drap de France,drap de France,Guillaume Daudin,drap ; de France,rewire,,[Draps ; de France] [Drap ; de France] [Draps de France] [Drap de France]
no,drap de laine de France,drap de France,Guillaume Daudin,drap ; de France,rewire,,[Drap ; de laine ; de france] [Drap ; de laine ; de France]
no,drap de Glasier,drap de Glates,Guillaume Daudin,drap ; de Glates,rewire,,[Drap de Glasier]
no,drap de glaster,drap de Glates,Guillaume Daudin,drap ; de Glates,rewire,,[Drap ; de glaster]
no,drap de Glaster,drap de Glates,Guillaume Daudin,drap ; de Glates,rewire,,[Draps de Glaster]
no,drap de glastes,drap de Glates,Guillaume Daudin,drap ; de Glates,rewire,,[Drap de glastes]
no,drap de Glates,drap de Glates,Guillaume Daudin,drap ; de Glates,rewire,,[Drap ; de Glates] [Drap de Glates]
no,drap de Glouster,drap de Glouster,Guillaume Daudin,drap ; de Glouster,rewire,,[Drap de Glouster]
no,drap de Hollande,drap de Hollande,Guillaume Daudin,drap ; de Hollande,rewire,,[Drap ; d'hollande] [Drap ; d'Hollande] [Draps ;d'hollande]
no,drap de laine de Hollande,drap de Hollande,Guillaume Daudin,drap ; de Hollande,rewire,,[Drap ; de laine ; d'hollande] [Drap ; de laine ; d'Hollande]
no,drap de Komrix,drap de Komrix,Guillaume Daudin,drap ; de Komrix,rewire,,[Drap de Komrix]
no,drap de la Bouille,drap de la Bouille,Guillaume Daudin,drap ; de la Bouille,rewire,,[Drap ; de la Bouille]
no,draperie de laine,drap de laine,Guillaume Daudin,drap ; de laine,rewire,,[Draperie ; de laine] [Draperie de laine]
no,drap de laine au ??? de soie,drap de laine au ? de soie,Guillaume Daudin,drap ; de laine ; au ? de soie,rewire,,[Drap ; de laine ; au ? de soye]
no,drap de laine avarié,drap de laine avarié,Guillaume Daudin,drap ; de laine ; avarié,rewire,,[Drap ; de laine ; avarié]
no,drap de laine commun,drap de laine commun,Guillaume Daudin,drap ; de laine ; commun,rewire,,[Draps ; de laine ; communs] [Drap ; de laine ; commun]
no,drap de laine de Beauvais,drap de laine de Beauvais,Guillaume Daudin,drap ; de laine ; de Beauvais,rewire,,[Drap ; de laine ; de Beauvais]
no,draperie de laine de Sedan,drap de laine de Sedan,Guillaume Daudin,drap ; de laine ; de Sedan,rewire,,[Draperie ; de laine ; de Sedan]
no,drap de laine de Vir,drap de laine de Vir,Guillaume Daudin,drap ; de laine ; de Vir,rewire,,[Drap ; de laine ; de Vir]
no,draperie de laine diverse,drap de laine diverse,Guillaume Daudin,drap ; de laine ; diverse,rewire,,[Draperie ; de laine ; diverse]
no,draperie diverse de laine,drap de laine diverse,Guillaume Daudin,drap ; de laine ; diverse,rewire,,[Draperie ; diverse ; de laine]
no,drap de laine draperie diverse,drap de laine draperie diverse,Guillaume Daudin,drap ; de laine ; draperie ; diverse,rewire,,[Draps ; de laine ; draperies ; diverses]
no,dap de laine fin,drap de laine fin,Guillaume Daudin,drap ; de laine ; fin,rewire,,[Dap ; de laine ; fin]
no,drap de laine fin,drap de laine fin,Guillaume Daudin,drap ; de laine ; fin,rewire,,"[Drap : de laine ; fin] [Drap ; de laine ; fin] [Draps de laine fi,] [Drap de laine fin]"
no,drap de laine fine,drap de laine fin,Guillaume Daudin,drap ; de laine ; fin,rewire,,[Drap de laine fine]
no,drap de laine lin,drap de laine fin,Guillaume Daudin,drap ; de laine ; fin,rewire,,[Drap de laine lin]
no,draperie de laine londrin,drap de laine Londrin,Guillaume Daudin,drap ; de laine ; Londrin,rewire,,[Draperie ; de laine ; Londrin]
no,drap de laine du Languedoc,drap de Languedoc,Guillaume Daudin,drap ; de Languedoc,rewire,,[Drap ; de laine ; de Languede] [Drap ; de laine ; de languedoc] [Drap ; de laine ; de Languedoc] [Drap de laine de Languedoc]
no,drap du Languedoc,drap de Languedoc,Guillaume Daudin,drap ; de Languedoc,rewire,,[Draps ; De Langue***] [Draps ; de Languedoc] [Drap ; de Langudoc] [Drap du Languedoc] [Drap de Languedonc] [Drap ; de Languedoc] [Drap du languedoc] [Draps de Languedoc] [Drap de languedoc] [Drap de Languedoc] [Draps du languedoc]
no,draperie ??? du Languedoc,drap de Languedoc,Guillaume Daudin,drap ; de Languedoc,rewire,,[Draperie ? De Languedoc]
no,draperie du Languedoc,drap de Languedoc,Guillaume Daudin,drap ; de Languedoc,rewire,,[Draperie ; de Languedoc] [Draperie du Languedoc] [Draperie de languedoc] [Draperie de Languedonc] [Draperie de Languedoc]
no,draperie ordinaire du Languedoc,drap de Languedoc ordinaire,Guillaume Daudin,drap ; de Languedoc ; ordinaire,rewire,,[Draperie ordinaire de Languedoc]
no,drap de Latte,drap de Latte,Guillaume Daudin,drap ; de Latte,rewire,,[Draps ; de Latte]
no,drap de Limbourg,drap de Limbourg,Guillaume Daudin,drap ; de Limbourg,rewire,,[draps de Limbourg]
no,drap de Limoux,drap de Limoux,Guillaume Daudin,drap ; de Limoux,rewire,,[Draps ; de Limoux] [Drap de Limoux]
no,drap de lin vieux,drap de lin vieux,Guillaume Daudin,drap ; de lin ; vieux,rewire,,[Draps de lin vieux] [Drap de lin vieux]
no,drap de linge commun,drap de linge commun,Guillaume Daudin,drap ; de linge ; commun,rewire,,[Drap de linge commun]
no,drap de lit commun,drap de lit commun,Guillaume Daudin,drap ; de lit ; commun,rewire,,[Draps de Lit commune]
no,drap de lit neuf,drap de lit neuf,Guillaume Daudin,drap ; de lit ; neuf,rewire,,[Draps de lits neufs]
no,drap de lit vieux,drap de lit vieux,Guillaume Daudin,drap ; de lit vieux,rewire,,[Draps de lit vieux] [Draps de Lit vieux] [Drap de lit vieux] [Draps de Lits vieux] [Drap de Lit vieux] [Draps de lits vieux]
no,drap de Lodève,drap de Lodève,Guillaume Daudin,drap ; de Lodève,rewire,,[Drap ; de Lodeve] [Drap ; de Lodève] [Drap de Lodeve] [Drap de Lodève]
no,drap de Louviers au sixième de soie,drap de Louvier au 6e de soie,Guillaume Daudin,drap ; de Louvier ; au 6e de soie,rewire,,[Drap ; de Louvier ; au 6è de soye]
no,drap du Maroc,drap de Maroc,Guillaume Daudin,drap ; de Maroc,rewire,,[draps de Maroc] [Drap ; de maroc] [Draps du maroc]
no,drap du Maroc teint de douzaine,"drap de Maroc, teint de douzaine",Guillaume Daudin,"drap ; de Maroc, teint de douzaine",rewire,,"[draps de Maroc, teints de douzaine]"
no,drap de montagne,drap de montagne,Guillaume Daudin,drap ; de montagne,rewire,,[Draps ; de Montagne] [Draps ; de montagne] [Drap de Montagne]
no,drap de laine de Montauban,drap de Montauban,Guillaume Daudin,drap ; de Montauban,rewire,,[Drap ; de laine ; de Montanban] [Drap ; de laine ; de Montauban]
no,drap de Montauban,drap de Montauban,Guillaume Daudin,drap ; de Montauban,rewire,,[Draps ; de Montauban] [Drap ; de Montauban] [Drap de Montauban]
no,drap de Moucu,drap de Moucu,Guillaume Daudin,drap ; de Moucu,rewire,,[Draps ; De Moucu]
no,drap de laine de Nison,drap de Nison,Guillaume Daudin,drap ; de Nison,rewire,,[Drap ; de laine ; de Nison]
no,drap de Normandie,drap de Normandie,Guillaume Daudin,drap ; de Normandie,rewire,,[Drap ; de Normandie]
no,drap de Panguede,drap de Panguede,Guillaume Daudin,drap ; de Panguede,rewire,,[Draps ; De Panguede]
no,drap de Picardie,drap de Picardie,Guillaume Daudin,drap ; de Picardie,rewire,,[Drap ; de Picardie]
no,drap de Pie,drap de Pie,Guillaume Daudin,drap ; de Pie,rewire,,[draps de Pie]
no,draperie du Poitou,drap de Poitou,Guillaume Daudin,drap ; de Poitou,rewire,,[Draperie de Poitou]
no,drap Reims,drap de Reims,Guillaume Daudin,drap ; de Reims,rewire,,[Draps ; Reims]
no,drap de laine de Rome,drap de Rome,Guillaume Daudin,drap ; de Rome,rewire,,[Drap ; de laine ; de Rome]
no,drap de laine de Rouen,drap de Rouen,Guillaume Daudin,drap ; de Rouen,rewire,,[Drap ; de laine ; de Rouen]
no,drap de Rouen,drap de Rouen,Guillaume Daudin,drap ; de Rouen,rewire,,[Draps ; de Rouen] [Drap ; de Roüen] [Drap ; de Rouen]
no,drap de Saint-Lô,drap de Saint Lô,Guillaume Daudin,drap ; de Saint Lô,rewire,,[Drap ; de Saint Lo]
no,drap de laine de Sedan,drap de Sedan,Guillaume Daudin,drap ; de Sedan,rewire,,[Drap ; de laine ; de Sedan]
no,drap de Sedan,drap de Sedan,Guillaume Daudin,drap ; de Sedan,rewire,,[Draps ; De Sedan] [Drap ; de sedan] [Drap de Sedan] [Drap ; de Sedan] [Draps ; de Sedan] [Draps de sedan]
no,drap de Sedan de retour,drap de Sedan de retour,Guillaume Daudin,drap ; de Sedan ; de retour,rewire,,[Draps ; de sédan de retour]
no,drap de Ségovie,drap de Ségovie,Guillaume Daudin,drap ; de Ségovie,rewire,,[Draps ; de Segovie]
no,drap de laine de Silésie,drap de Silésie,Guillaume Daudin,drap ; de Silésie,rewire,,[Drap ; de laine ; de Silesse] [Drap ; de laine ; de Selesie] [Drap ; de laine ; de Silésie] [Drap ; de laine ; de Silesie]
no,drap de Silésie,drap de Silésie,Guillaume Daudin,drap ; de Silésie,rewire,,[draps de Silésie] [Drap ; de Silésie] [Draps ;de Silésie] [Draps ; de Silesie] [Drap ; de silésie] [Drap ; de filesie] [Drap ; de silesie] [Drap ; de Silezie] [Drap ; de Silesie] [Drap de silesie] [Drap de Silesie] [Drap de Silésie]
no,drap Silésie,drap de Silésie,Guillaume Daudin,drap ; de Silésie,rewire,,[Draps ; salesie] [Drap Silésie]
no,draperie Silésie,drap de Silésie,Guillaume Daudin,drap ; de Silésie,rewire,,[Draperie ; Silesie]
no,draperie petite Silésie,drap de Silésie petit,Guillaume Daudin,drap ; de Silésie ; petit,rewire,,[Draperie ; petite ; silezie] [Draperie petite filesie]
no,drap de laine de Sir,drap de Sir,Guillaume Daudin,drap ; de Sir,rewire,,[Drap ; de laine ; de Sir]
no,drap de soie,drap de soie,Guillaume Daudin,drap ; de soie,rewire,,[Draps ; de soye]
no,drap de Soudrain,drap de Soudrain,Guillaume Daudin,drap ; de Soudrain,rewire,,[Draps ; De Soudrain]
no,drap de Vir,drap de Vir,Guillaume Daudin,drap ; de Vir,rewire,,[Drap ; de Vir] [Draps ; devir] [Drap ; de vir]
no,drap de Vire,drap de Vir,Guillaume Daudin,drap ; de Vir,rewire,,[Draps ; de Vire]
no,drap de laine des prises,drap des prise,Guillaume Daudin,drap ; des prise,rewire,,[Drap ; de laine ; des prises] [Drap ; de laine des prises] [Drap de laine des prises]
no,drap des prises,drap des prise,Guillaume Daudin,drap ; des prise,rewire,,[Drap ; des prises] [Drap des prises]
no,drap dit packlaeken,drap dit packlaeken,Guillaume Daudin,drap ; dit packlaeken,rewire,,[draps dits packlaeken]
no,drap dit packlaeken blanc,drap dit packlaeken blanc,Guillaume Daudin,drap ; dit packlaeken blanc,rewire,,[draps dits packlaeken blancs]
no,drap dit packlaeken teint,drap dit packlaeken teint,Guillaume Daudin,drap ; dit packlaeken teint,rewire,,[draps dits packlaeken teints]
no,drap dit plawens,drap dit plamens,Guillaume Daudin,drap ; dit plamens,rewire,,[draps dits plamens]
no,drap dit plawens ou codde,drap dit plawens ou codde,Guillaume Daudin,drap ; dit plawens ou codde,rewire,,[draps dits plawens ou codde]
no,drap divers anglais,drap divers anglais,Guillaume Daudin,drap ; divers ; anglais,rewire,,[Draps ; Divers ; Anglais]
no,drap divers de Limbourg,drap divers de Limbourg,Guillaume Daudin,drap ; divers ; de Limbourg,rewire,,[Draps ; Divers ; De Limbourg]
no,drap divers écarlate,drap divers écarlate,Guillaume Daudin,drap ; divers ; écarlate,rewire,,[Draps ; Divers ; Ecarlette] [Draps ; Divers ; Ecarlate]
no,drap divers fin,drap divers fin,Guillaume Daudin,drap ; divers ; fin,rewire,,[Draps ; Divers ; Fins]
no,drap drache,drap drache,Guillaume Daudin,drap ; drache,rewire,,"[draps, drache]"
no,drap drapée,drap drapé,Guillaume Daudin,drap ; drapé,rewire,,[Drap ; drapée]
no,drap draperie d'Abbeville,drap draperie d'Abbeville,Guillaume Daudin,drap ; draperie ; d'Abbeville,rewire,,[Drap ; draperie ; d'Abbeville]
no,drap draperie Damas,drap draperie Damas,Guillaume Daudin,drap ; draperie ; Damas,rewire,,[Drap ; draperie ; damas]
no,drap draperie de Carcassonne,drap draperie de Carcassonne,Guillaume Daudin,drap ; draperie ; de Carcassonne,rewire,,[Drap ; draperie ; de Carcassonne]
no,drap draperie du Languedoc,drap draperie de Languedoc,Guillaume Daudin,drap ; draperie ; de Languedoc,rewire,,[Drap ; draperie ; de Languedoc] [Draps ; draperie ; de Languedoc]
no,drap draperie de Montauban,drap draperie de Montauban,Guillaume Daudin,drap ; draperie ; de Montauban,rewire,,[Drap ; draperie ; de montauban] [Draps ; draperie ; de Montauban]
no,drap divers draperie,drap draperie divers,Guillaume Daudin,drap ; draperie ; divers,rewire,,[Draps ; Divers ; Draperie]
no,drap draperie diverse,drap draperie divers,Guillaume Daudin,drap ; draperie ; divers,rewire,,[Drap ; draperie ; diverse]
no,drap draperie fine,drap draperie fine,Guillaume Daudin,drap ; draperie ; fine,rewire,,[Drap ; draperie ; fine] [Draps ; draperie ; fine]
no,drap draperie frac,drap draperie frac,Guillaume Daudin,drap ; draperie ; frac,rewire,,[Drap ; draperie ; frac]
no,drap draperie froc,drap draperie frac,Guillaume Daudin,drap ; draperie ; frac,rewire,,[Drap ; draperie ; froc]
no,drap draperie futaine,drap draperie futaine,Guillaume Daudin,drap ; draperie ; futaine,rewire,,[Drap ; draperie ; fulaine] [Drap ; draperie ; furaine] [Drap ; draperie ; futaine]
no,drap draperie iadia,drap draperie iada,Guillaume Daudin,drap ; draperie ; iada,rewire,,[Drap ; draperie ; iadia]
no,drap draperie layette,drap draperie layette,Guillaume Daudin,drap ; draperie ; layette,rewire,,[Drap ; draperie ; layette]
no,drap draperie moutade,drap draperie moutade,Guillaume Daudin,drap ; draperie ; moutade,rewire,,[Drap ; draperie ; moutade]
no,drap draperie petite,drap draperie petite,Guillaume Daudin,drap ; draperie ; petite,rewire,,[Drap ; draperies ; petite] [Draps ; draperie ; petite] [Drap ; draperie ; petite]
no,drap draperie petite du Languedoc,drap draperie petite de Languedoc,Guillaume Daudin,drap ; draperie ; petite ; de Languedoc,rewire,,[Draps ; Draperie petite ; De Languedoc]
no,drap draperie petite de mains,drap draperie petite de main,Guillaume Daudin,drap ; draperie ; petite ; de main,rewire,,[Draps ; Draperie petite ; De mains]
no,drap draperie petite de Sedan,drap draperie petite de Sedan,Guillaume Daudin,drap ; draperie ; petite ; de Sedan,rewire,,[Draps ; Draperie petite ; De Sedan]
no,drap draperie petite de Silésie,drap draperie petite de Silésie,Guillaume Daudin,drap ; draperie ; petite ; de Silésie,rewire,,[Draps ; Draperie petite ; De Silésie]
no,drap draperie petite divers,drap draperie petite divers,Guillaume Daudin,drap ; draperie ; petite ; divers,rewire,,[Draps ; Draperie petite ; Divers]
no,drap draperie petite diverse,drap draperie petite divers,Guillaume Daudin,drap ; draperie ; petite ; divers,rewire,,[Draps ; Draperie petite ; Diverses]
no,drap draperie petite du Maroc,drap draperie petite du Maroc,Guillaume Daudin,drap ; draperie ; petite ; du Maroc,rewire,,[Draps ; Draperie petite ; Du Maroc]
no,drap draperie tricots,drap draperie tricot,Guillaume Daudin,drap ; draperie ; tricot,rewire,,[Drap ; draperie ; tricots]
no,drap droguet d'Angleterre,drap droguet d'Angleterre,Guillaume Daudin,drap ; droguet ; d'Angleterre,rewire,,[Drap ; droguet ; d'Angleterre]
no,drap droguet de castor,drap droguet de castor,Guillaume Daudin,drap ; droguet ; de castor,rewire,,[Draps ; droguet ; decastor]
no,drap droguet de Hollande,drap droguet de Hollande,Guillaume Daudin,drap ; droguet ; de Hollande,rewire,,[Drap ; droguet ; d'Hollande] [Drap ; droguet d'hollande] [Draps ; droguet ; d'Hollande] [Drap; droguet ; d'hollande] [Draps ; droguet ; d'hollande] [Drap ; drogues ; d'Hollande]
no,drap droguet de Milan,drap droguet de milan,Guillaume Daudin,drap ; droguet ; de milan,rewire,,[Draps ; droguet ; de milan]
no,drap de laine du Nord,drap du nord,Guillaume Daudin,drap ; du nord,rewire,,[Drap ; de laine ; du Nord]
no,drap du Nord,drap du nord,Guillaume Daudin,drap ; du nord,rewire,,[draps du nord]
no,drap du Nord blanc,drap du nord blanc,Guillaume Daudin,drap ; du nord blanc,rewire,,[drap du Nord blanc]
no,drap du Nord teint,drap du nord teint,Guillaume Daudin,drap ; du nord teint,rewire,,[drap du Nord teint]
no,drap de laine du sceau,drap du sceau,Guillaume Daudin,drap ; du sceau,rewire,,[Drap ; de laine ; du sceau]
no,drap de laine écarlate,drap écarlate,Guillaume Daudin,drap ; écarlate,rewire,,[Drap ; de laine ; ecarlatte] [Drap ; de laine ; écarlatte] [Drap ; de laine ; ecarlate]
no,drap du Château du Parc,drap écarlate,Guillaume Daudin,drap ; écarlate,rewire,,[Drap ; du Chateau du Parc]
no,drap écarlate,drap écarlate,Guillaume Daudin,drap ; écarlate,rewire,,[Draps ; Ecarlatte] [Draps ; écarlatte] [Drap ; Ecarlatte] [Drap ; écarlatte] [Drap ; ecarlatte] [Drap ecarlate] [drap ; ecarlate] [Draps ecarlate] [Drap Ecarlatte] [Drap ; écarlate] [Drap Ecarlate] [Drap écarlate] [Drap écarlatte] [Drap ecarlatte]
no,drap écarlatine,drap écarlate,Guillaume Daudin,drap ; écarlate,rewire,,[Drap ecarlatine] [Drap écarlatine]
no,draperie drap écarlate,drap écarlate,Guillaume Daudin,drap ; écarlate,rewire,,[Draperie ; drap ; écarlate]
no,drap draperie espagnolette,drap espagnolette,Guillaume Daudin,drap ; espagnolette,rewire,,[Drap ; draperie ; espagolette] [Drap ; draperie ; espagnolette]
no,drap de laine étranger,drap étranger,Guillaume Daudin,drap ; étranger,rewire,,[Drap ; de laine ; étranger]
no,drap et draperie raffiné,drap fin,Guillaume Daudin,drap ; fin,rewire,,[Draps et draperies ; rafiné]
no,drap fin,drap fin,Guillaume Daudin,drap ; fin,rewire,,[Draps ; Fins] [Draps ; fins] [Drap ; fins] [Drap ; fin] [Drap fin]
no,draperie fine,drap fin,Guillaume Daudin,drap ; fin,rewire,,[Draperie ; fine] [Draperie fine]
no,drap fin du Languedoc,drap fin du Languedoc,Guillaume Daudin,drap ; fin ; du Languedoc,rewire,,[Drap fin de Languedoc] [Drap fin du Langdoc]
no,drap draperie flanelle,drap flanelle,Guillaume Daudin,drap ; flanelle,rewire,,[Drap ; draperie ; flanelle]
no,drap goudronné,drap goudronné,Guillaume Daudin,drap ; goudronné,rewire,,[Drap goudronné]
