numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,value,quantit,total,quantity_unit,prix_unitaire
151,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,57,Cantharides,14050,1405,14050,Kilo,10
152,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,59,Cornes de cerf et de snack ; en morceaux,280,400,280,Kilo,0.7
153,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,59,Cornes de cerf et de snack ; en râpures,943,1347,943,Kilo,0.7
154,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,145,Ecorces ; autres,1089,1361,1089,Kilo,0.8
155,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,145,Ecorces ; de Quinquina,685608,85701,685608,Kilo,8
156,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,143,"Ecorces de citron, d'orange, et de leurs variétés",8621,17243,8621,Kilo,0.5
157,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,59,Eponges ; communes,50808,8468,50808,Kilo,6
158,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,59,Eponges ; fines,45160,2258,45160,Kilo,20
159,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,147,Feuilles ; d'Oranger,2226,2226,2226,Kilo,1
160,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,147,Feuilles ; de Séné,97381,27823,97381,Kilo,3.5
161,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,149,Feuilles non dénommées,17064,17064,17064,Kilo,1
162,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,149,Fleurs de Lavande et d'Oranger,54308,27154,54308,Kilo,2
163,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,151,Fleurs non dénommées,11684,11684,11684,Kilo,1
164,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,155,Fruits ; Autres,50187,50187,50187,Kilo,1
165,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,153,Fruits ; Badiane ou Anis étoilé de la Chine,870,435,870,Kilo,2
166,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,153,Fruits ; Barbotine,248,827,248,Kilo,0.3
167,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,151,Fruits ; Casse sans apprêt,91593,61062,91593,Kilo,1.5
168,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,155,Fruits ; Follicules de séné,15633,5583,15633,Kilo,2.8
169,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,153,Fruits ; Graine de moutarde,17816,35633,17816,Kilo,0.5
170,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,153,Fruits ; Tamarins en gousses,3792,8428,3792,Kilo,0.45
171,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,147,Herbes,1441,2881,1441,Kilo,0.5
172,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,137,Ipécacuana,6240,480,6240,Kilo,13
173,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,129,Jus de réglisse,205785,205785,205785,Kilo,1
174,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,155,Lichens médicinaux,900,3000,900,Kilo,0.3
175,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,127,Manne,37135,20631,37135,Kilo,1.8
176,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,315,Médicaments composés ; Autres,1528850,152885,1528850,Kilo,10
177,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,315,Médicaments composés ; Eaux distillées,165575,33115,165575,Kilo,5
178,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,125,Opium,198240,6195,198240,Kilo,32
179,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,141,Racines ; Iris de Florence,18157,10087,18157,Kilo,1.8
180,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,139,Racines ; Jalap,120378,37618,120378,Kilo,3.2
181,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,139,Racines ; Rhubarbe,53955,10791,53955,Kilo,5
182,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,141,Racines ; Réglisse,92153,204786,92153,Kilo,0.45
183,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,143,Racines non dénommées,380811,126937,380811,Kilo,3
184,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,121,Résineux exotiques ; Scammonée,48720,1218,48720,Kilo,40
185,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,137,Salsepareille,163458,54486,163458,Kilo,3
186,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,57,Sangsues,22177,739250,22177,pièce,0.03
187,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,271,Sels ammoniacaux,34090,10552,34090,Kilo,3.2306671721
188,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,275,"Sels, sulfates ; de magnésie",4284,4868,4284,Kilo,0.88
189,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,273,"Sels, sulfates ; de soude",128831,429437,128831,Kilo,0.3
190,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,117,Térébenthine ; compacte,35479,177397,35479,Kilo,0.2
191,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,119,Térébenthine ; essence,569514,813592,569514,Kilo,0.7
192,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,119,Térébenthine ; liquide,3280,21864,3280,Kilo,0.15
193,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,285,Acétates ; de plomb,96314,56633,96314,Kilo,1.7
194,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,125,Aloès,1406,639,1406,Kilo,2.2
195,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,121,Baume ; Benjoin,11544,3848,11544,Kilo,3
196,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,123,Baume ; Copahu,3706,1853,3706,Kilo,2
197,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,123,Baume ; Storax liquide,5700,4259,5700,Kilo,1.34
198,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,125,Camphre ; raffiné,37604,4424,37604,Kilo,8.5
199,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,57,Cantharides,16570,1657,16570,Kilo,10
200,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,59,Cornes de cerf et de snack ; en morceaux,75,107,75,Kilo,0.7
201,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,59,Cornes de cerf et de snack ; en râpures,344,491,344,Kilo,0.7
202,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,145,Ecorces ; autres,2014,2518,2014,Kilo,0.8
203,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,145,Ecorces ; de Quinquina,1666088,208261,1666088,Kilo,8
204,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,143,"Ecorces de citron, d'orange, et de leurs variétés",9571,19142,9571,Kilo,0.5
205,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,59,Eponges ; communes,41178,6863,41178,Kilo,6
206,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,59,Eponges ; fines,18380,919,18380,Kilo,20
207,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,147,Feuilles ; d'Oranger,13426,13426,13426,Kilo,1
208,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,147,Feuilles ; de Séné,78442,22412,78442,Kilo,3.5
209,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,149,Feuilles non dénommées,21204,21204,21204,Kilo,1
210,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,149,Fleurs de Lavande et d'Oranger,77790,38895,77790,Kilo,2
211,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,151,Fleurs non dénommées,29560,29560,29560,Kilo,1
212,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,155,Fruits ; Autres,82360,82360,82360,Kilo,1
213,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,153,Fruits ; Badiane ou Anis étoilé de la Chine,13890,6945,13890,Kilo,2
214,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,153,Fruits ; Barbotine,2214,7381,2214,Kilo,0.3
215,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,151,Fruits ; Casse sans apprêt,129274,86183,129274,Kilo,1.5
216,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,155,Fruits ; Follicules de séné,19611,7004,19611,Kilo,2.8
217,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,153,Fruits ; Graine de moutarde,48680,97359,48680,Kilo,0.5
218,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,153,Fruits ; Tamarins en gousses,4442,9872,4442,Kilo,0.45
219,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,147,Herbes,2917,5834,2917,Kilo,0.5
220,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,137,Ipécacuana,8996,692,8996,Kilo,13
221,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,129,Jus de réglisse,294371,294371,294371,Kilo,1
222,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,155,Lichens médicinaux,1680,5599,1680,Kilo,0.3
223,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,127,Manne,36623,20346,36623,Kilo,1.8
224,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,315,Médicaments composés ; Autres,1328010,132801,1328010,Kilo,10
225,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,315,Médicaments composés ; Eaux distillées,154950,30990,154950,Kilo,5
226,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,125,Opium,132832,4151,132832,Kilo,32
227,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,141,Racines ; Iris de Florence,14659,8144,14659,Kilo,1.8
228,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,139,Racines ; Jalap,93082,29088,93082,Kilo,3.2
229,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,139,Racines ; Rhubarbe,59520,11904,59520,Kilo,5
230,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,141,Racines ; Réglisse,116923,259829,116923,Kilo,0.45
231,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,143,Racines non dénommées,450987,150329,450987,Kilo,3
232,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,121,Résineux exotiques ; Scammonée,38640,966,38640,Kilo,40
233,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,137,Salsepareille,86610,28870,86610,Kilo,3
234,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,57,Sangsues,37263,1242100,37263,pièce,0.03
235,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,271,Sels ammoniacaux,14563,3828,14563,Kilo,3.8043364681
236,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,275,"Sels, sulfates ; de magnésie",11847,13463,11847,Kilo,0.88
237,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,273,"Sels, sulfates ; de soude",79409,264698,79409,Kilo,0.3
238,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,117,Térébenthine ; compacte,47927,239638,47927,Kilo,0.2
239,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,119,Térébenthine ; essence,761204,1087435,761204,Kilo,0.7
240,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1831,Exports,119,Térébenthine ; liquide,3673,24484,3673,Kilo,0.15
241,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,285,Acétates ; de plomb,79133,46549,79133,Kilo,1.7
242,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,125,Aloès,7379,3354,7379,Kilo,2.2
243,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,121,Baume ; Benjoin,34770,11590,34770,Kilo,3
244,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,123,Baume ; Copahu,7432,3716,7432,Kilo,2
245,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,123,Baume ; Storax liquide,1200,855,1200,Kilo,1.4
246,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,125,Camphre ; raffiné,222283,26151,222283,Kilo,8.5
247,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,57,Cantharides,24330,2433,24330,Kilo,10
248,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,59,Cornes de cerf et de snack ; en morceaux,1651,2359,1651,Kilo,0.7
249,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,59,Cornes de cerf et de snack ; en râpures,415,593,415,Kilo,0.7
250,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,145,Ecorces ; autres,7886,9858,7886,Kilo,0.8
251,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,145,Ecorces ; de Quinquina,1263176,157897,1263176,Kilo,8
252,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,143,"Ecorces de citron, d'orange, et de leurs variétés",10351,20702,10351,Kilo,0.5
253,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,59,Eponges ; communes,35418,5903,35418,Kilo,6
254,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,59,Eponges ; fines,22140,1107,22140,Kilo,20
255,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,147,Feuilles ; d'Oranger,1046,1046,1046,Kilo,1
256,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,147,Feuilles ; de Séné,79944,22841,79944,Kilo,3.5
257,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,149,Feuilles non dénommées,16990,16990,16990,Kilo,1
258,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,149,Fleurs de Lavande et d'Oranger,49854,24927,49854,Kilo,2
259,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,151,Fleurs non dénommées,25433,25433,25433,Kilo,1
260,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,155,Fruits ; Autres,62281,62281,62281,Kilo,1
261,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,153,Fruits ; Badiane ou Anis étoilé de la Chine,2650,1325,2650,Kilo,2
262,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,153,Fruits ; Barbotine,107,358,107,Kilo,0.3
263,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,151,Fruits ; Casse sans apprêt,130184,86790,130184,Kilo,1.5
264,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,155,Fruits ; Follicules de séné,10346,3695,10346,Kilo,2.8
265,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,153,Fruits ; Graine de moutarde,23526,47053,23526,Kilo,0.5
266,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,153,Fruits ; Tamarins en gousses,1061,2357,1061,Kilo,0.45
267,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,147,Herbes,3546,7091,3546,Kilo,0.5
268,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,137,Ipécacuana,1989,153,1989,Kilo,13
269,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,129,Jus de réglisse,302106,302106,302106,Kilo,1
270,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,155,Lichens médicinaux,1129,3763,1129,Kilo,0.3
271,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,127,Manne,48002,26668,48002,Kilo,1.8
272,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,315,Médicaments composés ; Autres,1517200,151720,1517200,Kilo,10
273,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,315,Médicaments composés ; Eaux distillées,229750,45950,229750,Kilo,5
274,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,125,Opium,215360,6730,215360,Kilo,32
275,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,141,Racines ; Iris de Florence,10768,5982,10768,Kilo,1.8
276,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,139,Racines ; Jalap,51859,16206,51859,Kilo,3.2
277,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,139,Racines ; Rhubarbe,22453,4491,22453,Kilo,5
278,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,141,Racines ; Réglisse,98903,219784,98903,Kilo,0.45
279,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,143,Racines non dénommées,376977,125659,376977,Kilo,3
280,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,121,Résineux exotiques ; Scammonée,31840,796,31840,Kilo,40
281,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,137,Salsepareille,143049,47683,143049,Kilo,3
282,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,57,Sangsues,56859,1895300,56859,pièce,0.03
283,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,271,Sels ammoniacaux,16093,4143,16093,Kilo,3.8843832971
284,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,275,"Sels, sulfates ; de magnésie",7547,8576,7547,Kilo,0.88
285,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,273,"Sels, sulfates ; de soude",184899,616330,184899,Kilo,0.3
286,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,117,Térébenthine ; compacte,32976,164882,32976,Kilo,0.2
287,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,119,Térébenthine ; essence,806966,1152808,806966,Kilo,0.7
288,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1832,Exports,119,Térébenthine ; liquide,216,1443,216,Kilo,0.15
289,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,285,Acétates ; de plomb,42520,25012,42520,Kilo,1.7
290,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,125,Aloès,2433,1106,2433,Kilo,2.2
291,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,121,Baume ; Benjoin,41592,13864,41592,Kilo,3
292,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,123,Baume ; Copahu,2772,1386,2772,Kilo,2
293,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,123,Baume ; Storax liquide,3226,2145,3226,Kilo,1.5
294,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,125,Camphre ; raffiné,132456,15583,132456,Kilo,8.5
295,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,57,Cantharides,20750,2075,20750,Kilo,10
296,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,59,Cornes de cerf et de snack ; en morceaux,106,152,106,Kilo,0.7
297,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,59,Cornes de cerf et de snack ; en râpures,919,1313,919,Kilo,0.7
298,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,145,Ecorces ; autres,4891,6114,4891,Kilo,0.8
299,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,145,Ecorces ; de Quinquina,397784,49723,397784,Kilo,8
300,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,143,"Ecorces de citron, d'orange, et de leurs variétés",14154,28307,14154,Kilo,0.5
301,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1833,Exports,59,Eponges ; communes,52722,8787,52722,Kilo,6
