numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks
94,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Graine de laitue,Marseille,Espagne,"1 764,00",livres,"0,50000","882,00","0,00",
95,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Graine de vers à soye,Marseille,Espagne,"50,00",livres,"6,00000","300,00","0,00",
96,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Herbe d'orseille,Marseille,Espagne,"4 928,00",livres,"1,00000","4928,00","0,00",
97,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Huile d'olive,Marseille,Espagne,"6 657,00",milleroles,"40,00000","266280,00","0,00",
98,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Huile de poisson,Marseille,Espagne,"125 250,00",livres,"0,20000","25050,00","0,00",
99,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Jalap,Marseille,Espagne,"15 310,00",livres,"2,50000","38275,00","0,00",
100,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Indigo,Marseille,Espagne,"2 450,00",livres,"4,50000","11025,00","0,00",
101,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Joncs a voile,Marseille,Espagne,"1 225,00",livres,"0,10000","122,00","-0,50",
102,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Jus de citron,Marseille,Espagne,"248 600,00",livres,"0,06000","14916,00","0,00",
103,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Laine lavée,Marseille,Espagne,"229 148,00",livres,"1,10000","252062,00","-0,80",
104,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Laine de Sigovie,Marseille,Espagne,"118 582,00",livres,"1,60000","189731,00","-0,20",
105,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Laine surge,Marseille,Espagne,"783 316,00",livres,"0,40000","313326,00","-0,40",
106,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Legumes,Marseille,Espagne,"7 850,00",livres,"0,15000","1177,00","-0,50",
107,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Liege,Marseille,Espagne,"120 750,00",livres,"0,15000","18112,00","-0,50",
