numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Largeur en lignes (pour tissu),remarks
101,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,9,1789,Lorient,Quimper,Bretagne,Miel,Hollande,65388,Livres,,15700,,,Pas de prix unitaire
102,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,9,1789,Lorient,Quimper,Bretagne,Ouvrage de tonnelier en futaille,Petites isles,777,Nombre,,262,,,Pas de prix unitaire
103,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,9,1789,Lorient,Quimper,Bretagne,Poterie,Lorient,451,Douzaines,,929,,,Pas de prix unitaire
104,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,9,1789,Lorient,Quimper,,Terraille,Lorient,,,,315,0,,En valeur
105,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,9,1789,Lorient,Quimper,Bretagne,Poisson salé en rogues,Lorient,67,Barils,,4060,,,Pas de prix unitaire
106,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,9,1789,Lorient,Quimper,Bretagne,Poisson salé en rogues,Petites isles,54,Barils,,2412,,,Pas de prix unitaire
107,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,9,1789,Lorient,Quimper,Bretagne,Poisson salé sardines,Bayonne,"1011,5",Barriques,,36872,,,Pas de prix unitaire
108,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,,Ouvrages de pelleterie,Lorient,,Livres,,656,,,Pas de quantité ni de prix unitaire
109,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Guyenne,Ouvrages d'ozier,Lorient,,,,525,,,Total uniquement
110,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Lyon,Parasols,Amérique,134,Nombre,,1600,,,Pas de prix unitaire
111,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Lyon,Parasols,,,,,0,,,
112,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Bretagne,Parfumerie (poudre),Lorient,2355,Livres,"0,5",1177,"0,5",,
113,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Bretagne,Peaux de moutons mégissées,Lorient,1998,Nombre,"1,5",2997,0,,
114,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Normandie,Ruban de fil,Lorient,214,Livres,3,642,0,,
115,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Isles de France,Ruban de soye,Lorient,,,,200,,,Total uniquement
116,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Foret,Ruban de soye,Amérique,139,Livres,,4200,,,Pas de prix unitaire
117,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Tourraine,Ruban de soye,Lorient,"9,75",Livres,,750,,,Pas de prix unitaire
118,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Lyon,Ruban de soye,Lorient,"560,5",Livres,50,28025,0,,
119,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Lyon,Ruban de soye,Amérique,"9,75",Livres,40,390,0,,
120,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Bretagne,Toille cirée,Lorient,,,,720,,,120 pièces ou 320£
121,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Normandie,Toille cirée,Lorient,3500,Livres,2,7000,0,,
122,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Isles de France,Toille de coton,Lorient,164,Aunes,"3,5",574,0,,
123,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Normandie,Toille de coton,Lorient,517,Aunes,"3,5",1809,"0,5",,
124,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Normandie,Toille de coton rayée,Lorient,841,Aunes,3,2523,0,,
125,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Normandie,Toille coton teinte,Lorient,74,Aunes,4,294,2,,
126,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Normandie,Toille fil et coton,Lorient,474,Aunes,3,1422,0,,
127,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Rouen,Toille fil et coton teinte,Lorient,1346,Aunes,3,4038,0,,
128,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Rouen,Toille siamoise,Lorient,1181,Aunes,3,3543,0,,
129,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Normandie,Toille indienne,Lorient,96,Aunes,"5,5",528,0,,
130,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Normandie,Toille indienne fil et coton,Lorient,134,Aunes,3,402,0,,
131,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Amiens,Toille de fil matelat,Lorient,344,Aunes,3,826,206,,Erreur de calcul
132,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Flandre,Toille de lin,Lorient,34,Aunes,"3,5",119,0,,
133,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Amiens,Toille de lin,Lorient,1676,Aunes,4,6704,0,,
134,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Etranger,Toille de lin teinte,Lorient,770,Livres,,1300,,,Pas de prix unitaire
135,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Normandie,Toille de lin teinte,Ports et pays de France,,,,760,,,190 aunes ou 70 livres
136,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Maine,Verrerie,Lorient,700,Livres,,390,,,Pas de prix unitaire
137,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,11,1789,Lorient,Ville de Lorient,Maine,Vin en bouteilles,Lorient,466,Bouteilles,"0,75",349,0,,
